forecast_date,target,target_end_date,location,type,quantile,value,timezero,model,truth_data_source,shift_ECDC,shift_JHU
2020-05-10,-1 wk ahead cum death,2020-05-02,GM,observed,,6575.0,2020-05-11,Imperial-ensemble2,ECDC,0.0,180.0
2020-05-10,-1 wk ahead inc death,2020-05-02,GM,observed,,1075.0,2020-05-11,Imperial-ensemble2,ECDC,0.0,0.0
2020-05-10,0 wk ahead cum death,2020-05-09,GM,observed,,7369.0,2020-05-11,Imperial-ensemble2,ECDC,0.0,180.0
2020-05-10,0 wk ahead inc death,2020-05-09,GM,observed,,794.0,2020-05-11,Imperial-ensemble2,ECDC,0.0,0.0
2020-05-10,1 wk ahead cum death,2020-05-16,GM,point,,7850.0,2020-05-11,Imperial-ensemble2,ECDC,0.0,180.0
2020-05-10,1 wk ahead inc death,2020-05-16,GM,point,,481.0,2020-05-11,Imperial-ensemble2,ECDC,0.0,0.0
2020-05-10,1 wk ahead cum death,2020-05-16,GM,quantile,0.025,7790.0,2020-05-11,Imperial-ensemble2,ECDC,0.0,180.0
2020-05-10,1 wk ahead cum death,2020-05-16,GM,quantile,0.975,8111.0,2020-05-11,Imperial-ensemble2,ECDC,0.0,180.0
2020-05-10,1 wk ahead inc death,2020-05-16,GM,quantile,0.025,421.0,2020-05-11,Imperial-ensemble2,ECDC,0.0,0.0
2020-05-10,1 wk ahead inc death,2020-05-16,GM,quantile,0.975,742.0,2020-05-11,Imperial-ensemble2,ECDC,0.0,0.0
2020-06-21,-1 wk ahead cum death,2020-06-13,PL,observed,,1222.0,2020-06-22,Imperial-ensemble2,ECDC,0.0,12.0
2020-06-21,-1 wk ahead inc death,2020-06-13,PL,observed,,85.0,2020-06-22,Imperial-ensemble2,ECDC,0.0,0.0
2020-06-21,0 wk ahead cum death,2020-06-20,PL,observed,,1334.0,2020-06-22,Imperial-ensemble2,ECDC,0.0,12.0
2020-06-21,0 wk ahead inc death,2020-06-20,PL,observed,,112.0,2020-06-22,Imperial-ensemble2,ECDC,0.0,0.0
2020-06-21,1 wk ahead cum death,2020-06-27,PL,point,,1456.0,2020-06-22,Imperial-ensemble2,ECDC,0.0,12.0
2020-06-21,1 wk ahead inc death,2020-06-27,PL,point,,122.0,2020-06-22,Imperial-ensemble2,ECDC,0.0,0.0
2020-06-21,1 wk ahead cum death,2020-06-27,PL,quantile,0.025,1417.0,2020-06-22,Imperial-ensemble2,ECDC,0.0,12.0
2020-06-21,1 wk ahead cum death,2020-06-27,PL,quantile,0.975,1501.0,2020-06-22,Imperial-ensemble2,ECDC,0.0,12.0
2020-06-21,1 wk ahead inc death,2020-06-27,PL,quantile,0.025,83.0,2020-06-22,Imperial-ensemble2,ECDC,0.0,0.0
2020-06-21,1 wk ahead inc death,2020-06-27,PL,quantile,0.975,167.0,2020-06-22,Imperial-ensemble2,ECDC,0.0,0.0
2020-06-14,-1 wk ahead cum death,2020-06-06,GM,observed,,8646.0,2020-06-15,Imperial-ensemble2,ECDC,0.0,12.0
2020-06-14,-1 wk ahead inc death,2020-06-06,GM,observed,,157.0,2020-06-15,Imperial-ensemble2,ECDC,0.0,0.0
