forecast_date,target,target_end_date,location,location_name,type,quantile,value
2020-12-21,-1 day ahead inc case,2020-12-20,GM,Germany,observed,NA,22771.0
2020-12-21,0 day ahead inc case,2020-12-21,GM,Germany,observed,NA,16643.0
2020-12-21,1 day ahead inc case,2020-12-22,GM,Germany,point,NA,28547.769804570962
2020-12-21,1 day ahead inc case,2020-12-22,GM,Germany,quantile,0.010,23199.65225017514
2020-12-21,1 day ahead inc case,2020-12-22,GM,Germany,quantile,0.025,24207.43457305915
2020-12-21,1 day ahead inc case,2020-12-22,GM,Germany,quantile,0.050,24857.339650600825
2020-12-21,1 day ahead inc case,2020-12-22,GM,Germany,quantile,0.100,25633.217518503003
2020-12-21,1 day ahead inc case,2020-12-22,GM,Germany,quantile,0.150,26165.738859572393
2020-12-21,1 day ahead inc case,2020-12-22,GM,Germany,quantile,0.200,26732.61641619465
2020-12-21,1 day ahead inc case,2020-12-22,GM,Germany,quantile,0.250,27167.795146530923
2020-12-21,1 day ahead inc case,2020-12-22,GM,Germany,quantile,0.300,27422.603745214667
2020-12-21,1 day ahead inc case,2020-12-22,GM,Germany,quantile,0.350,27723.220631302225
2020-12-21,1 day ahead inc case,2020-12-22,GM,Germany,quantile,0.400,27874.960583327374
2020-12-21,1 day ahead inc case,2020-12-22,GM,Germany,quantile,0.450,28278.646116073527
2020-12-21,1 day ahead inc case,2020-12-22,GM,Germany,quantile,0.500,28547.769804570962
2020-12-21,1 day ahead inc case,2020-12-22,GM,Germany,quantile,0.550,28877.01687028591
2020-12-21,1 day ahead inc case,2020-12-22,GM,Germany,quantile,0.600,29063.11303786392
2020-12-21,1 day ahead inc case,2020-12-22,GM,Germany,quantile,0.650,29246.346187479194
2020-12-21,1 day ahead inc case,2020-12-22,GM,Germany,quantile,0.700,29538.374019678537
2020-12-21,1 day ahead inc case,2020-12-22,GM,Germany,quantile,0.750,29876.2101392817
2020-12-21,1 day ahead inc case,2020-12-22,GM,Germany,quantile,0.800,30208.32022295938
2020-12-21,1 day ahead inc case,2020-12-22,GM,Germany,quantile,0.850,30812.41701309724
2020-12-21,1 day ahead inc case,2020-12-22,GM,Germany,quantile,0.900,31350.66439009211
2020-12-21,1 day ahead inc case,2020-12-22,GM,Germany,quantile,0.950,32318.364461497775
2020-12-21,1 day ahead inc case,2020-12-22,GM,Germany,quantile,0.975,33200.17399402129
2020-12-21,1 day ahead inc case,2020-12-22,GM,Germany,quantile,0.990,34245.1755504209
2020-12-21,2 day ahead inc case,2020-12-23,GM,Germany,point,NA,29118.83803116311
2020-12-21,2 day ahead inc case,2020-12-23,GM,Germany,quantile,0.010,23196.401852971205
2020-12-21,2 day ahead inc case,2020-12-23,GM,Germany,quantile,0.025,24254.09526109177
2020-12-21,2 day ahead inc case,2020-12-23,GM,Germany,quantile,0.050,25020.68039174796
2020-12-21,2 day ahead inc case,2020-12-23,GM,Germany,quantile,0.100,25864.894396394648
2020-12-21,2 day ahead inc case,2020-12-23,GM,Germany,quantile,0.150,26476.221779069834
2020-12-21,2 day ahead inc case,2020-12-23,GM,Germany,quantile,0.200,27081.080088912484
2020-12-21,2 day ahead inc case,2020-12-23,GM,Germany,quantile,0.250,27553.322405688028
2020-12-21,2 day ahead inc case,2020-12-23,GM,Germany,quantile,0.300,27860.603365233757
2020-12-21,2 day ahead inc case,2020-12-23,GM,Germany,quantile,0.350,28184.05700686084
2020-12-21,2 day ahead inc case,2020-12-23,GM,Germany,quantile,0.400,28394.301873918444
2020-12-21,2 day ahead inc case,2020-12-23,GM,Germany,quantile,0.450,28769.508098205864
2020-12-21,2 day ahead inc case,2020-12-23,GM,Germany,quantile,0.500,29118.83803116311
2020-12-21,2 day ahead inc case,2020-12-23,GM,Germany,quantile,0.550,29471.402500536635
2020-12-21,2 day ahead inc case,2020-12-23,GM,Germany,quantile,0.600,29707.523658924405
