"forecast_date","target","target_end_date","location","location_name","type","quantile","value"
2020-08-31,"7 day ahead inc death",2020-09-07,"GM","Germany","point",NA,2.232421875
2020-08-31,"6 day ahead inc death",2020-09-06,"GM","Germany","point",NA,2.384765625
2020-08-31,"5 day ahead inc death",2020-09-05,"GM","Germany","point",NA,2.5341796875
2020-08-31,"4 day ahead inc death",2020-09-04,"GM","Germany","point",NA,2.6787109375
2020-08-31,"3 day ahead inc death",2020-09-03,"GM","Germany","point",NA,2.8203125
2020-08-31,"2 day ahead inc death",2020-09-02,"GM","Germany","point",NA,2.9580078125
2020-08-31,"1 day ahead inc death",2020-09-01,"GM","Germany","point",NA,3.08984375
2020-08-31,"0 day ahead inc death",2020-08-31,"GM","Germany","observed",NA,3
2020-08-31,"-1 day ahead inc death",2020-08-30,"GM","Germany","observed",NA,6
2020-08-31,"7 day ahead cum death",2020-09-07,"GM","Germany","point",NA,9316.6982421875
2020-08-31,"6 day ahead cum death",2020-09-06,"GM","Germany","point",NA,9314.4658203125
2020-08-31,"5 day ahead cum death",2020-09-05,"GM","Germany","point",NA,9312.0810546875
2020-08-31,"4 day ahead cum death",2020-09-04,"GM","Germany","point",NA,9309.546875
2020-08-31,"3 day ahead cum death",2020-09-03,"GM","Germany","point",NA,9306.8681640625
2020-08-31,"2 day ahead cum death",2020-09-02,"GM","Germany","point",NA,9304.0478515625
2020-08-31,"1 day ahead cum death",2020-09-01,"GM","Germany","point",NA,9301.08984375
2020-08-31,"0 day ahead cum death",2020-08-31,"GM","Germany","observed",NA,9298
2020-08-31,"-1 day ahead cum death",2020-08-30,"GM","Germany","observed",NA,9295
2020-08-31,"0 wk ahead inc death",2020-08-29,"GM","Germany","observed",NA,22
2020-08-31,"1 wk ahead inc death",2020-09-05,"GM","Germany","point",NA,23.0810546875
2020-08-31,"-1 wk ahead cum death",2020-08-22,"GM","Germany","observed",NA,9267
2020-08-31,"0 wk ahead cum death",2020-08-29,"GM","Germany","observed",NA,9289
2020-08-31,"1 wk ahead cum death",2020-09-05,"GM","Germany","point",NA,9312.0810546875
