forecast_date,target,target_end_date,location,location_name,type,quantile,value
2021-03-08,-1 day ahead inc case,2021-03-07,PL,Poland,observed,NA,13574.0
2021-03-08,-1 day ahead cum case,2021-03-07,PL,Poland,observed,NA,1794800
2021-03-08,0 day ahead inc case,2021-03-08,PL,Poland,observed,NA,6170.0
2021-03-08,0 day ahead cum case,2021-03-08,PL,Poland,observed,NA,1800970
2021-03-08,-1 wk ahead inc case,2021-02-27,PL,Poland,observed,NA,61575.0
2021-03-08,-1 wk ahead cum case,2021-02-27,PL,Poland,observed,NA,1696770
2021-03-08,0 wk ahead inc case,2021-03-06,PL,Poland,observed,NA,81699.0
2021-03-08,0 wk ahead cum case,2021-03-06,PL,Poland,observed,NA,1781226
2021-03-08,1 day ahead inc case,2021-03-09,PL,Poland,point,NA,8976
2021-03-08,1 day ahead inc case,2021-03-09,PL,Poland,quantile,0.01,0.0
2021-03-08,1 day ahead inc case,2021-03-09,PL,Poland,quantile,0.025,0.0
2021-03-08,1 day ahead inc case,2021-03-09,PL,Poland,quantile,0.05,0.0
2021-03-08,1 day ahead inc case,2021-03-09,PL,Poland,quantile,0.1,0.0
2021-03-08,1 day ahead inc case,2021-03-09,PL,Poland,quantile,0.15,0.0
2021-03-08,1 day ahead inc case,2021-03-09,PL,Poland,quantile,0.2,0.0
2021-03-08,1 day ahead inc case,2021-03-09,PL,Poland,quantile,0.25,880.9825672112393
2021-03-08,1 day ahead inc case,2021-03-09,PL,Poland,quantile,0.3,2714.6176049049136
2021-03-08,1 day ahead inc case,2021-03-09,PL,Poland,quantile,0.35,4105.9172724461805
2021-03-08,1 day ahead inc case,2021-03-09,PL,Poland,quantile,0.4,5865.274808512746
2021-03-08,1 day ahead inc case,2021-03-09,PL,Poland,quantile,0.45,7551.010145695335
2021-03-08,1 day ahead inc case,2021-03-09,PL,Poland,quantile,0.5,9124.897972540912
2021-03-08,1 day ahead inc case,2021-03-09,PL,Poland,quantile,0.55,10558.806582890647
2021-03-08,1 day ahead inc case,2021-03-09,PL,Poland,quantile,0.6,12342.339344969683
2021-03-08,1 day ahead inc case,2021-03-09,PL,Poland,quantile,0.65,13996.43172089088
2021-03-08,1 day ahead inc case,2021-03-09,PL,Poland,quantile,0.7,16084.213931876955
2021-03-08,1 day ahead inc case,2021-03-09,PL,Poland,quantile,0.75,17206.271296539606
