forecast_date,target,target_end_date,location,location_name,type,quantile,value
2021-03-08,-1 day ahead inc death,2021-03-07,PL,Poland,observed,NA,126.0
2021-03-08,-1 day ahead cum death,2021-03-07,PL,Poland,observed,NA,45220
2021-03-08,0 day ahead inc death,2021-03-08,PL,Poland,observed,NA,32.0
2021-03-08,0 day ahead cum death,2021-03-08,PL,Poland,observed,NA,45252
2021-03-08,-1 wk ahead inc death,2021-02-27,PL,Poland,observed,NA,1529.0
2021-03-08,-1 wk ahead cum death,2021-02-27,PL,Poland,observed,NA,43634
2021-03-08,0 wk ahead inc death,2021-03-06,PL,Poland,observed,NA,1518.0
2021-03-08,0 wk ahead cum death,2021-03-06,PL,Poland,observed,NA,45094
2021-03-08,1 day ahead inc death,2021-03-09,PL,Poland,point,NA,289
2021-03-08,1 day ahead inc death,2021-03-09,PL,Poland,quantile,0.01,0.0
2021-03-08,1 day ahead inc death,2021-03-09,PL,Poland,quantile,0.025,0.0
2021-03-08,1 day ahead inc death,2021-03-09,PL,Poland,quantile,0.05,0.0
2021-03-08,1 day ahead inc death,2021-03-09,PL,Poland,quantile,0.1,0.0
2021-03-08,1 day ahead inc death,2021-03-09,PL,Poland,quantile,0.15,27.093104406972845
2021-03-08,1 day ahead inc death,2021-03-09,PL,Poland,quantile,0.2,87.29325223215753
2021-03-08,1 day ahead inc death,2021-03-09,PL,Poland,quantile,0.25,130.48572672077267
2021-03-08,1 day ahead inc death,2021-03-09,PL,Poland,quantile,0.3,171.22280445790435
2021-03-08,1 day ahead inc death,2021-03-09,PL,Poland,quantile,0.35,203.27106938873965
2021-03-08,1 day ahead inc death,2021-03-09,PL,Poland,quantile,0.4,240.34262840517414
2021-03-08,1 day ahead inc death,2021-03-09,PL,Poland,quantile,0.45,273.91107813449645
2021-03-08,1 day ahead inc death,2021-03-09,PL,Poland,quantile,0.5,304.5067868593383
2021-03-08,1 day ahead inc death,2021-03-09,PL,Poland,quantile,0.55,340.4466998514912
2021-03-08,1 day ahead inc death,2021-03-09,PL,Poland,quantile,0.6,366.94329347229086
2021-03-08,1 day ahead inc death,2021-03-09,PL,Poland,quantile,0.65,394.481075117663
2021-03-08,1 day ahead inc death,2021-03-09,PL,Poland,quantile,0.7,431.62839052899653
2021-03-08,1 day ahead inc death,2021-03-09,PL,Poland,quantile,0.75,468.58397916429317
2021-03-08,1 day ahead inc death,2021-03-09,PL,Poland,quantile,0.8,515.8953661794453
2021-03-08,1 day ahead inc death,2021-03-09,PL,Poland,quantile,0.85,568.6155256762984
2021-03-08,1 day ahead inc death,2021-03-09,PL,Poland,quantile,0.9,633.4427754194024
2021-03-08,1 day ahead inc death,2021-03-09,PL,Poland,quantile,0.95,743.7766695007738
2021-03-08,1 day ahead inc death,2021-03-09,PL,Poland,quantile,0.975,818.7095671975924
2021-03-08,1 day ahead inc death,2021-03-09,PL,Poland,quantile,0.99,925.2622951116692
2021-03-08,1 day ahead cum death,2021-03-09,PL,Poland,point,NA,45536
2021-03-08,1 day ahead cum death,2021-03-09,PL,Poland,quantile,0.01,45252.0
2021-03-08,1 day ahead cum death,2021-03-09,PL,Poland,quantile,0.025,45252.0
2021-03-08,1 day ahead cum death,2021-03-09,PL,Poland,quantile,0.05,45252.0
2021-03-08,1 day ahead cum death,2021-03-09,PL,Poland,quantile,0.1,45252.0
2021-03-08,1 day ahead cum death,2021-03-09,PL,Poland,quantile,0.15,45279.09310440697
2021-03-08,1 day ahead cum death,2021-03-09,PL,Poland,quantile,0.2,45339.29325223216
2021-03-08,1 day ahead cum death,2021-03-09,PL,Poland,quantile,0.25,45382.48572672077
2021-03-08,1 day ahead cum death,2021-03-09,PL,Poland,quantile,0.3,45423.2228044579
2021-03-08,1 day ahead cum death,2021-03-09,PL,Poland,quantile,0.35,45455.27106938874
2021-03-08,1 day ahead cum death,2021-03-09,PL,Poland,quantile,0.4,45492.342628405175
2021-03-08,1 day ahead cum death,2021-03-09,PL,Poland,quantile,0.45,45525.91107813449
2021-03-08,1 day ahead cum death,2021-03-09,PL,Poland,quantile,0.5,45556.50678685934
2021-03-08,1 day ahead cum death,2021-03-09,PL,Poland,quantile,0.55,45592.44669985149
2021-03-08,1 day ahead cum death,2021-03-09,PL,Poland,quantile,0.6,45618.94329347229
2021-03-08,1 day ahead cum death,2021-03-09,PL,Poland,quantile,0.65,45646.48107511766
2021-03-08,1 day ahead cum death,2021-03-09,PL,Poland,quantile,0.7,45683.628390529
2021-03-08,1 day ahead cum death,2021-03-09,PL,Poland,quantile,0.75,45720.583979164294
2021-03-08,1 day ahead cum death,2021-03-09,PL,Poland,quantile,0.8,45767.895366179444
2021-03-08,1 day ahead cum death,2021-03-09,PL,Poland,quantile,0.85,45820.6155256763
2021-03-08,1 day ahead cum death,2021-03-09,PL,Poland,quantile,0.9,45885.442775419404
2021-03-08,1 day ahead cum death,2021-03-09,PL,Poland,quantile,0.95,45995.776669500774
2021-03-08,1 day ahead cum death,2021-03-09,PL,Poland,quantile,0.975,46070.70956719759
2021-03-08,1 day ahead cum death,2021-03-09,PL,Poland,quantile,0.99,46177.26229511167
2021-03-08,2 day ahead inc death,2021-03-10,PL,Poland,point,NA,289
2021-03-08,2 day ahead inc death,2021-03-10,PL,Poland,quantile,0.01,0.0
