forecast_date,target,target_end_date,location,location_name,type,quantile,value
2020-05-04,1 day ahead cum death,2020-05-05,01,Baden-Wurttemberg,point,NA,1276.233
2020-05-04,1 day ahead inc death,2020-05-05,01,Baden-Wurttemberg,point,NA,5.599
2020-05-04,1 day ahead inc hosp,2020-05-05,01,Baden-Wurttemberg,point,NA,6.52636523476524
2020-05-04,10 day ahead cum death,2020-05-14,01,Baden-Wurttemberg,point,NA,1294.57
2020-05-04,10 day ahead inc death,2020-05-14,01,Baden-Wurttemberg,point,NA,0.432
2020-05-04,10 day ahead inc hosp,2020-05-14,01,Baden-Wurttemberg,point,NA,0.0522993506493507
2020-05-04,11 day ahead cum death,2020-05-15,01,Baden-Wurttemberg,point,NA,1294.838
2020-05-04,11 day ahead inc death,2020-05-15,01,Baden-Wurttemberg,point,NA,0.268
2020-05-04,11 day ahead inc hosp,2020-05-15,01,Baden-Wurttemberg,point,NA,0.0339476911976912
2020-05-04,12 day ahead cum death,2020-05-16,01,Baden-Wurttemberg,point,NA,1294.993
2020-05-04,12 day ahead inc death,2020-05-16,01,Baden-Wurttemberg,point,NA,0.155
2020-05-04,12 day ahead inc hosp,2020-05-16,01,Baden-Wurttemberg,point,NA,0.0159781746031746
2020-05-04,13 day ahead cum death,2020-05-17,01,Baden-Wurttemberg,point,NA,1295.077
2020-05-04,13 day ahead inc death,2020-05-17,01,Baden-Wurttemberg,point,NA,0.084
2020-05-04,13 day ahead inc hosp,2020-05-17,01,Baden-Wurttemberg,point,NA,0
2020-05-04,14 day ahead cum death,2020-05-18,01,Baden-Wurttemberg,point,NA,1295.118
2020-05-04,14 day ahead inc death,2020-05-18,01,Baden-Wurttemberg,point,NA,0.041
2020-05-04,14 day ahead inc hosp,2020-05-18,01,Baden-Wurttemberg,point,NA,0
2020-05-04,15 day ahead cum death,2020-05-19,01,Baden-Wurttemberg,point,NA,1295.132
2020-05-04,15 day ahead inc death,2020-05-19,01,Baden-Wurttemberg,point,NA,0.014
2020-05-04,15 day ahead inc hosp,2020-05-19,01,Baden-Wurttemberg,point,NA,0
2020-05-04,16 day ahead cum death,2020-05-20,01,Baden-Wurttemberg,point,NA,1295.14
2020-05-04,16 day ahead inc death,2020-05-20,01,Baden-Wurttemberg,point,NA,0.008
2020-05-04,16 day ahead inc hosp,2020-05-20,01,Baden-Wurttemberg,point,NA,0
2020-05-04,17 day ahead cum death,2020-05-21,01,Baden-Wurttemberg,point,NA,1295.144
2020-05-04,17 day ahead inc death,2020-05-21,01,Baden-Wurttemberg,point,NA,0.004
2020-05-04,17 day ahead inc hosp,2020-05-21,01,Baden-Wurttemberg,point,NA,0
2020-05-04,18 day ahead cum death,2020-05-22,01,Baden-Wurttemberg,point,NA,1295.144
2020-05-04,18 day ahead inc death,2020-05-22,01,Baden-Wurttemberg,point,NA,0
2020-05-04,18 day ahead inc hosp,2020-05-22,01,Baden-Wurttemberg,point,NA,0
2020-05-04,19 day ahead cum death,2020-05-23,01,Baden-Wurttemberg,point,NA,1295.144
2020-05-04,19 day ahead inc death,2020-05-23,01,Baden-Wurttemberg,point,NA,0
2020-05-04,19 day ahead inc hosp,2020-05-23,01,Baden-Wurttemberg,point,NA,0
2020-05-04,2 day ahead cum death,2020-05-06,01,Baden-Wurttemberg,point,NA,1280.763
2020-05-04,2 day ahead inc death,2020-05-06,01,Baden-Wurttemberg,point,NA,4.53
2020-05-04,2 day ahead inc hosp,2020-05-06,01,Baden-Wurttemberg,point,NA,4.93067401626152
2020-05-04,20 day ahead cum death,2020-05-24,01,Baden-Wurttemberg,point,NA,1295.144
2020-05-04,20 day ahead inc death,2020-05-24,01,Baden-Wurttemberg,point,NA,0
2020-05-04,20 day ahead inc hosp,2020-05-24,01,Baden-Wurttemberg,point,NA,0
2020-05-04,21 day ahead cum death,2020-05-25,01,Baden-Wurttemberg,point,NA,1295.144
2020-05-04,21 day ahead inc death,2020-05-25,01,Baden-Wurttemberg,point,NA,0
2020-05-04,21 day ahead inc hosp,2020-05-25,01,Baden-Wurttemberg,point,NA,0
2020-05-04,22 day ahead cum death,2020-05-26,01,Baden-Wurttemberg,point,NA,1295.144
2020-05-04,22 day ahead inc death,2020-05-26,01,Baden-Wurttemberg,point,NA,0
2020-05-04,22 day ahead inc hosp,2020-05-26,01,Baden-Wurttemberg,point,NA,0
2020-05-04,23 day ahead cum death,2020-05-27,01,Baden-Wurttemberg,point,NA,1295.144
2020-05-04,23 day ahead inc death,2020-05-27,01,Baden-Wurttemberg,point,NA,0
2020-05-04,23 day ahead inc hosp,2020-05-27,01,Baden-Wurttemberg,point,NA,0
2020-05-04,24 day ahead cum death,2020-05-28,01,Baden-Wurttemberg,point,NA,1295.144
