forecast_date,target,target_end_date,location,location_name,type,quantile,value
2020-05-04,1 day ahead cum death,2020-05-05,01,Baden-Wurttemberg,point,NA,1413.526
2020-05-04,1 day ahead inc death,2020-05-05,01,Baden-Wurttemberg,point,NA,12.633
2020-05-04,1 day ahead inc hosp,2020-05-05,01,Baden-Wurttemberg,point,NA,19.2077760808636
2020-05-04,10 day ahead cum death,2020-05-14,01,Baden-Wurttemberg,point,NA,1463.899
2020-05-04,10 day ahead inc death,2020-05-14,01,Baden-Wurttemberg,point,NA,1.942
2020-05-04,10 day ahead inc hosp,2020-05-14,01,Baden-Wurttemberg,point,NA,1.34060644355644
2020-05-04,11 day ahead cum death,2020-05-15,01,Baden-Wurttemberg,point,NA,1465.375
2020-05-04,11 day ahead inc death,2020-05-15,01,Baden-Wurttemberg,point,NA,1.476
2020-05-04,11 day ahead inc hosp,2020-05-15,01,Baden-Wurttemberg,point,NA,0.803831751581752
2020-05-04,12 day ahead cum death,2020-05-16,01,Baden-Wurttemberg,point,NA,1466.473
2020-05-04,12 day ahead inc death,2020-05-16,01,Baden-Wurttemberg,point,NA,1.098
2020-05-04,12 day ahead inc hosp,2020-05-16,01,Baden-Wurttemberg,point,NA,0.477940415140415
2020-05-04,13 day ahead cum death,2020-05-17,01,Baden-Wurttemberg,point,NA,1467.265
2020-05-04,13 day ahead inc death,2020-05-17,01,Baden-Wurttemberg,point,NA,0.792
2020-05-04,13 day ahead inc hosp,2020-05-17,01,Baden-Wurttemberg,point,NA,0.22212153957154
2020-05-04,14 day ahead cum death,2020-05-18,01,Baden-Wurttemberg,point,NA,1467.817
2020-05-04,14 day ahead inc death,2020-05-18,01,Baden-Wurttemberg,point,NA,0.552
2020-05-04,14 day ahead inc hosp,2020-05-18,01,Baden-Wurttemberg,point,NA,0.132132683982684
2020-05-04,15 day ahead cum death,2020-05-19,01,Baden-Wurttemberg,point,NA,1468.174
2020-05-04,15 day ahead inc death,2020-05-19,01,Baden-Wurttemberg,point,NA,0.357
2020-05-04,15 day ahead inc hosp,2020-05-19,01,Baden-Wurttemberg,point,NA,0.0405649350649351
2020-05-04,16 day ahead cum death,2020-05-20,01,Baden-Wurttemberg,point,NA,1468.394
2020-05-04,16 day ahead inc death,2020-05-20,01,Baden-Wurttemberg,point,NA,0.22
2020-05-04,16 day ahead inc hosp,2020-05-20,01,Baden-Wurttemberg,point,NA,0.0133412698412698
2020-05-04,17 day ahead cum death,2020-05-21,01,Baden-Wurttemberg,point,NA,1468.517
2020-05-04,17 day ahead inc death,2020-05-21,01,Baden-Wurttemberg,point,NA,0.123
2020-05-04,17 day ahead inc hosp,2020-05-21,01,Baden-Wurttemberg,point,NA,0.00947619047619048
2020-05-04,18 day ahead cum death,2020-05-22,01,Baden-Wurttemberg,point,NA,1468.578
2020-05-04,18 day ahead inc death,2020-05-22,01,Baden-Wurttemberg,point,NA,0.061
2020-05-04,18 day ahead inc hosp,2020-05-22,01,Baden-Wurttemberg,point,NA,0
2020-05-04,19 day ahead cum death,2020-05-23,01,Baden-Wurttemberg,point,NA,1468.611
2020-05-04,19 day ahead inc death,2020-05-23,01,Baden-Wurttemberg,point,NA,0.033
2020-05-04,19 day ahead inc hosp,2020-05-23,01,Baden-Wurttemberg,point,NA,0
2020-05-04,2 day ahead cum death,2020-05-06,01,Baden-Wurttemberg,point,NA,1424.282
2020-05-04,2 day ahead inc death,2020-05-06,01,Baden-Wurttemberg,point,NA,10.756
2020-05-04,2 day ahead inc hosp,2020-05-06,01,Baden-Wurttemberg,point,NA,15.4798572552448
2020-05-04,20 day ahead cum death,2020-05-24,01,Baden-Wurttemberg,point,NA,1468.623
2020-05-04,20 day ahead inc death,2020-05-24,01,Baden-Wurttemberg,point,NA,0.012
2020-05-04,20 day ahead inc hosp,2020-05-24,01,Baden-Wurttemberg,point,NA,0
2020-05-04,21 day ahead cum death,2020-05-25,01,Baden-Wurttemberg,point,NA,1468.627
