forecast_date,target,target_end_date,location,location_name,type,quantile,value
2020-10-22,-1 day ahead cum death,2020-10-21,GM,Germany,observed,NA,9843.98097518729
2020-10-22,-1 day ahead inc death,2020-10-21,GM,Germany,observed,NA,23.9152516567164
2020-10-22,-1 wk ahead cum death,2020-10-17,GM,Germany,observed,NA,6755
2020-10-22,0 day ahead cum death,2020-10-22,GM,Germany,observed,NA,9868.55443004063
2020-10-22,0 day ahead inc death,2020-10-22,GM,Germany,observed,NA,24.5734548533394
2020-10-22,0 wk ahead cum death,2020-10-24,GM,Germany,point,NA,9919.94765666198
2020-10-22,1 day ahead cum death,2020-10-23,GM,Germany,point,NA,9893.85391055315
2020-10-22,1 day ahead inc death,2020-10-23,GM,Germany,point,NA,25.2994805125208
2020-10-22,1 wk ahead cum death,2020-10-31,GM,Germany,point,NA,10131.4233659916
2020-10-22,10 day ahead cum death,2020-11-01,GM,Germany,point,NA,10166.6698215373
2020-10-22,10 day ahead inc death,2020-11-01,GM,Germany,point,NA,35.246455545706
2020-10-22,10 wk ahead cum death,2021-01-02,GM,Germany,point,NA,28817.3221213943
2020-10-22,100 day ahead cum death,2021-01-30,GM,Germany,point,NA,61788.8721197027
2020-10-22,100 day ahead inc death,2021-01-30,GM,Germany,point,NA,1311.44806875531
2020-10-22,101 day ahead cum death,2021-01-31,GM,Germany,point,NA,63103.7167339501
2020-10-22,101 day ahead inc death,2021-01-31,GM,Germany,point,NA,1314.84461424736
2020-10-22,102 day ahead cum death,2021-02-01,GM,Germany,point,NA,64421.3998192598
2020-10-22,102 day ahead inc death,2021-02-01,GM,Germany,point,NA,1317.68308530973
2020-10-22,11 day ahead cum death,2020-11-02,GM,Germany,point,NA,10203.4194907749
2020-10-22,11 day ahead inc death,2020-11-02,GM,Germany,point,NA,36.7496692376149
2020-10-22,12 day ahead cum death,2020-11-03,GM,Germany,point,NA,10241.7717734055
2020-10-22,12 day ahead inc death,2020-11-03,GM,Germany,point,NA,38.3522826306483
2020-10-22,13 day ahead cum death,2020-11-04,GM,Germany,point,NA,10281.8400820292
2020-10-22,13 day ahead inc death,2020-11-04,GM,Germany,point,NA,40.0683086236758
2020-10-22,14 day ahead cum death,2020-11-05,GM,Germany,point,NA,10323.7518713476
2020-10-22,14 day ahead inc death,2020-11-05,GM,Germany,point,NA,41.9117893184362
2020-10-22,15 day ahead cum death,2020-11-06,GM,Germany,point,NA,10367.6283725966
2020-10-22,15 day ahead inc death,2020-11-06,GM,Germany,point,NA,43.8765012489617
2020-10-22,16 day ahead cum death,2020-11-07,GM,Germany,point,NA,10413.5823746381
2020-10-22,16 day ahead inc death,2020-11-07,GM,Germany,point,NA,45.9540020414572
2020-10-22,17 day ahead cum death,2020-11-08,GM,Germany,point,NA,10461.7423131431
2020-10-22,17 day ahead inc death,2020-11-08,GM,Germany,point,NA,48.1599385050553
2020-10-22,18 day ahead cum death,2020-11-09,GM,Germany,point,NA,10512.2551590585
2020-10-22,18 day ahead inc death,2020-11-09,GM,Germany,point,NA,50.5128459153643
2020-10-22,19 day ahead cum death,2020-11-10,GM,Germany,point,NA,10565.2790298375
2020-10-22,19 day ahead inc death,2020-11-10,GM,Germany,point,NA,53.0238707789926
2020-10-22,2 day ahead cum death,2020-10-24,GM,Germany,point,NA,9919.94765666198
2020-10-22,2 day ahead inc death,2020-10-24,GM,Germany,point,NA,26.0937461088234
2020-10-22,2 wk ahead cum death,2020-11-07,GM,Germany,point,NA,10413.5823746381
2020-10-22,20 day ahead cum death,2020-11-11,GM,Germany,point,NA,10620.9915467694
2020-10-22,20 day ahead inc death,2020-11-11,GM,Germany,point,NA,55.7125169319173
2020-10-22,21 day ahead cum death,2020-11-12,GM,Germany,point,NA,10679.5928720346
2020-10-22,21 day ahead inc death,2020-11-12,GM,Germany,point,NA,58.6013252652011
2020-10-22,22 day ahead cum death,2020-11-13,GM,Germany,point,NA,10741.2773616101
2020-10-22,22 day ahead inc death,2020-11-13,GM,Germany,point,NA,61.6844895754566
2020-10-22,23 day ahead cum death,2020-11-14,GM,Germany,point,NA,10806.2298789257
2020-10-22,23 day ahead inc death,2020-11-14,GM,Germany,point,NA,64.9525173156576
2020-10-22,24 day ahead cum death,2020-11-15,GM,Germany,point,NA,10874.6597480077
2020-10-22,24 day ahead inc death,2020-11-15,GM,Germany,point,NA,68.429869081997
2020-10-22,25 day ahead cum death,2020-11-16,GM,Germany,point,NA,10946.8055942594
2020-10-22,25 day ahead inc death,2020-11-16,GM,Germany,point,NA,72.1458462516849
2020-10-22,26 day ahead cum death,2020-11-17,GM,Germany,point,NA,11022.9255724008
2020-10-22,26 day ahead inc death,2020-11-17,GM,Germany,point,NA,76.1199781413569
2020-10-22,27 day ahead cum death,2020-11-18,GM,Germany,point,NA,11103.3096470219
2020-10-22,27 day ahead inc death,2020-11-18,GM,Germany,point,NA,80.3840746211512
2020-10-22,28 day ahead cum death,2020-11-19,GM,Germany,point,NA,11188.2844620289
2020-10-22,28 day ahead inc death,2020-11-19,GM,Germany,point,NA,84.9748150070049
2020-10-22,29 day ahead cum death,2020-11-20,GM,Germany,point,NA,11278.1730621193
2020-10-22,29 day ahead inc death,2020-11-20,GM,Germany,point,NA,89.8886000904026
2020-10-22,3 day ahead cum death,2020-10-25,GM,Germany,point,NA,9946.91068211833
2020-10-22,3 day ahead inc death,2020-10-25,GM,Germany,point,NA,26.9630254563524
2020-10-22,3 wk ahead cum death,2020-11-14,GM,Germany,point,NA,10806.2298789257
2020-10-22,30 day ahead cum death,2020-11-21,GM,Germany,point,NA,11373.2891548956
2020-10-22,30 day ahead inc death,2020-11-21,GM,Germany,point,NA,95.1160927763135
2020-10-22,31 day ahead cum death,2020-11-22,GM,Germany,point,NA,11473.9862206037
2020-10-22,31 day ahead inc death,2020-11-22,GM,Germany,point,NA,100.69706570812
2020-10-22,32 day ahead cum death,2020-11-23,GM,Germany,point,NA,11580.6655387681
2020-10-22,32 day ahead inc death,2020-11-23,GM,Germany,point,NA,106.679318164328
2020-10-22,33 day ahead cum death,2020-11-24,GM,Germany,point,NA,11693.7633970632
2020-10-22,33 day ahead inc death,2020-11-24,GM,Germany,point,NA,113.097858295117
2020-10-22,34 day ahead cum death,2020-11-25,GM,Germany,point,NA,11813.7697469604
2020-10-22,34 day ahead inc death,2020-11-25,GM,Germany,point,NA,120.006349897213
2020-10-22,35 day ahead cum death,2020-11-26,GM,Germany,point,NA,11941.2360659786
2020-10-22,35 day ahead inc death,2020-11-26,GM,Germany,point,NA,127.466319018223
2020-10-22,36 day ahead cum death,2020-11-27,GM,Germany,point,NA,12076.7179628185
2020-10-22,36 day ahead inc death,2020-11-27,GM,Germany,point,NA,135.481896839831
2020-10-22,37 day ahead cum death,2020-11-28,GM,Germany,point,NA,12220.7666502347
2020-10-22,37 day ahead inc death,2020-11-28,GM,Germany,point,NA,144.048687416211
2020-10-22,38 day ahead cum death,2020-11-29,GM,Germany,point,NA,12374.001093635
2020-10-22,38 day ahead inc death,2020-11-29,GM,Germany,point,NA,153.234443400353
2020-10-22,39 day ahead cum death,2020-11-30,GM,Germany,point,NA,12537.1183039572
2020-10-22,39 day ahead inc death,2020-11-30,GM,Germany,point,NA,163.117210322145
2020-10-22,4 day ahead cum death,2020-10-26,GM,Germany,point,NA,9974.82900530305
2020-10-22,4 day ahead inc death,2020-10-26,GM,Germany,point,NA,27.9183231847235
2020-10-22,4 wk ahead cum death,2020-11-21,GM,Germany,point,NA,11373.2891548956
2020-10-22,40 day ahead cum death,2020-12-01,GM,Germany,point,NA,12710.7911775006
2020-10-22,40 day ahead inc death,2020-12-01,GM,Germany,point,NA,173.67287354347
2020-10-22,41 day ahead cum death,2020-12-02,GM,Germany,point,NA,12895.6706851483
2020-10-22,41 day ahead inc death,2020-12-02,GM,Germany,point,NA,184.879507647634
2020-10-22,42 day ahead cum death,2020-12-03,GM,Germany,point,NA,13092.6512269745
2020-10-22,42 day ahead inc death,2020-12-03,GM,Germany,point,NA,196.980541826229
2020-10-22,43 day ahead cum death,2020-12-04,GM,Germany,point,NA,13302.6791137707
2020-10-22,43 day ahead inc death,2020-12-04,GM,Germany,point,NA,210.027886796209
2020-10-22,44 day ahead cum death,2020-12-05,GM,Germany,point,NA,13526.5296501402
2020-10-22,44 day ahead inc death,2020-12-05,GM,Germany,point,NA,223.850536369461
2020-10-22,45 day ahead cum death,2020-12-06,GM,Germany,point,NA,13764.9637434787
2020-10-22,45 day ahead inc death,2020-12-06,GM,Germany,point,NA,238.434093338553
2020-10-22,46 day ahead cum death,2020-12-07,GM,Germany,point,NA,14018.8728247843
2020-10-22,46 day ahead inc death,2020-12-07,GM,Germany,point,NA,253.90908130554
2020-10-22,47 day ahead cum death,2020-12-08,GM,Germany,point,NA,14289.069160818
2020-10-22,47 day ahead inc death,2020-12-08,GM,Germany,point,NA,270.196336033752
2020-10-22,48 day ahead cum death,2020-12-09,GM,Germany,point,NA,14576.7077357129
2020-10-22,48 day ahead inc death,2020-12-09,GM,Germany,point,NA,287.638574894874
2020-10-22,49 day ahead cum death,2020-12-10,GM,Germany,point,NA,14882.9998433562
2020-10-22,49 day ahead inc death,2020-12-10,GM,Germany,point,NA,306.292107643287
2020-10-22,5 day ahead cum death,2020-10-27,GM,Germany,point,NA,10003.7868280854
2020-10-22,5 day ahead inc death,2020-10-27,GM,Germany,point,NA,28.957822782363
2020-10-22,5 wk ahead cum death,2020-11-28,GM,Germany,point,NA,12220.7666502347
2020-10-22,50 day ahead cum death,2020-12-11,GM,Germany,point,NA,15208.7640174053
2020-10-22,50 day ahead inc death,2020-12-11,GM,Germany,point,NA,325.764174049075
2020-10-22,51 day ahead cum death,2020-12-12,GM,Germany,point,NA,15555.091906576
2020-10-22,51 day ahead inc death,2020-12-12,GM,Germany,point,NA,346.327889170704
2020-10-22,52 day ahead cum death,2020-12-13,GM,Germany,point,NA,15923.0034317881
2020-10-22,52 day ahead inc death,2020-12-13,GM,Germany,point,NA,367.911525212149
2020-10-22,53 day ahead cum death,2020-12-14,GM,Germany,point,NA,16313.4831730253
