forecast_date,target,target_end_date,location,location_name,type,quantile,value
2020-11-12,-1 day ahead cum death,2020-11-11,PL,Poland,observed,NA,8823.8822325265
2020-11-12,-1 day ahead inc death,2020-11-11,PL,Poland,observed,NA,374.296990003504
2020-11-12,-1 wk ahead cum death,2020-11-07,PL,Poland,observed,NA,7636
2020-11-12,0 day ahead cum death,2020-11-12,PL,Poland,observed,NA,9208.3638110378
2020-11-12,0 day ahead inc death,2020-11-12,PL,Poland,observed,NA,384.481578511291
2020-11-12,0 wk ahead cum death,2020-11-14,PL,Poland,point,NA,10007.4305439674
2020-11-12,1 day ahead cum death,2020-11-13,PL,Poland,point,NA,9602.99328893312
2020-11-12,1 day ahead inc death,2020-11-13,PL,Poland,point,NA,394.629477895321
2020-11-12,1 wk ahead cum death,2020-11-21,PL,Poland,point,NA,13075.4376039421
2020-11-12,10 day ahead cum death,2020-11-22,PL,Poland,point,NA,13545.6848370403
2020-11-12,10 day ahead inc death,2020-11-22,PL,Poland,point,NA,470.247233098183
2020-11-12,100 day ahead cum death,2021-02-20,PL,Poland,point,NA,42906.094829332
2020-11-12,100 day ahead inc death,2021-02-20,PL,Poland,point,NA,185.505062195529
2020-11-12,101 day ahead cum death,2021-02-21,PL,Poland,point,NA,43089.6168873818
2020-11-12,101 day ahead inc death,2021-02-21,PL,Poland,point,NA,183.522058049809
2020-11-12,102 day ahead cum death,2021-02-22,PL,Poland,point,NA,43271.1973785117
2020-11-12,102 day ahead inc death,2021-02-22,PL,Poland,point,NA,181.580491129869
2020-11-12,103 day ahead cum death,2021-02-23,PL,Poland,point,NA,43450.8408796312
2020-11-12,103 day ahead inc death,2021-02-23,PL,Poland,point,NA,179.643501119496
2020-11-12,104 day ahead cum death,2021-02-24,PL,Poland,point,NA,43628.5343043618
2020-11-12,104 day ahead inc death,2021-02-24,PL,Poland,point,NA,177.693424730573
2020-11-12,105 day ahead cum death,2021-02-25,PL,Poland,point,NA,43804.2687197591
2020-11-12,105 day ahead inc death,2021-02-25,PL,Poland,point,NA,175.734415397348
2020-11-12,106 day ahead cum death,2021-02-26,PL,Poland,point,NA,43978.0294118515
