forecast_date,target,target_end_date,location,location_name,type,quantile,value
2020-07-11,-1 day ahead cum death,2020-07-10,PL,Poland,observed,NA,1562
2020-07-11,-1 day ahead inc death,2020-07-10,PL,Poland,observed,NA,11
2020-07-11,-1 wk ahead cum death,2020-07-04,PL,Poland,observed,NA,1512
2020-07-11,0 day ahead cum death,2020-07-11,PL,Poland,observed,NA,1568
2020-07-11,0 day ahead inc death,2020-07-11,PL,Poland,observed,NA,6
2020-07-11,0 wk ahead cum death,2020-07-11,PL,Poland,observed,NA,1568
2020-07-11,1 day ahead cum death,2020-07-12,PL,Poland,point,NA,1586.47638524807
2020-07-11,1 day ahead inc death,2020-07-12,PL,Poland,point,NA,9.15154710818963
2020-07-11,1 wk ahead cum death,2020-07-18,PL,Poland,point,NA,1638.06794819692
2020-07-11,10 day ahead cum death,2020-07-21,PL,Poland,point,NA,1661.56826753882
2020-07-11,10 day ahead inc death,2020-07-21,PL,Poland,point,NA,7.65008659664821
2020-07-11,10 wk ahead cum death,2020-09-19,PL,Poland,point,NA,1937.57879373719
2020-07-11,100 day ahead cum death,2020-10-19,PL,Poland,point,NA,2051.15338678854
2020-07-11,100 day ahead inc death,2020-10-19,PL,Poland,point,NA,4.68323886116
2020-07-11,101 day ahead cum death,2020-10-20,PL,Poland,point,NA,2055.94737173285
2020-07-11,101 day ahead inc death,2020-10-20,PL,Poland,point,NA,4.79398494431238
2020-07-11,102 day ahead cum death,2020-10-21,PL,Poland,point,NA,2060.86003522635
2020-07-11,102 day ahead inc death,2020-10-21,PL,Poland,point,NA,4.91266349349715
2020-07-11,103 day ahead cum death,2020-10-22,PL,Poland,point,NA,2065.90205865822
2020-07-11,103 day ahead inc death,2020-10-22,PL,Poland,point,NA,5.04202343186927
2020-07-11,104 day ahead cum death,2020-10-23,PL,Poland,point,NA,2071.08175766394
2020-07-11,104 day ahead inc death,2020-10-23,PL,Poland,point,NA,5.17969900572276
2020-07-11,105 day ahead cum death,2020-10-24,PL,Poland,point,NA,2076.40479607982
2020-07-11,105 day ahead inc death,2020-10-24,PL,Poland,point,NA,5.32303841587615
2020-07-11,106 day ahead cum death,2020-10-25,PL,Poland,point,NA,2081.87870587172
2020-07-11,106 day ahead inc death,2020-10-25,PL,Poland,point,NA,5.47390979189805
2020-07-11,107 day ahead cum death,2020-10-26,PL,Poland,point,NA,2087.51231542465
2020-07-11,107 day ahead inc death,2020-10-26,PL,Poland,point,NA,5.63360955292969
2020-07-11,108 day ahead cum death,2020-10-27,PL,Poland,point,NA,2093.31411370571
2020-07-11,108 day ahead inc death,2020-10-27,PL,Poland,point,NA,5.80179828105725
2020-07-11,109 day ahead cum death,2020-10-28,PL,Poland,point,NA,2099.29546272828
2020-07-11,109 day ahead inc death,2020-10-28,PL,Poland,point,NA,5.9813490225707
2020-07-11,11 day ahead cum death,2020-07-22,PL,Poland,point,NA,1669.04022355955
2020-07-11,11 day ahead inc death,2020-07-22,PL,Poland,point,NA,7.47195602073299
2020-07-11,11 wk ahead cum death,2020-09-26,PL,Poland,point,NA,1961.31702696288
2020-07-11,110 day ahead cum death,2020-10-29,PL,Poland,point,NA,2105.47144587914
2020-07-11,110 day ahead inc death,2020-10-29,PL,Poland,point,NA,6.17598315086095
2020-07-11,111 day ahead cum death,2020-10-30,PL,Poland,point,NA,2111.85427067844
2020-07-11,111 day ahead inc death,2020-10-30,PL,Poland,point,NA,6.38282479930133
2020-07-11,112 day ahead cum death,2020-10-31,PL,Poland,point,NA,2118.4527602137
2020-07-11,112 day ahead inc death,2020-10-31,PL,Poland,point,NA,6.59848953526575
2020-07-11,113 day ahead cum death,2020-11-01,PL,Poland,point,NA,2125.2782344801
2020-07-11,113 day ahead inc death,2020-11-01,PL,Poland,point,NA,6.82547426639168
2020-07-11,12 day ahead cum death,2020-07-23,PL,Poland,point,NA,1676.33201260703
2020-07-11,12 day ahead inc death,2020-07-23,PL,Poland,point,NA,7.29178904747379
2020-07-11,12 wk ahead cum death,2020-10-03,PL,Poland,point,NA,1985.90380701925
2020-07-11,13 day ahead cum death,2020-07-24,PL,Poland,point,NA,1683.44477356037
2020-07-11,13 day ahead inc death,2020-07-24,PL,Poland,point,NA,7.11276095334396
2020-07-11,13 wk ahead cum death,2020-10-10,PL,Poland,point,NA,2012.32708857461
2020-07-11,14 day ahead cum death,2020-07-25,PL,Poland,point,NA,1690.38390540113
2020-07-11,14 day ahead inc death,2020-07-25,PL,Poland,point,NA,6.93913184076253
2020-07-11,14 wk ahead cum death,2020-10-17,PL,Poland,point,NA,2041.89190468345
2020-07-11,15 day ahead cum death,2020-07-26,PL,Poland,point,NA,1697.15401135635
2020-07-11,15 day ahead inc death,2020-07-26,PL,Poland,point,NA,6.77010595521787
2020-07-11,15 wk ahead cum death,2020-10-24,PL,Poland,point,NA,2076.40479607982
2020-07-11,16 day ahead cum death,2020-07-27,PL,Poland,point,NA,1703.76337366903
2020-07-11,16 day ahead inc death,2020-07-27,PL,Poland,point,NA,6.60936231268215
2020-07-11,16 wk ahead cum death,2020-10-31,PL,Poland,point,NA,2118.4527602137
2020-07-11,17 day ahead cum death,2020-07-28,PL,Poland,point,NA,1710.22540969853
2020-07-11,17 day ahead inc death,2020-07-28,PL,Poland,point,NA,6.46203602949559
