forecast_date,target,target_end_date,location,location_name,type,quantile,value
2020-10-12,1 wk ahead inc case,2020-10-17,PL72,Dolnoslaskie,quantile,0.01,1306.99
2020-10-12,1 wk ahead inc case,2020-10-17,PL72,Dolnoslaskie,quantile,0.025,1335
2020-10-12,1 wk ahead inc case,2020-10-17,PL72,Dolnoslaskie,quantile,0.05,1359
2020-10-12,1 wk ahead inc case,2020-10-17,PL72,Dolnoslaskie,quantile,0.1,1392
2020-10-12,1 wk ahead inc case,2020-10-17,PL72,Dolnoslaskie,quantile,0.15,1413
2020-10-12,1 wk ahead inc case,2020-10-17,PL72,Dolnoslaskie,quantile,0.2,1431
2020-10-12,1 wk ahead inc case,2020-10-17,PL72,Dolnoslaskie,quantile,0.25,1444
2020-10-12,1 wk ahead inc case,2020-10-17,PL72,Dolnoslaskie,quantile,0.3,1457
2020-10-12,1 wk ahead inc case,2020-10-17,PL72,Dolnoslaskie,quantile,0.35,1470
2020-10-12,1 wk ahead inc case,2020-10-17,PL72,Dolnoslaskie,quantile,0.4,1481
2020-10-12,1 wk ahead inc case,2020-10-17,PL72,Dolnoslaskie,quantile,0.45,1495
2020-10-12,1 wk ahead inc case,2020-10-17,PL72,Dolnoslaskie,quantile,0.5,1505.5
2020-10-12,1 wk ahead inc case,2020-10-17,PL72,Dolnoslaskie,quantile,0.55,1516.45
2020-10-12,1 wk ahead inc case,2020-10-17,PL72,Dolnoslaskie,quantile,0.6,1526
2020-10-12,1 wk ahead inc case,2020-10-17,PL72,Dolnoslaskie,quantile,0.65,1541
2020-10-12,1 wk ahead inc case,2020-10-17,PL72,Dolnoslaskie,quantile,0.7,1559.3000000000002
2020-10-12,1 wk ahead inc case,2020-10-17,PL72,Dolnoslaskie,quantile,0.75,1581.25
2020-10-12,1 wk ahead inc case,2020-10-17,PL72,Dolnoslaskie,quantile,0.8,1602.6000000000001
2020-10-12,1 wk ahead inc case,2020-10-17,PL72,Dolnoslaskie,quantile,0.85,1627
2020-10-12,1 wk ahead inc case,2020-10-17,PL72,Dolnoslaskie,quantile,0.9,1655.1
2020-10-12,1 wk ahead inc case,2020-10-17,PL72,Dolnoslaskie,quantile,0.95,1707.0500000000002
2020-10-12,1 wk ahead inc case,2020-10-17,PL72,Dolnoslaskie,quantile,0.975,1747.1999999999998
2020-10-12,1 wk ahead inc case,2020-10-17,PL72,Dolnoslaskie,quantile,0.99,1796.01
2020-10-12,1 wk ahead inc case,2020-10-17,PL73,Kujawsko-Pomorskie,quantile,0.01,1852.95
2020-10-12,1 wk ahead inc case,2020-10-17,PL73,Kujawsko-Pomorskie,quantile,0.025,1888.8249999999998
2020-10-12,1 wk ahead inc case,2020-10-17,PL73,Kujawsko-Pomorskie,quantile,0.05,1925.75
2020-10-12,1 wk ahead inc case,2020-10-17,PL73,Kujawsko-Pomorskie,quantile,0.1,1956.9
2020-10-12,1 wk ahead inc case,2020-10-17,PL73,Kujawsko-Pomorskie,quantile,0.15,1991
2020-10-12,1 wk ahead inc case,2020-10-17,PL73,Kujawsko-Pomorskie,quantile,0.2,2018
2020-10-12,1 wk ahead inc case,2020-10-17,PL73,Kujawsko-Pomorskie,quantile,0.25,2040
2020-10-12,1 wk ahead inc case,2020-10-17,PL73,Kujawsko-Pomorskie,quantile,0.3,2060
2020-10-12,1 wk ahead inc case,2020-10-17,PL73,Kujawsko-Pomorskie,quantile,0.35,2079.65
2020-10-12,1 wk ahead inc case,2020-10-17,PL73,Kujawsko-Pomorskie,quantile,0.4,2094.6000000000004
2020-10-12,1 wk ahead inc case,2020-10-17,PL73,Kujawsko-Pomorskie,quantile,0.45,2123.55
2020-10-12,1 wk ahead inc case,2020-10-17,PL73,Kujawsko-Pomorskie,quantile,0.5,2142
2020-10-12,1 wk ahead inc case,2020-10-17,PL73,Kujawsko-Pomorskie,quantile,0.55,2161.45
2020-10-12,1 wk ahead inc case,2020-10-17,PL73,Kujawsko-Pomorskie,quantile,0.6,2182.4
2020-10-12,1 wk ahead inc case,2020-10-17,PL73,Kujawsko-Pomorskie,quantile,0.65,2206
2020-10-12,1 wk ahead inc case,2020-10-17,PL73,Kujawsko-Pomorskie,quantile,0.7,2236
2020-10-12,1 wk ahead inc case,2020-10-17,PL73,Kujawsko-Pomorskie,quantile,0.75,2268.25
2020-10-12,1 wk ahead inc case,2020-10-17,PL73,Kujawsko-Pomorskie,quantile,0.8,2291
2020-10-12,1 wk ahead inc case,2020-10-17,PL73,Kujawsko-Pomorskie,quantile,0.85,2333
2020-10-12,1 wk ahead inc case,2020-10-17,PL73,Kujawsko-Pomorskie,quantile,0.9,2371
2020-10-12,1 wk ahead inc case,2020-10-17,PL73,Kujawsko-Pomorskie,quantile,0.95,2437
2020-10-12,1 wk ahead inc case,2020-10-17,PL73,Kujawsko-Pomorskie,quantile,0.975,2489.0249999999996
2020-10-12,1 wk ahead inc case,2020-10-17,PL73,Kujawsko-Pomorskie,quantile,0.99,2554.1099999999997
2020-10-12,1 wk ahead inc case,2020-10-17,PL74,Lodzkie,quantile,0.01,1860.98
2020-10-12,1 wk ahead inc case,2020-10-17,PL74,Lodzkie,quantile,0.025,1901
2020-10-12,1 wk ahead inc case,2020-10-17,PL74,Lodzkie,quantile,0.05,1937
2020-10-12,1 wk ahead inc case,2020-10-17,PL74,Lodzkie,quantile,0.1,1966.8999999999999
2020-10-12,1 wk ahead inc case,2020-10-17,PL74,Lodzkie,quantile,0.15,1986.8500000000001
2020-10-12,1 wk ahead inc case,2020-10-17,PL74,Lodzkie,quantile,0.2,2009
2020-10-12,1 wk ahead inc case,2020-10-17,PL74,Lodzkie,quantile,0.25,2032
2020-10-12,1 wk ahead inc case,2020-10-17,PL74,Lodzkie,quantile,0.3,2052
2020-10-12,1 wk ahead inc case,2020-10-17,PL74,Lodzkie,quantile,0.35,2069.6499999999996
2020-10-12,1 wk ahead inc case,2020-10-17,PL74,Lodzkie,quantile,0.4,2090
2020-10-12,1 wk ahead inc case,2020-10-17,PL74,Lodzkie,quantile,0.45,2108
2020-10-12,1 wk ahead inc case,2020-10-17,PL74,Lodzkie,quantile,0.5,2128
2020-10-12,1 wk ahead inc case,2020-10-17,PL74,Lodzkie,quantile,0.55,2147
2020-10-12,1 wk ahead inc case,2020-10-17,PL74,Lodzkie,quantile,0.6,2166.4
2020-10-12,1 wk ahead inc case,2020-10-17,PL74,Lodzkie,quantile,0.65,2192
2020-10-12,1 wk ahead inc case,2020-10-17,PL74,Lodzkie,quantile,0.7,2214
2020-10-12,1 wk ahead inc case,2020-10-17,PL74,Lodzkie,quantile,0.75,2243
2020-10-12,1 wk ahead inc case,2020-10-17,PL74,Lodzkie,quantile,0.8,2269
2020-10-12,1 wk ahead inc case,2020-10-17,PL74,Lodzkie,quantile,0.85,2297.15
2020-10-12,1 wk ahead inc case,2020-10-17,PL74,Lodzkie,quantile,0.9,2338.1000000000004
2020-10-12,1 wk ahead inc case,2020-10-17,PL74,Lodzkie,quantile,0.95,2397.1
2020-10-12,1 wk ahead inc case,2020-10-17,PL74,Lodzkie,quantile,0.975,2441.125
2020-10-12,1 wk ahead inc case,2020-10-17,PL74,Lodzkie,quantile,0.99,2494.05
2020-10-12,1 wk ahead inc case,2020-10-17,PL75,Lubelskie,quantile,0.01,1457.97
2020-10-12,1 wk ahead inc case,2020-10-17,PL75,Lubelskie,quantile,0.025,1502
2020-10-12,1 wk ahead inc case,2020-10-17,PL75,Lubelskie,quantile,0.05,1538
2020-10-12,1 wk ahead inc case,2020-10-17,PL75,Lubelskie,quantile,0.1,1563.9
2020-10-12,1 wk ahead inc case,2020-10-17,PL75,Lubelskie,quantile,0.15,1583
2020-10-12,1 wk ahead inc case,2020-10-17,PL75,Lubelskie,quantile,0.2,1599.8
2020-10-12,1 wk ahead inc case,2020-10-17,PL75,Lubelskie,quantile,0.25,1615
2020-10-12,1 wk ahead inc case,2020-10-17,PL75,Lubelskie,quantile,0.3,1632.7
2020-10-12,1 wk ahead inc case,2020-10-17,PL75,Lubelskie,quantile,0.35,1646
2020-10-12,1 wk ahead inc case,2020-10-17,PL75,Lubelskie,quantile,0.4,1657
2020-10-12,1 wk ahead inc case,2020-10-17,PL75,Lubelskie,quantile,0.45,1671
