forecast_date,target,target_end_date,location,location_name,type,quantile,value
2020-11-30,1 wk ahead inc death,2020-12-05,PL72,Dolnoslaskie,quantile,0.01,325.7817298952323
2020-11-30,1 wk ahead inc death,2020-12-05,PL72,Dolnoslaskie,quantile,0.025,330.3503992873473
2020-11-30,1 wk ahead inc death,2020-12-05,PL72,Dolnoslaskie,quantile,0.05,334.38474319733604
2020-11-30,1 wk ahead inc death,2020-12-05,PL72,Dolnoslaskie,quantile,0.1,338.46086576300826
2020-11-30,1 wk ahead inc death,2020-12-05,PL72,Dolnoslaskie,quantile,0.15,341.6647320468483
2020-11-30,1 wk ahead inc death,2020-12-05,PL72,Dolnoslaskie,quantile,0.2,344.665340431322
2020-11-30,1 wk ahead inc death,2020-12-05,PL72,Dolnoslaskie,quantile,0.25,347.01106079462
2020-11-30,1 wk ahead inc death,2020-12-05,PL72,Dolnoslaskie,quantile,0.3,348.9351682714603
2020-11-30,1 wk ahead inc death,2020-12-05,PL72,Dolnoslaskie,quantile,0.35,350.38709280080064
2020-11-30,1 wk ahead inc death,2020-12-05,PL72,Dolnoslaskie,quantile,0.4,351.98600542439624
2020-11-30,1 wk ahead inc death,2020-12-05,PL72,Dolnoslaskie,quantile,0.45,353.465143310268
2020-11-30,1 wk ahead inc death,2020-12-05,PL72,Dolnoslaskie,quantile,0.5,354.88595211813396
2020-11-30,1 wk ahead inc death,2020-12-05,PL72,Dolnoslaskie,quantile,0.55,356.8812894509658
2020-11-30,1 wk ahead inc death,2020-12-05,PL72,Dolnoslaskie,quantile,0.6,359.089642786888
2020-11-30,1 wk ahead inc death,2020-12-05,PL72,Dolnoslaskie,quantile,0.65,360.877728837261
2020-11-30,1 wk ahead inc death,2020-12-05,PL72,Dolnoslaskie,quantile,0.7,362.8783295264712
2020-11-30,1 wk ahead inc death,2020-12-05,PL72,Dolnoslaskie,quantile,0.75,364.7419694064862
2020-11-30,1 wk ahead inc death,2020-12-05,PL72,Dolnoslaskie,quantile,0.8,367.54324014420206
2020-11-30,1 wk ahead inc death,2020-12-05,PL72,Dolnoslaskie,quantile,0.85,370.5606992701221
2020-11-30,1 wk ahead inc death,2020-12-05,PL72,Dolnoslaskie,quantile,0.9,374.12373147913155
2020-11-30,1 wk ahead inc death,2020-12-05,PL72,Dolnoslaskie,quantile,0.95,377.4509679724153
2020-11-30,1 wk ahead inc death,2020-12-05,PL72,Dolnoslaskie,quantile,0.975,381.0065211752247
2020-11-30,1 wk ahead inc death,2020-12-05,PL72,Dolnoslaskie,quantile,0.99,384.334813127406
2020-11-30,1 wk ahead inc death,2020-12-05,PL73,Kujawsko-Pomorskie,quantile,0.01,140.109978218837
2020-11-30,1 wk ahead inc death,2020-12-05,PL73,Kujawsko-Pomorskie,quantile,0.025,143.3479719922986
2020-11-30,1 wk ahead inc death,2020-12-05,PL73,Kujawsko-Pomorskie,quantile,0.05,145.48936147659364
2020-11-30,1 wk ahead inc death,2020-12-05,PL73,Kujawsko-Pomorskie,quantile,0.1,148.67924266376386
2020-11-30,1 wk ahead inc death,2020-12-05,PL73,Kujawsko-Pomorskie,quantile,0.15,150.46882572317637
2020-11-30,1 wk ahead inc death,2020-12-05,PL73,Kujawsko-Pomorskie,quantile,0.2,151.8530329020928
2020-11-30,1 wk ahead inc death,2020-12-05,PL73,Kujawsko-Pomorskie,quantile,0.25,153.1754621999484
2020-11-30,1 wk ahead inc death,2020-12-05,PL73,Kujawsko-Pomorskie,quantile,0.3,154.76170796118325
2020-11-30,1 wk ahead inc death,2020-12-05,PL73,Kujawsko-Pomorskie,quantile,0.35,155.98551037943255
2020-11-30,1 wk ahead inc death,2020-12-05,PL73,Kujawsko-Pomorskie,quantile,0.4,157.3747220277172
2020-11-30,1 wk ahead inc death,2020-12-05,PL73,Kujawsko-Pomorskie,quantile,0.45,158.22534967583067
2020-11-30,1 wk ahead inc death,2020-12-05,PL73,Kujawsko-Pomorskie,quantile,0.5,159.52650330284786
2020-11-30,1 wk ahead inc death,2020-12-05,PL73,Kujawsko-Pomorskie,quantile,0.55,160.91223302277083
2020-11-30,1 wk ahead inc death,2020-12-05,PL73,Kujawsko-Pomorskie,quantile,0.6,162.02572358409697
2020-11-30,1 wk ahead inc death,2020-12-05,PL73,Kujawsko-Pomorskie,quantile,0.65,163.15134560090837
2020-11-30,1 wk ahead inc death,2020-12-05,PL73,Kujawsko-Pomorskie,quantile,0.7,164.44757395352062
2020-11-30,1 wk ahead inc death,2020-12-05,PL73,Kujawsko-Pomorskie,quantile,0.75,165.6497539044544
2020-11-30,1 wk ahead inc death,2020-12-05,PL73,Kujawsko-Pomorskie,quantile,0.8,167.32724113082662
2020-11-30,1 wk ahead inc death,2020-12-05,PL73,Kujawsko-Pomorskie,quantile,0.85,169.5165895101837
2020-11-30,1 wk ahead inc death,2020-12-05,PL73,Kujawsko-Pomorskie,quantile,0.9,171.81432399403542
2020-11-30,1 wk ahead inc death,2020-12-05,PL73,Kujawsko-Pomorskie,quantile,0.95,175.08896957873785
2020-11-30,1 wk ahead inc death,2020-12-05,PL73,Kujawsko-Pomorskie,quantile,0.975,177.41222196401472
2020-11-30,1 wk ahead inc death,2020-12-05,PL73,Kujawsko-Pomorskie,quantile,0.99,180.51219479107104
2020-11-30,1 wk ahead inc death,2020-12-05,PL74,Lodzkie,quantile,0.01,163.11344976114103
2020-11-30,1 wk ahead inc death,2020-12-05,PL74,Lodzkie,quantile,0.025,165.57358840328888
2020-11-30,1 wk ahead inc death,2020-12-05,PL74,Lodzkie,quantile,0.05,168.30760363379514
2020-11-30,1 wk ahead inc death,2020-12-05,PL74,Lodzkie,quantile,0.1,171.2509929947621
2020-11-30,1 wk ahead inc death,2020-12-05,PL74,Lodzkie,quantile,0.15,173.34239218732
2020-11-30,1 wk ahead inc death,2020-12-05,PL74,Lodzkie,quantile,0.2,175.0095861579027
2020-11-30,1 wk ahead inc death,2020-12-05,PL74,Lodzkie,quantile,0.25,176.53565557019863
2020-11-30,1 wk ahead inc death,2020-12-05,PL74,Lodzkie,quantile,0.3,177.76027959797088
2020-11-30,1 wk ahead inc death,2020-12-05,PL74,Lodzkie,quantile,0.35,179.0009246037449
2020-11-30,1 wk ahead inc death,2020-12-05,PL74,Lodzkie,quantile,0.4,179.9169382432172
2020-11-30,1 wk ahead inc death,2020-12-05,PL74,Lodzkie,quantile,0.45,181.04115559415078
2020-11-30,1 wk ahead inc death,2020-12-05,PL74,Lodzkie,quantile,0.5,181.95824988304219
2020-11-30,1 wk ahead inc death,2020-12-05,PL74,Lodzkie,quantile,0.55,182.81104861469967
2020-11-30,1 wk ahead inc death,2020-12-05,PL74,Lodzkie,quantile,0.6,183.63994463487248
2020-11-30,1 wk ahead inc death,2020-12-05,PL74,Lodzkie,quantile,0.65,184.94706300840977
2020-11-30,1 wk ahead inc death,2020-12-05,PL74,Lodzkie,quantile,0.7,185.908946584679
2020-11-30,1 wk ahead inc death,2020-12-05,PL74,Lodzkie,quantile,0.75,187.14607623101284
2020-11-30,1 wk ahead inc death,2020-12-05,PL74,Lodzkie,quantile,0.8,188.71062160401902
2020-11-30,1 wk ahead inc death,2020-12-05,PL74,Lodzkie,quantile,0.85,190.15787719786408
2020-11-30,1 wk ahead inc death,2020-12-05,PL74,Lodzkie,quantile,0.9,192.33960349517847
2020-11-30,1 wk ahead inc death,2020-12-05,PL74,Lodzkie,quantile,0.95,195.4295286625632
2020-11-30,1 wk ahead inc death,2020-12-05,PL74,Lodzkie,quantile,0.975,198.49189905343158
2020-11-30,1 wk ahead inc death,2020-12-05,PL74,Lodzkie,quantile,0.99,202.46588042477853
2020-11-30,1 wk ahead inc death,2020-12-05,PL75,Lubelskie,quantile,0.01,121.29276390421995
2020-11-30,1 wk ahead inc death,2020-12-05,PL75,Lubelskie,quantile,0.025,123.76556991325246
2020-11-30,1 wk ahead inc death,2020-12-05,PL75,Lubelskie,quantile,0.05,126.45539560279394
2020-11-30,1 wk ahead inc death,2020-12-05,PL75,Lubelskie,quantile,0.1,128.9279972032049
2020-11-30,1 wk ahead inc death,2020-12-05,PL75,Lubelskie,quantile,0.15,130.64750428845315
2020-11-30,1 wk ahead inc death,2020-12-05,PL75,Lubelskie,quantile,0.2,132.3095161361012
2020-11-30,1 wk ahead inc death,2020-12-05,PL75,Lubelskie,quantile,0.25,133.6359319881401
2020-11-30,1 wk ahead inc death,2020-12-05,PL75,Lubelskie,quantile,0.3,134.75512795031815
2020-11-30,1 wk ahead inc death,2020-12-05,PL75,Lubelskie,quantile,0.35,135.78820423127377
2020-11-30,1 wk ahead inc death,2020-12-05,PL75,Lubelskie,quantile,0.4,136.5389699354719
2020-11-30,1 wk ahead inc death,2020-12-05,PL75,Lubelskie,quantile,0.45,137.69592217285702
2020-11-30,1 wk ahead inc death,2020-12-05,PL75,Lubelskie,quantile,0.5,138.67174554056933
2020-11-30,1 wk ahead inc death,2020-12-05,PL75,Lubelskie,quantile,0.55,139.40971371581338
2020-11-30,1 wk ahead inc death,2020-12-05,PL75,Lubelskie,quantile,0.6,140.23598223668185
2020-11-30,1 wk ahead inc death,2020-12-05,PL75,Lubelskie,quantile,0.65,140.8889029204289
2020-11-30,1 wk ahead inc death,2020-12-05,PL75,Lubelskie,quantile,0.7,142.0140401356405
2020-11-30,1 wk ahead inc death,2020-12-05,PL75,Lubelskie,quantile,0.75,143.41375673590363
2020-11-30,1 wk ahead inc death,2020-12-05,PL75,Lubelskie,quantile,0.8,144.57577551438501
2020-11-30,1 wk ahead inc death,2020-12-05,PL75,Lubelskie,quantile,0.85,146.01463338439726
2020-11-30,1 wk ahead inc death,2020-12-05,PL75,Lubelskie,quantile,0.9,148.1161432358634
