forecast_date,target,target_end_date,location,location_name,type,quantile,value
2020-12-28,1 wk ahead inc death,2021-01-02,GM01,Baden-Württemberg State,quantile,0.01,438.8795392670157
2020-12-28,1 wk ahead inc death,2021-01-02,GM01,Baden-Württemberg State,quantile,0.025,443.280650228002
2020-12-28,1 wk ahead inc death,2021-01-02,GM01,Baden-Württemberg State,quantile,0.05,447.38508528964695
2020-12-28,1 wk ahead inc death,2021-01-02,GM01,Baden-Württemberg State,quantile,0.1,451.6061205877385
2020-12-28,1 wk ahead inc death,2021-01-02,GM01,Baden-Württemberg State,quantile,0.15,454.4124370883296
2020-12-28,1 wk ahead inc death,2021-01-02,GM01,Baden-Württemberg State,quantile,0.2,456.71875696672856
2020-12-28,1 wk ahead inc death,2021-01-02,GM01,Baden-Württemberg State,quantile,0.25,458.4860327647357
2020-12-28,1 wk ahead inc death,2021-01-02,GM01,Baden-Württemberg State,quantile,0.3,460.1975139334571
2020-12-28,1 wk ahead inc death,2021-01-02,GM01,Baden-Württemberg State,quantile,0.35,462.14522884647863
2020-12-28,1 wk ahead inc death,2021-01-02,GM01,Baden-Württemberg State,quantile,0.4,463.6668603276473
2020-12-28,1 wk ahead inc death,2021-01-02,GM01,Baden-Württemberg State,quantile,0.45,465.0222057084951
2020-12-28,1 wk ahead inc death,2021-01-02,GM01,Baden-Württemberg State,quantile,0.5,466.8449079547373
2020-12-28,1 wk ahead inc death,2021-01-02,GM01,Baden-Württemberg State,quantile,0.55,468.6234605640939
2020-12-28,1 wk ahead inc death,2021-01-02,GM01,Baden-Württemberg State,quantile,0.6,470.38373247762195
2020-12-28,1 wk ahead inc death,2021-01-02,GM01,Baden-Württemberg State,quantile,0.65,472.0364397905759
2020-12-28,1 wk ahead inc death,2021-01-02,GM01,Baden-Württemberg State,quantile,0.7,473.26525249113325
2020-12-28,1 wk ahead inc death,2021-01-02,GM01,Baden-Württemberg State,quantile,0.75,474.6276558013849
2020-12-28,1 wk ahead inc death,2021-01-02,GM01,Baden-Württemberg State,quantile,0.8,476.75539942577274
2020-12-28,1 wk ahead inc death,2021-01-02,GM01,Baden-Württemberg State,quantile,0.85,479.61922141530135
2020-12-28,1 wk ahead inc death,2021-01-02,GM01,Baden-Württemberg State,quantile,0.9,482.3546259077859
2020-12-28,1 wk ahead inc death,2021-01-02,GM01,Baden-Württemberg State,quantile,0.95,485.9842003040027
2020-12-28,1 wk ahead inc death,2021-01-02,GM01,Baden-Württemberg State,quantile,0.975,490.297791758149
2020-12-28,1 wk ahead inc death,2021-01-02,GM01,Baden-Württemberg State,quantile,0.99,495.1179513595676
2020-12-28,1 wk ahead inc death,2021-01-02,GM02,Free State of Bavaria,quantile,0.01,612.3750819118391
2020-12-28,1 wk ahead inc death,2021-01-02,GM02,Free State of Bavaria,quantile,0.025,616.9233499408882
