forecast_date,target,target_end_date,location,location_name,type,quantile,value
2021-02-08,1 wk ahead inc case,2021-02-13,GM01,Baden-Württemberg State,quantile,0.01,5023.485289029348
2021-02-08,1 wk ahead inc case,2021-02-13,GM01,Baden-Württemberg State,quantile,0.025,5346.562750380838
2021-02-08,1 wk ahead inc case,2021-02-13,GM01,Baden-Württemberg State,quantile,0.05,5559.871770111644
2021-02-08,1 wk ahead inc case,2021-02-13,GM01,Baden-Württemberg State,quantile,0.1,5835.000800845528
2021-02-08,1 wk ahead inc case,2021-02-13,GM01,Baden-Württemberg State,quantile,0.15,6045.346304656614
2021-02-08,1 wk ahead inc case,2021-02-13,GM01,Baden-Württemberg State,quantile,0.2,6194.801198274622
2021-02-08,1 wk ahead inc case,2021-02-13,GM01,Baden-Württemberg State,quantile,0.25,6317.672639396197
2021-02-08,1 wk ahead inc case,2021-02-13,GM01,Baden-Württemberg State,quantile,0.3,6430.972708276968
2021-02-08,1 wk ahead inc case,2021-02-13,GM01,Baden-Württemberg State,quantile,0.35,6541.376009090277
2021-02-08,1 wk ahead inc case,2021-02-13,GM01,Baden-Württemberg State,quantile,0.4,6638.4627200458335
2021-02-08,1 wk ahead inc case,2021-02-13,GM01,Baden-Württemberg State,quantile,0.45,6758.099655931528
2021-02-08,1 wk ahead inc case,2021-02-13,GM01,Baden-Württemberg State,quantile,0.5,6889.765946365747
2021-02-08,1 wk ahead inc case,2021-02-13,GM01,Baden-Württemberg State,quantile,0.55,7022.5169729394875
2021-02-08,1 wk ahead inc case,2021-02-13,GM01,Baden-Württemberg State,quantile,0.6,7130.439645376959
2021-02-08,1 wk ahead inc case,2021-02-13,GM01,Baden-Württemberg State,quantile,0.65,7279.108895540796
2021-02-08,1 wk ahead inc case,2021-02-13,GM01,Baden-Württemberg State,quantile,0.7,7417.534129086236
2021-02-08,1 wk ahead inc case,2021-02-13,GM01,Baden-Württemberg State,quantile,0.75,7551.351057994727
2021-02-08,1 wk ahead inc case,2021-02-13,GM01,Baden-Württemberg State,quantile,0.8,7712.771989436145
2021-02-08,1 wk ahead inc case,2021-02-13,GM01,Baden-Württemberg State,quantile,0.85,7978.8653161248985
2021-02-08,1 wk ahead inc case,2021-02-13,GM01,Baden-Württemberg State,quantile,0.9,8419.62164711114
2021-02-08,1 wk ahead inc case,2021-02-13,GM01,Baden-Württemberg State,quantile,0.95,8803.863460131248
2021-02-08,1 wk ahead inc case,2021-02-13,GM01,Baden-Württemberg State,quantile,0.975,9074.168195179907
2021-02-08,1 wk ahead inc case,2021-02-13,GM01,Baden-Württemberg State,quantile,0.99,9788.129393317698
2021-02-08,1 wk ahead inc case,2021-02-13,GM02,Free State of Bavaria,quantile,0.01,7116.795000573705
2021-02-08,1 wk ahead inc case,2021-02-13,GM02,Free State of Bavaria,quantile,0.025,7522.093044179381
2021-02-08,1 wk ahead inc case,2021-02-13,GM02,Free State of Bavaria,quantile,0.05,7883.859321695167
2021-02-08,1 wk ahead inc case,2021-02-13,GM02,Free State of Bavaria,quantile,0.1,8299.276426092067
2021-02-08,1 wk ahead inc case,2021-02-13,GM02,Free State of Bavaria,quantile,0.15,8652.436745866626
2021-02-08,1 wk ahead inc case,2021-02-13,GM02,Free State of Bavaria,quantile,0.2,9039.73440183025
2021-02-08,1 wk ahead inc case,2021-02-13,GM02,Free State of Bavaria,quantile,0.25,9357.868738839954
2021-02-08,1 wk ahead inc case,2021-02-13,GM02,Free State of Bavaria,quantile,0.3,9634.521918793424
2021-02-08,1 wk ahead inc case,2021-02-13,GM02,Free State of Bavaria,quantile,0.35,9857.761228443876
2021-02-08,1 wk ahead inc case,2021-02-13,GM02,Free State of Bavaria,quantile,0.4,10113.338311207383
2021-02-08,1 wk ahead inc case,2021-02-13,GM02,Free State of Bavaria,quantile,0.45,10375.989078120825
2021-02-08,1 wk ahead inc case,2021-02-13,GM02,Free State of Bavaria,quantile,0.5,10644.886130589606
2021-02-08,1 wk ahead inc case,2021-02-13,GM02,Free State of Bavaria,quantile,0.55,10906.177534289167
2021-02-08,1 wk ahead inc case,2021-02-13,GM02,Free State of Bavaria,quantile,0.6,11148.633840408516
2021-02-08,1 wk ahead inc case,2021-02-13,GM02,Free State of Bavaria,quantile,0.65,11373.707959225923
2021-02-08,1 wk ahead inc case,2021-02-13,GM02,Free State of Bavaria,quantile,0.7,11671.178366229102
2021-02-08,1 wk ahead inc case,2021-02-13,GM02,Free State of Bavaria,quantile,0.75,12161.551864566769
2021-02-08,1 wk ahead inc case,2021-02-13,GM02,Free State of Bavaria,quantile,0.8,12610.558951265113
2021-02-08,1 wk ahead inc case,2021-02-13,GM02,Free State of Bavaria,quantile,0.85,13047.135940852244
2021-02-08,1 wk ahead inc case,2021-02-13,GM02,Free State of Bavaria,quantile,0.9,13626.919353525876
2021-02-08,1 wk ahead inc case,2021-02-13,GM02,Free State of Bavaria,quantile,0.95,14451.128410048459
2021-02-08,1 wk ahead inc case,2021-02-13,GM02,Free State of Bavaria,quantile,0.975,15195.620659474302
2021-02-08,1 wk ahead inc case,2021-02-13,GM02,Free State of Bavaria,quantile,0.99,16036.296008035664
2021-02-08,1 wk ahead inc case,2021-02-13,GM16,Berlin State,quantile,0.01,1768.0532322005286
2021-02-08,1 wk ahead inc case,2021-02-13,GM16,Berlin State,quantile,0.025,1877.8670238280065
2021-02-08,1 wk ahead inc case,2021-02-13,GM16,Berlin State,quantile,0.05,1967.5185886604365
2021-02-08,1 wk ahead inc case,2021-02-13,GM16,Berlin State,quantile,0.1,2054.8048487709398
2021-02-08,1 wk ahead inc case,2021-02-13,GM16,Berlin State,quantile,0.15,2127.4411707520203
2021-02-08,1 wk ahead inc case,2021-02-13,GM16,Berlin State,quantile,0.2,2185.134631617708
2021-02-08,1 wk ahead inc case,2021-02-13,GM16,Berlin State,quantile,0.25,2231.602889655269
2021-02-08,1 wk ahead inc case,2021-02-13,GM16,Berlin State,quantile,0.3,2284.409131823777
2021-02-08,1 wk ahead inc case,2021-02-13,GM16,Berlin State,quantile,0.35,2324.392055832727
2021-02-08,1 wk ahead inc case,2021-02-13,GM16,Berlin State,quantile,0.4,2369.388388288149
2021-02-08,1 wk ahead inc case,2021-02-13,GM16,Berlin State,quantile,0.45,2405.807111370087
2021-02-08,1 wk ahead inc case,2021-02-13,GM16,Berlin State,quantile,0.5,2449.8002104435577
2021-02-08,1 wk ahead inc case,2021-02-13,GM16,Berlin State,quantile,0.55,2483.0909612805917
2021-02-08,1 wk ahead inc case,2021-02-13,GM16,Berlin State,quantile,0.6,2529.190363539364
2021-02-08,1 wk ahead inc case,2021-02-13,GM16,Berlin State,quantile,0.65,2583.1423106279726
2021-02-08,1 wk ahead inc case,2021-02-13,GM16,Berlin State,quantile,0.7,2644.4476235502375
2021-02-08,1 wk ahead inc case,2021-02-13,GM16,Berlin State,quantile,0.75,2697.2277066934093
2021-02-08,1 wk ahead inc case,2021-02-13,GM16,Berlin State,quantile,0.8,2770.8587850569043
2021-02-08,1 wk ahead inc case,2021-02-13,GM16,Berlin State,quantile,0.85,2863.9012481127415
2021-02-08,1 wk ahead inc case,2021-02-13,GM16,Berlin State,quantile,0.9,2960.8797118091625
2021-02-08,1 wk ahead inc case,2021-02-13,GM16,Berlin State,quantile,0.95,3114.7371028515868
