forecast_date,target,target_end_date,location,type,quantile,value
2020-03-29,1 day ahead cum death,2020-03-30,Germany,point,NA,642
2020-03-29,1 day ahead inc death,2020-03-30,Germany,point,NA,109
2020-03-29,1 wk ahead cum death,2020-04-04,Germany,point,NA,1297
2020-03-29,1 wk ahead inc death,2020-04-04,Germany,point,NA,147
2020-03-29,2 day ahead cum death,2020-03-31,Germany,point,NA,762
2020-03-29,2 day ahead inc death,2020-03-31,Germany,point,NA,119
2020-03-29,3 day ahead cum death,2020-04-01,Germany,point,NA,886
2020-03-29,3 day ahead inc death,2020-04-01,Germany,point,NA,125
2020-03-29,4 day ahead cum death,2020-04-02,Germany,point,NA,1015
2020-03-29,4 day ahead inc death,2020-04-02,Germany,point,NA,128
2020-03-29,5 day ahead cum death,2020-04-03,Germany,point,NA,1150
2020-03-29,5 day ahead inc death,2020-04-03,Germany,point,NA,135
2020-03-29,6 day ahead cum death,2020-04-04,Germany,point,NA,1297
2020-03-29,6 day ahead inc death,2020-04-04,Germany,point,NA,147
2020-03-29,7 day ahead cum death,2020-04-05,Germany,point,NA,1457
2020-03-29,7 day ahead inc death,2020-04-05,Germany,point,NA,159
2020-03-29,1 day ahead cum death,2020-03-30,Germany,quantile,0.01,616
2020-03-29,1 day ahead cum death,2020-03-30,Germany,quantile,0.025,620
2020-03-29,1 day ahead cum death,2020-03-30,Germany,quantile,0.05,624
2020-03-29,1 day ahead cum death,2020-03-30,Germany,quantile,0.1,627
2020-03-29,1 day ahead cum death,2020-03-30,Germany,quantile,0.15,630
2020-03-29,1 day ahead cum death,2020-03-30,Germany,quantile,0.2,632
2020-03-29,1 day ahead cum death,2020-03-30,Germany,quantile,0.25,634
2020-03-29,1 day ahead cum death,2020-03-30,Germany,quantile,0.3,636
2020-03-29,1 day ahead cum death,2020-03-30,Germany,quantile,0.35,638
2020-03-29,1 day ahead cum death,2020-03-30,Germany,quantile,0.4,639
2020-03-29,1 day ahead cum death,2020-03-30,Germany,quantile,0.45,641
2020-03-29,1 day ahead cum death,2020-03-30,Germany,quantile,0.5,642
2020-03-29,1 day ahead cum death,2020-03-30,Germany,quantile,0.55,643
2020-03-29,1 day ahead cum death,2020-03-30,Germany,quantile,0.6,645
2020-03-29,1 day ahead cum death,2020-03-30,Germany,quantile,0.65,646
2020-03-29,1 day ahead cum death,2020-03-30,Germany,quantile,0.7,648
2020-03-29,1 day ahead cum death,2020-03-30,Germany,quantile,0.75,650
2020-03-29,1 day ahead cum death,2020-03-30,Germany,quantile,0.8,652
2020-03-29,1 day ahead cum death,2020-03-30,Germany,quantile,0.85,654
2020-03-29,1 day ahead cum death,2020-03-30,Germany,quantile,0.9,657
2020-03-29,1 day ahead cum death,2020-03-30,Germany,quantile,0.95,662
2020-03-29,1 day ahead cum death,2020-03-30,Germany,quantile,0.975,666
2020-03-29,1 day ahead cum death,2020-03-30,Germany,quantile,0.99,670
2020-03-29,1 day ahead inc death,2020-03-30,Germany,quantile,0.01,83
2020-03-29,1 day ahead inc death,2020-03-30,Germany,quantile,0.025,87
2020-03-29,1 day ahead inc death,2020-03-30,Germany,quantile,0.05,91
2020-03-29,1 day ahead inc death,2020-03-30,Germany,quantile,0.1,94
