forecast_date,target,target_end_date,location,location_name,type,quantile,value
2021-01-31,-1 day ahead cum death,2021-01-30,PL,Poland,observed,NA,36766
2021-01-31,-1 day ahead inc death,2021-01-30,PL,Poland,observed,NA,336
2021-01-31,-1 wk ahead cum death,2021-01-23,PL,Poland,observed,NA,34894
2021-01-31,-1 wk ahead inc death,2021-01-23,PL,Poland,observed,NA,2062
2021-01-31,0 day ahead cum death,2021-01-31,PL,Poland,observed,NA,37069
2021-01-31,0 day ahead inc death,2021-01-31,PL,Poland,observed,NA,303
2021-01-31,0 wk ahead cum death,2021-01-30,PL,Poland,observed,NA,36766
2021-01-31,0 wk ahead inc death,2021-01-30,PL,Poland,observed,NA,1872
2021-01-31,1 day ahead cum death,2021-02-01,PL,Poland,point,NA,37326
2021-01-31,1 day ahead inc death,2021-02-01,PL,Poland,point,NA,257
2021-01-31,1 wk ahead cum death,2021-02-06,PL,Poland,point,NA,38611
2021-01-31,1 wk ahead inc death,2021-02-06,PL,Poland,point,NA,1845
2021-01-31,2 day ahead cum death,2021-02-02,PL,Poland,point,NA,37588
2021-01-31,2 day ahead inc death,2021-02-02,PL,Poland,point,NA,257
2021-01-31,3 day ahead cum death,2021-02-03,PL,Poland,point,NA,37847
2021-01-31,3 day ahead inc death,2021-02-03,PL,Poland,point,NA,249
2021-01-31,4 day ahead cum death,2021-02-04,PL,Poland,point,NA,38103
2021-01-31,4 day ahead inc death,2021-02-04,PL,Poland,point,NA,243
2021-01-31,5 day ahead cum death,2021-02-05,PL,Poland,point,NA,38357
2021-01-31,5 day ahead inc death,2021-02-05,PL,Poland,point,NA,241
2021-01-31,6 day ahead cum death,2021-02-06,PL,Poland,point,NA,38611
2021-01-31,6 day ahead inc death,2021-02-06,PL,Poland,point,NA,241
2021-01-31,7 day ahead cum death,2021-02-07,PL,Poland,point,NA,38862
2021-01-31,7 day ahead inc death,2021-02-07,PL,Poland,point,NA,240
2021-01-31,1 day ahead cum death,2021-02-01,PL,Poland,quantile,0.01,37259
2021-01-31,1 day ahead cum death,2021-02-01,PL,Poland,quantile,0.025,37266
2021-01-31,1 day ahead cum death,2021-02-01,PL,Poland,quantile,0.05,37272
2021-01-31,1 day ahead cum death,2021-02-01,PL,Poland,quantile,0.1,37279
2021-01-31,1 day ahead cum death,2021-02-01,PL,Poland,quantile,0.15,37285
2021-01-31,1 day ahead cum death,2021-02-01,PL,Poland,quantile,0.2,37290
2021-01-31,1 day ahead cum death,2021-02-01,PL,Poland,quantile,0.25,37296
2021-01-31,1 day ahead cum death,2021-02-01,PL,Poland,quantile,0.3,37301
2021-01-31,1 day ahead cum death,2021-02-01,PL,Poland,quantile,0.35,37308
2021-01-31,1 day ahead cum death,2021-02-01,PL,Poland,quantile,0.4,37314
2021-01-31,1 day ahead cum death,2021-02-01,PL,Poland,quantile,0.45,37321
2021-01-31,1 day ahead cum death,2021-02-01,PL,Poland,quantile,0.5,37326
2021-01-31,1 day ahead cum death,2021-02-01,PL,Poland,quantile,0.55,37332
2021-01-31,1 day ahead cum death,2021-02-01,PL,Poland,quantile,0.6,37337
2021-01-31,1 day ahead cum death,2021-02-01,PL,Poland,quantile,0.65,37342
2021-01-31,1 day ahead cum death,2021-02-01,PL,Poland,quantile,0.7,37346
2021-01-31,1 day ahead cum death,2021-02-01,PL,Poland,quantile,0.75,37351
2021-01-31,1 day ahead cum death,2021-02-01,PL,Poland,quantile,0.8,37355
2021-01-31,1 day ahead cum death,2021-02-01,PL,Poland,quantile,0.85,37360
2021-01-31,1 day ahead cum death,2021-02-01,PL,Poland,quantile,0.9,37367
2021-01-31,1 day ahead cum death,2021-02-01,PL,Poland,quantile,0.95,37375
2021-01-31,1 day ahead cum death,2021-02-01,PL,Poland,quantile,0.975,37382
2021-01-31,1 day ahead cum death,2021-02-01,PL,Poland,quantile,0.99,37389
2021-01-31,1 day ahead inc death,2021-02-01,PL,Poland,quantile,0.01,190
2021-01-31,1 day ahead inc death,2021-02-01,PL,Poland,quantile,0.025,197
2021-01-31,1 day ahead inc death,2021-02-01,PL,Poland,quantile,0.05,203
2021-01-31,1 day ahead inc death,2021-02-01,PL,Poland,quantile,0.1,210
2021-01-31,1 day ahead inc death,2021-02-01,PL,Poland,quantile,0.15,216
2021-01-31,1 day ahead inc death,2021-02-01,PL,Poland,quantile,0.2,221
2021-01-31,1 day ahead inc death,2021-02-01,PL,Poland,quantile,0.25,227
2021-01-31,1 day ahead inc death,2021-02-01,PL,Poland,quantile,0.3,232
2021-01-31,1 day ahead inc death,2021-02-01,PL,Poland,quantile,0.35,239
2021-01-31,1 day ahead inc death,2021-02-01,PL,Poland,quantile,0.4,245
2021-01-31,1 day ahead inc death,2021-02-01,PL,Poland,quantile,0.45,252
2021-01-31,1 day ahead inc death,2021-02-01,PL,Poland,quantile,0.5,257
2021-01-31,1 day ahead inc death,2021-02-01,PL,Poland,quantile,0.55,263
2021-01-31,1 day ahead inc death,2021-02-01,PL,Poland,quantile,0.6,268
2021-01-31,1 day ahead inc death,2021-02-01,PL,Poland,quantile,0.65,273
2021-01-31,1 day ahead inc death,2021-02-01,PL,Poland,quantile,0.7,277
2021-01-31,1 day ahead inc death,2021-02-01,PL,Poland,quantile,0.75,282
2021-01-31,1 day ahead inc death,2021-02-01,PL,Poland,quantile,0.8,286
2021-01-31,1 day ahead inc death,2021-02-01,PL,Poland,quantile,0.85,291
2021-01-31,1 day ahead inc death,2021-02-01,PL,Poland,quantile,0.9,298
2021-01-31,1 day ahead inc death,2021-02-01,PL,Poland,quantile,0.95,306
2021-01-31,1 day ahead inc death,2021-02-01,PL,Poland,quantile,0.975,313
2021-01-31,1 day ahead inc death,2021-02-01,PL,Poland,quantile,0.99,320
2021-01-31,1 wk ahead cum death,2021-02-06,PL,Poland,quantile,0.01,38222
2021-01-31,1 wk ahead cum death,2021-02-06,PL,Poland,quantile,0.025,38237
2021-01-31,1 wk ahead cum death,2021-02-06,PL,Poland,quantile,0.05,38252
2021-01-31,1 wk ahead cum death,2021-02-06,PL,Poland,quantile,0.1,38271
2021-01-31,1 wk ahead cum death,2021-02-06,PL,Poland,quantile,0.15,38286
2021-01-31,1 wk ahead cum death,2021-02-06,PL,Poland,quantile,0.2,38300
2021-01-31,1 wk ahead cum death,2021-02-06,PL,Poland,quantile,0.25,38315
2021-01-31,1 wk ahead cum death,2021-02-06,PL,Poland,quantile,0.3,38336
2021-01-31,1 wk ahead cum death,2021-02-06,PL,Poland,quantile,0.35,38527
2021-01-31,1 wk ahead cum death,2021-02-06,PL,Poland,quantile,0.4,38574
2021-01-31,1 wk ahead cum death,2021-02-06,PL,Poland,quantile,0.45,38595
2021-01-31,1 wk ahead cum death,2021-02-06,PL,Poland,quantile,0.5,38611
2021-01-31,1 wk ahead cum death,2021-02-06,PL,Poland,quantile,0.55,38623
2021-01-31,1 wk ahead cum death,2021-02-06,PL,Poland,quantile,0.6,38634
2021-01-31,1 wk ahead cum death,2021-02-06,PL,Poland,quantile,0.65,38645
2021-01-31,1 wk ahead cum death,2021-02-06,PL,Poland,quantile,0.7,38655
2021-01-31,1 wk ahead cum death,2021-02-06,PL,Poland,quantile,0.75,38666
