forecast_date,target,target_end_date,location,location_name,type,quantile,value
2021-02-14,-1 day ahead cum death,2021-02-13,PL,Poland,observed,NA,40406
2021-02-14,-1 day ahead inc death,2021-02-13,PL,Poland,observed,NA,247
2021-02-14,-1 wk ahead cum death,2021-02-06,PL,Poland,observed,NA,38695
2021-02-14,-1 wk ahead inc death,2021-02-06,PL,Poland,observed,NA,1929
2021-02-14,0 day ahead cum death,2021-02-14,PL,Poland,observed,NA,40690
2021-02-14,0 day ahead inc death,2021-02-14,PL,Poland,observed,NA,284
2021-02-14,0 wk ahead cum death,2021-02-13,PL,Poland,observed,NA,40406
2021-02-14,0 wk ahead inc death,2021-02-13,PL,Poland,observed,NA,1711
2021-02-14,1 day ahead cum death,2021-02-15,PL,Poland,point,NA,40935
2021-02-14,1 day ahead inc death,2021-02-15,PL,Poland,point,NA,245
2021-02-14,1 wk ahead cum death,2021-02-20,PL,Poland,point,NA,42101
2021-02-14,1 wk ahead inc death,2021-02-20,PL,Poland,point,NA,1695
2021-02-14,2 day ahead cum death,2021-02-16,PL,Poland,point,NA,41173
2021-02-14,2 day ahead inc death,2021-02-16,PL,Poland,point,NA,239
2021-02-14,3 day ahead cum death,2021-02-17,PL,Poland,point,NA,41407
2021-02-14,3 day ahead inc death,2021-02-17,PL,Poland,point,NA,229
2021-02-14,4 day ahead cum death,2021-02-18,PL,Poland,point,NA,41640
2021-02-14,4 day ahead inc death,2021-02-18,PL,Poland,point,NA,225
2021-02-14,5 day ahead cum death,2021-02-19,PL,Poland,point,NA,41871
2021-02-14,5 day ahead inc death,2021-02-19,PL,Poland,point,NA,229
2021-02-14,6 day ahead cum death,2021-02-20,PL,Poland,point,NA,42101
2021-02-14,6 day ahead inc death,2021-02-20,PL,Poland,point,NA,234
2021-02-14,7 day ahead cum death,2021-02-21,PL,Poland,point,NA,42332
2021-02-14,7 day ahead inc death,2021-02-21,PL,Poland,point,NA,237
2021-02-14,1 day ahead cum death,2021-02-15,PL,Poland,quantile,0.01,40890
2021-02-14,1 day ahead cum death,2021-02-15,PL,Poland,quantile,0.025,40895
2021-02-14,1 day ahead cum death,2021-02-15,PL,Poland,quantile,0.05,40901
2021-02-14,1 day ahead cum death,2021-02-15,PL,Poland,quantile,0.1,40907
2021-02-14,1 day ahead cum death,2021-02-15,PL,Poland,quantile,0.15,40912
2021-02-14,1 day ahead cum death,2021-02-15,PL,Poland,quantile,0.2,40915
2021-02-14,1 day ahead cum death,2021-02-15,PL,Poland,quantile,0.25,40919
2021-02-14,1 day ahead cum death,2021-02-15,PL,Poland,quantile,0.3,40922
2021-02-14,1 day ahead cum death,2021-02-15,PL,Poland,quantile,0.35,40925
2021-02-14,1 day ahead cum death,2021-02-15,PL,Poland,quantile,0.4,40929
2021-02-14,1 day ahead cum death,2021-02-15,PL,Poland,quantile,0.45,40932
2021-02-14,1 day ahead cum death,2021-02-15,PL,Poland,quantile,0.5,40935
2021-02-14,1 day ahead cum death,2021-02-15,PL,Poland,quantile,0.55,40938
2021-02-14,1 day ahead cum death,2021-02-15,PL,Poland,quantile,0.6,40941
2021-02-14,1 day ahead cum death,2021-02-15,PL,Poland,quantile,0.65,40944
2021-02-14,1 day ahead cum death,2021-02-15,PL,Poland,quantile,0.7,40948
2021-02-14,1 day ahead cum death,2021-02-15,PL,Poland,quantile,0.75,40952
2021-02-14,1 day ahead cum death,2021-02-15,PL,Poland,quantile,0.8,40956
2021-02-14,1 day ahead cum death,2021-02-15,PL,Poland,quantile,0.85,40961
2021-02-14,1 day ahead cum death,2021-02-15,PL,Poland,quantile,0.9,40967
2021-02-14,1 day ahead cum death,2021-02-15,PL,Poland,quantile,0.95,40974
2021-02-14,1 day ahead cum death,2021-02-15,PL,Poland,quantile,0.975,40981
2021-02-14,1 day ahead cum death,2021-02-15,PL,Poland,quantile,0.99,40988
2021-02-14,1 day ahead inc death,2021-02-15,PL,Poland,quantile,0.01,200
2021-02-14,1 day ahead inc death,2021-02-15,PL,Poland,quantile,0.025,205
2021-02-14,1 day ahead inc death,2021-02-15,PL,Poland,quantile,0.05,211
2021-02-14,1 day ahead inc death,2021-02-15,PL,Poland,quantile,0.1,217
2021-02-14,1 day ahead inc death,2021-02-15,PL,Poland,quantile,0.15,222
2021-02-14,1 day ahead inc death,2021-02-15,PL,Poland,quantile,0.2,225
2021-02-14,1 day ahead inc death,2021-02-15,PL,Poland,quantile,0.25,229
2021-02-14,1 day ahead inc death,2021-02-15,PL,Poland,quantile,0.3,232
2021-02-14,1 day ahead inc death,2021-02-15,PL,Poland,quantile,0.35,235
2021-02-14,1 day ahead inc death,2021-02-15,PL,Poland,quantile,0.4,239
2021-02-14,1 day ahead inc death,2021-02-15,PL,Poland,quantile,0.45,242
2021-02-14,1 day ahead inc death,2021-02-15,PL,Poland,quantile,0.5,245
2021-02-14,1 day ahead inc death,2021-02-15,PL,Poland,quantile,0.55,248
2021-02-14,1 day ahead inc death,2021-02-15,PL,Poland,quantile,0.6,251
2021-02-14,1 day ahead inc death,2021-02-15,PL,Poland,quantile,0.65,254
2021-02-14,1 day ahead inc death,2021-02-15,PL,Poland,quantile,0.7,258
2021-02-14,1 day ahead inc death,2021-02-15,PL,Poland,quantile,0.75,262
2021-02-14,1 day ahead inc death,2021-02-15,PL,Poland,quantile,0.8,266
2021-02-14,1 day ahead inc death,2021-02-15,PL,Poland,quantile,0.85,271
2021-02-14,1 day ahead inc death,2021-02-15,PL,Poland,quantile,0.9,277
2021-02-14,1 day ahead inc death,2021-02-15,PL,Poland,quantile,0.95,284
2021-02-14,1 day ahead inc death,2021-02-15,PL,Poland,quantile,0.975,291
