forecast_date,target,target_end_date,location,location_name,type,quantile,value
2020-11-15,-1 day ahead cum death,2020-11-14,GM,Germany,observed,NA,12378
2020-11-15,-1 day ahead inc death,2020-11-14,GM,Germany,observed,NA,178
2020-11-15,-1 wk ahead cum death,2020-11-07,GM,Germany,observed,NA,11226
2020-11-15,-1 wk ahead inc death,2020-11-07,GM,Germany,observed,NA,774
2020-11-15,0 day ahead cum death,2020-11-15,GM,Germany,observed,NA,12485
2020-11-15,0 day ahead inc death,2020-11-15,GM,Germany,observed,NA,107
2020-11-15,0 wk ahead cum death,2020-11-14,GM,Germany,observed,NA,12378
2020-11-15,0 wk ahead inc death,2020-11-14,GM,Germany,observed,NA,1152
2020-11-15,1 day ahead cum death,2020-11-16,GM,Germany,point,NA,12673
2020-11-15,1 day ahead inc death,2020-11-16,GM,Germany,point,NA,188
2020-11-15,1 wk ahead cum death,2020-11-21,GM,Germany,point,NA,13674
2020-11-15,1 wk ahead inc death,2020-11-21,GM,Germany,point,NA,1296
2020-11-15,2 day ahead cum death,2020-11-17,GM,Germany,point,NA,12857
2020-11-15,2 day ahead inc death,2020-11-17,GM,Germany,point,NA,191
2020-11-15,3 day ahead cum death,2020-11-18,GM,Germany,point,NA,13043
2020-11-15,3 day ahead inc death,2020-11-18,GM,Germany,point,NA,195
2020-11-15,4 day ahead cum death,2020-11-19,GM,Germany,point,NA,13241
2020-11-15,4 day ahead inc death,2020-11-19,GM,Germany,point,NA,203
2020-11-15,5 day ahead cum death,2020-11-20,GM,Germany,point,NA,13452
2020-11-15,5 day ahead inc death,2020-11-20,GM,Germany,point,NA,214
2020-11-15,6 day ahead cum death,2020-11-21,GM,Germany,point,NA,13674
2020-11-15,6 day ahead inc death,2020-11-21,GM,Germany,point,NA,224
2020-11-15,7 day ahead cum death,2020-11-22,GM,Germany,point,NA,13909
2020-11-15,7 day ahead inc death,2020-11-22,GM,Germany,point,NA,235
2020-11-15,1 day ahead cum death,2020-11-16,GM,Germany,quantile,0.01,12628
2020-11-15,1 day ahead cum death,2020-11-16,GM,Germany,quantile,0.025,12634
2020-11-15,1 day ahead cum death,2020-11-16,GM,Germany,quantile,0.05,12640
2020-11-15,1 day ahead cum death,2020-11-16,GM,Germany,quantile,0.1,12646
2020-11-15,1 day ahead cum death,2020-11-16,GM,Germany,quantile,0.15,12651
2020-11-15,1 day ahead cum death,2020-11-16,GM,Germany,quantile,0.2,12654
2020-11-15,1 day ahead cum death,2020-11-16,GM,Germany,quantile,0.25,12658
2020-11-15,1 day ahead cum death,2020-11-16,GM,Germany,quantile,0.3,12661
2020-11-15,1 day ahead cum death,2020-11-16,GM,Germany,quantile,0.35,12664
2020-11-15,1 day ahead cum death,2020-11-16,GM,Germany,quantile,0.4,12666
2020-11-15,1 day ahead cum death,2020-11-16,GM,Germany,quantile,0.45,12670
2020-11-15,1 day ahead cum death,2020-11-16,GM,Germany,quantile,0.5,12673
2020-11-15,1 day ahead cum death,2020-11-16,GM,Germany,quantile,0.55,12677
2020-11-15,1 day ahead cum death,2020-11-16,GM,Germany,quantile,0.6,12682
2020-11-15,1 day ahead cum death,2020-11-16,GM,Germany,quantile,0.65,12689
2020-11-15,1 day ahead cum death,2020-11-16,GM,Germany,quantile,0.7,12695
2020-11-15,1 day ahead cum death,2020-11-16,GM,Germany,quantile,0.75,12702
2020-11-15,1 day ahead cum death,2020-11-16,GM,Germany,quantile,0.8,12708
2020-11-15,1 day ahead cum death,2020-11-16,GM,Germany,quantile,0.85,12713
2020-11-15,1 day ahead cum death,2020-11-16,GM,Germany,quantile,0.9,12719
2020-11-15,1 day ahead cum death,2020-11-16,GM,Germany,quantile,0.95,12728
2020-11-15,1 day ahead cum death,2020-11-16,GM,Germany,quantile,0.975,12734
2020-11-15,1 day ahead cum death,2020-11-16,GM,Germany,quantile,0.99,12743
2020-11-15,1 day ahead inc death,2020-11-16,GM,Germany,quantile,0.01,143
2020-11-15,1 day ahead inc death,2020-11-16,GM,Germany,quantile,0.025,149
2020-11-15,1 day ahead inc death,2020-11-16,GM,Germany,quantile,0.05,155
2020-11-15,1 day ahead inc death,2020-11-16,GM,Germany,quantile,0.1,161
2020-11-15,1 day ahead inc death,2020-11-16,GM,Germany,quantile,0.15,166
2020-11-15,1 day ahead inc death,2020-11-16,GM,Germany,quantile,0.2,169
2020-11-15,1 day ahead inc death,2020-11-16,GM,Germany,quantile,0.25,173
2020-11-15,1 day ahead inc death,2020-11-16,GM,Germany,quantile,0.3,176
2020-11-15,1 day ahead inc death,2020-11-16,GM,Germany,quantile,0.35,179
2020-11-15,1 day ahead inc death,2020-11-16,GM,Germany,quantile,0.4,181
2020-11-15,1 day ahead inc death,2020-11-16,GM,Germany,quantile,0.45,185
2020-11-15,1 day ahead inc death,2020-11-16,GM,Germany,quantile,0.5,188
2020-11-15,1 day ahead inc death,2020-11-16,GM,Germany,quantile,0.55,192
2020-11-15,1 day ahead inc death,2020-11-16,GM,Germany,quantile,0.6,197
2020-11-15,1 day ahead inc death,2020-11-16,GM,Germany,quantile,0.65,204
2020-11-15,1 day ahead inc death,2020-11-16,GM,Germany,quantile,0.7,210
2020-11-15,1 day ahead inc death,2020-11-16,GM,Germany,quantile,0.75,217
2020-11-15,1 day ahead inc death,2020-11-16,GM,Germany,quantile,0.8,223
2020-11-15,1 day ahead inc death,2020-11-16,GM,Germany,quantile,0.85,228
2020-11-15,1 day ahead inc death,2020-11-16,GM,Germany,quantile,0.9,234
2020-11-15,1 day ahead inc death,2020-11-16,GM,Germany,quantile,0.95,243
2020-11-15,1 day ahead inc death,2020-11-16,GM,Germany,quantile,0.975,249
2020-11-15,1 day ahead inc death,2020-11-16,GM,Germany,quantile,0.99,258
2020-11-15,1 wk ahead cum death,2020-11-21,GM,Germany,quantile,0.01,13468
2020-11-15,1 wk ahead cum death,2020-11-21,GM,Germany,quantile,0.025,13483
2020-11-15,1 wk ahead cum death,2020-11-21,GM,Germany,quantile,0.05,13496
2020-11-15,1 wk ahead cum death,2020-11-21,GM,Germany,quantile,0.1,13514
2020-11-15,1 wk ahead cum death,2020-11-21,GM,Germany,quantile,0.15,13529
2020-11-15,1 wk ahead cum death,2020-11-21,GM,Germany,quantile,0.2,13542
2020-11-15,1 wk ahead cum death,2020-11-21,GM,Germany,quantile,0.25,13556
2020-11-15,1 wk ahead cum death,2020-11-21,GM,Germany,quantile,0.3,13576
2020-11-15,1 wk ahead cum death,2020-11-21,GM,Germany,quantile,0.35,13607
2020-11-15,1 wk ahead cum death,2020-11-21,GM,Germany,quantile,0.4,13635
2020-11-15,1 wk ahead cum death,2020-11-21,GM,Germany,quantile,0.45,13656
2020-11-15,1 wk ahead cum death,2020-11-21,GM,Germany,quantile,0.5,13674
2020-11-15,1 wk ahead cum death,2020-11-21,GM,Germany,quantile,0.55,13695
2020-11-15,1 wk ahead cum death,2020-11-21,GM,Germany,quantile,0.6,13722
