forecast_date,target,target_end_date,location,type,quantile,value,location_name
2020-06-22,-1 day ahead cum death,2020-06-21,GM,observed,NA,8882,Germany
2020-06-22,-1 wk ahead cum death,2020-06-13,GM,observed,NA,8781,Germany
2020-06-22,0 day ahead cum death,2020-06-22,GM,observed,NA,8885,Germany
2020-06-22,0 wk ahead cum death,2020-06-20,GM,observed,NA,8882,Germany
2020-06-22,1 day ahead cum death,2020-06-23,GM,point,NA,8902.47668035849,Germany
2020-06-22,2 day ahead cum death,2020-06-24,GM,point,NA,8954.45891592165,Germany
2020-06-22,3 day ahead cum death,2020-06-25,GM,point,NA,9004.7185941048,Germany
2020-06-22,4 day ahead cum death,2020-06-26,GM,point,NA,9053.28102978858,Germany
2020-06-22,5 day ahead cum death,2020-06-27,GM,point,NA,9100.17190034354,Germany
2020-06-22,6 day ahead cum death,2020-06-28,GM,point,NA,9145.41724688884,Germany
2020-06-22,7 day ahead cum death,2020-06-29,GM,point,NA,9189.04389080472,Germany
2020-06-22,8 day ahead cum death,2020-06-30,GM,point,NA,9231.08193535669,Germany
2020-06-22,9 day ahead cum death,2020-07-01,GM,point,NA,9271.56278075568,Germany
2020-06-22,10 day ahead cum death,2020-07-02,GM,point,NA,9310.51778079321,Germany
2020-06-22,11 day ahead cum death,2020-07-03,GM,point,NA,9347.97824059414,Germany
2020-06-22,12 day ahead cum death,2020-07-04,GM,point,NA,9383.97581451709,Germany
2020-06-22,13 day ahead cum death,2020-07-05,GM,point,NA,9418.544640428,Germany
2020-06-22,14 day ahead cum death,2020-07-06,GM,point,NA,9451.71952833492,Germany
2020-06-22,15 day ahead cum death,2020-07-07,GM,point,NA,9483.53489431504,Germany
2020-06-22,16 day ahead cum death,2020-07-08,GM,point,NA,9514.02476042214,Germany
2020-06-22,17 day ahead cum death,2020-07-09,GM,point,NA,9543.22335357873,Germany
2020-06-22,18 day ahead cum death,2020-07-10,GM,point,NA,9571.16671834661,Germany
2020-06-22,19 day ahead cum death,2020-07-11,GM,point,NA,9597.89078086725,Germany
2020-06-22,20 day ahead cum death,2020-07-12,GM,point,NA,9623.43080490233,Germany
2020-06-22,21 day ahead cum death,2020-07-13,GM,point,NA,9647.8214091551,Germany
2020-06-22,22 day ahead cum death,2020-07-14,GM,point,NA,9671.09763979878,Germany
2020-06-22,23 day ahead cum death,2020-07-15,GM,point,NA,9693.29542959828,Germany
2020-06-22,24 day ahead cum death,2020-07-16,GM,point,NA,9714.44998753607,Germany
2020-06-22,25 day ahead cum death,2020-07-17,GM,point,NA,9734.59566804502,Germany
2020-06-22,26 day ahead cum death,2020-07-18,GM,point,NA,9753.76618715795,Germany
2020-06-22,27 day ahead cum death,2020-07-19,GM,point,NA,9771.9959503208,Germany
2020-06-22,28 day ahead cum death,2020-07-20,GM,point,NA,9789.31905996998,Germany
2020-06-22,29 day ahead cum death,2020-07-21,GM,point,NA,9805.7686378539,Germany
2020-06-22,30 day ahead cum death,2020-07-22,GM,point,NA,9821.37685185604,Germany
2020-06-22,1 wk ahead cum death,2020-06-27,GM,point,NA,9100.17190034354,Germany
2020-06-22,2 wk ahead cum death,2020-07-04,GM,point,NA,9383.97581451709,Germany
2020-06-22,3 wk ahead cum death,2020-07-11,GM,point,NA,9597.89078086725,Germany
2020-06-22,4 wk ahead cum death,2020-07-18,GM,point,NA,9753.76618715795,Germany
