"forecast_date","target","target_end_date","location","type","quantile","value","location_name"
2020-06-01,"-1 wk ahead inc case",2020-05-23,"PL","observed",NA,2603,"Poland"
2020-06-01,"0 wk ahead inc case",2020-05-30,"PL","observed",NA,2536,"Poland"
2020-06-01,"1 wk ahead inc case",2020-06-06,"PL","point",NA,2527,"Poland"
2020-06-01,"2 wk ahead inc case",2020-06-13,"PL","point",NA,2527,"Poland"
2020-06-01,"3 wk ahead inc case",2020-06-20,"PL","point",NA,2527,"Poland"
2020-06-01,"4 wk ahead inc case",2020-06-27,"PL","point",NA,2527,"Poland"
2020-06-01,"1 wk ahead inc case",2020-06-06,"PL","quantile",0.01,1973,"Poland"
2020-06-01,"1 wk ahead inc case",2020-06-06,"PL","quantile",0.025,2054,"Poland"
2020-06-01,"1 wk ahead inc case",2020-06-06,"PL","quantile",0.05,2126,"Poland"
2020-06-01,"1 wk ahead inc case",2020-06-06,"PL","quantile",0.1,2211,"Poland"
2020-06-01,"1 wk ahead inc case",2020-06-06,"PL","quantile",0.15,2269,"Poland"
2020-06-01,"1 wk ahead inc case",2020-06-06,"PL","quantile",0.2,2316,"Poland"
2020-06-01,"1 wk ahead inc case",2020-06-06,"PL","quantile",0.25,2357,"Poland"
2020-06-01,"1 wk ahead inc case",2020-06-06,"PL","quantile",0.3,2394,"Poland"
2020-06-01,"1 wk ahead inc case",2020-06-06,"PL","quantile",0.35,2429,"Poland"
2020-06-01,"1 wk ahead inc case",2020-06-06,"PL","quantile",0.4,2463,"Poland"
2020-06-01,"1 wk ahead inc case",2020-06-06,"PL","quantile",0.45,2495,"Poland"
2020-06-01,"1 wk ahead inc case",2020-06-06,"PL","quantile",0.5,2527,"Poland"
2020-06-01,"1 wk ahead inc case",2020-06-06,"PL","quantile",0.55,2560,"Poland"
2020-06-01,"1 wk ahead inc case",2020-06-06,"PL","quantile",0.6,2593,"Poland"
2020-06-01,"1 wk ahead inc case",2020-06-06,"PL","quantile",0.65,2628,"Poland"
2020-06-01,"1 wk ahead inc case",2020-06-06,"PL","quantile",0.7,2665,"Poland"
2020-06-01,"1 wk ahead inc case",2020-06-06,"PL","quantile",0.75,2705,"Poland"
2020-06-01,"1 wk ahead inc case",2020-06-06,"PL","quantile",0.8,2751,"Poland"
2020-06-01,"1 wk ahead inc case",2020-06-06,"PL","quantile",0.85,2804,"Poland"
2020-06-01,"1 wk ahead inc case",2020-06-06,"PL","quantile",0.9,2872,"Poland"
2020-06-01,"1 wk ahead inc case",2020-06-06,"PL","quantile",0.95,2975,"Poland"
2020-06-01,"1 wk ahead inc case",2020-06-06,"PL","quantile",0.975,3067,"Poland"
2020-06-01,"1 wk ahead inc case",2020-06-06,"PL","quantile",0.99,3175,"Poland"
2020-06-01,"2 wk ahead inc case",2020-06-13,"PL","quantile",0.01,1973,"Poland"
2020-06-01,"2 wk ahead inc case",2020-06-13,"PL","quantile",0.025,2054,"Poland"
2020-06-01,"2 wk ahead inc case",2020-06-13,"PL","quantile",0.05,2126,"Poland"
2020-06-01,"2 wk ahead inc case",2020-06-13,"PL","quantile",0.1,2211,"Poland"
2020-06-01,"2 wk ahead inc case",2020-06-13,"PL","quantile",0.15,2269,"Poland"
2020-06-01,"2 wk ahead inc case",2020-06-13,"PL","quantile",0.2,2316,"Poland"
2020-06-01,"2 wk ahead inc case",2020-06-13,"PL","quantile",0.25,2357,"Poland"
2020-06-01,"2 wk ahead inc case",2020-06-13,"PL","quantile",0.3,2394,"Poland"
2020-06-01,"2 wk ahead inc case",2020-06-13,"PL","quantile",0.35,2429,"Poland"
2020-06-01,"2 wk ahead inc case",2020-06-13,"PL","quantile",0.4,2463,"Poland"
2020-06-01,"2 wk ahead inc case",2020-06-13,"PL","quantile",0.45,2495,"Poland"
2020-06-01,"2 wk ahead inc case",2020-06-13,"PL","quantile",0.5,2527,"Poland"
2020-06-01,"2 wk ahead inc case",2020-06-13,"PL","quantile",0.55,2560,"Poland"
2020-06-01,"2 wk ahead inc case",2020-06-13,"PL","quantile",0.6,2593,"Poland"
2020-06-01,"2 wk ahead inc case",2020-06-13,"PL","quantile",0.65,2628,"Poland"
2020-06-01,"2 wk ahead inc case",2020-06-13,"PL","quantile",0.7,2665,"Poland"
2020-06-01,"2 wk ahead inc case",2020-06-13,"PL","quantile",0.75,2705,"Poland"
2020-06-01,"2 wk ahead inc case",2020-06-13,"PL","quantile",0.8,2751,"Poland"
2020-06-01,"2 wk ahead inc case",2020-06-13,"PL","quantile",0.85,2804,"Poland"
2020-06-01,"2 wk ahead inc case",2020-06-13,"PL","quantile",0.9,2872,"Poland"
2020-06-01,"2 wk ahead inc case",2020-06-13,"PL","quantile",0.95,2975,"Poland"
2020-06-01,"2 wk ahead inc case",2020-06-13,"PL","quantile",0.975,3067,"Poland"
2020-06-01,"2 wk ahead inc case",2020-06-13,"PL","quantile",0.99,3175,"Poland"
2020-06-01,"3 wk ahead inc case",2020-06-20,"PL","quantile",0.01,1973,"Poland"
2020-06-01,"3 wk ahead inc case",2020-06-20,"PL","quantile",0.025,2054,"Poland"
2020-06-01,"3 wk ahead inc case",2020-06-20,"PL","quantile",0.05,2126,"Poland"
2020-06-01,"3 wk ahead inc case",2020-06-20,"PL","quantile",0.1,2211,"Poland"
2020-06-01,"3 wk ahead inc case",2020-06-20,"PL","quantile",0.15,2269,"Poland"
2020-06-01,"3 wk ahead inc case",2020-06-20,"PL","quantile",0.2,2316,"Poland"
2020-06-01,"3 wk ahead inc case",2020-06-20,"PL","quantile",0.25,2357,"Poland"
2020-06-01,"3 wk ahead inc case",2020-06-20,"PL","quantile",0.3,2394,"Poland"
2020-06-01,"3 wk ahead inc case",2020-06-20,"PL","quantile",0.35,2429,"Poland"
2020-06-01,"3 wk ahead inc case",2020-06-20,"PL","quantile",0.4,2463,"Poland"
2020-06-01,"3 wk ahead inc case",2020-06-20,"PL","quantile",0.45,2495,"Poland"
2020-06-01,"3 wk ahead inc case",2020-06-20,"PL","quantile",0.5,2527,"Poland"
2020-06-01,"3 wk ahead inc case",2020-06-20,"PL","quantile",0.55,2560,"Poland"
2020-06-01,"3 wk ahead inc case",2020-06-20,"PL","quantile",0.6,2593,"Poland"
2020-06-01,"3 wk ahead inc case",2020-06-20,"PL","quantile",0.65,2628,"Poland"
2020-06-01,"3 wk ahead inc case",2020-06-20,"PL","quantile",0.7,2665,"Poland"
2020-06-01,"3 wk ahead inc case",2020-06-20,"PL","quantile",0.75,2705,"Poland"
2020-06-01,"3 wk ahead inc case",2020-06-20,"PL","quantile",0.8,2751,"Poland"
2020-06-01,"3 wk ahead inc case",2020-06-20,"PL","quantile",0.85,2804,"Poland"
2020-06-01,"3 wk ahead inc case",2020-06-20,"PL","quantile",0.9,2872,"Poland"
2020-06-01,"3 wk ahead inc case",2020-06-20,"PL","quantile",0.95,2975,"Poland"
2020-06-01,"3 wk ahead inc case",2020-06-20,"PL","quantile",0.975,3067,"Poland"
2020-06-01,"3 wk ahead inc case",2020-06-20,"PL","quantile",0.99,3175,"Poland"
2020-06-01,"4 wk ahead inc case",2020-06-27,"PL","quantile",0.01,1973,"Poland"
2020-06-01,"4 wk ahead inc case",2020-06-27,"PL","quantile",0.025,2054,"Poland"
2020-06-01,"4 wk ahead inc case",2020-06-27,"PL","quantile",0.05,2126,"Poland"
2020-06-01,"4 wk ahead inc case",2020-06-27,"PL","quantile",0.1,2211,"Poland"
2020-06-01,"4 wk ahead inc case",2020-06-27,"PL","quantile",0.15,2269,"Poland"
2020-06-01,"4 wk ahead inc case",2020-06-27,"PL","quantile",0.2,2316,"Poland"
2020-06-01,"4 wk ahead inc case",2020-06-27,"PL","quantile",0.25,2357,"Poland"
2020-06-01,"4 wk ahead inc case",2020-06-27,"PL","quantile",0.3,2394,"Poland"
2020-06-01,"4 wk ahead inc case",2020-06-27,"PL","quantile",0.35,2429,"Poland"
2020-06-01,"4 wk ahead inc case",2020-06-27,"PL","quantile",0.4,2463,"Poland"
2020-06-01,"4 wk ahead inc case",2020-06-27,"PL","quantile",0.45,2495,"Poland"
2020-06-01,"4 wk ahead inc case",2020-06-27,"PL","quantile",0.5,2527,"Poland"
2020-06-01,"4 wk ahead inc case",2020-06-27,"PL","quantile",0.55,2560,"Poland"
2020-06-01,"4 wk ahead inc case",2020-06-27,"PL","quantile",0.6,2593,"Poland"
2020-06-01,"4 wk ahead inc case",2020-06-27,"PL","quantile",0.65,2628,"Poland"
2020-06-01,"4 wk ahead inc case",2020-06-27,"PL","quantile",0.7,2665,"Poland"
2020-06-01,"4 wk ahead inc case",2020-06-27,"PL","quantile",0.75,2705,"Poland"
