forecast_date,target,target_end_date,location,type,quantile,value,location_name
2020-07-20,-1 wk ahead inc death,2020-07-11,GM,observed,NA,50,Germany
2020-07-20,0 wk ahead inc death,2020-07-18,GM,observed,NA,23,Germany
2020-07-20,1 wk ahead inc death,2020-07-25,GM,point,NA,22,Germany
2020-07-20,2 wk ahead inc death,2020-08-01,GM,point,NA,22,Germany
2020-07-20,3 wk ahead inc death,2020-08-08,GM,point,NA,22,Germany
2020-07-20,4 wk ahead inc death,2020-08-15,GM,point,NA,22,Germany
2020-07-20,1 wk ahead inc death,2020-07-25,GM,quantile,0.01,6,Germany
2020-07-20,1 wk ahead inc death,2020-07-25,GM,quantile,0.025,8,Germany
2020-07-20,1 wk ahead inc death,2020-07-25,GM,quantile,0.05,10,Germany
2020-07-20,1 wk ahead inc death,2020-07-25,GM,quantile,0.1,12,Germany
2020-07-20,1 wk ahead inc death,2020-07-25,GM,quantile,0.15,14,Germany
2020-07-20,1 wk ahead inc death,2020-07-25,GM,quantile,0.2,15,Germany
2020-07-20,1 wk ahead inc death,2020-07-25,GM,quantile,0.25,16,Germany
2020-07-20,1 wk ahead inc death,2020-07-25,GM,quantile,0.3,17,Germany
2020-07-20,1 wk ahead inc death,2020-07-25,GM,quantile,0.35,19,Germany
2020-07-20,1 wk ahead inc death,2020-07-25,GM,quantile,0.4,20,Germany
2020-07-20,1 wk ahead inc death,2020-07-25,GM,quantile,0.45,21,Germany
2020-07-20,1 wk ahead inc death,2020-07-25,GM,quantile,0.5,22,Germany
2020-07-20,1 wk ahead inc death,2020-07-25,GM,quantile,0.55,23,Germany
2020-07-20,1 wk ahead inc death,2020-07-25,GM,quantile,0.6,24,Germany
2020-07-20,1 wk ahead inc death,2020-07-25,GM,quantile,0.65,26,Germany
2020-07-20,1 wk ahead inc death,2020-07-25,GM,quantile,0.7,27,Germany
2020-07-20,1 wk ahead inc death,2020-07-25,GM,quantile,0.75,29,Germany
2020-07-20,1 wk ahead inc death,2020-07-25,GM,quantile,0.8,30,Germany
2020-07-20,1 wk ahead inc death,2020-07-25,GM,quantile,0.85,33,Germany
2020-07-20,1 wk ahead inc death,2020-07-25,GM,quantile,0.9,35,Germany
2020-07-20,1 wk ahead inc death,2020-07-25,GM,quantile,0.95,40,Germany
2020-07-20,1 wk ahead inc death,2020-07-25,GM,quantile,0.975,44,Germany
2020-07-20,1 wk ahead inc death,2020-07-25,GM,quantile,0.99,49,Germany
2020-07-20,2 wk ahead inc death,2020-08-01,GM,quantile,0.01,6,Germany
2020-07-20,2 wk ahead inc death,2020-08-01,GM,quantile,0.025,8,Germany
2020-07-20,2 wk ahead inc death,2020-08-01,GM,quantile,0.05,10,Germany
2020-07-20,2 wk ahead inc death,2020-08-01,GM,quantile,0.1,12,Germany
2020-07-20,2 wk ahead inc death,2020-08-01,GM,quantile,0.15,14,Germany
2020-07-20,2 wk ahead inc death,2020-08-01,GM,quantile,0.2,15,Germany
2020-07-20,2 wk ahead inc death,2020-08-01,GM,quantile,0.25,16,Germany
2020-07-20,2 wk ahead inc death,2020-08-01,GM,quantile,0.3,17,Germany
2020-07-20,2 wk ahead inc death,2020-08-01,GM,quantile,0.35,19,Germany
2020-07-20,2 wk ahead inc death,2020-08-01,GM,quantile,0.4,20,Germany
2020-07-20,2 wk ahead inc death,2020-08-01,GM,quantile,0.45,21,Germany
2020-07-20,2 wk ahead inc death,2020-08-01,GM,quantile,0.5,22,Germany
2020-07-20,2 wk ahead inc death,2020-08-01,GM,quantile,0.55,23,Germany
2020-07-20,2 wk ahead inc death,2020-08-01,GM,quantile,0.6,24,Germany
2020-07-20,2 wk ahead inc death,2020-08-01,GM,quantile,0.65,26,Germany
2020-07-20,2 wk ahead inc death,2020-08-01,GM,quantile,0.7,27,Germany
2020-07-20,2 wk ahead inc death,2020-08-01,GM,quantile,0.75,29,Germany
2020-07-20,2 wk ahead inc death,2020-08-01,GM,quantile,0.8,30,Germany
2020-07-20,2 wk ahead inc death,2020-08-01,GM,quantile,0.85,33,Germany
2020-07-20,2 wk ahead inc death,2020-08-01,GM,quantile,0.9,35,Germany
2020-07-20,2 wk ahead inc death,2020-08-01,GM,quantile,0.95,40,Germany
2020-07-20,2 wk ahead inc death,2020-08-01,GM,quantile,0.975,44,Germany
2020-07-20,2 wk ahead inc death,2020-08-01,GM,quantile,0.99,49,Germany
2020-07-20,3 wk ahead inc death,2020-08-08,GM,quantile,0.01,6,Germany
2020-07-20,3 wk ahead inc death,2020-08-08,GM,quantile,0.025,8,Germany
2020-07-20,3 wk ahead inc death,2020-08-08,GM,quantile,0.05,10,Germany
2020-07-20,3 wk ahead inc death,2020-08-08,GM,quantile,0.1,12,Germany
2020-07-20,3 wk ahead inc death,2020-08-08,GM,quantile,0.15,14,Germany
2020-07-20,3 wk ahead inc death,2020-08-08,GM,quantile,0.2,15,Germany
2020-07-20,3 wk ahead inc death,2020-08-08,GM,quantile,0.25,16,Germany
2020-07-20,3 wk ahead inc death,2020-08-08,GM,quantile,0.3,17,Germany
2020-07-20,3 wk ahead inc death,2020-08-08,GM,quantile,0.35,19,Germany
2020-07-20,3 wk ahead inc death,2020-08-08,GM,quantile,0.4,20,Germany
2020-07-20,3 wk ahead inc death,2020-08-08,GM,quantile,0.45,21,Germany
2020-07-20,3 wk ahead inc death,2020-08-08,GM,quantile,0.5,22,Germany
2020-07-20,3 wk ahead inc death,2020-08-08,GM,quantile,0.55,23,Germany
2020-07-20,3 wk ahead inc death,2020-08-08,GM,quantile,0.6,24,Germany
2020-07-20,3 wk ahead inc death,2020-08-08,GM,quantile,0.65,26,Germany
2020-07-20,3 wk ahead inc death,2020-08-08,GM,quantile,0.7,27,Germany
2020-07-20,3 wk ahead inc death,2020-08-08,GM,quantile,0.75,29,Germany
