"forecast_date","target","target_end_date","location","type","quantile","value","location_name"
2020-08-31,"-1 wk ahead inc case",2020-08-22,"GM","observed",NA,9254,"Germany"
2020-08-31,"0 wk ahead inc case",2020-08-29,"GM","observed",NA,9689,"Germany"
2020-08-31,"1 wk ahead inc case",2020-09-05,"GM","point",NA,9551,"Germany"
2020-08-31,"2 wk ahead inc case",2020-09-12,"GM","point",NA,9551,"Germany"
2020-08-31,"3 wk ahead inc case",2020-09-19,"GM","point",NA,9551,"Germany"
2020-08-31,"4 wk ahead inc case",2020-09-26,"GM","point",NA,9551,"Germany"
2020-08-31,"1 wk ahead inc case",2020-09-05,"GM","quantile",0.01,5634,"Germany"
2020-08-31,"1 wk ahead inc case",2020-09-05,"GM","quantile",0.025,6160,"Germany"
2020-08-31,"1 wk ahead inc case",2020-09-05,"GM","quantile",0.05,6638,"Germany"
2020-08-31,"1 wk ahead inc case",2020-09-05,"GM","quantile",0.1,7221,"Germany"
2020-08-31,"1 wk ahead inc case",2020-09-05,"GM","quantile",0.15,7633,"Germany"
2020-08-31,"1 wk ahead inc case",2020-09-05,"GM","quantile",0.2,7971,"Germany"
2020-08-31,"1 wk ahead inc case",2020-09-05,"GM","quantile",0.25,8270,"Germany"
2020-08-31,"1 wk ahead inc case",2020-09-05,"GM","quantile",0.3,8544,"Germany"
2020-08-31,"1 wk ahead inc case",2020-09-05,"GM","quantile",0.35,8804,"Germany"
2020-08-31,"1 wk ahead inc case",2020-09-05,"GM","quantile",0.4,9055,"Germany"
2020-08-31,"1 wk ahead inc case",2020-09-05,"GM","quantile",0.45,9303,"Germany"
2020-08-31,"1 wk ahead inc case",2020-09-05,"GM","quantile",0.5,9551,"Germany"
2020-08-31,"1 wk ahead inc case",2020-09-05,"GM","quantile",0.55,9803,"Germany"
2020-08-31,"1 wk ahead inc case",2020-09-05,"GM","quantile",0.6,10064,"Germany"
2020-08-31,"1 wk ahead inc case",2020-09-05,"GM","quantile",0.65,10339,"Germany"
2020-08-31,"1 wk ahead inc case",2020-09-05,"GM","quantile",0.7,10634,"Germany"
2020-08-31,"1 wk ahead inc case",2020-09-05,"GM","quantile",0.75,10958,"Germany"
2020-08-31,"1 wk ahead inc case",2020-09-05,"GM","quantile",0.8,11326,"Germany"
2020-08-31,"1 wk ahead inc case",2020-09-05,"GM","quantile",0.85,11766,"Germany"
2020-08-31,"1 wk ahead inc case",2020-09-05,"GM","quantile",0.9,12335,"Germany"
2020-08-31,"1 wk ahead inc case",2020-09-05,"GM","quantile",0.95,13212,"Germany"
2020-08-31,"1 wk ahead inc case",2020-09-05,"GM","quantile",0.975,14003,"Germany"
2020-08-31,"1 wk ahead inc case",2020-09-05,"GM","quantile",0.99,14962,"Germany"
2020-08-31,"2 wk ahead inc case",2020-09-12,"GM","quantile",0.01,5634,"Germany"
2020-08-31,"2 wk ahead inc case",2020-09-12,"GM","quantile",0.025,6160,"Germany"
2020-08-31,"2 wk ahead inc case",2020-09-12,"GM","quantile",0.05,6638,"Germany"
2020-08-31,"2 wk ahead inc case",2020-09-12,"GM","quantile",0.1,7221,"Germany"
2020-08-31,"2 wk ahead inc case",2020-09-12,"GM","quantile",0.15,7633,"Germany"
2020-08-31,"2 wk ahead inc case",2020-09-12,"GM","quantile",0.2,7971,"Germany"
2020-08-31,"2 wk ahead inc case",2020-09-12,"GM","quantile",0.25,8270,"Germany"
2020-08-31,"2 wk ahead inc case",2020-09-12,"GM","quantile",0.3,8544,"Germany"
2020-08-31,"2 wk ahead inc case",2020-09-12,"GM","quantile",0.35,8804,"Germany"
2020-08-31,"2 wk ahead inc case",2020-09-12,"GM","quantile",0.4,9055,"Germany"
2020-08-31,"2 wk ahead inc case",2020-09-12,"GM","quantile",0.45,9303,"Germany"
2020-08-31,"2 wk ahead inc case",2020-09-12,"GM","quantile",0.5,9551,"Germany"
2020-08-31,"2 wk ahead inc case",2020-09-12,"GM","quantile",0.55,9803,"Germany"
2020-08-31,"2 wk ahead inc case",2020-09-12,"GM","quantile",0.6,10064,"Germany"
2020-08-31,"2 wk ahead inc case",2020-09-12,"GM","quantile",0.65,10339,"Germany"
2020-08-31,"2 wk ahead inc case",2020-09-12,"GM","quantile",0.7,10634,"Germany"
2020-08-31,"2 wk ahead inc case",2020-09-12,"GM","quantile",0.75,10958,"Germany"
2020-08-31,"2 wk ahead inc case",2020-09-12,"GM","quantile",0.8,11326,"Germany"
2020-08-31,"2 wk ahead inc case",2020-09-12,"GM","quantile",0.85,11766,"Germany"
2020-08-31,"2 wk ahead inc case",2020-09-12,"GM","quantile",0.9,12335,"Germany"
2020-08-31,"2 wk ahead inc case",2020-09-12,"GM","quantile",0.95,13212,"Germany"
2020-08-31,"2 wk ahead inc case",2020-09-12,"GM","quantile",0.975,14003,"Germany"
2020-08-31,"2 wk ahead inc case",2020-09-12,"GM","quantile",0.99,14962,"Germany"
2020-08-31,"3 wk ahead inc case",2020-09-19,"GM","quantile",0.01,5634,"Germany"
2020-08-31,"3 wk ahead inc case",2020-09-19,"GM","quantile",0.025,6160,"Germany"
2020-08-31,"3 wk ahead inc case",2020-09-19,"GM","quantile",0.05,6638,"Germany"
2020-08-31,"3 wk ahead inc case",2020-09-19,"GM","quantile",0.1,7221,"Germany"
2020-08-31,"3 wk ahead inc case",2020-09-19,"GM","quantile",0.15,7633,"Germany"
2020-08-31,"3 wk ahead inc case",2020-09-19,"GM","quantile",0.2,7971,"Germany"
2020-08-31,"3 wk ahead inc case",2020-09-19,"GM","quantile",0.25,8270,"Germany"
2020-08-31,"3 wk ahead inc case",2020-09-19,"GM","quantile",0.3,8544,"Germany"
2020-08-31,"3 wk ahead inc case",2020-09-19,"GM","quantile",0.35,8804,"Germany"
2020-08-31,"3 wk ahead inc case",2020-09-19,"GM","quantile",0.4,9055,"Germany"
2020-08-31,"3 wk ahead inc case",2020-09-19,"GM","quantile",0.45,9303,"Germany"
2020-08-31,"3 wk ahead inc case",2020-09-19,"GM","quantile",0.5,9551,"Germany"
2020-08-31,"3 wk ahead inc case",2020-09-19,"GM","quantile",0.55,9803,"Germany"
2020-08-31,"3 wk ahead inc case",2020-09-19,"GM","quantile",0.6,10064,"Germany"
2020-08-31,"3 wk ahead inc case",2020-09-19,"GM","quantile",0.65,10339,"Germany"
2020-08-31,"3 wk ahead inc case",2020-09-19,"GM","quantile",0.7,10634,"Germany"
2020-08-31,"3 wk ahead inc case",2020-09-19,"GM","quantile",0.75,10958,"Germany"
2020-08-31,"3 wk ahead inc case",2020-09-19,"GM","quantile",0.8,11326,"Germany"
2020-08-31,"3 wk ahead inc case",2020-09-19,"GM","quantile",0.85,11766,"Germany"
2020-08-31,"3 wk ahead inc case",2020-09-19,"GM","quantile",0.9,12335,"Germany"
2020-08-31,"3 wk ahead inc case",2020-09-19,"GM","quantile",0.95,13212,"Germany"
2020-08-31,"3 wk ahead inc case",2020-09-19,"GM","quantile",0.975,14003,"Germany"
2020-08-31,"3 wk ahead inc case",2020-09-19,"GM","quantile",0.99,14962,"Germany"
2020-08-31,"4 wk ahead inc case",2020-09-26,"GM","quantile",0.01,5634,"Germany"
2020-08-31,"4 wk ahead inc case",2020-09-26,"GM","quantile",0.025,6160,"Germany"
2020-08-31,"4 wk ahead inc case",2020-09-26,"GM","quantile",0.05,6638,"Germany"
2020-08-31,"4 wk ahead inc case",2020-09-26,"GM","quantile",0.1,7221,"Germany"
2020-08-31,"4 wk ahead inc case",2020-09-26,"GM","quantile",0.15,7633,"Germany"
2020-08-31,"4 wk ahead inc case",2020-09-26,"GM","quantile",0.2,7971,"Germany"
2020-08-31,"4 wk ahead inc case",2020-09-26,"GM","quantile",0.25,8270,"Germany"
2020-08-31,"4 wk ahead inc case",2020-09-26,"GM","quantile",0.3,8544,"Germany"
2020-08-31,"4 wk ahead inc case",2020-09-26,"GM","quantile",0.35,8804,"Germany"
2020-08-31,"4 wk ahead inc case",2020-09-26,"GM","quantile",0.4,9055,"Germany"
2020-08-31,"4 wk ahead inc case",2020-09-26,"GM","quantile",0.45,9303,"Germany"
2020-08-31,"4 wk ahead inc case",2020-09-26,"GM","quantile",0.5,9551,"Germany"
2020-08-31,"4 wk ahead inc case",2020-09-26,"GM","quantile",0.55,9803,"Germany"
2020-08-31,"4 wk ahead inc case",2020-09-26,"GM","quantile",0.6,10064,"Germany"
2020-08-31,"4 wk ahead inc case",2020-09-26,"GM","quantile",0.65,10339,"Germany"
2020-08-31,"4 wk ahead inc case",2020-09-26,"GM","quantile",0.7,10634,"Germany"
2020-08-31,"4 wk ahead inc case",2020-09-26,"GM","quantile",0.75,10958,"Germany"
2020-08-31,"4 wk ahead inc case",2020-09-26,"GM","quantile",0.8,11326,"Germany"
2020-08-31,"4 wk ahead inc case",2020-09-26,"GM","quantile",0.85,11766,"Germany"
2020-08-31,"4 wk ahead inc case",2020-09-26,"GM","quantile",0.9,12335,"Germany"
2020-08-31,"4 wk ahead inc case",2020-09-26,"GM","quantile",0.95,13212,"Germany"
2020-08-31,"4 wk ahead inc case",2020-09-26,"GM","quantile",0.975,14003,"Germany"
2020-08-31,"4 wk ahead inc case",2020-09-26,"GM","quantile",0.99,14962,"Germany"
2020-08-31,"-1 wk ahead cum case",2020-08-22,"GM","observed",NA,232082,"Germany"
2020-08-31,"0 wk ahead cum case",2020-08-29,"GM","observed",NA,241771,"Germany"
2020-08-31,"1 wk ahead cum case",2020-09-05,"GM","point",NA,251322,"Germany"
2020-08-31,"2 wk ahead cum case",2020-09-12,"GM","point",NA,261011,"Germany"
2020-08-31,"3 wk ahead cum case",2020-09-19,"GM","point",NA,270700,"Germany"
2020-08-31,"4 wk ahead cum case",2020-09-26,"GM","point",NA,280388,"Germany"
2020-08-31,"1 wk ahead cum case",2020-09-05,"GM","quantile",0.01,247405,"Germany"
2020-08-31,"1 wk ahead cum case",2020-09-05,"GM","quantile",0.025,247931,"Germany"
2020-08-31,"1 wk ahead cum case",2020-09-05,"GM","quantile",0.05,248409,"Germany"
2020-08-31,"1 wk ahead cum case",2020-09-05,"GM","quantile",0.1,248992,"Germany"
2020-08-31,"1 wk ahead cum case",2020-09-05,"GM","quantile",0.15,249404,"Germany"
2020-08-31,"1 wk ahead cum case",2020-09-05,"GM","quantile",0.2,249742,"Germany"
2020-08-31,"1 wk ahead cum case",2020-09-05,"GM","quantile",0.25,250041,"Germany"
2020-08-31,"1 wk ahead cum case",2020-09-05,"GM","quantile",0.3,250315,"Germany"
2020-08-31,"1 wk ahead cum case",2020-09-05,"GM","quantile",0.35,250575,"Germany"
2020-08-31,"1 wk ahead cum case",2020-09-05,"GM","quantile",0.4,250826,"Germany"
2020-08-31,"1 wk ahead cum case",2020-09-05,"GM","quantile",0.45,251074,"Germany"
2020-08-31,"1 wk ahead cum case",2020-09-05,"GM","quantile",0.5,251322,"Germany"
2020-08-31,"1 wk ahead cum case",2020-09-05,"GM","quantile",0.55,251574,"Germany"
2020-08-31,"1 wk ahead cum case",2020-09-05,"GM","quantile",0.6,251835,"Germany"
2020-08-31,"1 wk ahead cum case",2020-09-05,"GM","quantile",0.65,252110,"Germany"
2020-08-31,"1 wk ahead cum case",2020-09-05,"GM","quantile",0.7,252405,"Germany"
2020-08-31,"1 wk ahead cum case",2020-09-05,"GM","quantile",0.75,252729,"Germany"
2020-08-31,"1 wk ahead cum case",2020-09-05,"GM","quantile",0.8,253097,"Germany"
2020-08-31,"1 wk ahead cum case",2020-09-05,"GM","quantile",0.85,253537,"Germany"
2020-08-31,"1 wk ahead cum case",2020-09-05,"GM","quantile",0.9,254106,"Germany"
2020-08-31,"1 wk ahead cum case",2020-09-05,"GM","quantile",0.95,254983,"Germany"
2020-08-31,"1 wk ahead cum case",2020-09-05,"GM","quantile",0.975,255774,"Germany"
2020-08-31,"1 wk ahead cum case",2020-09-05,"GM","quantile",0.99,256733,"Germany"
