"forecast_date","target","target_end_date","location","type","quantile","value","location_name"
2020-11-30,"-1 wk ahead inc death",2020-11-21,"GM","observed",NA,1506,"Germany"
2020-11-30,"0 wk ahead inc death",2020-11-28,"GM","observed",NA,2081,"Germany"
2020-11-30,"1 wk ahead inc death",2020-12-05,"GM","point",NA,1960,"Germany"
2020-11-30,"2 wk ahead inc death",2020-12-12,"GM","point",NA,1960,"Germany"
2020-11-30,"3 wk ahead inc death",2020-12-19,"GM","point",NA,1960,"Germany"
2020-11-30,"4 wk ahead inc death",2020-12-26,"GM","point",NA,1960,"Germany"
2020-11-30,"1 wk ahead inc death",2020-12-05,"GM","quantile",0.01,589,"Germany"
2020-11-30,"1 wk ahead inc death",2020-12-05,"GM","quantile",0.025,734,"Germany"
2020-11-30,"1 wk ahead inc death",2020-12-05,"GM","quantile",0.05,877,"Germany"
2020-11-30,"1 wk ahead inc death",2020-12-05,"GM","quantile",0.1,1067,"Germany"
2020-11-30,"1 wk ahead inc death",2020-12-05,"GM","quantile",0.15,1209,"Germany"
2020-11-30,"1 wk ahead inc death",2020-12-05,"GM","quantile",0.2,1332,"Germany"
2020-11-30,"1 wk ahead inc death",2020-12-05,"GM","quantile",0.25,1444,"Germany"
2020-11-30,"1 wk ahead inc death",2020-12-05,"GM","quantile",0.3,1549,"Germany"
2020-11-30,"1 wk ahead inc death",2020-12-05,"GM","quantile",0.35,1652,"Germany"
2020-11-30,"1 wk ahead inc death",2020-12-05,"GM","quantile",0.4,1753,"Germany"
2020-11-30,"1 wk ahead inc death",2020-12-05,"GM","quantile",0.45,1855,"Germany"
2020-11-30,"1 wk ahead inc death",2020-12-05,"GM","quantile",0.5,1960,"Germany"
2020-11-30,"1 wk ahead inc death",2020-12-05,"GM","quantile",0.55,2068,"Germany"
2020-11-30,"1 wk ahead inc death",2020-12-05,"GM","quantile",0.6,2182,"Germany"
2020-11-30,"1 wk ahead inc death",2020-12-05,"GM","quantile",0.65,2304,"Germany"
2020-11-30,"1 wk ahead inc death",2020-12-05,"GM","quantile",0.7,2437,"Germany"
2020-11-30,"1 wk ahead inc death",2020-12-05,"GM","quantile",0.75,2587,"Germany"
2020-11-30,"1 wk ahead inc death",2020-12-05,"GM","quantile",0.8,2760,"Germany"
2020-11-30,"1 wk ahead inc death",2020-12-05,"GM","quantile",0.85,2972,"Germany"
2020-11-30,"1 wk ahead inc death",2020-12-05,"GM","quantile",0.9,3252,"Germany"
2020-11-30,"1 wk ahead inc death",2020-12-05,"GM","quantile",0.95,3699,"Germany"
2020-11-30,"1 wk ahead inc death",2020-12-05,"GM","quantile",0.975,4116,"Germany"
2020-11-30,"1 wk ahead inc death",2020-12-05,"GM","quantile",0.99,4637,"Germany"
2020-11-30,"2 wk ahead inc death",2020-12-12,"GM","quantile",0.01,589,"Germany"
2020-11-30,"2 wk ahead inc death",2020-12-12,"GM","quantile",0.025,734,"Germany"
2020-11-30,"2 wk ahead inc death",2020-12-12,"GM","quantile",0.05,877,"Germany"
2020-11-30,"2 wk ahead inc death",2020-12-12,"GM","quantile",0.1,1067,"Germany"
2020-11-30,"2 wk ahead inc death",2020-12-12,"GM","quantile",0.15,1209,"Germany"
2020-11-30,"2 wk ahead inc death",2020-12-12,"GM","quantile",0.2,1332,"Germany"
2020-11-30,"2 wk ahead inc death",2020-12-12,"GM","quantile",0.25,1444,"Germany"
2020-11-30,"2 wk ahead inc death",2020-12-12,"GM","quantile",0.3,1549,"Germany"
2020-11-30,"2 wk ahead inc death",2020-12-12,"GM","quantile",0.35,1652,"Germany"
