"forecast_date","target","target_end_date","location","type","quantile","value","location_name"
2021-02-15,"-1 wk ahead inc death",2021-02-06,"PL","observed",NA,1929,"Poland"
2021-02-15,"0 wk ahead inc death",2021-02-13,"PL","observed",NA,1711,"Poland"
2021-02-15,"1 wk ahead inc death",2021-02-20,"PL","point",NA,1705,"Poland"
2021-02-15,"2 wk ahead inc death",2021-02-27,"PL","point",NA,1705,"Poland"
2021-02-15,"3 wk ahead inc death",2021-03-06,"PL","point",NA,1705,"Poland"
2021-02-15,"4 wk ahead inc death",2021-03-13,"PL","point",NA,1705,"Poland"
2021-02-15,"1 wk ahead inc death",2021-02-20,"PL","quantile",0.01,1328,"Poland"
2021-02-15,"1 wk ahead inc death",2021-02-20,"PL","quantile",0.025,1383,"Poland"
2021-02-15,"1 wk ahead inc death",2021-02-20,"PL","quantile",0.05,1432,"Poland"
2021-02-15,"1 wk ahead inc death",2021-02-20,"PL","quantile",0.1,1490,"Poland"
2021-02-15,"1 wk ahead inc death",2021-02-20,"PL","quantile",0.15,1529,"Poland"
2021-02-15,"1 wk ahead inc death",2021-02-20,"PL","quantile",0.2,1561,"Poland"
2021-02-15,"1 wk ahead inc death",2021-02-20,"PL","quantile",0.25,1589,"Poland"
2021-02-15,"1 wk ahead inc death",2021-02-20,"PL","quantile",0.3,1615,"Poland"
2021-02-15,"1 wk ahead inc death",2021-02-20,"PL","quantile",0.35,1638,"Poland"
2021-02-15,"1 wk ahead inc death",2021-02-20,"PL","quantile",0.4,1661,"Poland"
2021-02-15,"1 wk ahead inc death",2021-02-20,"PL","quantile",0.45,1683,"Poland"
2021-02-15,"1 wk ahead inc death",2021-02-20,"PL","quantile",0.5,1705,"Poland"
2021-02-15,"1 wk ahead inc death",2021-02-20,"PL","quantile",0.55,1727,"Poland"
2021-02-15,"1 wk ahead inc death",2021-02-20,"PL","quantile",0.6,1750,"Poland"
2021-02-15,"1 wk ahead inc death",2021-02-20,"PL","quantile",0.65,1774,"Poland"
2021-02-15,"1 wk ahead inc death",2021-02-20,"PL","quantile",0.7,1799,"Poland"
2021-02-15,"1 wk ahead inc death",2021-02-20,"PL","quantile",0.75,1826,"Poland"
2021-02-15,"1 wk ahead inc death",2021-02-20,"PL","quantile",0.8,1857,"Poland"
2021-02-15,"1 wk ahead inc death",2021-02-20,"PL","quantile",0.85,1894,"Poland"
