"forecast_date","target","target_end_date","location","type","quantile","value","location_name"
2020-11-23,"-1 wk ahead inc death",2020-11-14,"PL72","observed",NA,157,"Dolnoslaskie"
2020-11-23,"0 wk ahead inc death",2020-11-21,"PL72","observed",NA,223,"Dolnoslaskie"
2020-11-23,"1 wk ahead inc death",2020-11-28,"PL72","point",NA,194,"Dolnoslaskie"
2020-11-23,"2 wk ahead inc death",2020-12-05,"PL72","point",NA,157,"Dolnoslaskie"
2020-11-23,"3 wk ahead inc death",2020-12-12,"PL72","point",NA,127,"Dolnoslaskie"
2020-11-23,"4 wk ahead inc death",2020-12-19,"PL72","point",NA,101,"Dolnoslaskie"
2020-11-23,"1 wk ahead inc death",2020-11-28,"PL72","quantile",0.01,23,"Dolnoslaskie"
2020-11-23,"1 wk ahead inc death",2020-11-28,"PL72","quantile",0.025,35,"Dolnoslaskie"
2020-11-23,"1 wk ahead inc death",2020-11-28,"PL72","quantile",0.05,50,"Dolnoslaskie"
2020-11-23,"1 wk ahead inc death",2020-11-28,"PL72","quantile",0.1,71,"Dolnoslaskie"
2020-11-23,"1 wk ahead inc death",2020-11-28,"PL72","quantile",0.15,88,"Dolnoslaskie"
2020-11-23,"1 wk ahead inc death",2020-11-28,"PL72","quantile",0.2,103,"Dolnoslaskie"
2020-11-23,"1 wk ahead inc death",2020-11-28,"PL72","quantile",0.25,118,"Dolnoslaskie"
2020-11-23,"1 wk ahead inc death",2020-11-28,"PL72","quantile",0.3,133,"Dolnoslaskie"
2020-11-23,"1 wk ahead inc death",2020-11-28,"PL72","quantile",0.35,148,"Dolnoslaskie"
2020-11-23,"1 wk ahead inc death",2020-11-28,"PL72","quantile",0.4,163,"Dolnoslaskie"
2020-11-23,"1 wk ahead inc death",2020-11-28,"PL72","quantile",0.45,178,"Dolnoslaskie"
2020-11-23,"1 wk ahead inc death",2020-11-28,"PL72","quantile",0.5,194,"Dolnoslaskie"
2020-11-23,"1 wk ahead inc death",2020-11-28,"PL72","quantile",0.55,211,"Dolnoslaskie"
2020-11-23,"1 wk ahead inc death",2020-11-28,"PL72","quantile",0.6,229,"Dolnoslaskie"
2020-11-23,"1 wk ahead inc death",2020-11-28,"PL72","quantile",0.65,249,"Dolnoslaskie"
2020-11-23,"1 wk ahead inc death",2020-11-28,"PL72","quantile",0.7,271,"Dolnoslaskie"
2020-11-23,"1 wk ahead inc death",2020-11-28,"PL72","quantile",0.75,296,"Dolnoslaskie"
2020-11-23,"1 wk ahead inc death",2020-11-28,"PL72","quantile",0.8,326,"Dolnoslaskie"
2020-11-23,"1 wk ahead inc death",2020-11-28,"PL72","quantile",0.85,363,"Dolnoslaskie"
2020-11-23,"1 wk ahead inc death",2020-11-28,"PL72","quantile",0.9,414,"Dolnoslaskie"
2020-11-23,"1 wk ahead inc death",2020-11-28,"PL72","quantile",0.95,497,"Dolnoslaskie"
2020-11-23,"1 wk ahead inc death",2020-11-28,"PL72","quantile",0.975,573,"Dolnoslaskie"
2020-11-23,"1 wk ahead inc death",2020-11-28,"PL72","quantile",0.99,676,"Dolnoslaskie"
2020-11-23,"2 wk ahead inc death",2020-12-05,"PL72","quantile",0.01,9,"Dolnoslaskie"
2020-11-23,"2 wk ahead inc death",2020-12-05,"PL72","quantile",0.025,16,"Dolnoslaskie"
2020-11-23,"2 wk ahead inc death",2020-12-05,"PL72","quantile",0.05,24,"Dolnoslaskie"
2020-11-23,"2 wk ahead inc death",2020-12-05,"PL72","quantile",0.1,39,"Dolnoslaskie"
2020-11-23,"2 wk ahead inc death",2020-12-05,"PL72","quantile",0.15,52,"Dolnoslaskie"
2020-11-23,"2 wk ahead inc death",2020-12-05,"PL72","quantile",0.2,64,"Dolnoslaskie"
2020-11-23,"2 wk ahead inc death",2020-12-05,"PL72","quantile",0.25,78,"Dolnoslaskie"
2020-11-23,"2 wk ahead inc death",2020-12-05,"PL72","quantile",0.3,92,"Dolnoslaskie"
2020-11-23,"2 wk ahead inc death",2020-12-05,"PL72","quantile",0.35,106,"Dolnoslaskie"
2020-11-23,"2 wk ahead inc death",2020-12-05,"PL72","quantile",0.4,122,"Dolnoslaskie"
2020-11-23,"2 wk ahead inc death",2020-12-05,"PL72","quantile",0.45,138,"Dolnoslaskie"
2020-11-23,"2 wk ahead inc death",2020-12-05,"PL72","quantile",0.5,157,"Dolnoslaskie"
2020-11-23,"2 wk ahead inc death",2020-12-05,"PL72","quantile",0.55,178,"Dolnoslaskie"
2020-11-23,"2 wk ahead inc death",2020-12-05,"PL72","quantile",0.6,201,"Dolnoslaskie"
2020-11-23,"2 wk ahead inc death",2020-12-05,"PL72","quantile",0.65,226,"Dolnoslaskie"
2020-11-23,"2 wk ahead inc death",2020-12-05,"PL72","quantile",0.7,256,"Dolnoslaskie"
2020-11-23,"2 wk ahead inc death",2020-12-05,"PL72","quantile",0.75,293,"Dolnoslaskie"
2020-11-23,"2 wk ahead inc death",2020-12-05,"PL72","quantile",0.8,340,"Dolnoslaskie"
2020-11-23,"2 wk ahead inc death",2020-12-05,"PL72","quantile",0.85,399,"Dolnoslaskie"
2020-11-23,"2 wk ahead inc death",2020-12-05,"PL72","quantile",0.9,486,"Dolnoslaskie"
2020-11-23,"2 wk ahead inc death",2020-12-05,"PL72","quantile",0.95,647,"Dolnoslaskie"
2020-11-23,"2 wk ahead inc death",2020-12-05,"PL72","quantile",0.975,818,"Dolnoslaskie"
2020-11-23,"2 wk ahead inc death",2020-12-05,"PL72","quantile",0.99,1060.00999999999,"Dolnoslaskie"
2020-11-23,"3 wk ahead inc death",2020-12-12,"PL72","quantile",0.01,4,"Dolnoslaskie"
2020-11-23,"3 wk ahead inc death",2020-12-12,"PL72","quantile",0.025,7,"Dolnoslaskie"
2020-11-23,"3 wk ahead inc death",2020-12-12,"PL72","quantile",0.05,13,"Dolnoslaskie"
2020-11-23,"3 wk ahead inc death",2020-12-12,"PL72","quantile",0.1,23,"Dolnoslaskie"
2020-11-23,"3 wk ahead inc death",2020-12-12,"PL72","quantile",0.15,33,"Dolnoslaskie"
2020-11-23,"3 wk ahead inc death",2020-12-12,"PL72","quantile",0.2,43,"Dolnoslaskie"
2020-11-23,"3 wk ahead inc death",2020-12-12,"PL72","quantile",0.25,54,"Dolnoslaskie"
2020-11-23,"3 wk ahead inc death",2020-12-12,"PL72","quantile",0.3,65,"Dolnoslaskie"
2020-11-23,"3 wk ahead inc death",2020-12-12,"PL72","quantile",0.35,78,"Dolnoslaskie"
2020-11-23,"3 wk ahead inc death",2020-12-12,"PL72","quantile",0.4,93,"Dolnoslaskie"
2020-11-23,"3 wk ahead inc death",2020-12-12,"PL72","quantile",0.45,109,"Dolnoslaskie"
2020-11-23,"3 wk ahead inc death",2020-12-12,"PL72","quantile",0.5,127,"Dolnoslaskie"
2020-11-23,"3 wk ahead inc death",2020-12-12,"PL72","quantile",0.55,147,"Dolnoslaskie"
2020-11-23,"3 wk ahead inc death",2020-12-12,"PL72","quantile",0.6,172,"Dolnoslaskie"
2020-11-23,"3 wk ahead inc death",2020-12-12,"PL72","quantile",0.65,200,"Dolnoslaskie"
2020-11-23,"3 wk ahead inc death",2020-12-12,"PL72","quantile",0.7,234,"Dolnoslaskie"
2020-11-23,"3 wk ahead inc death",2020-12-12,"PL72","quantile",0.75,275,"Dolnoslaskie"
2020-11-23,"3 wk ahead inc death",2020-12-12,"PL72","quantile",0.8,330,"Dolnoslaskie"
2020-11-23,"3 wk ahead inc death",2020-12-12,"PL72","quantile",0.85,407,"Dolnoslaskie"
2020-11-23,"3 wk ahead inc death",2020-12-12,"PL72","quantile",0.9,524,"Dolnoslaskie"
2020-11-23,"3 wk ahead inc death",2020-12-12,"PL72","quantile",0.95,752,"Dolnoslaskie"
2020-11-23,"3 wk ahead inc death",2020-12-12,"PL72","quantile",0.975,1011,"Dolnoslaskie"
2020-11-23,"3 wk ahead inc death",2020-12-12,"PL72","quantile",0.99,1418.00999999999,"Dolnoslaskie"
2020-11-23,"4 wk ahead inc death",2020-12-19,"PL72","quantile",0.01,1,"Dolnoslaskie"
2020-11-23,"4 wk ahead inc death",2020-12-19,"PL72","quantile",0.025,4,"Dolnoslaskie"
2020-11-23,"4 wk ahead inc death",2020-12-19,"PL72","quantile",0.05,7,"Dolnoslaskie"
2020-11-23,"4 wk ahead inc death",2020-12-19,"PL72","quantile",0.1,14,"Dolnoslaskie"
2020-11-23,"4 wk ahead inc death",2020-12-19,"PL72","quantile",0.15,21,"Dolnoslaskie"
2020-11-23,"4 wk ahead inc death",2020-12-19,"PL72","quantile",0.2,29,"Dolnoslaskie"
2020-11-23,"4 wk ahead inc death",2020-12-19,"PL72","quantile",0.25,38,"Dolnoslaskie"
2020-11-23,"4 wk ahead inc death",2020-12-19,"PL72","quantile",0.3,48,"Dolnoslaskie"
2020-11-23,"4 wk ahead inc death",2020-12-19,"PL72","quantile",0.35,59,"Dolnoslaskie"
2020-11-23,"4 wk ahead inc death",2020-12-19,"PL72","quantile",0.4,71,"Dolnoslaskie"
2020-11-23,"4 wk ahead inc death",2020-12-19,"PL72","quantile",0.45,85,"Dolnoslaskie"
2020-11-23,"4 wk ahead inc death",2020-12-19,"PL72","quantile",0.5,101,"Dolnoslaskie"
2020-11-23,"4 wk ahead inc death",2020-12-19,"PL72","quantile",0.55,121,"Dolnoslaskie"
2020-11-23,"4 wk ahead inc death",2020-12-19,"PL72","quantile",0.6,144,"Dolnoslaskie"
2020-11-23,"4 wk ahead inc death",2020-12-19,"PL72","quantile",0.65,172,"Dolnoslaskie"
2020-11-23,"4 wk ahead inc death",2020-12-19,"PL72","quantile",0.7,207,"Dolnoslaskie"
2020-11-23,"4 wk ahead inc death",2020-12-19,"PL72","quantile",0.75,252,"Dolnoslaskie"
2020-11-23,"4 wk ahead inc death",2020-12-19,"PL72","quantile",0.8,311,"Dolnoslaskie"
2020-11-23,"4 wk ahead inc death",2020-12-19,"PL72","quantile",0.85,397,"Dolnoslaskie"
2020-11-23,"4 wk ahead inc death",2020-12-19,"PL72","quantile",0.9,537,"Dolnoslaskie"
2020-11-23,"4 wk ahead inc death",2020-12-19,"PL72","quantile",0.95,825,"Dolnoslaskie"
2020-11-23,"4 wk ahead inc death",2020-12-19,"PL72","quantile",0.975,1190,"Dolnoslaskie"
2020-11-23,"4 wk ahead inc death",2020-12-19,"PL72","quantile",0.99,1783.00999999999,"Dolnoslaskie"
2020-11-23,"-1 wk ahead cum death",2020-11-14,"PL72","observed",NA,653,"Dolnoslaskie"
2020-11-23,"0 wk ahead cum death",2020-11-21,"PL72","observed",NA,876,"Dolnoslaskie"
2020-11-23,"1 wk ahead cum death",2020-11-28,"PL72","point",NA,1070,"Dolnoslaskie"
2020-11-23,"2 wk ahead cum death",2020-12-05,"PL72","point",NA,1242,"Dolnoslaskie"
2020-11-23,"3 wk ahead cum death",2020-12-12,"PL72","point",NA,1387,"Dolnoslaskie"
2020-11-23,"4 wk ahead cum death",2020-12-19,"PL72","point",NA,1511,"Dolnoslaskie"
2020-11-23,"1 wk ahead cum death",2020-11-28,"PL72","quantile",0.01,899,"Dolnoslaskie"
2020-11-23,"1 wk ahead cum death",2020-11-28,"PL72","quantile",0.025,911,"Dolnoslaskie"
2020-11-23,"1 wk ahead cum death",2020-11-28,"PL72","quantile",0.05,926,"Dolnoslaskie"
2020-11-23,"1 wk ahead cum death",2020-11-28,"PL72","quantile",0.1,947,"Dolnoslaskie"
2020-11-23,"1 wk ahead cum death",2020-11-28,"PL72","quantile",0.15,964,"Dolnoslaskie"
2020-11-23,"1 wk ahead cum death",2020-11-28,"PL72","quantile",0.2,979,"Dolnoslaskie"
2020-11-23,"1 wk ahead cum death",2020-11-28,"PL72","quantile",0.25,994,"Dolnoslaskie"
2020-11-23,"1 wk ahead cum death",2020-11-28,"PL72","quantile",0.3,1009,"Dolnoslaskie"
2020-11-23,"1 wk ahead cum death",2020-11-28,"PL72","quantile",0.35,1024,"Dolnoslaskie"
2020-11-23,"1 wk ahead cum death",2020-11-28,"PL72","quantile",0.4,1039,"Dolnoslaskie"
2020-11-23,"1 wk ahead cum death",2020-11-28,"PL72","quantile",0.45,1054,"Dolnoslaskie"
2020-11-23,"1 wk ahead cum death",2020-11-28,"PL72","quantile",0.5,1070,"Dolnoslaskie"
2020-11-23,"1 wk ahead cum death",2020-11-28,"PL72","quantile",0.55,1087,"Dolnoslaskie"
2020-11-23,"1 wk ahead cum death",2020-11-28,"PL72","quantile",0.6,1105,"Dolnoslaskie"
2020-11-23,"1 wk ahead cum death",2020-11-28,"PL72","quantile",0.65,1125,"Dolnoslaskie"
2020-11-23,"1 wk ahead cum death",2020-11-28,"PL72","quantile",0.7,1147,"Dolnoslaskie"
2020-11-23,"1 wk ahead cum death",2020-11-28,"PL72","quantile",0.75,1172,"Dolnoslaskie"
2020-11-23,"1 wk ahead cum death",2020-11-28,"PL72","quantile",0.8,1202,"Dolnoslaskie"
2020-11-23,"1 wk ahead cum death",2020-11-28,"PL72","quantile",0.85,1239,"Dolnoslaskie"
