"forecast_date","target","target_end_date","location","type","quantile","value","location_name"
2020-12-28,"-1 wk ahead inc case",2020-12-19,"GM01","observed",NA,23439,"Baden-Württemberg State"
2020-12-28,"0 wk ahead inc case",2020-12-26,"GM01","observed",NA,20908,"Baden-Württemberg State"
2020-12-28,"1 wk ahead inc case",2021-01-02,"GM01","point",NA,20771,"Baden-Württemberg State"
2020-12-28,"2 wk ahead inc case",2021-01-09,"GM01","point",NA,20626,"Baden-Württemberg State"
2020-12-28,"3 wk ahead inc case",2021-01-16,"GM01","point",NA,20440,"Baden-Württemberg State"
2020-12-28,"4 wk ahead inc case",2021-01-23,"GM01","point",NA,20243,"Baden-Württemberg State"
2020-12-28,"1 wk ahead inc case",2021-01-02,"GM01","quantile",0.01,15048.99,"Baden-Württemberg State"
2020-12-28,"1 wk ahead inc case",2021-01-02,"GM01","quantile",0.025,15854,"Baden-Württemberg State"
2020-12-28,"1 wk ahead inc case",2021-01-02,"GM01","quantile",0.05,16595,"Baden-Württemberg State"
2020-12-28,"1 wk ahead inc case",2021-01-02,"GM01","quantile",0.1,17461.9,"Baden-Württemberg State"
2020-12-28,"1 wk ahead inc case",2021-01-02,"GM01","quantile",0.15,18077,"Baden-Württemberg State"
2020-12-28,"1 wk ahead inc case",2021-01-02,"GM01","quantile",0.2,18576,"Baden-Württemberg State"
2020-12-28,"1 wk ahead inc case",2021-01-02,"GM01","quantile",0.25,18997,"Baden-Württemberg State"
2020-12-28,"1 wk ahead inc case",2021-01-02,"GM01","quantile",0.3,19375,"Baden-Württemberg State"
2020-12-28,"1 wk ahead inc case",2021-01-02,"GM01","quantile",0.35,19741,"Baden-Württemberg State"
2020-12-28,"1 wk ahead inc case",2021-01-02,"GM01","quantile",0.4,20092,"Baden-Württemberg State"
2020-12-28,"1 wk ahead inc case",2021-01-02,"GM01","quantile",0.45,20437,"Baden-Württemberg State"
2020-12-28,"1 wk ahead inc case",2021-01-02,"GM01","quantile",0.5,20771,"Baden-Württemberg State"
2020-12-28,"1 wk ahead inc case",2021-01-02,"GM01","quantile",0.55,21124,"Baden-Württemberg State"
2020-12-28,"1 wk ahead inc case",2021-01-02,"GM01","quantile",0.6,21482,"Baden-Württemberg State"
2020-12-28,"1 wk ahead inc case",2021-01-02,"GM01","quantile",0.65,21861,"Baden-Württemberg State"
2020-12-28,"1 wk ahead inc case",2021-01-02,"GM01","quantile",0.7,22251,"Baden-Württemberg State"
2020-12-28,"1 wk ahead inc case",2021-01-02,"GM01","quantile",0.75,22687,"Baden-Württemberg State"
2020-12-28,"1 wk ahead inc case",2021-01-02,"GM01","quantile",0.8,23163.2,"Baden-Württemberg State"
2020-12-28,"1 wk ahead inc case",2021-01-02,"GM01","quantile",0.85,23743,"Baden-Württemberg State"
2020-12-28,"1 wk ahead inc case",2021-01-02,"GM01","quantile",0.9,24491.1,"Baden-Württemberg State"
2020-12-28,"1 wk ahead inc case",2021-01-02,"GM01","quantile",0.95,25606.05,"Baden-Württemberg State"
2020-12-28,"1 wk ahead inc case",2021-01-02,"GM01","quantile",0.975,26599,"Baden-Württemberg State"
2020-12-28,"1 wk ahead inc case",2021-01-02,"GM01","quantile",0.99,27884.01,"Baden-Württemberg State"
2020-12-28,"2 wk ahead inc case",2021-01-09,"GM01","quantile",0.01,13156.99,"Baden-Württemberg State"
2020-12-28,"2 wk ahead inc case",2021-01-09,"GM01","quantile",0.025,14106.975,"Baden-Württemberg State"
2020-12-28,"2 wk ahead inc case",2021-01-09,"GM01","quantile",0.05,15053,"Baden-Württemberg State"
2020-12-28,"2 wk ahead inc case",2021-01-09,"GM01","quantile",0.1,16156,"Baden-Württemberg State"
2020-12-28,"2 wk ahead inc case",2021-01-09,"GM01","quantile",0.15,16932,"Baden-Württemberg State"
2020-12-28,"2 wk ahead inc case",2021-01-09,"GM01","quantile",0.2,17573,"Baden-Württemberg State"
2020-12-28,"2 wk ahead inc case",2021-01-09,"GM01","quantile",0.25,18156,"Baden-Württemberg State"
2020-12-28,"2 wk ahead inc case",2021-01-09,"GM01","quantile",0.3,18676.7,"Baden-Württemberg State"
2020-12-28,"2 wk ahead inc case",2021-01-09,"GM01","quantile",0.35,19175.65,"Baden-Württemberg State"
2020-12-28,"2 wk ahead inc case",2021-01-09,"GM01","quantile",0.4,19663.6,"Baden-Württemberg State"
2020-12-28,"2 wk ahead inc case",2021-01-09,"GM01","quantile",0.45,20149,"Baden-Württemberg State"
