"forecast_date","target","target_end_date","location","type","quantile","value","location_name"
2021-02-15,"-1 wk ahead inc case",2021-02-06,"PL72","observed",NA,2172,"Dolnoslaskie"
2021-02-15,"0 wk ahead inc case",2021-02-13,"PL72","observed",NA,1956,"Dolnoslaskie"
2021-02-15,"1 wk ahead inc case",2021-02-20,"PL72","point",NA,1755,"Dolnoslaskie"
2021-02-15,"2 wk ahead inc case",2021-02-27,"PL72","point",NA,1573,"Dolnoslaskie"
2021-02-15,"3 wk ahead inc case",2021-03-06,"PL72","point",NA,1410,"Dolnoslaskie"
2021-02-15,"4 wk ahead inc case",2021-03-13,"PL72","point",NA,1264,"Dolnoslaskie"
2021-02-15,"1 wk ahead inc case",2021-02-20,"PL72","quantile",0.01,1367,"Dolnoslaskie"
2021-02-15,"1 wk ahead inc case",2021-02-20,"PL72","quantile",0.025,1423,"Dolnoslaskie"
2021-02-15,"1 wk ahead inc case",2021-02-20,"PL72","quantile",0.05,1474,"Dolnoslaskie"
2021-02-15,"1 wk ahead inc case",2021-02-20,"PL72","quantile",0.1,1533,"Dolnoslaskie"
2021-02-15,"1 wk ahead inc case",2021-02-20,"PL72","quantile",0.15,1574,"Dolnoslaskie"
2021-02-15,"1 wk ahead inc case",2021-02-20,"PL72","quantile",0.2,1608,"Dolnoslaskie"
2021-02-15,"1 wk ahead inc case",2021-02-20,"PL72","quantile",0.25,1637,"Dolnoslaskie"
2021-02-15,"1 wk ahead inc case",2021-02-20,"PL72","quantile",0.3,1662,"Dolnoslaskie"
2021-02-15,"1 wk ahead inc case",2021-02-20,"PL72","quantile",0.35,1687,"Dolnoslaskie"
2021-02-15,"1 wk ahead inc case",2021-02-20,"PL72","quantile",0.4,1710,"Dolnoslaskie"
2021-02-15,"1 wk ahead inc case",2021-02-20,"PL72","quantile",0.45,1732,"Dolnoslaskie"
2021-02-15,"1 wk ahead inc case",2021-02-20,"PL72","quantile",0.5,1755,"Dolnoslaskie"
2021-02-15,"1 wk ahead inc case",2021-02-20,"PL72","quantile",0.55,1778,"Dolnoslaskie"
2021-02-15,"1 wk ahead inc case",2021-02-20,"PL72","quantile",0.6,1801,"Dolnoslaskie"
