"forecast_date","target","target_end_date","location","location_name","type","quantile","value"
2020-10-19,"1 wk ahead inc case",2020-10-24,"GM01","Baden-Wurttemberg","point",NA,6688
2020-10-19,"2 wk ahead inc case",2020-10-31,"GM01","Baden-Wurttemberg","point",NA,7977
2020-10-19,"3 wk ahead inc case",2020-11-07,"GM01","Baden-Wurttemberg","point",NA,9478
2020-10-19,"4 wk ahead inc case",2020-11-14,"GM01","Baden-Wurttemberg","point",NA,11104
2020-10-19,"1 wk ahead inc case",2020-10-24,"GM01","Baden-Wurttemberg","quantile",0.01,1258
2020-10-19,"1 wk ahead inc case",2020-10-24,"GM01","Baden-Wurttemberg","quantile",0.025,2065
2020-10-19,"1 wk ahead inc case",2020-10-24,"GM01","Baden-Wurttemberg","quantile",0.05,2806
2020-10-19,"1 wk ahead inc case",2020-10-24,"GM01","Baden-Wurttemberg","quantile",0.1,3664
2020-10-19,"1 wk ahead inc case",2020-10-24,"GM01","Baden-Wurttemberg","quantile",0.15,4238
2020-10-19,"1 wk ahead inc case",2020-10-24,"GM01","Baden-Wurttemberg","quantile",0.2,4670
2020-10-19,"1 wk ahead inc case",2020-10-24,"GM01","Baden-Wurttemberg","quantile",0.25,5080
2020-10-19,"1 wk ahead inc case",2020-10-24,"GM01","Baden-Wurttemberg","quantile",0.3,5458
2020-10-19,"1 wk ahead inc case",2020-10-24,"GM01","Baden-Wurttemberg","quantile",0.35,5783
2020-10-19,"1 wk ahead inc case",2020-10-24,"GM01","Baden-Wurttemberg","quantile",0.4,6102
2020-10-19,"1 wk ahead inc case",2020-10-24,"GM01","Baden-Wurttemberg","quantile",0.45,6391
2020-10-19,"1 wk ahead inc case",2020-10-24,"GM01","Baden-Wurttemberg","quantile",0.5,6688
2020-10-19,"1 wk ahead inc case",2020-10-24,"GM01","Baden-Wurttemberg","quantile",0.55,7013
2020-10-19,"1 wk ahead inc case",2020-10-24,"GM01","Baden-Wurttemberg","quantile",0.6,7331
2020-10-19,"1 wk ahead inc case",2020-10-24,"GM01","Baden-Wurttemberg","quantile",0.65,7649
2020-10-19,"1 wk ahead inc case",2020-10-24,"GM01","Baden-Wurttemberg","quantile",0.7,8002
2020-10-19,"1 wk ahead inc case",2020-10-24,"GM01","Baden-Wurttemberg","quantile",0.75,8340
2020-10-19,"1 wk ahead inc case",2020-10-24,"GM01","Baden-Wurttemberg","quantile",0.8,8729
2020-10-19,"1 wk ahead inc case",2020-10-24,"GM01","Baden-Wurttemberg","quantile",0.85,9210
2020-10-19,"1 wk ahead inc case",2020-10-24,"GM01","Baden-Wurttemberg","quantile",0.9,9836
2020-10-19,"1 wk ahead inc case",2020-10-24,"GM01","Baden-Wurttemberg","quantile",0.95,10700
2020-10-19,"1 wk ahead inc case",2020-10-24,"GM01","Baden-Wurttemberg","quantile",0.975,11444
2020-10-19,"1 wk ahead inc case",2020-10-24,"GM01","Baden-Wurttemberg","quantile",0.99,12312
2020-10-19,"2 wk ahead inc case",2020-10-31,"GM01","Baden-Wurttemberg","quantile",0.01,663
2020-10-19,"2 wk ahead inc case",2020-10-31,"GM01","Baden-Wurttemberg","quantile",0.025,1447
2020-10-19,"2 wk ahead inc case",2020-10-31,"GM01","Baden-Wurttemberg","quantile",0.05,2248
2020-10-19,"2 wk ahead inc case",2020-10-31,"GM01","Baden-Wurttemberg","quantile",0.1,3255
2020-10-19,"2 wk ahead inc case",2020-10-31,"GM01","Baden-Wurttemberg","quantile",0.15,4049
2020-10-19,"2 wk ahead inc case",2020-10-31,"GM01","Baden-Wurttemberg","quantile",0.2,4739
2020-10-19,"2 wk ahead inc case",2020-10-31,"GM01","Baden-Wurttemberg","quantile",0.25,5358
2020-10-19,"2 wk ahead inc case",2020-10-31,"GM01","Baden-Wurttemberg","quantile",0.3,5904
2020-10-19,"2 wk ahead inc case",2020-10-31,"GM01","Baden-Wurttemberg","quantile",0.35,6409
2020-10-19,"2 wk ahead inc case",2020-10-31,"GM01","Baden-Wurttemberg","quantile",0.4,6922
2020-10-19,"2 wk ahead inc case",2020-10-31,"GM01","Baden-Wurttemberg","quantile",0.45,7501
2020-10-19,"2 wk ahead inc case",2020-10-31,"GM01","Baden-Wurttemberg","quantile",0.5,7977
2020-10-19,"2 wk ahead inc case",2020-10-31,"GM01","Baden-Wurttemberg","quantile",0.55,8528
2020-10-19,"2 wk ahead inc case",2020-10-31,"GM01","Baden-Wurttemberg","quantile",0.6,9128
2020-10-19,"2 wk ahead inc case",2020-10-31,"GM01","Baden-Wurttemberg","quantile",0.65,9757
2020-10-19,"2 wk ahead inc case",2020-10-31,"GM01","Baden-Wurttemberg","quantile",0.7,10447
2020-10-19,"2 wk ahead inc case",2020-10-31,"GM01","Baden-Wurttemberg","quantile",0.75,11203
2020-10-19,"2 wk ahead inc case",2020-10-31,"GM01","Baden-Wurttemberg","quantile",0.8,12138
2020-10-19,"2 wk ahead inc case",2020-10-31,"GM01","Baden-Wurttemberg","quantile",0.85,13207
2020-10-19,"2 wk ahead inc case",2020-10-31,"GM01","Baden-Wurttemberg","quantile",0.9,14509
2020-10-19,"2 wk ahead inc case",2020-10-31,"GM01","Baden-Wurttemberg","quantile",0.95,16924
2020-10-19,"2 wk ahead inc case",2020-10-31,"GM01","Baden-Wurttemberg","quantile",0.975,18752
2020-10-19,"2 wk ahead inc case",2020-10-31,"GM01","Baden-Wurttemberg","quantile",0.99,21128
2020-10-19,"3 wk ahead inc case",2020-11-07,"GM01","Baden-Wurttemberg","quantile",0.01,298
2020-10-19,"3 wk ahead inc case",2020-11-07,"GM01","Baden-Wurttemberg","quantile",0.025,1133
2020-10-19,"3 wk ahead inc case",2020-11-07,"GM01","Baden-Wurttemberg","quantile",0.05,1950
2020-10-19,"3 wk ahead inc case",2020-11-07,"GM01","Baden-Wurttemberg","quantile",0.1,3069
2020-10-19,"3 wk ahead inc case",2020-11-07,"GM01","Baden-Wurttemberg","quantile",0.15,4059
2020-10-19,"3 wk ahead inc case",2020-11-07,"GM01","Baden-Wurttemberg","quantile",0.2,4861
2020-10-19,"3 wk ahead inc case",2020-11-07,"GM01","Baden-Wurttemberg","quantile",0.25,5618
2020-10-19,"3 wk ahead inc case",2020-11-07,"GM01","Baden-Wurttemberg","quantile",0.3,6365
2020-10-19,"3 wk ahead inc case",2020-11-07,"GM01","Baden-Wurttemberg","quantile",0.35,7115
2020-10-19,"3 wk ahead inc case",2020-11-07,"GM01","Baden-Wurttemberg","quantile",0.4,7863
2020-10-19,"3 wk ahead inc case",2020-11-07,"GM01","Baden-Wurttemberg","quantile",0.45,8676
2020-10-19,"3 wk ahead inc case",2020-11-07,"GM01","Baden-Wurttemberg","quantile",0.5,9478
2020-10-19,"3 wk ahead inc case",2020-11-07,"GM01","Baden-Wurttemberg","quantile",0.55,10359
2020-10-19,"3 wk ahead inc case",2020-11-07,"GM01","Baden-Wurttemberg","quantile",0.6,11154
2020-10-19,"3 wk ahead inc case",2020-11-07,"GM01","Baden-Wurttemberg","quantile",0.65,12245
2020-10-19,"3 wk ahead inc case",2020-11-07,"GM01","Baden-Wurttemberg","quantile",0.7,13282
2020-10-19,"3 wk ahead inc case",2020-11-07,"GM01","Baden-Wurttemberg","quantile",0.75,14653
2020-10-19,"3 wk ahead inc case",2020-11-07,"GM01","Baden-Wurttemberg","quantile",0.8,16145
2020-10-19,"3 wk ahead inc case",2020-11-07,"GM01","Baden-Wurttemberg","quantile",0.85,18001
2020-10-19,"3 wk ahead inc case",2020-11-07,"GM01","Baden-Wurttemberg","quantile",0.9,20623
2020-10-19,"3 wk ahead inc case",2020-11-07,"GM01","Baden-Wurttemberg","quantile",0.95,24496
2020-10-19,"3 wk ahead inc case",2020-11-07,"GM01","Baden-Wurttemberg","quantile",0.975,28873
2020-10-19,"3 wk ahead inc case",2020-11-07,"GM01","Baden-Wurttemberg","quantile",0.99,34598
2020-10-19,"4 wk ahead inc case",2020-11-14,"GM01","Baden-Wurttemberg","quantile",0.01,127
2020-10-19,"4 wk ahead inc case",2020-11-14,"GM01","Baden-Wurttemberg","quantile",0.025,926
2020-10-19,"4 wk ahead inc case",2020-11-14,"GM01","Baden-Wurttemberg","quantile",0.05,1759
2020-10-19,"4 wk ahead inc case",2020-11-14,"GM01","Baden-Wurttemberg","quantile",0.1,3000
2020-10-19,"4 wk ahead inc case",2020-11-14,"GM01","Baden-Wurttemberg","quantile",0.15,4085
2020-10-19,"4 wk ahead inc case",2020-11-14,"GM01","Baden-Wurttemberg","quantile",0.2,5108
2020-10-19,"4 wk ahead inc case",2020-11-14,"GM01","Baden-Wurttemberg","quantile",0.25,6137
2020-10-19,"4 wk ahead inc case",2020-11-14,"GM01","Baden-Wurttemberg","quantile",0.3,7083
2020-10-19,"4 wk ahead inc case",2020-11-14,"GM01","Baden-Wurttemberg","quantile",0.35,8030
