"forecast_date","target","target_end_date","location","location_name","type","quantile","value"
2020-11-09,"1 wk ahead inc case",2020-11-14,"PL72","Dolnoslaskie Province","point",NA,20500
2020-11-09,"2 wk ahead inc case",2020-11-21,"PL72","Dolnoslaskie Province","point",NA,35886
2020-11-09,"3 wk ahead inc case",2020-11-28,"PL72","Dolnoslaskie Province","point",NA,62253
2020-11-09,"4 wk ahead inc case",2020-12-05,"PL72","Dolnoslaskie Province","point",NA,105319
2020-11-09,"1 wk ahead inc case",2020-11-14,"PL72","Dolnoslaskie Province","quantile",0.01,6153
2020-11-09,"1 wk ahead inc case",2020-11-14,"PL72","Dolnoslaskie Province","quantile",0.025,8544
2020-11-09,"1 wk ahead inc case",2020-11-14,"PL72","Dolnoslaskie Province","quantile",0.05,10399
2020-11-09,"1 wk ahead inc case",2020-11-14,"PL72","Dolnoslaskie Province","quantile",0.1,12698
2020-11-09,"1 wk ahead inc case",2020-11-14,"PL72","Dolnoslaskie Province","quantile",0.15,14247
2020-11-09,"1 wk ahead inc case",2020-11-14,"PL72","Dolnoslaskie Province","quantile",0.2,15393
2020-11-09,"1 wk ahead inc case",2020-11-14,"PL72","Dolnoslaskie Province","quantile",0.25,16358
2020-11-09,"1 wk ahead inc case",2020-11-14,"PL72","Dolnoslaskie Province","quantile",0.3,17313
2020-11-09,"1 wk ahead inc case",2020-11-14,"PL72","Dolnoslaskie Province","quantile",0.35,18129
2020-11-09,"1 wk ahead inc case",2020-11-14,"PL72","Dolnoslaskie Province","quantile",0.4,18957
2020-11-09,"1 wk ahead inc case",2020-11-14,"PL72","Dolnoslaskie Province","quantile",0.45,19757
2020-11-09,"1 wk ahead inc case",2020-11-14,"PL72","Dolnoslaskie Province","quantile",0.5,20500
2020-11-09,"1 wk ahead inc case",2020-11-14,"PL72","Dolnoslaskie Province","quantile",0.55,21269
2020-11-09,"1 wk ahead inc case",2020-11-14,"PL72","Dolnoslaskie Province","quantile",0.6,22067
2020-11-09,"1 wk ahead inc case",2020-11-14,"PL72","Dolnoslaskie Province","quantile",0.65,22938
2020-11-09,"1 wk ahead inc case",2020-11-14,"PL72","Dolnoslaskie Province","quantile",0.7,23771
2020-11-09,"1 wk ahead inc case",2020-11-14,"PL72","Dolnoslaskie Province","quantile",0.75,24612
2020-11-09,"1 wk ahead inc case",2020-11-14,"PL72","Dolnoslaskie Province","quantile",0.8,25705
2020-11-09,"1 wk ahead inc case",2020-11-14,"PL72","Dolnoslaskie Province","quantile",0.85,26873
2020-11-09,"1 wk ahead inc case",2020-11-14,"PL72","Dolnoslaskie Province","quantile",0.9,28319
2020-11-09,"1 wk ahead inc case",2020-11-14,"PL72","Dolnoslaskie Province","quantile",0.95,30612
2020-11-09,"1 wk ahead inc case",2020-11-14,"PL72","Dolnoslaskie Province","quantile",0.975,32757
2020-11-09,"1 wk ahead inc case",2020-11-14,"PL72","Dolnoslaskie Province","quantile",0.99,34947
2020-11-09,"2 wk ahead inc case",2020-11-21,"PL72","Dolnoslaskie Province","quantile",0.01,6106
2020-11-09,"2 wk ahead inc case",2020-11-21,"PL72","Dolnoslaskie Province","quantile",0.025,9043
2020-11-09,"2 wk ahead inc case",2020-11-21,"PL72","Dolnoslaskie Province","quantile",0.05,11772
2020-11-09,"2 wk ahead inc case",2020-11-21,"PL72","Dolnoslaskie Province","quantile",0.1,15882
2020-11-09,"2 wk ahead inc case",2020-11-21,"PL72","Dolnoslaskie Province","quantile",0.15,19043
2020-11-09,"2 wk ahead inc case",2020-11-21,"PL72","Dolnoslaskie Province","quantile",0.2,21822
2020-11-09,"2 wk ahead inc case",2020-11-21,"PL72","Dolnoslaskie Province","quantile",0.25,24372
2020-11-09,"2 wk ahead inc case",2020-11-21,"PL72","Dolnoslaskie Province","quantile",0.3,26587
2020-11-09,"2 wk ahead inc case",2020-11-21,"PL72","Dolnoslaskie Province","quantile",0.35,28859
2020-11-09,"2 wk ahead inc case",2020-11-21,"PL72","Dolnoslaskie Province","quantile",0.4,31032
2020-11-09,"2 wk ahead inc case",2020-11-21,"PL72","Dolnoslaskie Province","quantile",0.45,33407
2020-11-09,"2 wk ahead inc case",2020-11-21,"PL72","Dolnoslaskie Province","quantile",0.5,35886
2020-11-09,"2 wk ahead inc case",2020-11-21,"PL72","Dolnoslaskie Province","quantile",0.55,38757
2020-11-09,"2 wk ahead inc case",2020-11-21,"PL72","Dolnoslaskie Province","quantile",0.6,41416
2020-11-09,"2 wk ahead inc case",2020-11-21,"PL72","Dolnoslaskie Province","quantile",0.65,44409
2020-11-09,"2 wk ahead inc case",2020-11-21,"PL72","Dolnoslaskie Province","quantile",0.7,47649
2020-11-09,"2 wk ahead inc case",2020-11-21,"PL72","Dolnoslaskie Province","quantile",0.75,51225
2020-11-09,"2 wk ahead inc case",2020-11-21,"PL72","Dolnoslaskie Province","quantile",0.8,55433
2020-11-09,"2 wk ahead inc case",2020-11-21,"PL72","Dolnoslaskie Province","quantile",0.85,61091
2020-11-09,"2 wk ahead inc case",2020-11-21,"PL72","Dolnoslaskie Province","quantile",0.9,68094
2020-11-09,"2 wk ahead inc case",2020-11-21,"PL72","Dolnoslaskie Province","quantile",0.95,78421
2020-11-09,"2 wk ahead inc case",2020-11-21,"PL72","Dolnoslaskie Province","quantile",0.975,90021
2020-11-09,"2 wk ahead inc case",2020-11-21,"PL72","Dolnoslaskie Province","quantile",0.99,104325
2020-11-09,"3 wk ahead inc case",2020-11-28,"PL72","Dolnoslaskie Province","quantile",0.01,4573
2020-11-09,"3 wk ahead inc case",2020-11-28,"PL72","Dolnoslaskie Province","quantile",0.025,7867
2020-11-09,"3 wk ahead inc case",2020-11-28,"PL72","Dolnoslaskie Province","quantile",0.05,11422
2020-11-09,"3 wk ahead inc case",2020-11-28,"PL72","Dolnoslaskie Province","quantile",0.1,17672
2020-11-09,"3 wk ahead inc case",2020-11-28,"PL72","Dolnoslaskie Province","quantile",0.15,23146
2020-11-09,"3 wk ahead inc case",2020-11-28,"PL72","Dolnoslaskie Province","quantile",0.2,28301
2020-11-09,"3 wk ahead inc case",2020-11-28,"PL72","Dolnoslaskie Province","quantile",0.25,33345
2020-11-09,"3 wk ahead inc case",2020-11-28,"PL72","Dolnoslaskie Province","quantile",0.3,38577
2020-11-09,"3 wk ahead inc case",2020-11-28,"PL72","Dolnoslaskie Province","quantile",0.35,43908
2020-11-09,"3 wk ahead inc case",2020-11-28,"PL72","Dolnoslaskie Province","quantile",0.4,49214
2020-11-09,"3 wk ahead inc case",2020-11-28,"PL72","Dolnoslaskie Province","quantile",0.45,55409
2020-11-09,"3 wk ahead inc case",2020-11-28,"PL72","Dolnoslaskie Province","quantile",0.5,62253
2020-11-09,"3 wk ahead inc case",2020-11-28,"PL72","Dolnoslaskie Province","quantile",0.55,69877
2020-11-09,"3 wk ahead inc case",2020-11-28,"PL72","Dolnoslaskie Province","quantile",0.6,78762
2020-11-09,"3 wk ahead inc case",2020-11-28,"PL72","Dolnoslaskie Province","quantile",0.65,87067
2020-11-09,"3 wk ahead inc case",2020-11-28,"PL72","Dolnoslaskie Province","quantile",0.7,97063
2020-11-09,"3 wk ahead inc case",2020-11-28,"PL72","Dolnoslaskie Province","quantile",0.75,108716
2020-11-09,"3 wk ahead inc case",2020-11-28,"PL72","Dolnoslaskie Province","quantile",0.8,124007
2020-11-09,"3 wk ahead inc case",2020-11-28,"PL72","Dolnoslaskie Province","quantile",0.85,145095
2020-11-09,"3 wk ahead inc case",2020-11-28,"PL72","Dolnoslaskie Province","quantile",0.9,172100
2020-11-09,"3 wk ahead inc case",2020-11-28,"PL72","Dolnoslaskie Province","quantile",0.95,222556
2020-11-09,"3 wk ahead inc case",2020-11-28,"PL72","Dolnoslaskie Province","quantile",0.975,273062
2020-11-09,"3 wk ahead inc case",2020-11-28,"PL72","Dolnoslaskie Province","quantile",0.99,356030
2020-11-09,"4 wk ahead inc case",2020-12-05,"PL72","Dolnoslaskie Province","quantile",0.01,2821
2020-11-09,"4 wk ahead inc case",2020-12-05,"PL72","Dolnoslaskie Province","quantile",0.025,5527
2020-11-09,"4 wk ahead inc case",2020-12-05,"PL72","Dolnoslaskie Province","quantile",0.05,9639
2020-11-09,"4 wk ahead inc case",2020-12-05,"PL72","Dolnoslaskie Province","quantile",0.1,17314
2020-11-09,"4 wk ahead inc case",2020-12-05,"PL72","Dolnoslaskie Province","quantile",0.15,25874
2020-11-09,"4 wk ahead inc case",2020-12-05,"PL72","Dolnoslaskie Province","quantile",0.2,34231
2020-11-09,"4 wk ahead inc case",2020-12-05,"PL72","Dolnoslaskie Province","quantile",0.25,43216
2020-11-09,"4 wk ahead inc case",2020-12-05,"PL72","Dolnoslaskie Province","quantile",0.3,53160
2020-11-09,"4 wk ahead inc case",2020-12-05,"PL72","Dolnoslaskie Province","quantile",0.35,63879
2020-11-09,"4 wk ahead inc case",2020-12-05,"PL72","Dolnoslaskie Province","quantile",0.4,76366
2020-11-09,"4 wk ahead inc case",2020-12-05,"PL72","Dolnoslaskie Province","quantile",0.45,90612
2020-11-09,"4 wk ahead inc case",2020-12-05,"PL72","Dolnoslaskie Province","quantile",0.5,105319
2020-11-09,"4 wk ahead inc case",2020-12-05,"PL72","Dolnoslaskie Province","quantile",0.55,123627
2020-11-09,"4 wk ahead inc case",2020-12-05,"PL72","Dolnoslaskie Province","quantile",0.6,145699
2020-11-09,"4 wk ahead inc case",2020-12-05,"PL72","Dolnoslaskie Province","quantile",0.65,169882
2020-11-09,"4 wk ahead inc case",2020-12-05,"PL72","Dolnoslaskie Province","quantile",0.7,199387
2020-11-09,"4 wk ahead inc case",2020-12-05,"PL72","Dolnoslaskie Province","quantile",0.75,239774
2020-11-09,"4 wk ahead inc case",2020-12-05,"PL72","Dolnoslaskie Province","quantile",0.8,290307
2020-11-09,"4 wk ahead inc case",2020-12-05,"PL72","Dolnoslaskie Province","quantile",0.85,360105
2020-11-09,"4 wk ahead inc case",2020-12-05,"PL72","Dolnoslaskie Province","quantile",0.9,458447
2020-11-09,"4 wk ahead inc case",2020-12-05,"PL72","Dolnoslaskie Province","quantile",0.95,677573
2020-11-09,"4 wk ahead inc case",2020-12-05,"PL72","Dolnoslaskie Province","quantile",0.975,929345
2020-11-09,"4 wk ahead inc case",2020-12-05,"PL72","Dolnoslaskie Province","quantile",0.99,1333888
2020-11-09,"1 wk ahead cum case",2020-11-14,"PL72","Dolnoslaskie Province","point",NA,49962
2020-11-09,"2 wk ahead cum case",2020-11-21,"PL72","Dolnoslaskie Province","point",NA,85943
2020-11-09,"3 wk ahead cum case",2020-11-28,"PL72","Dolnoslaskie Province","point",NA,148426
2020-11-09,"4 wk ahead cum case",2020-12-05,"PL72","Dolnoslaskie Province","point",NA,255511
2020-11-09,"1 wk ahead cum case",2020-11-14,"PL72","Dolnoslaskie Province","quantile",0.01,35615
2020-11-09,"1 wk ahead cum case",2020-11-14,"PL72","Dolnoslaskie Province","quantile",0.025,38006
2020-11-09,"1 wk ahead cum case",2020-11-14,"PL72","Dolnoslaskie Province","quantile",0.05,39861
2020-11-09,"1 wk ahead cum case",2020-11-14,"PL72","Dolnoslaskie Province","quantile",0.1,42160
2020-11-09,"1 wk ahead cum case",2020-11-14,"PL72","Dolnoslaskie Province","quantile",0.15,43709
2020-11-09,"1 wk ahead cum case",2020-11-14,"PL72","Dolnoslaskie Province","quantile",0.2,44855
2020-11-09,"1 wk ahead cum case",2020-11-14,"PL72","Dolnoslaskie Province","quantile",0.25,45820
2020-11-09,"1 wk ahead cum case",2020-11-14,"PL72","Dolnoslaskie Province","quantile",0.3,46775
2020-11-09,"1 wk ahead cum case",2020-11-14,"PL72","Dolnoslaskie Province","quantile",0.35,47591
2020-11-09,"1 wk ahead cum case",2020-11-14,"PL72","Dolnoslaskie Province","quantile",0.4,48419
2020-11-09,"1 wk ahead cum case",2020-11-14,"PL72","Dolnoslaskie Province","quantile",0.45,49219
2020-11-09,"1 wk ahead cum case",2020-11-14,"PL72","Dolnoslaskie Province","quantile",0.5,49962
2020-11-09,"1 wk ahead cum case",2020-11-14,"PL72","Dolnoslaskie Province","quantile",0.55,50731
2020-11-09,"1 wk ahead cum case",2020-11-14,"PL72","Dolnoslaskie Province","quantile",0.6,51529
2020-11-09,"1 wk ahead cum case",2020-11-14,"PL72","Dolnoslaskie Province","quantile",0.65,52400
2020-11-09,"1 wk ahead cum case",2020-11-14,"PL72","Dolnoslaskie Province","quantile",0.7,53233
2020-11-09,"1 wk ahead cum case",2020-11-14,"PL72","Dolnoslaskie Province","quantile",0.75,54074
2020-11-09,"1 wk ahead cum case",2020-11-14,"PL72","Dolnoslaskie Province","quantile",0.8,55167
2020-11-09,"1 wk ahead cum case",2020-11-14,"PL72","Dolnoslaskie Province","quantile",0.85,56335
2020-11-09,"1 wk ahead cum case",2020-11-14,"PL72","Dolnoslaskie Province","quantile",0.9,57781
2020-11-09,"1 wk ahead cum case",2020-11-14,"PL72","Dolnoslaskie Province","quantile",0.95,60074
2020-11-09,"1 wk ahead cum case",2020-11-14,"PL72","Dolnoslaskie Province","quantile",0.975,62219
2020-11-09,"1 wk ahead cum case",2020-11-14,"PL72","Dolnoslaskie Province","quantile",0.99,64409
2020-11-09,"2 wk ahead cum case",2020-11-21,"PL72","Dolnoslaskie Province","quantile",0.01,43887
2020-11-09,"2 wk ahead cum case",2020-11-21,"PL72","Dolnoslaskie Province","quantile",0.025,48872
2020-11-09,"2 wk ahead cum case",2020-11-21,"PL72","Dolnoslaskie Province","quantile",0.05,53256
2020-11-09,"2 wk ahead cum case",2020-11-21,"PL72","Dolnoslaskie Province","quantile",0.1,59219
2020-11-09,"2 wk ahead cum case",2020-11-21,"PL72","Dolnoslaskie Province","quantile",0.15,63482
2020-11-09,"2 wk ahead cum case",2020-11-21,"PL72","Dolnoslaskie Province","quantile",0.2,67402
2020-11-09,"2 wk ahead cum case",2020-11-21,"PL72","Dolnoslaskie Province","quantile",0.25,70925
2020-11-09,"2 wk ahead cum case",2020-11-21,"PL72","Dolnoslaskie Province","quantile",0.3,73884
2020-11-09,"2 wk ahead cum case",2020-11-21,"PL72","Dolnoslaskie Province","quantile",0.35,76958
2020-11-09,"2 wk ahead cum case",2020-11-21,"PL72","Dolnoslaskie Province","quantile",0.4,79601
2020-11-09,"2 wk ahead cum case",2020-11-21,"PL72","Dolnoslaskie Province","quantile",0.45,82607
2020-11-09,"2 wk ahead cum case",2020-11-21,"PL72","Dolnoslaskie Province","quantile",0.5,85943
2020-11-09,"2 wk ahead cum case",2020-11-21,"PL72","Dolnoslaskie Province","quantile",0.55,89302
2020-11-09,"2 wk ahead cum case",2020-11-21,"PL72","Dolnoslaskie Province","quantile",0.6,92770
2020-11-09,"2 wk ahead cum case",2020-11-21,"PL72","Dolnoslaskie Province","quantile",0.65,96625
2020-11-09,"2 wk ahead cum case",2020-11-21,"PL72","Dolnoslaskie Province","quantile",0.7,100413
2020-11-09,"2 wk ahead cum case",2020-11-21,"PL72","Dolnoslaskie Province","quantile",0.75,104873
2020-11-09,"2 wk ahead cum case",2020-11-21,"PL72","Dolnoslaskie Province","quantile",0.8,109819
2020-11-09,"2 wk ahead cum case",2020-11-21,"PL72","Dolnoslaskie Province","quantile",0.85,116244
2020-11-09,"2 wk ahead cum case",2020-11-21,"PL72","Dolnoslaskie Province","quantile",0.9,124457
2020-11-09,"2 wk ahead cum case",2020-11-21,"PL72","Dolnoslaskie Province","quantile",0.95,136891
2020-11-09,"2 wk ahead cum case",2020-11-21,"PL72","Dolnoslaskie Province","quantile",0.975,150155
2020-11-09,"2 wk ahead cum case",2020-11-21,"PL72","Dolnoslaskie Province","quantile",0.99,166264
2020-11-09,"3 wk ahead cum case",2020-11-28,"PL72","Dolnoslaskie Province","quantile",0.01,49685
2020-11-09,"3 wk ahead cum case",2020-11-28,"PL72","Dolnoslaskie Province","quantile",0.025,58034
