"forecast_date","target","target_end_date","location","location_name","type","quantile","value"
2020-11-30,"1 wk ahead inc death",2020-12-05,"PL72","Dolnośląskie Province","point",NA,307
2020-11-30,"2 wk ahead inc death",2020-12-12,"PL72","Dolnośląskie Province","point",NA,315
2020-11-30,"3 wk ahead inc death",2020-12-19,"PL72","Dolnośląskie Province","point",NA,315
2020-11-30,"4 wk ahead inc death",2020-12-26,"PL72","Dolnośląskie Province","point",NA,308
2020-11-30,"1 wk ahead inc death",2020-12-05,"PL72","Dolnośląskie Province","quantile",0.01,10
2020-11-30,"1 wk ahead inc death",2020-12-05,"PL72","Dolnośląskie Province","quantile",0.025,53
2020-11-30,"1 wk ahead inc death",2020-12-05,"PL72","Dolnośląskie Province","quantile",0.05,91
2020-11-30,"1 wk ahead inc death",2020-12-05,"PL72","Dolnośląskie Province","quantile",0.1,139
2020-11-30,"1 wk ahead inc death",2020-12-05,"PL72","Dolnośląskie Province","quantile",0.15,173
2020-11-30,"1 wk ahead inc death",2020-12-05,"PL72","Dolnośląskie Province","quantile",0.2,197
2020-11-30,"1 wk ahead inc death",2020-12-05,"PL72","Dolnośląskie Province","quantile",0.25,219
2020-11-30,"1 wk ahead inc death",2020-12-05,"PL72","Dolnośląskie Province","quantile",0.3,237
2020-11-30,"1 wk ahead inc death",2020-12-05,"PL72","Dolnośląskie Province","quantile",0.35,255
2020-11-30,"1 wk ahead inc death",2020-12-05,"PL72","Dolnośląskie Province","quantile",0.4,272
2020-11-30,"1 wk ahead inc death",2020-12-05,"PL72","Dolnośląskie Province","quantile",0.45,290
2020-11-30,"1 wk ahead inc death",2020-12-05,"PL72","Dolnośląskie Province","quantile",0.5,307
2020-11-30,"1 wk ahead inc death",2020-12-05,"PL72","Dolnośląskie Province","quantile",0.55,322
2020-11-30,"1 wk ahead inc death",2020-12-05,"PL72","Dolnośląskie Province","quantile",0.6,339
2020-11-30,"1 wk ahead inc death",2020-12-05,"PL72","Dolnośląskie Province","quantile",0.65,356
2020-11-30,"1 wk ahead inc death",2020-12-05,"PL72","Dolnośląskie Province","quantile",0.7,374
2020-11-30,"1 wk ahead inc death",2020-12-05,"PL72","Dolnośląskie Province","quantile",0.75,392
2020-11-30,"1 wk ahead inc death",2020-12-05,"PL72","Dolnośląskie Province","quantile",0.8,415
2020-11-30,"1 wk ahead inc death",2020-12-05,"PL72","Dolnośląskie Province","quantile",0.85,442
2020-11-30,"1 wk ahead inc death",2020-12-05,"PL72","Dolnośląskie Province","quantile",0.9,472
2020-11-30,"1 wk ahead inc death",2020-12-05,"PL72","Dolnośląskie Province","quantile",0.95,519
2020-11-30,"1 wk ahead inc death",2020-12-05,"PL72","Dolnośląskie Province","quantile",0.975,561
2020-11-30,"1 wk ahead inc death",2020-12-05,"PL72","Dolnośląskie Province","quantile",0.99,609
2020-11-30,"2 wk ahead inc death",2020-12-12,"PL72","Dolnośląskie Province","quantile",0.01,1
2020-11-30,"2 wk ahead inc death",2020-12-12,"PL72","Dolnośląskie Province","quantile",0.025,30
2020-11-30,"2 wk ahead inc death",2020-12-12,"PL72","Dolnośląskie Province","quantile",0.05,51
2020-11-30,"2 wk ahead inc death",2020-12-12,"PL72","Dolnośląskie Province","quantile",0.1,87
2020-11-30,"2 wk ahead inc death",2020-12-12,"PL72","Dolnośląskie Province","quantile",0.15,117
2020-11-30,"2 wk ahead inc death",2020-12-12,"PL72","Dolnośląskie Province","quantile",0.2,148
2020-11-30,"2 wk ahead inc death",2020-12-12,"PL72","Dolnośląskie Province","quantile",0.25,176
2020-11-30,"2 wk ahead inc death",2020-12-12,"PL72","Dolnośląskie Province","quantile",0.3,202
2020-11-30,"2 wk ahead inc death",2020-12-12,"PL72","Dolnośląskie Province","quantile",0.35,230
2020-11-30,"2 wk ahead inc death",2020-12-12,"PL72","Dolnośląskie Province","quantile",0.4,259
2020-11-30,"2 wk ahead inc death",2020-12-12,"PL72","Dolnośląskie Province","quantile",0.45,287
2020-11-30,"2 wk ahead inc death",2020-12-12,"PL72","Dolnośląskie Province","quantile",0.5,315
2020-11-30,"2 wk ahead inc death",2020-12-12,"PL72","Dolnośląskie Province","quantile",0.55,347
2020-11-30,"2 wk ahead inc death",2020-12-12,"PL72","Dolnośląskie Province","quantile",0.6,382
2020-11-30,"2 wk ahead inc death",2020-12-12,"PL72","Dolnośląskie Province","quantile",0.65,418
2020-11-30,"2 wk ahead inc death",2020-12-12,"PL72","Dolnośląskie Province","quantile",0.7,456
2020-11-30,"2 wk ahead inc death",2020-12-12,"PL72","Dolnośląskie Province","quantile",0.75,507
2020-11-30,"2 wk ahead inc death",2020-12-12,"PL72","Dolnośląskie Province","quantile",0.8,561
2020-11-30,"2 wk ahead inc death",2020-12-12,"PL72","Dolnośląskie Province","quantile",0.85,631
2020-11-30,"2 wk ahead inc death",2020-12-12,"PL72","Dolnośląskie Province","quantile",0.9,732
2020-11-30,"2 wk ahead inc death",2020-12-12,"PL72","Dolnośląskie Province","quantile",0.95,901
2020-11-30,"2 wk ahead inc death",2020-12-12,"PL72","Dolnośląskie Province","quantile",0.975,1041
2020-11-30,"2 wk ahead inc death",2020-12-12,"PL72","Dolnośląskie Province","quantile",0.99,1252
2020-11-30,"3 wk ahead inc death",2020-12-19,"PL72","Dolnośląskie Province","quantile",0.01,2
2020-11-30,"3 wk ahead inc death",2020-12-19,"PL72","Dolnośląskie Province","quantile",0.025,11
2020-11-30,"3 wk ahead inc death",2020-12-19,"PL72","Dolnośląskie Province","quantile",0.05,23
2020-11-30,"3 wk ahead inc death",2020-12-19,"PL72","Dolnośląskie Province","quantile",0.1,46
2020-11-30,"3 wk ahead inc death",2020-12-19,"PL72","Dolnośląskie Province","quantile",0.15,71
2020-11-30,"3 wk ahead inc death",2020-12-19,"PL72","Dolnośląskie Province","quantile",0.2,98
2020-11-30,"3 wk ahead inc death",2020-12-19,"PL72","Dolnośląskie Province","quantile",0.25,127
2020-11-30,"3 wk ahead inc death",2020-12-19,"PL72","Dolnośląskie Province","quantile",0.3,157
2020-11-30,"3 wk ahead inc death",2020-12-19,"PL72","Dolnośląskie Province","quantile",0.35,193
2020-11-30,"3 wk ahead inc death",2020-12-19,"PL72","Dolnośląskie Province","quantile",0.4,230
2020-11-30,"3 wk ahead inc death",2020-12-19,"PL72","Dolnośląskie Province","quantile",0.45,271
2020-11-30,"3 wk ahead inc death",2020-12-19,"PL72","Dolnośląskie Province","quantile",0.5,315
2020-11-30,"3 wk ahead inc death",2020-12-19,"PL72","Dolnośląskie Province","quantile",0.55,368
2020-11-30,"3 wk ahead inc death",2020-12-19,"PL72","Dolnośląskie Province","quantile",0.6,429
2020-11-30,"3 wk ahead inc death",2020-12-19,"PL72","Dolnośląskie Province","quantile",0.65,493
2020-11-30,"3 wk ahead inc death",2020-12-19,"PL72","Dolnośląskie Province","quantile",0.7,581
2020-11-30,"3 wk ahead inc death",2020-12-19,"PL72","Dolnośląskie Province","quantile",0.75,679
2020-11-30,"3 wk ahead inc death",2020-12-19,"PL72","Dolnośląskie Province","quantile",0.8,807
2020-11-30,"3 wk ahead inc death",2020-12-19,"PL72","Dolnośląskie Province","quantile",0.85,978
2020-11-30,"3 wk ahead inc death",2020-12-19,"PL72","Dolnośląskie Province","quantile",0.9,1240
2020-11-30,"3 wk ahead inc death",2020-12-19,"PL72","Dolnośląskie Province","quantile",0.95,1734
2020-11-30,"3 wk ahead inc death",2020-12-19,"PL72","Dolnośląskie Province","quantile",0.975,2339
2020-11-30,"3 wk ahead inc death",2020-12-19,"PL72","Dolnośląskie Province","quantile",0.99,3062
2020-11-30,"4 wk ahead inc death",2020-12-26,"PL72","Dolnośląskie Province","quantile",0.01,0
2020-11-30,"4 wk ahead inc death",2020-12-26,"PL72","Dolnośląskie Province","quantile",0.025,3
