"forecast_date","target","target_end_date","location","location_name","type","quantile","value"
2020-12-28,"1 wk ahead inc death",2021-01-02,"GM01","Baden-Wurttemberg","point",NA,682
2020-12-28,"2 wk ahead inc death",2021-01-09,"GM01","Baden-Wurttemberg","point",NA,780
2020-12-28,"3 wk ahead inc death",2021-01-16,"GM01","Baden-Wurttemberg","point",NA,885
2020-12-28,"4 wk ahead inc death",2021-01-23,"GM01","Baden-Wurttemberg","point",NA,1026
2020-12-28,"1 wk ahead inc death",2021-01-02,"GM01","Baden-Wurttemberg","quantile",0.01,352
2020-12-28,"1 wk ahead inc death",2021-01-02,"GM01","Baden-Wurttemberg","quantile",0.025,406
2020-12-28,"1 wk ahead inc death",2021-01-02,"GM01","Baden-Wurttemberg","quantile",0.05,450
2020-12-28,"1 wk ahead inc death",2021-01-02,"GM01","Baden-Wurttemberg","quantile",0.1,502
2020-12-28,"1 wk ahead inc death",2021-01-02,"GM01","Baden-Wurttemberg","quantile",0.15,537
2020-12-28,"1 wk ahead inc death",2021-01-02,"GM01","Baden-Wurttemberg","quantile",0.2,564
2020-12-28,"1 wk ahead inc death",2021-01-02,"GM01","Baden-Wurttemberg","quantile",0.25,588
2020-12-28,"1 wk ahead inc death",2021-01-02,"GM01","Baden-Wurttemberg","quantile",0.3,610
2020-12-28,"1 wk ahead inc death",2021-01-02,"GM01","Baden-Wurttemberg","quantile",0.35,629
2020-12-28,"1 wk ahead inc death",2021-01-02,"GM01","Baden-Wurttemberg","quantile",0.4,647
2020-12-28,"1 wk ahead inc death",2021-01-02,"GM01","Baden-Wurttemberg","quantile",0.45,665
2020-12-28,"1 wk ahead inc death",2021-01-02,"GM01","Baden-Wurttemberg","quantile",0.5,682
2020-12-28,"1 wk ahead inc death",2021-01-02,"GM01","Baden-Wurttemberg","quantile",0.55,700
2020-12-28,"1 wk ahead inc death",2021-01-02,"GM01","Baden-Wurttemberg","quantile",0.6,718
2020-12-28,"1 wk ahead inc death",2021-01-02,"GM01","Baden-Wurttemberg","quantile",0.65,737
2020-12-28,"1 wk ahead inc death",2021-01-02,"GM01","Baden-Wurttemberg","quantile",0.7,758
2020-12-28,"1 wk ahead inc death",2021-01-02,"GM01","Baden-Wurttemberg","quantile",0.75,779
2020-12-28,"1 wk ahead inc death",2021-01-02,"GM01","Baden-Wurttemberg","quantile",0.8,801
2020-12-28,"1 wk ahead inc death",2021-01-02,"GM01","Baden-Wurttemberg","quantile",0.85,825
2020-12-28,"1 wk ahead inc death",2021-01-02,"GM01","Baden-Wurttemberg","quantile",0.9,859
2020-12-28,"1 wk ahead inc death",2021-01-02,"GM01","Baden-Wurttemberg","quantile",0.95,914
2020-12-28,"1 wk ahead inc death",2021-01-02,"GM01","Baden-Wurttemberg","quantile",0.975,958
2020-12-28,"1 wk ahead inc death",2021-01-02,"GM01","Baden-Wurttemberg","quantile",0.99,1003
2020-12-28,"2 wk ahead inc death",2021-01-09,"GM01","Baden-Wurttemberg","quantile",0.01,384
2020-12-28,"2 wk ahead inc death",2021-01-09,"GM01","Baden-Wurttemberg","quantile",0.025,440
2020-12-28,"2 wk ahead inc death",2021-01-09,"GM01","Baden-Wurttemberg","quantile",0.05,486
2020-12-28,"2 wk ahead inc death",2021-01-09,"GM01","Baden-Wurttemberg","quantile",0.1,546
2020-12-28,"2 wk ahead inc death",2021-01-09,"GM01","Baden-Wurttemberg","quantile",0.15,587
2020-12-28,"2 wk ahead inc death",2021-01-09,"GM01","Baden-Wurttemberg","quantile",0.2,621
2020-12-28,"2 wk ahead inc death",2021-01-09,"GM01","Baden-Wurttemberg","quantile",0.25,650
2020-12-28,"2 wk ahead inc death",2021-01-09,"GM01","Baden-Wurttemberg","quantile",0.3,674
2020-12-28,"2 wk ahead inc death",2021-01-09,"GM01","Baden-Wurttemberg","quantile",0.35,701
2020-12-28,"2 wk ahead inc death",2021-01-09,"GM01","Baden-Wurttemberg","quantile",0.4,729
