"forecast_date","target","target_end_date","location","type","quantile","value","location_name"
2020-08-10,"1 wk ahead cum death",2020-08-15,"GM","quantile",0.01,9214,"Germany"
2020-08-10,"2 wk ahead cum death",2020-08-22,"GM","quantile",0.01,9235,"Germany"
2020-08-10,"3 wk ahead cum death",2020-08-29,"GM","quantile",0.01,9256,"Germany"
2020-08-10,"4 wk ahead cum death",2020-09-05,"GM","quantile",0.01,9278,"Germany"
2020-08-10,"1 wk ahead cum death",2020-08-15,"GM","quantile",0.025,9216,"Germany"
2020-08-10,"2 wk ahead cum death",2020-08-22,"GM","quantile",0.025,9238,"Germany"
2020-08-10,"3 wk ahead cum death",2020-08-29,"GM","quantile",0.025,9261,"Germany"
2020-08-10,"4 wk ahead cum death",2020-09-05,"GM","quantile",0.025,9284,"Germany"
2020-08-10,"1 wk ahead cum death",2020-08-15,"GM","quantile",0.05,9217,"Germany"
2020-08-10,"2 wk ahead cum death",2020-08-22,"GM","quantile",0.05,9241,"Germany"
2020-08-10,"3 wk ahead cum death",2020-08-29,"GM","quantile",0.05,9266,"Germany"
2020-08-10,"4 wk ahead cum death",2020-09-05,"GM","quantile",0.05,9290,"Germany"
2020-08-10,"1 wk ahead cum death",2020-08-15,"GM","quantile",0.1,9220,"Germany"
2020-08-10,"2 wk ahead cum death",2020-08-22,"GM","quantile",0.1,9247,"Germany"
2020-08-10,"3 wk ahead cum death",2020-08-29,"GM","quantile",0.1,9274,"Germany"
2020-08-10,"4 wk ahead cum death",2020-09-05,"GM","quantile",0.1,9299,"Germany"
2020-08-10,"1 wk ahead cum death",2020-08-15,"GM","quantile",0.15,9222,"Germany"
2020-08-10,"2 wk ahead cum death",2020-08-22,"GM","quantile",0.15,9251,"Germany"
2020-08-10,"3 wk ahead cum death",2020-08-29,"GM","quantile",0.15,9279,"Germany"
2020-08-10,"4 wk ahead cum death",2020-09-05,"GM","quantile",0.15,9306,"Germany"
2020-08-10,"1 wk ahead cum death",2020-08-15,"GM","quantile",0.2,9225,"Germany"
2020-08-10,"2 wk ahead cum death",2020-08-22,"GM","quantile",0.2,9255,"Germany"
2020-08-10,"3 wk ahead cum death",2020-08-29,"GM","quantile",0.2,9284,"Germany"
2020-08-10,"4 wk ahead cum death",2020-09-05,"GM","quantile",0.2,9312,"Germany"
2020-08-10,"1 wk ahead cum death",2020-08-15,"GM","quantile",0.25,9227,"Germany"
2020-08-10,"2 wk ahead cum death",2020-08-22,"GM","quantile",0.25,9259,"Germany"
2020-08-10,"3 wk ahead cum death",2020-08-29,"GM","quantile",0.25,9289,"Germany"
2020-08-10,"4 wk ahead cum death",2020-09-05,"GM","quantile",0.25,9318,"Germany"
2020-08-10,"1 wk ahead cum death",2020-08-15,"GM","quantile",0.3,9229,"Germany"
2020-08-10,"2 wk ahead cum death",2020-08-22,"GM","quantile",0.3,9262,"Germany"
2020-08-10,"3 wk ahead cum death",2020-08-29,"GM","quantile",0.3,9294,"Germany"
2020-08-10,"4 wk ahead cum death",2020-09-05,"GM","quantile",0.3,9324,"Germany"
2020-08-10,"1 wk ahead cum death",2020-08-15,"GM","quantile",0.35,9231,"Germany"
2020-08-10,"2 wk ahead cum death",2020-08-22,"GM","quantile",0.35,9265,"Germany"
2020-08-10,"3 wk ahead cum death",2020-08-29,"GM","quantile",0.35,9297,"Germany"
2020-08-10,"4 wk ahead cum death",2020-09-05,"GM","quantile",0.35,9329,"Germany"
2020-08-10,"1 wk ahead cum death",2020-08-15,"GM","quantile",0.4,9233,"Germany"
2020-08-10,"2 wk ahead cum death",2020-08-22,"GM","quantile",0.4,9269,"Germany"
2020-08-10,"3 wk ahead cum death",2020-08-29,"GM","quantile",0.4,9302,"Germany"
2020-08-10,"4 wk ahead cum death",2020-09-05,"GM","quantile",0.4,9334,"Germany"
2020-08-10,"1 wk ahead cum death",2020-08-15,"GM","quantile",0.45,9235,"Germany"
2020-08-10,"2 wk ahead cum death",2020-08-22,"GM","quantile",0.45,9272,"Germany"
2020-08-10,"3 wk ahead cum death",2020-08-29,"GM","quantile",0.45,9307,"Germany"
2020-08-10,"4 wk ahead cum death",2020-09-05,"GM","quantile",0.45,9340,"Germany"
2020-08-10,"1 wk ahead cum death",2020-08-15,"GM","quantile",0.5,9237,"Germany"
2020-08-10,"2 wk ahead cum death",2020-08-22,"GM","quantile",0.5,9275,"Germany"
2020-08-10,"3 wk ahead cum death",2020-08-29,"GM","quantile",0.5,9312,"Germany"
2020-08-10,"4 wk ahead cum death",2020-09-05,"GM","quantile",0.5,9346,"Germany"
