"forecast_date","target","target_end_date","location","type","quantile","value","location_name"
2020-11-30,"1 wk ahead inc death",2020-12-05,"GM","point",NA,2563.56568406735,"Germany"
2020-11-30,"2 wk ahead inc death",2020-12-12,"GM","point",NA,3099.16549248734,"Germany"
2020-11-30,"3 wk ahead inc death",2020-12-19,"GM","point",NA,3666.4822673859,"Germany"
2020-11-30,"4 wk ahead inc death",2020-12-26,"GM","point",NA,4329.61164318009,"Germany"
2020-11-30,"1 wk ahead inc death",2020-12-05,"GM","quantile",0.01,1425.17884983548,"Germany"
2020-11-30,"2 wk ahead inc death",2020-12-12,"GM","quantile",0.01,1549.03650834164,"Germany"
2020-11-30,"3 wk ahead inc death",2020-12-19,"GM","quantile",0.01,1601.3011250237,"Germany"
2020-11-30,"4 wk ahead inc death",2020-12-26,"GM","quantile",0.01,1658.5930502475,"Germany"
2020-11-30,"1 wk ahead inc death",2020-12-05,"GM","quantile",0.025,1602.72709601798,"Germany"
2020-11-30,"2 wk ahead inc death",2020-12-12,"GM","quantile",0.025,1763.71483396342,"Germany"
2020-11-30,"3 wk ahead inc death",2020-12-19,"GM","quantile",0.025,1849.18248922343,"Germany"
2020-11-30,"4 wk ahead inc death",2020-12-26,"GM","quantile",0.025,1938.38982938297,"Germany"
2020-11-30,"1 wk ahead inc death",2020-12-05,"GM","quantile",0.05,1754.83197282792,"Germany"
2020-11-30,"2 wk ahead inc death",2020-12-12,"GM","quantile",0.05,1946.19160589143,"Germany"
2020-11-30,"3 wk ahead inc death",2020-12-19,"GM","quantile",0.05,2070.21867263212,"Germany"
2020-11-30,"4 wk ahead inc death",2020-12-26,"GM","quantile",0.05,2204.93484954954,"Germany"
2020-11-30,"1 wk ahead inc death",2020-12-05,"GM","quantile",0.1,1952.17281057409,"Germany"
2020-11-30,"2 wk ahead inc death",2020-12-12,"GM","quantile",0.1,2182.06241312131,"Germany"
2020-11-30,"3 wk ahead inc death",2020-12-19,"GM","quantile",0.1,2357.60198423577,"Germany"
2020-11-30,"4 wk ahead inc death",2020-12-26,"GM","quantile",0.1,2554.34468358332,"Germany"
2020-11-30,"1 wk ahead inc death",2020-12-05,"GM","quantile",0.15,2084.88606939967,"Germany"
2020-11-30,"2 wk ahead inc death",2020-12-12,"GM","quantile",0.15,2358.96836061374,"Germany"
2020-11-30,"3 wk ahead inc death",2020-12-19,"GM","quantile",0.15,2580.85709493289,"Germany"
2020-11-30,"4 wk ahead inc death",2020-12-26,"GM","quantile",0.15,2841.08695525298,"Germany"
2020-11-30,"1 wk ahead inc death",2020-12-05,"GM","quantile",0.2,2192.98625666235,"Germany"
2020-11-30,"2 wk ahead inc death",2020-12-12,"GM","quantile",0.2,2503.06898855655,"Germany"
2020-11-30,"3 wk ahead inc death",2020-12-19,"GM","quantile",0.2,2771.69104917202,"Germany"
2020-11-30,"4 wk ahead inc death",2020-12-26,"GM","quantile",0.2,3075.43080684095,"Germany"
2020-11-30,"1 wk ahead inc death",2020-12-05,"GM","quantile",0.25,2269.63446000159,"Germany"
2020-11-30,"2 wk ahead inc death",2020-12-12,"GM","quantile",0.25,2623.76664973643,"Germany"
2020-11-30,"3 wk ahead inc death",2020-12-19,"GM","quantile",0.25,2939.79632237061,"Germany"
2020-11-30,"4 wk ahead inc death",2020-12-26,"GM","quantile",0.25,3308.18478859767,"Germany"
2020-11-30,"1 wk ahead inc death",2020-12-05,"GM","quantile",0.3,2338.44955092048,"Germany"
2020-11-30,"2 wk ahead inc death",2020-12-12,"GM","quantile",0.3,2727.32799163991,"Germany"
2020-11-30,"3 wk ahead inc death",2020-12-19,"GM","quantile",0.3,3096.29984778014,"Germany"
2020-11-30,"4 wk ahead inc death",2020-12-26,"GM","quantile",0.3,3516.30704472233,"Germany"
2020-11-30,"1 wk ahead inc death",2020-12-05,"GM","quantile",0.35,2397.37770733616,"Germany"
2020-11-30,"2 wk ahead inc death",2020-12-12,"GM","quantile",0.35,2819.98569267174,"Germany"
2020-11-30,"3 wk ahead inc death",2020-12-19,"GM","quantile",0.35,3237.6978216596,"Germany"
2020-11-30,"4 wk ahead inc death",2020-12-26,"GM","quantile",0.35,3725.14693692011,"Germany"
2020-11-30,"1 wk ahead inc death",2020-12-05,"GM","quantile",0.4,2453.17330205373,"Germany"
2020-11-30,"2 wk ahead inc death",2020-12-12,"GM","quantile",0.4,2913.57799873701,"Germany"
2020-11-30,"3 wk ahead inc death",2020-12-19,"GM","quantile",0.4,3383.96281646514,"Germany"
2020-11-30,"4 wk ahead inc death",2020-12-26,"GM","quantile",0.4,3915.9288909004,"Germany"
2020-11-30,"1 wk ahead inc death",2020-12-05,"GM","quantile",0.45,2509.25604282874,"Germany"
2020-11-30,"2 wk ahead inc death",2020-12-12,"GM","quantile",0.45,3005.67119936347,"Germany"
2020-11-30,"3 wk ahead inc death",2020-12-19,"GM","quantile",0.45,3520.39027024681,"Germany"
2020-11-30,"4 wk ahead inc death",2020-12-26,"GM","quantile",0.45,4122.02753642092,"Germany"
2020-11-30,"1 wk ahead inc death",2020-12-05,"GM","quantile",0.5,2563.56568406735,"Germany"
2020-11-30,"2 wk ahead inc death",2020-12-12,"GM","quantile",0.5,3099.16549248734,"Germany"
2020-11-30,"3 wk ahead inc death",2020-12-19,"GM","quantile",0.5,3666.4822673859,"Germany"
2020-11-30,"4 wk ahead inc death",2020-12-26,"GM","quantile",0.5,4329.61164318009,"Germany"
2020-11-30,"1 wk ahead inc death",2020-12-05,"GM","quantile",0.55,2619.80172386902,"Germany"
2020-11-30,"2 wk ahead inc death",2020-12-12,"GM","quantile",0.55,3195.32874431551,"Germany"
2020-11-30,"3 wk ahead inc death",2020-12-19,"GM","quantile",0.55,3816.91421969211,"Germany"
2020-11-30,"4 wk ahead inc death",2020-12-26,"GM","quantile",0.55,4560.43364035066,"Germany"
2020-11-30,"1 wk ahead inc death",2020-12-05,"GM","quantile",0.6,2679.78993570686,"Germany"
2020-11-30,"2 wk ahead inc death",2020-12-12,"GM","quantile",0.6,3294.81216645363,"Germany"
2020-11-30,"3 wk ahead inc death",2020-12-19,"GM","quantile",0.6,3973.31269037749,"Germany"
2020-11-30,"4 wk ahead inc death",2020-12-26,"GM","quantile",0.6,4801.15439187163,"Germany"
2020-11-30,"1 wk ahead inc death",2020-12-05,"GM","quantile",0.65,2743.98969102011,"Germany"
2020-11-30,"2 wk ahead inc death",2020-12-12,"GM","quantile",0.65,3402.50078433358,"Germany"
2020-11-30,"3 wk ahead inc death",2020-12-19,"GM","quantile",0.65,4144.82662241025,"Germany"
