"forecast_date","target","target_end_date","location","type","quantile","value","location_name"
2020-12-07,"1 wk ahead inc case",2020-12-12,"GM","point",NA,135400.14035355,"Germany"
2020-12-07,"2 wk ahead inc case",2020-12-19,"GM","point",NA,147020.586355192,"Germany"
2020-12-07,"3 wk ahead inc case",2020-12-26,"GM","point",NA,157257.443705461,"Germany"
2020-12-07,"4 wk ahead inc case",2021-01-02,"GM","point",NA,176395.561519079,"Germany"
2020-12-07,"1 wk ahead inc case",2020-12-12,"GM","quantile",0.01,103908.26846454,"Germany"
2020-12-07,"2 wk ahead inc case",2020-12-19,"GM","quantile",0.01,97796.5783292044,"Germany"
2020-12-07,"3 wk ahead inc case",2020-12-26,"GM","quantile",0.01,91006.5504971881,"Germany"
2020-12-07,"4 wk ahead inc case",2021-01-02,"GM","quantile",0.01,90028.7695494067,"Germany"
2020-12-07,"1 wk ahead inc case",2020-12-12,"GM","quantile",0.025,108418.507526758,"Germany"
2020-12-07,"2 wk ahead inc case",2020-12-19,"GM","quantile",0.025,103630.586463102,"Germany"
2020-12-07,"3 wk ahead inc case",2020-12-26,"GM","quantile",0.025,97732.8439011086,"Germany"
2020-12-07,"4 wk ahead inc case",2021-01-02,"GM","quantile",0.025,97852.3276262508,"Germany"
2020-12-07,"1 wk ahead inc case",2020-12-12,"GM","quantile",0.05,111870.364754879,"Germany"
2020-12-07,"2 wk ahead inc case",2020-12-19,"GM","quantile",0.05,108043.898989277,"Germany"
2020-12-07,"3 wk ahead inc case",2020-12-26,"GM","quantile",0.05,103100.173743144,"Germany"
2020-12-07,"4 wk ahead inc case",2021-01-02,"GM","quantile",0.05,104557.366208541,"Germany"
2020-12-07,"1 wk ahead inc case",2020-12-12,"GM","quantile",0.1,116055.647810325,"Germany"
2020-12-07,"2 wk ahead inc case",2020-12-19,"GM","quantile",0.1,114930.936361493,"Germany"
2020-12-07,"3 wk ahead inc case",2020-12-26,"GM","quantile",0.1,112602.722887782,"Germany"
2020-12-07,"4 wk ahead inc case",2021-01-02,"GM","quantile",0.1,116234.181007057,"Germany"
2020-12-07,"1 wk ahead inc case",2020-12-12,"GM","quantile",0.15,119604.154575223,"Germany"
2020-12-07,"2 wk ahead inc case",2020-12-19,"GM","quantile",0.15,120366.266677807,"Germany"
2020-12-07,"3 wk ahead inc case",2020-12-26,"GM","quantile",0.15,119514.69363794,"Germany"
2020-12-07,"4 wk ahead inc case",2021-01-02,"GM","quantile",0.15,125203.161839872,"Germany"
2020-12-07,"1 wk ahead inc case",2020-12-12,"GM","quantile",0.2,122564.873620091,"Germany"
2020-12-07,"2 wk ahead inc case",2020-12-19,"GM","quantile",0.2,124985.805542879,"Germany"
2020-12-07,"3 wk ahead inc case",2020-12-26,"GM","quantile",0.2,125021.549113221,"Germany"
2020-12-07,"4 wk ahead inc case",2021-01-02,"GM","quantile",0.2,133058.197665071,"Germany"
2020-12-07,"1 wk ahead inc case",2020-12-12,"GM","quantile",0.25,124676.328811554,"Germany"
2020-12-07,"2 wk ahead inc case",2020-12-19,"GM","quantile",0.25,129402.091931519,"Germany"
2020-12-07,"3 wk ahead inc case",2020-12-26,"GM","quantile",0.25,131540.093531289,"Germany"
2020-12-07,"4 wk ahead inc case",2021-01-02,"GM","quantile",0.25,140496.133325451,"Germany"
2020-12-07,"1 wk ahead inc case",2020-12-12,"GM","quantile",0.3,127109.46188795,"Germany"
2020-12-07,"2 wk ahead inc case",2020-12-19,"GM","quantile",0.3,132698.797390538,"Germany"
2020-12-07,"3 wk ahead inc case",2020-12-26,"GM","quantile",0.3,136169.17162014,"Germany"
2020-12-07,"4 wk ahead inc case",2021-01-02,"GM","quantile",0.3,147126.520947744,"Germany"
2020-12-07,"1 wk ahead inc case",2020-12-12,"GM","quantile",0.35,129478.584708643,"Germany"
2020-12-07,"2 wk ahead inc case",2020-12-19,"GM","quantile",0.35,136074.796168067,"Germany"
2020-12-07,"3 wk ahead inc case",2020-12-26,"GM","quantile",0.35,140953.713167389,"Germany"
2020-12-07,"4 wk ahead inc case",2021-01-02,"GM","quantile",0.35,153034.17650106,"Germany"
2020-12-07,"1 wk ahead inc case",2020-12-12,"GM","quantile",0.4,131359.245517188,"Germany"
2020-12-07,"2 wk ahead inc case",2020-12-19,"GM","quantile",0.4,139946.000290187,"Germany"
2020-12-07,"3 wk ahead inc case",2020-12-26,"GM","quantile",0.4,146291.532922897,"Germany"
2020-12-07,"4 wk ahead inc case",2021-01-02,"GM","quantile",0.4,161121.761456019,"Germany"
2020-12-07,"1 wk ahead inc case",2020-12-12,"GM","quantile",0.45,133409.770613553,"Germany"
2020-12-07,"2 wk ahead inc case",2020-12-19,"GM","quantile",0.45,143717.375654162,"Germany"
2020-12-07,"3 wk ahead inc case",2020-12-26,"GM","quantile",0.45,151490.201017999,"Germany"
2020-12-07,"4 wk ahead inc case",2021-01-02,"GM","quantile",0.45,168983.019578568,"Germany"
2020-12-07,"1 wk ahead inc case",2020-12-12,"GM","quantile",0.5,135400.14035355,"Germany"
2020-12-07,"2 wk ahead inc case",2020-12-19,"GM","quantile",0.5,147020.586355192,"Germany"
2020-12-07,"3 wk ahead inc case",2020-12-26,"GM","quantile",0.5,157257.443705461,"Germany"
2020-12-07,"4 wk ahead inc case",2021-01-02,"GM","quantile",0.5,176395.561519079,"Germany"
2020-12-07,"1 wk ahead inc case",2020-12-12,"GM","quantile",0.55,137457.419480645,"Germany"
2020-12-07,"2 wk ahead inc case",2020-12-19,"GM","quantile",0.55,150413.336758073,"Germany"
2020-12-07,"3 wk ahead inc case",2020-12-26,"GM","quantile",0.55,162514.727411964,"Germany"
2020-12-07,"4 wk ahead inc case",2021-01-02,"GM","quantile",0.55,184302.916253063,"Germany"
2020-12-07,"1 wk ahead inc case",2020-12-12,"GM","quantile",0.6,139452.176534986,"Germany"
2020-12-07,"2 wk ahead inc case",2020-12-19,"GM","quantile",0.6,154965.380005928,"Germany"
2020-12-07,"3 wk ahead inc case",2020-12-26,"GM","quantile",0.6,169522.36944739,"Germany"
2020-12-07,"4 wk ahead inc case",2021-01-02,"GM","quantile",0.6,194527.21017586,"Germany"
2020-12-07,"1 wk ahead inc case",2020-12-12,"GM","quantile",0.65,141946.610821904,"Germany"
2020-12-07,"2 wk ahead inc case",2020-12-19,"GM","quantile",0.65,158939.549507416,"Germany"
2020-12-07,"3 wk ahead inc case",2020-12-26,"GM","quantile",0.65,175910.726831979,"Germany"
2020-12-07,"4 wk ahead inc case",2021-01-02,"GM","quantile",0.65,203511.059657657,"Germany"
2020-12-07,"1 wk ahead inc case",2020-12-12,"GM","quantile",0.7,144414.2886769,"Germany"
2020-12-07,"2 wk ahead inc case",2020-12-19,"GM","quantile",0.7,163310.902147589,"Germany"
2020-12-07,"3 wk ahead inc case",2020-12-26,"GM","quantile",0.7,183173.072233616,"Germany"
2020-12-07,"4 wk ahead inc case",2021-01-02,"GM","quantile",0.7,214342.590197685,"Germany"
2020-12-07,"1 wk ahead inc case",2020-12-12,"GM","quantile",0.75,146968.141258944,"Germany"
2020-12-07,"2 wk ahead inc case",2020-12-19,"GM","quantile",0.75,168561.773897639,"Germany"
2020-12-07,"3 wk ahead inc case",2020-12-26,"GM","quantile",0.75,191586.470641598,"Germany"
2020-12-07,"4 wk ahead inc case",2021-01-02,"GM","quantile",0.75,226822.719988657,"Germany"
2020-12-07,"1 wk ahead inc case",2020-12-12,"GM","quantile",0.8,150530.757808251,"Germany"
2020-12-07,"2 wk ahead inc case",2020-12-19,"GM","quantile",0.8,174685.343643945,"Germany"
2020-12-07,"3 wk ahead inc case",2020-12-26,"GM","quantile",0.8,200960.660960855,"Germany"
2020-12-07,"4 wk ahead inc case",2021-01-02,"GM","quantile",0.8,241337.848437385,"Germany"
2020-12-07,"1 wk ahead inc case",2020-12-12,"GM","quantile",0.85,154132.994197357,"Germany"
2020-12-07,"2 wk ahead inc case",2020-12-19,"GM","quantile",0.85,180502.966931998,"Germany"
2020-12-07,"3 wk ahead inc case",2020-12-26,"GM","quantile",0.85,211462.657830342,"Germany"
2020-12-07,"4 wk ahead inc case",2021-01-02,"GM","quantile",0.85,258566.958086702,"Germany"
2020-12-07,"1 wk ahead inc case",2020-12-12,"GM","quantile",0.9,158867.690861434,"Germany"
2020-12-07,"2 wk ahead inc case",2020-12-19,"GM","quantile",0.9,189579.974526262,"Germany"
2020-12-07,"3 wk ahead inc case",2020-12-26,"GM","quantile",0.9,225712.91349174,"Germany"
2020-12-07,"4 wk ahead inc case",2021-01-02,"GM","quantile",0.9,282574.246040094,"Germany"
2020-12-07,"1 wk ahead inc case",2020-12-12,"GM","quantile",0.95,165786.775362794,"Germany"
2020-12-07,"2 wk ahead inc case",2020-12-19,"GM","quantile",0.95,201824.956791335,"Germany"
2020-12-07,"3 wk ahead inc case",2020-12-26,"GM","quantile",0.95,245710.681952228,"Germany"
2020-12-07,"4 wk ahead inc case",2021-01-02,"GM","quantile",0.95,317868.363355102,"Germany"
2020-12-07,"1 wk ahead inc case",2020-12-12,"GM","quantile",0.975,172423.755425673,"Germany"
2020-12-07,"2 wk ahead inc case",2020-12-19,"GM","quantile",0.975,213281.63653476,"Germany"
2020-12-07,"3 wk ahead inc case",2020-12-26,"GM","quantile",0.975,265172.648935198,"Germany"
2020-12-07,"4 wk ahead inc case",2021-01-02,"GM","quantile",0.975,350120.067512988,"Germany"
2020-12-07,"1 wk ahead inc case",2020-12-12,"GM","quantile",0.99,179588.58934627,"Germany"
2020-12-07,"2 wk ahead inc case",2020-12-19,"GM","quantile",0.99,226405.762439301,"Germany"
2020-12-07,"3 wk ahead inc case",2020-12-26,"GM","quantile",0.99,289535.500496622,"Germany"
2020-12-07,"4 wk ahead inc case",2021-01-02,"GM","quantile",0.99,395905.888705159,"Germany"
2020-12-07,"1 wk ahead cum case",2020-12-12,"GM","point",NA,1290967.69412001,"Germany"
2020-12-07,"2 wk ahead cum case",2020-12-19,"GM","point",NA,1437784.92933011,"Germany"
2020-12-07,"3 wk ahead cum case",2020-12-26,"GM","point",NA,1594351.30829613,"Germany"
2020-12-07,"4 wk ahead cum case",2021-01-02,"GM","point",NA,1771675.45932692,"Germany"
2020-12-07,"1 wk ahead cum case",2020-12-12,"GM","quantile",0.01,1259370.89591716,"Germany"
2020-12-07,"2 wk ahead cum case",2020-12-19,"GM","quantile",0.01,1358574.59169078,"Germany"
2020-12-07,"3 wk ahead cum case",2020-12-26,"GM","quantile",0.01,1452091.47438998,"Germany"
2020-12-07,"4 wk ahead cum case",2021-01-02,"GM","quantile",0.01,1546336.85800206,"Germany"
2020-12-07,"1 wk ahead cum case",2020-12-12,"GM","quantile",0.025,1263786.07331749,"Germany"
2020-12-07,"2 wk ahead cum case",2020-12-19,"GM","quantile",0.025,1367625.52936712,"Germany"
2020-12-07,"3 wk ahead cum case",2020-12-26,"GM","quantile",0.025,1467728.53337643,"Germany"
2020-12-07,"4 wk ahead cum case",2021-01-02,"GM","quantile",0.025,1568677.5615167,"Germany"
2020-12-07,"1 wk ahead cum case",2020-12-12,"GM","quantile",0.05,1266993.12226707,"Germany"
2020-12-07,"2 wk ahead cum case",2020-12-19,"GM","quantile",0.05,1375582.77968091,"Germany"
2020-12-07,"3 wk ahead cum case",2020-12-26,"GM","quantile",0.05,1480195.45932428,"Germany"
2020-12-07,"4 wk ahead cum case",2021-01-02,"GM","quantile",0.05,1587321.40391169,"Germany"
2020-12-07,"1 wk ahead cum case",2020-12-12,"GM","quantile",0.1,1271342.63612531,"Germany"
2020-12-07,"2 wk ahead cum case",2020-12-19,"GM","quantile",0.1,1386425.12654796,"Germany"
2020-12-07,"3 wk ahead cum case",2020-12-26,"GM","quantile",0.1,1498852.57753235,"Germany"
2020-12-07,"4 wk ahead cum case",2021-01-02,"GM","quantile",0.1,1616452.65580649,"Germany"
2020-12-07,"1 wk ahead cum case",2020-12-12,"GM","quantile",0.15,1274670.33956794,"Germany"
2020-12-07,"2 wk ahead cum case",2020-12-19,"GM","quantile",0.15,1395001.69747825,"Germany"
