"forecast_date","target","target_end_date","location","type","quantile","value","location_name"
2021-02-01,"1 wk ahead inc death",2021-02-06,"GM01","point",NA,394.474056769143,"GM01"
2021-02-01,"2 wk ahead inc death",2021-02-13,"GM01","point",NA,334.257940667559,"GM01"
2021-02-01,"3 wk ahead inc death",2021-02-20,"GM01","point",NA,291.365493752719,"GM01"
2021-02-01,"4 wk ahead inc death",2021-02-27,"GM01","point",NA,255.374644188421,"GM01"
2021-02-01,"1 wk ahead inc death",2021-02-06,"GM01","quantile",0.01,266.487439877452,"GM01"
2021-02-01,"2 wk ahead inc death",2021-02-13,"GM01","quantile",0.01,185.720034143386,"GM01"
2021-02-01,"3 wk ahead inc death",2021-02-20,"GM01","quantile",0.01,133.483184511315,"GM01"
2021-02-01,"4 wk ahead inc death",2021-02-27,"GM01","quantile",0.01,92.0931529121406,"GM01"
2021-02-01,"1 wk ahead inc death",2021-02-06,"GM01","quantile",0.025,278.922272064108,"GM01"
2021-02-01,"2 wk ahead inc death",2021-02-13,"GM01","quantile",0.025,198.363116470203,"GM01"
2021-02-01,"3 wk ahead inc death",2021-02-20,"GM01","quantile",0.025,142.917635604324,"GM01"
2021-02-01,"4 wk ahead inc death",2021-02-27,"GM01","quantile",0.025,101.968018187104,"GM01"
2021-02-01,"1 wk ahead inc death",2021-02-06,"GM01","quantile",0.05,288.030308786581,"GM01"
2021-02-01,"2 wk ahead inc death",2021-02-13,"GM01","quantile",0.05,208.571795317701,"GM01"
2021-02-01,"3 wk ahead inc death",2021-02-20,"GM01","quantile",0.05,155.523787240952,"GM01"
2021-02-01,"4 wk ahead inc death",2021-02-27,"GM01","quantile",0.05,114.003644796634,"GM01"
2021-02-01,"1 wk ahead inc death",2021-02-06,"GM01","quantile",0.1,303.430762541962,"GM01"
2021-02-01,"2 wk ahead inc death",2021-02-13,"GM01","quantile",0.1,226.755422189907,"GM01"
2021-02-01,"3 wk ahead inc death",2021-02-20,"GM01","quantile",0.1,176.962755731603,"GM01"
2021-02-01,"4 wk ahead inc death",2021-02-27,"GM01","quantile",0.1,138.870262923356,"GM01"
2021-02-01,"1 wk ahead inc death",2021-02-06,"GM01","quantile",0.15,318.907425073787,"GM01"
2021-02-01,"2 wk ahead inc death",2021-02-13,"GM01","quantile",0.15,244.393518081291,"GM01"
2021-02-01,"3 wk ahead inc death",2021-02-20,"GM01","quantile",0.15,191.037343306207,"GM01"
2021-02-01,"4 wk ahead inc death",2021-02-27,"GM01","quantile",0.15,149.736376782148,"GM01"
2021-02-01,"1 wk ahead inc death",2021-02-06,"GM01","quantile",0.2,330.283008283486,"GM01"
2021-02-01,"2 wk ahead inc death",2021-02-13,"GM01","quantile",0.2,255.185251497294,"GM01"
2021-02-01,"3 wk ahead inc death",2021-02-20,"GM01","quantile",0.2,205.303822667316,"GM01"
2021-02-01,"4 wk ahead inc death",2021-02-27,"GM01","quantile",0.2,164.108027990618,"GM01"
2021-02-01,"1 wk ahead inc death",2021-02-06,"GM01","quantile",0.25,337.274104397904,"GM01"
2021-02-01,"2 wk ahead inc death",2021-02-13,"GM01","quantile",0.25,271.33090603883,"GM01"
2021-02-01,"3 wk ahead inc death",2021-02-20,"GM01","quantile",0.25,221.41369345001,"GM01"
2021-02-01,"4 wk ahead inc death",2021-02-27,"GM01","quantile",0.25,180.952815999034,"GM01"
2021-02-01,"1 wk ahead inc death",2021-02-06,"GM01","quantile",0.3,352.39392624042,"GM01"
2021-02-01,"2 wk ahead inc death",2021-02-13,"GM01","quantile",0.3,280.447048959859,"GM01"
2021-02-01,"3 wk ahead inc death",2021-02-20,"GM01","quantile",0.3,231.545341052618,"GM01"
2021-02-01,"4 wk ahead inc death",2021-02-27,"GM01","quantile",0.3,194.207802720316,"GM01"
2021-02-01,"1 wk ahead inc death",2021-02-06,"GM01","quantile",0.35,361.01347290401,"GM01"
2021-02-01,"2 wk ahead inc death",2021-02-13,"GM01","quantile",0.35,292.065233572227,"GM01"
2021-02-01,"3 wk ahead inc death",2021-02-20,"GM01","quantile",0.35,252.945852108633,"GM01"
2021-02-01,"4 wk ahead inc death",2021-02-27,"GM01","quantile",0.35,215.237020378117,"GM01"
2021-02-01,"1 wk ahead inc death",2021-02-06,"GM01","quantile",0.4,369.208284614121,"GM01"
2021-02-01,"2 wk ahead inc death",2021-02-13,"GM01","quantile",0.4,309.442993280915,"GM01"
2021-02-01,"3 wk ahead inc death",2021-02-20,"GM01","quantile",0.4,261.191944045435,"GM01"
2021-02-01,"4 wk ahead inc death",2021-02-27,"GM01","quantile",0.4,224.957645643638,"GM01"
2021-02-01,"1 wk ahead inc death",2021-02-06,"GM01","quantile",0.45,384.80857484383,"GM01"
2021-02-01,"2 wk ahead inc death",2021-02-13,"GM01","quantile",0.45,317.422808308467,"GM01"
2021-02-01,"3 wk ahead inc death",2021-02-20,"GM01","quantile",0.45,279.376643569357,"GM01"
2021-02-01,"4 wk ahead inc death",2021-02-27,"GM01","quantile",0.45,237.194002151173,"GM01"
2021-02-01,"1 wk ahead inc death",2021-02-06,"GM01","quantile",0.5,394.474056769143,"GM01"
2021-02-01,"2 wk ahead inc death",2021-02-13,"GM01","quantile",0.5,334.257940667559,"GM01"
2021-02-01,"3 wk ahead inc death",2021-02-20,"GM01","quantile",0.5,291.365493752719,"GM01"
2021-02-01,"4 wk ahead inc death",2021-02-27,"GM01","quantile",0.5,255.374644188421,"GM01"
2021-02-01,"1 wk ahead inc death",2021-02-06,"GM01","quantile",0.55,400.736915128948,"GM01"
2021-02-01,"2 wk ahead inc death",2021-02-13,"GM01","quantile",0.55,346.762610270542,"GM01"
2021-02-01,"3 wk ahead inc death",2021-02-20,"GM01","quantile",0.55,303.73292618891,"GM01"
2021-02-01,"4 wk ahead inc death",2021-02-27,"GM01","quantile",0.55,270.86032807824,"GM01"
2021-02-01,"1 wk ahead inc death",2021-02-06,"GM01","quantile",0.6,407.851510584114,"GM01"
2021-02-01,"2 wk ahead inc death",2021-02-13,"GM01","quantile",0.6,362.27517580043,"GM01"
2021-02-01,"3 wk ahead inc death",2021-02-20,"GM01","quantile",0.6,322.226397658538,"GM01"
2021-02-01,"4 wk ahead inc death",2021-02-27,"GM01","quantile",0.6,291.433224362117,"GM01"
2021-02-01,"1 wk ahead inc death",2021-02-06,"GM01","quantile",0.65,417.301713836956,"GM01"
2021-02-01,"2 wk ahead inc death",2021-02-13,"GM01","quantile",0.65,373.74739386597,"GM01"
2021-02-01,"3 wk ahead inc death",2021-02-20,"GM01","quantile",0.65,340.58312264932,"GM01"
2021-02-01,"4 wk ahead inc death",2021-02-27,"GM01","quantile",0.65,311.487259249966,"GM01"
2021-02-01,"1 wk ahead inc death",2021-02-06,"GM01","quantile",0.7,429.694160547347,"GM01"
2021-02-01,"2 wk ahead inc death",2021-02-13,"GM01","quantile",0.7,389.511979040132,"GM01"
2021-02-01,"3 wk ahead inc death",2021-02-20,"GM01","quantile",0.7,363.189153203979,"GM01"
2021-02-01,"4 wk ahead inc death",2021-02-27,"GM01","quantile",0.7,333.857180248601,"GM01"
2021-02-01,"1 wk ahead inc death",2021-02-06,"GM01","quantile",0.75,440.886553428371,"GM01"
2021-02-01,"2 wk ahead inc death",2021-02-13,"GM01","quantile",0.75,418.673044039899,"GM01"
2021-02-01,"3 wk ahead inc death",2021-02-20,"GM01","quantile",0.75,399.130834648774,"GM01"
2021-02-01,"4 wk ahead inc death",2021-02-27,"GM01","quantile",0.75,372.737497009481,"GM01"
2021-02-01,"1 wk ahead inc death",2021-02-06,"GM01","quantile",0.8,469.648754083769,"GM01"
2021-02-01,"2 wk ahead inc death",2021-02-13,"GM01","quantile",0.8,454.41676003525,"GM01"
2021-02-01,"3 wk ahead inc death",2021-02-20,"GM01","quantile",0.8,427.457368676576,"GM01"
2021-02-01,"4 wk ahead inc death",2021-02-27,"GM01","quantile",0.8,404.833727060632,"GM01"
2021-02-01,"1 wk ahead inc death",2021-02-06,"GM01","quantile",0.85,524.263375949668,"GM01"
2021-02-01,"2 wk ahead inc death",2021-02-13,"GM01","quantile",0.85,476.332031062081,"GM01"
2021-02-01,"3 wk ahead inc death",2021-02-20,"GM01","quantile",0.85,455.388001685839,"GM01"
2021-02-01,"4 wk ahead inc death",2021-02-27,"GM01","quantile",0.85,432.081322809449,"GM01"
2021-02-01,"1 wk ahead inc death",2021-02-06,"GM01","quantile",0.9,548.924388592825,"GM01"
2021-02-01,"2 wk ahead inc death",2021-02-13,"GM01","quantile",0.9,501.64373116923,"GM01"
2021-02-01,"3 wk ahead inc death",2021-02-20,"GM01","quantile",0.9,481.660478529286,"GM01"
2021-02-01,"4 wk ahead inc death",2021-02-27,"GM01","quantile",0.9,469.330144014032,"GM01"
2021-02-01,"1 wk ahead inc death",2021-02-06,"GM01","quantile",0.95,578.132739351651,"GM01"
2021-02-01,"2 wk ahead inc death",2021-02-13,"GM01","quantile",0.95,533.619324468391,"GM01"
2021-02-01,"3 wk ahead inc death",2021-02-20,"GM01","quantile",0.95,534.455245942074,"GM01"
2021-02-01,"4 wk ahead inc death",2021-02-27,"GM01","quantile",0.95,522.107343776035,"GM01"
2021-02-01,"1 wk ahead inc death",2021-02-06,"GM01","quantile",0.975,614.840768029468,"GM01"
2021-02-01,"2 wk ahead inc death",2021-02-13,"GM01","quantile",0.975,581.371975728336,"GM01"
2021-02-01,"3 wk ahead inc death",2021-02-20,"GM01","quantile",0.975,571.485921924377,"GM01"
2021-02-01,"4 wk ahead inc death",2021-02-27,"GM01","quantile",0.975,576.630379536898,"GM01"
2021-02-01,"1 wk ahead inc death",2021-02-06,"GM01","quantile",0.99,651.391838272735,"GM01"
2021-02-01,"2 wk ahead inc death",2021-02-13,"GM01","quantile",0.99,612.171438813177,"GM01"
2021-02-01,"3 wk ahead inc death",2021-02-20,"GM01","quantile",0.99,611.530683311982,"GM01"
2021-02-01,"4 wk ahead inc death",2021-02-27,"GM01","quantile",0.99,626.037113369154,"GM01"
2021-02-01,"1 wk ahead inc death",2021-02-06,"GM02","point",NA,695.002760042251,"GM02"
2021-02-01,"2 wk ahead inc death",2021-02-13,"GM02","point",NA,612.221671967502,"GM02"
2021-02-01,"3 wk ahead inc death",2021-02-20,"GM02","point",NA,547.17653491145,"GM02"
2021-02-01,"4 wk ahead inc death",2021-02-27,"GM02","point",NA,493.043923057349,"GM02"
2021-02-01,"1 wk ahead inc death",2021-02-06,"GM02","quantile",0.01,460.093592044529,"GM02"
2021-02-01,"2 wk ahead inc death",2021-02-13,"GM02","quantile",0.01,351.755509154241,"GM02"
2021-02-01,"3 wk ahead inc death",2021-02-20,"GM02","quantile",0.01,256.094652513088,"GM02"
2021-02-01,"4 wk ahead inc death",2021-02-27,"GM02","quantile",0.01,187.210675488041,"GM02"
2021-02-01,"1 wk ahead inc death",2021-02-06,"GM02","quantile",0.025,481.837595529596,"GM02"
2021-02-01,"2 wk ahead inc death",2021-02-13,"GM02","quantile",0.025,386.719797377415,"GM02"
2021-02-01,"3 wk ahead inc death",2021-02-20,"GM02","quantile",0.025,287.971900838475,"GM02"
2021-02-01,"4 wk ahead inc death",2021-02-27,"GM02","quantile",0.025,221.472036692004,"GM02"
2021-02-01,"1 wk ahead inc death",2021-02-06,"GM02","quantile",0.05,511.918161961292,"GM02"
2021-02-01,"2 wk ahead inc death",2021-02-13,"GM02","quantile",0.05,418.564356064053,"GM02"
2021-02-01,"3 wk ahead inc death",2021-02-20,"GM02","quantile",0.05,325.164488199283,"GM02"
2021-02-01,"4 wk ahead inc death",2021-02-27,"GM02","quantile",0.05,254.556140137802,"GM02"
2021-02-01,"1 wk ahead inc death",2021-02-06,"GM02","quantile",0.1,556.495505649983,"GM02"
2021-02-01,"2 wk ahead inc death",2021-02-13,"GM02","quantile",0.1,453.223166094547,"GM02"
2021-02-01,"3 wk ahead inc death",2021-02-20,"GM02","quantile",0.1,362.444411749726,"GM02"
2021-02-01,"4 wk ahead inc death",2021-02-27,"GM02","quantile",0.1,293.866318759934,"GM02"
2021-02-01,"1 wk ahead inc death",2021-02-06,"GM02","quantile",0.15,574.974244247524,"GM02"
2021-02-01,"2 wk ahead inc death",2021-02-13,"GM02","quantile",0.15,481.618616076709,"GM02"
2021-02-01,"3 wk ahead inc death",2021-02-20,"GM02","quantile",0.15,391.106350433781,"GM02"
2021-02-01,"4 wk ahead inc death",2021-02-27,"GM02","quantile",0.15,321.393847379201,"GM02"
2021-02-01,"1 wk ahead inc death",2021-02-06,"GM02","quantile",0.2,598.334383977799,"GM02"
2021-02-01,"2 wk ahead inc death",2021-02-13,"GM02","quantile",0.2,498.992779612833,"GM02"
2021-02-01,"3 wk ahead inc death",2021-02-20,"GM02","quantile",0.2,415.695283293404,"GM02"
