"forecast_date","target","target_end_date","location","type","quantile","value","location_name"
2021-02-01,"1 wk ahead inc case",2021-02-06,"PL72","point",NA,2522.54724675664,"PL72"
2021-02-01,"2 wk ahead inc case",2021-02-13,"PL72","point",NA,2267.85017401326,"PL72"
2021-02-01,"3 wk ahead inc case",2021-02-20,"PL72","point",NA,2142.12336337351,"PL72"
2021-02-01,"4 wk ahead inc case",2021-02-27,"PL72","point",NA,2025.47917484046,"PL72"
2021-02-01,"1 wk ahead inc case",2021-02-06,"PL72","quantile",0.01,1663.53455030905,"PL72"
2021-02-01,"2 wk ahead inc case",2021-02-13,"PL72","quantile",0.01,1339.94926120801,"PL72"
2021-02-01,"3 wk ahead inc case",2021-02-20,"PL72","quantile",0.01,1081.18737107852,"PL72"
2021-02-01,"4 wk ahead inc case",2021-02-27,"PL72","quantile",0.01,757.27715098802,"PL72"
2021-02-01,"1 wk ahead inc case",2021-02-06,"PL72","quantile",0.025,1750.33575834929,"PL72"
2021-02-01,"2 wk ahead inc case",2021-02-13,"PL72","quantile",0.025,1445.46230128106,"PL72"
2021-02-01,"3 wk ahead inc case",2021-02-20,"PL72","quantile",0.025,1177.61704382047,"PL72"
2021-02-01,"4 wk ahead inc case",2021-02-27,"PL72","quantile",0.025,848.111408815316,"PL72"
2021-02-01,"1 wk ahead inc case",2021-02-06,"PL72","quantile",0.05,1916.50348557139,"PL72"
2021-02-01,"2 wk ahead inc case",2021-02-13,"PL72","quantile",0.05,1546.08016466602,"PL72"
2021-02-01,"3 wk ahead inc case",2021-02-20,"PL72","quantile",0.05,1281.70080209134,"PL72"
2021-02-01,"4 wk ahead inc case",2021-02-27,"PL72","quantile",0.05,965.054789404302,"PL72"
2021-02-01,"1 wk ahead inc case",2021-02-06,"PL72","quantile",0.1,2009.21611918887,"PL72"
2021-02-01,"2 wk ahead inc case",2021-02-13,"PL72","quantile",0.1,1687.59969578849,"PL72"
2021-02-01,"3 wk ahead inc case",2021-02-20,"PL72","quantile",0.1,1420.57746693404,"PL72"
2021-02-01,"4 wk ahead inc case",2021-02-27,"PL72","quantile",0.1,1106.48473892754,"PL72"
2021-02-01,"1 wk ahead inc case",2021-02-06,"PL72","quantile",0.15,2089.75218343899,"PL72"
2021-02-01,"2 wk ahead inc case",2021-02-13,"PL72","quantile",0.15,1767.14745914208,"PL72"
2021-02-01,"3 wk ahead inc case",2021-02-20,"PL72","quantile",0.15,1513.32724884869,"PL72"
2021-02-01,"4 wk ahead inc case",2021-02-27,"PL72","quantile",0.15,1227.80046469607,"PL72"
2021-02-01,"1 wk ahead inc case",2021-02-06,"PL72","quantile",0.2,2150.40959707004,"PL72"
2021-02-01,"2 wk ahead inc case",2021-02-13,"PL72","quantile",0.2,1847.82894116925,"PL72"
2021-02-01,"3 wk ahead inc case",2021-02-20,"PL72","quantile",0.2,1615.61825112144,"PL72"
2021-02-01,"4 wk ahead inc case",2021-02-27,"PL72","quantile",0.2,1363.59686710384,"PL72"
2021-02-01,"1 wk ahead inc case",2021-02-06,"PL72","quantile",0.25,2207.88069063051,"PL72"
2021-02-01,"2 wk ahead inc case",2021-02-13,"PL72","quantile",0.25,1916.93499045935,"PL72"
2021-02-01,"3 wk ahead inc case",2021-02-20,"PL72","quantile",0.25,1725.16315952594,"PL72"
2021-02-01,"4 wk ahead inc case",2021-02-27,"PL72","quantile",0.25,1465.66427221361,"PL72"
2021-02-01,"1 wk ahead inc case",2021-02-06,"PL72","quantile",0.3,2256.72793353918,"PL72"
2021-02-01,"2 wk ahead inc case",2021-02-13,"PL72","quantile",0.3,2000.89410401526,"PL72"
2021-02-01,"3 wk ahead inc case",2021-02-20,"PL72","quantile",0.3,1830.86073776776,"PL72"
2021-02-01,"4 wk ahead inc case",2021-02-27,"PL72","quantile",0.3,1563.970969384,"PL72"
2021-02-01,"1 wk ahead inc case",2021-02-06,"PL72","quantile",0.35,2322.1851024423,"PL72"
2021-02-01,"2 wk ahead inc case",2021-02-13,"PL72","quantile",0.35,2090.44025181822,"PL72"
2021-02-01,"3 wk ahead inc case",2021-02-20,"PL72","quantile",0.35,1893.10957931388,"PL72"
2021-02-01,"4 wk ahead inc case",2021-02-27,"PL72","quantile",0.35,1678.37569409834,"PL72"
2021-02-01,"1 wk ahead inc case",2021-02-06,"PL72","quantile",0.4,2376.42161915435,"PL72"
2021-02-01,"2 wk ahead inc case",2021-02-13,"PL72","quantile",0.4,2139.83581410095,"PL72"
2021-02-01,"3 wk ahead inc case",2021-02-20,"PL72","quantile",0.4,1981.03496898508,"PL72"
2021-02-01,"4 wk ahead inc case",2021-02-27,"PL72","quantile",0.4,1765.23619446166,"PL72"
2021-02-01,"1 wk ahead inc case",2021-02-06,"PL72","quantile",0.45,2447.3815962421,"PL72"
2021-02-01,"2 wk ahead inc case",2021-02-13,"PL72","quantile",0.45,2194.36266816244,"PL72"
2021-02-01,"3 wk ahead inc case",2021-02-20,"PL72","quantile",0.45,2058.87417158848,"PL72"
2021-02-01,"4 wk ahead inc case",2021-02-27,"PL72","quantile",0.45,1869.94872502981,"PL72"
