"forecast_date","target","target_end_date","location","type","quantile","value","location_name"
2020-11-02,"1 wk ahead inc case",2020-11-07,"GM","point",NA,154884.696540097,"Germany"
2020-11-02,"2 wk ahead inc case",2020-11-14,"GM","point",NA,221672.626702264,"Germany"
2020-11-02,"3 wk ahead inc case",2020-11-21,"GM","point",NA,319618.886659012,"Germany"
2020-11-02,"4 wk ahead inc case",2020-11-28,"GM","point",NA,464673.562224368,"Germany"
2020-11-02,"1 wk ahead inc case",2020-11-07,"GM","quantile",0.01,125610.980006081,"Germany"
2020-11-02,"2 wk ahead inc case",2020-11-14,"GM","quantile",0.01,166301.095461396,"Germany"
2020-11-02,"3 wk ahead inc case",2020-11-21,"GM","quantile",0.01,225946.763190335,"Germany"
2020-11-02,"4 wk ahead inc case",2020-11-28,"GM","quantile",0.01,312822.845753191,"Germany"
2020-11-02,"1 wk ahead inc case",2020-11-07,"GM","quantile",0.025,129276.549771683,"Germany"
2020-11-02,"2 wk ahead inc case",2020-11-14,"GM","quantile",0.025,172599.003860241,"Germany"
2020-11-02,"3 wk ahead inc case",2020-11-21,"GM","quantile",0.025,235945.254844702,"Germany"
2020-11-02,"4 wk ahead inc case",2020-11-28,"GM","quantile",0.025,326409.851568489,"Germany"
2020-11-02,"1 wk ahead inc case",2020-11-07,"GM","quantile",0.05,132660.084190309,"Germany"
2020-11-02,"2 wk ahead inc case",2020-11-14,"GM","quantile",0.05,178987.29434866,"Germany"
2020-11-02,"3 wk ahead inc case",2020-11-21,"GM","quantile",0.05,246284.168139342,"Germany"
2020-11-02,"4 wk ahead inc case",2020-11-28,"GM","quantile",0.05,341207.556976493,"Germany"
2020-11-02,"1 wk ahead inc case",2020-11-07,"GM","quantile",0.1,137379.510173759,"Germany"
2020-11-02,"2 wk ahead inc case",2020-11-14,"GM","quantile",0.1,187285.833577539,"Germany"
2020-11-02,"3 wk ahead inc case",2020-11-21,"GM","quantile",0.1,260677.840312185,"Germany"
2020-11-02,"4 wk ahead inc case",2020-11-28,"GM","quantile",0.1,363758.716606843,"Germany"
2020-11-02,"1 wk ahead inc case",2020-11-07,"GM","quantile",0.15,140520.605086426,"Germany"
2020-11-02,"2 wk ahead inc case",2020-11-14,"GM","quantile",0.15,193744.051926814,"Germany"
2020-11-02,"3 wk ahead inc case",2020-11-21,"GM","quantile",0.15,271074.491767428,"Germany"
2020-11-02,"4 wk ahead inc case",2020-11-28,"GM","quantile",0.15,381975.634249529,"Germany"
2020-11-02,"1 wk ahead inc case",2020-11-07,"GM","quantile",0.2,143211.831936355,"Germany"
2020-11-02,"2 wk ahead inc case",2020-11-14,"GM","quantile",0.2,198679.393183559,"Germany"
2020-11-02,"3 wk ahead inc case",2020-11-21,"GM","quantile",0.2,278778.506813871,"Germany"
2020-11-02,"4 wk ahead inc case",2020-11-28,"GM","quantile",0.2,395078.773514219,"Germany"
2020-11-02,"1 wk ahead inc case",2020-11-07,"GM","quantile",0.25,145460.880198692,"Germany"
2020-11-02,"2 wk ahead inc case",2020-11-14,"GM","quantile",0.25,202820.104242012,"Germany"
2020-11-02,"3 wk ahead inc case",2020-11-21,"GM","quantile",0.25,286010.536402238,"Germany"
2020-11-02,"4 wk ahead inc case",2020-11-28,"GM","quantile",0.25,407249.997457877,"Germany"
2020-11-02,"1 wk ahead inc case",2020-11-07,"GM","quantile",0.3,147496.2165235,"Germany"
2020-11-02,"2 wk ahead inc case",2020-11-14,"GM","quantile",0.3,206802.244899119,"Germany"
2020-11-02,"3 wk ahead inc case",2020-11-21,"GM","quantile",0.3,293425.829506158,"Germany"
2020-11-02,"4 wk ahead inc case",2020-11-28,"GM","quantile",0.3,419244.604077406,"Germany"
2020-11-02,"1 wk ahead inc case",2020-11-07,"GM","quantile",0.35,149372.339338222,"Germany"
2020-11-02,"2 wk ahead inc case",2020-11-14,"GM","quantile",0.35,210502.842385477,"Germany"
2020-11-02,"3 wk ahead inc case",2020-11-21,"GM","quantile",0.35,300142.184937806,"Germany"
2020-11-02,"4 wk ahead inc case",2020-11-28,"GM","quantile",0.35,430775.509700957,"Germany"
2020-11-02,"1 wk ahead inc case",2020-11-07,"GM","quantile",0.4,151290.367924909,"Germany"
2020-11-02,"2 wk ahead inc case",2020-11-14,"GM","quantile",0.4,214507.05336698,"Germany"
2020-11-02,"3 wk ahead inc case",2020-11-21,"GM","quantile",0.4,307101.355372798,"Germany"
2020-11-02,"4 wk ahead inc case",2020-11-28,"GM","quantile",0.4,443182.896354117,"Germany"
2020-11-02,"1 wk ahead inc case",2020-11-07,"GM","quantile",0.45,153161.298841192,"Germany"
2020-11-02,"2 wk ahead inc case",2020-11-14,"GM","quantile",0.45,217809.309313885,"Germany"
2020-11-02,"3 wk ahead inc case",2020-11-21,"GM","quantile",0.45,313403.262468087,"Germany"
2020-11-02,"4 wk ahead inc case",2020-11-28,"GM","quantile",0.45,454408.656305988,"Germany"
2020-11-02,"1 wk ahead inc case",2020-11-07,"GM","quantile",0.5,154884.696540097,"Germany"
2020-11-02,"2 wk ahead inc case",2020-11-14,"GM","quantile",0.5,221672.626702264,"Germany"
2020-11-02,"3 wk ahead inc case",2020-11-21,"GM","quantile",0.5,319618.886659012,"Germany"
2020-11-02,"4 wk ahead inc case",2020-11-28,"GM","quantile",0.5,464673.562224368,"Germany"
2020-11-02,"1 wk ahead inc case",2020-11-07,"GM","quantile",0.55,156618.796941037,"Germany"
2020-11-02,"2 wk ahead inc case",2020-11-14,"GM","quantile",0.55,225143.939846975,"Germany"
2020-11-02,"3 wk ahead inc case",2020-11-21,"GM","quantile",0.55,326015.392221034,"Germany"
2020-11-02,"4 wk ahead inc case",2020-11-28,"GM","quantile",0.55,475988.21753839,"Germany"
2020-11-02,"1 wk ahead inc case",2020-11-07,"GM","quantile",0.6,158607.934992179,"Germany"
2020-11-02,"2 wk ahead inc case",2020-11-14,"GM","quantile",0.6,229023.457914265,"Germany"
2020-11-02,"3 wk ahead inc case",2020-11-21,"GM","quantile",0.6,333460.277809189,"Germany"
2020-11-02,"4 wk ahead inc case",2020-11-28,"GM","quantile",0.6,488037.183635575,"Germany"
2020-11-02,"1 wk ahead inc case",2020-11-07,"GM","quantile",0.65,160671.379756203,"Germany"
2020-11-02,"2 wk ahead inc case",2020-11-14,"GM","quantile",0.65,233047.124544046,"Germany"
2020-11-02,"3 wk ahead inc case",2020-11-21,"GM","quantile",0.65,341457.658380608,"Germany"
2020-11-02,"4 wk ahead inc case",2020-11-28,"GM","quantile",0.65,501791.767395002,"Germany"
2020-11-02,"1 wk ahead inc case",2020-11-07,"GM","quantile",0.7,162719.778842509,"Germany"
2020-11-02,"2 wk ahead inc case",2020-11-14,"GM","quantile",0.7,237518.649986615,"Germany"
2020-11-02,"3 wk ahead inc case",2020-11-21,"GM","quantile",0.7,349548.441668637,"Germany"
2020-11-02,"4 wk ahead inc case",2020-11-28,"GM","quantile",0.7,515614.496780622,"Germany"
2020-11-02,"1 wk ahead inc case",2020-11-07,"GM","quantile",0.75,164950.799700647,"Germany"
2020-11-02,"2 wk ahead inc case",2020-11-14,"GM","quantile",0.75,242105.934182144,"Germany"
2020-11-02,"3 wk ahead inc case",2020-11-21,"GM","quantile",0.75,358122.382599478,"Germany"
2020-11-02,"4 wk ahead inc case",2020-11-28,"GM","quantile",0.75,530133.957385058,"Germany"
2020-11-02,"1 wk ahead inc case",2020-11-07,"GM","quantile",0.8,167187.763901183,"Germany"
2020-11-02,"2 wk ahead inc case",2020-11-14,"GM","quantile",0.8,247366.100638428,"Germany"
2020-11-02,"3 wk ahead inc case",2020-11-21,"GM","quantile",0.8,367393.528438699,"Germany"
2020-11-02,"4 wk ahead inc case",2020-11-28,"GM","quantile",0.8,547241.939590282,"Germany"
2020-11-02,"1 wk ahead inc case",2020-11-07,"GM","quantile",0.85,169951.085768055,"Germany"
