"forecast_date","target","target_end_date","location","type","quantile","value","location_name"
2020-12-07,"1 wk ahead inc death",2020-12-12,"GM","point",NA,2908.93361308907,"Germany"
2020-12-07,"2 wk ahead inc death",2020-12-19,"GM","point",NA,3368.85928930358,"Germany"
2020-12-07,"3 wk ahead inc death",2020-12-26,"GM","point",NA,3883.53053328205,"Germany"
2020-12-07,"4 wk ahead inc death",2021-01-02,"GM","point",NA,4451.68234092623,"Germany"
2020-12-07,"1 wk ahead inc death",2020-12-12,"GM","quantile",0.01,2304.85737745116,"Germany"
2020-12-07,"2 wk ahead inc death",2020-12-19,"GM","quantile",0.01,2395.38646719802,"Germany"
2020-12-07,"3 wk ahead inc death",2020-12-26,"GM","quantile",0.01,2427.88841779753,"Germany"
2020-12-07,"4 wk ahead inc death",2021-01-02,"GM","quantile",0.01,2419.15009921611,"Germany"
2020-12-07,"1 wk ahead inc death",2020-12-12,"GM","quantile",0.025,2423.21223902602,"Germany"
2020-12-07,"2 wk ahead inc death",2020-12-19,"GM","quantile",0.025,2540.65554908381,"Germany"
2020-12-07,"3 wk ahead inc death",2020-12-26,"GM","quantile",0.025,2597.81751393235,"Germany"
2020-12-07,"4 wk ahead inc death",2021-01-02,"GM","quantile",0.025,2620.72978260501,"Germany"
2020-12-07,"1 wk ahead inc death",2020-12-12,"GM","quantile",0.05,2503.96282751731,"Germany"
2020-12-07,"2 wk ahead inc death",2020-12-19,"GM","quantile",0.05,2648.45673354863,"Germany"
2020-12-07,"3 wk ahead inc death",2020-12-26,"GM","quantile",0.05,2733.85468468368,"Germany"
2020-12-07,"4 wk ahead inc death",2021-01-02,"GM","quantile",0.05,2787.89143736706,"Germany"
2020-12-07,"1 wk ahead inc death",2020-12-12,"GM","quantile",0.1,2600.77311872924,"Germany"
2020-12-07,"2 wk ahead inc death",2020-12-19,"GM","quantile",0.1,2787.58590453965,"Germany"
2020-12-07,"3 wk ahead inc death",2020-12-26,"GM","quantile",0.1,2922.12120000411,"Germany"
2020-12-07,"4 wk ahead inc death",2021-01-02,"GM","quantile",0.1,3042.92391863123,"Germany"
2020-12-07,"1 wk ahead inc death",2020-12-12,"GM","quantile",0.15,2682.73804873302,"Germany"
2020-12-07,"2 wk ahead inc death",2020-12-19,"GM","quantile",0.15,2906.53150042747,"Germany"
2020-12-07,"3 wk ahead inc death",2020-12-26,"GM","quantile",0.15,3087.85046085033,"Germany"
2020-12-07,"4 wk ahead inc death",2021-01-02,"GM","quantile",0.15,3264.07260698621,"Germany"
2020-12-07,"1 wk ahead inc death",2020-12-12,"GM","quantile",0.2,2737.30420686789,"Germany"
2020-12-07,"2 wk ahead inc death",2020-12-19,"GM","quantile",0.2,3016.85084694229,"Germany"
2020-12-07,"3 wk ahead inc death",2020-12-26,"GM","quantile",0.2,3247.9074165429,"Germany"
2020-12-07,"4 wk ahead inc death",2021-01-02,"GM","quantile",0.2,3450.24776208178,"Germany"
2020-12-07,"1 wk ahead inc death",2020-12-12,"GM","quantile",0.25,2771.29846438726,"Germany"
2020-12-07,"2 wk ahead inc death",2020-12-19,"GM","quantile",0.25,3094.76598840431,"Germany"
2020-12-07,"3 wk ahead inc death",2020-12-26,"GM","quantile",0.25,3391.73666182732,"Germany"
2020-12-07,"4 wk ahead inc death",2021-01-02,"GM","quantile",0.25,3667.31388846466,"Germany"
2020-12-07,"1 wk ahead inc death",2020-12-12,"GM","quantile",0.3,2801.15985930337,"Germany"
2020-12-07,"2 wk ahead inc death",2020-12-19,"GM","quantile",0.3,3151.27559437859,"Germany"
2020-12-07,"3 wk ahead inc death",2020-12-26,"GM","quantile",0.3,3503.34012457001,"Germany"
2020-12-07,"4 wk ahead inc death",2021-01-02,"GM","quantile",0.3,3836.80329454254,"Germany"
2020-12-07,"1 wk ahead inc death",2020-12-12,"GM","quantile",0.35,2828.69963915996,"Germany"
2020-12-07,"2 wk ahead inc death",2020-12-19,"GM","quantile",0.35,3207.89859409931,"Germany"
2020-12-07,"3 wk ahead inc death",2020-12-26,"GM","quantile",0.35,3602.86465933499,"Germany"
2020-12-07,"4 wk ahead inc death",2021-01-02,"GM","quantile",0.35,4002.41285317933,"Germany"
2020-12-07,"1 wk ahead inc death",2020-12-12,"GM","quantile",0.4,2856.24406558984,"Germany"
2020-12-07,"2 wk ahead inc death",2020-12-19,"GM","quantile",0.4,3258.16855981961,"Germany"
2020-12-07,"3 wk ahead inc death",2020-12-26,"GM","quantile",0.4,3693.58868549033,"Germany"
2020-12-07,"4 wk ahead inc death",2021-01-02,"GM","quantile",0.4,4145.77037549137,"Germany"
2020-12-07,"1 wk ahead inc death",2020-12-12,"GM","quantile",0.45,2880.46209650225,"Germany"
2020-12-07,"2 wk ahead inc death",2020-12-19,"GM","quantile",0.45,3314.28341120396,"Germany"
2020-12-07,"3 wk ahead inc death",2020-12-26,"GM","quantile",0.45,3783.79898917752,"Germany"
2020-12-07,"4 wk ahead inc death",2021-01-02,"GM","quantile",0.45,4299.09123360914,"Germany"
2020-12-07,"1 wk ahead inc death",2020-12-12,"GM","quantile",0.5,2908.93361308907,"Germany"
2020-12-07,"2 wk ahead inc death",2020-12-19,"GM","quantile",0.5,3368.85928930358,"Germany"
2020-12-07,"3 wk ahead inc death",2020-12-26,"GM","quantile",0.5,3883.53053328205,"Germany"
