"forecast_date","target","target_end_date","location","type","quantile","value","location_name"
2020-12-07,"1 wk ahead inc death",2020-12-12,"PL","point",NA,2655.88889894879,"Poland"
2020-12-07,"2 wk ahead inc death",2020-12-19,"PL","point",NA,2305.12942227087,"Poland"
2020-12-07,"3 wk ahead inc death",2020-12-26,"PL","point",NA,1926.18120387896,"Poland"
2020-12-07,"4 wk ahead inc death",2021-01-02,"PL","point",NA,1636.87154651014,"Poland"
2020-12-07,"1 wk ahead inc death",2020-12-12,"PL","quantile",0.01,2055.04534796312,"Poland"
2020-12-07,"2 wk ahead inc death",2020-12-19,"PL","quantile",0.01,1551.56334789689,"Poland"
2020-12-07,"3 wk ahead inc death",2020-12-26,"PL","quantile",0.01,1181.73026582805,"Poland"
2020-12-07,"4 wk ahead inc death",2021-01-02,"PL","quantile",0.01,896.393730107471,"Poland"
2020-12-07,"1 wk ahead inc death",2020-12-12,"PL","quantile",0.025,2136.69278014957,"Poland"
2020-12-07,"2 wk ahead inc death",2020-12-19,"PL","quantile",0.025,1647.9869217422,"Poland"
2020-12-07,"3 wk ahead inc death",2020-12-26,"PL","quantile",0.025,1235.29172509372,"Poland"
2020-12-07,"4 wk ahead inc death",2021-01-02,"PL","quantile",0.025,947.72207283252,"Poland"
2020-12-07,"1 wk ahead inc death",2020-12-12,"PL","quantile",0.05,2206.1924990075,"Poland"
2020-12-07,"2 wk ahead inc death",2020-12-19,"PL","quantile",0.05,1732.90256954656,"Poland"
2020-12-07,"3 wk ahead inc death",2020-12-26,"PL","quantile",0.05,1286.4147846505,"Poland"
2020-12-07,"4 wk ahead inc death",2021-01-02,"PL","quantile",0.05,998.073133780965,"Poland"
2020-12-07,"1 wk ahead inc death",2020-12-12,"PL","quantile",0.1,2294.14873758223,"Poland"
2020-12-07,"2 wk ahead inc death",2020-12-19,"PL","quantile",0.1,1841.92294494653,"Poland"
2020-12-07,"3 wk ahead inc death",2020-12-26,"PL","quantile",0.1,1374.89259401728,"Poland"
2020-12-07,"4 wk ahead inc death",2021-01-02,"PL","quantile",0.1,1070.04414795802,"Poland"
2020-12-07,"1 wk ahead inc death",2020-12-12,"PL","quantile",0.15,2353.98793866248,"Poland"
2020-12-07,"2 wk ahead inc death",2020-12-19,"PL","quantile",0.15,1918.33943867266,"Poland"
2020-12-07,"3 wk ahead inc death",2020-12-26,"PL","quantile",0.15,1467.42015011217,"Poland"
2020-12-07,"4 wk ahead inc death",2021-01-02,"PL","quantile",0.15,1130.52132951387,"Poland"
2020-12-07,"1 wk ahead inc death",2020-12-12,"PL","quantile",0.2,2406.92098092525,"Poland"
2020-12-07,"2 wk ahead inc death",2020-12-19,"PL","quantile",0.2,1984.31795920987,"Poland"
2020-12-07,"3 wk ahead inc death",2020-12-26,"PL","quantile",0.2,1546.58766847812,"Poland"
2020-12-07,"4 wk ahead inc death",2021-01-02,"PL","quantile",0.2,1194.62926261915,"Poland"
2020-12-07,"1 wk ahead inc death",2020-12-12,"PL","quantile",0.25,2450.54667237687,"Poland"
2020-12-07,"2 wk ahead inc death",2020-12-19,"PL","quantile",0.25,2041.14022510262,"Poland"
2020-12-07,"3 wk ahead inc death",2020-12-26,"PL","quantile",0.25,1616.87502351002,"Poland"
2020-12-07,"4 wk ahead inc death",2021-01-02,"PL","quantile",0.25,1272.56864546341,"Poland"
2020-12-07,"1 wk ahead inc death",2020-12-12,"PL","quantile",0.3,2493.45658467181,"Poland"
2020-12-07,"2 wk ahead inc death",2020-12-19,"PL","quantile",0.3,2095.28069646405,"Poland"
2020-12-07,"3 wk ahead inc death",2020-12-26,"PL","quantile",0.3,1681.62544657786,"Poland"
2020-12-07,"4 wk ahead inc death",2021-01-02,"PL","quantile",0.3,1345.8532697279,"Poland"
