"forecast_date","target","target_end_date","location","type","quantile","value","location_name"
2021-02-22,"1 wk ahead inc case",2021-02-27,"PL72","point",NA,3314.75,"PL72"
2021-02-22,"2 wk ahead inc case",2021-03-06,"PL72","point",NA,4198.375,"PL72"
2021-02-22,"3 wk ahead inc case",2021-03-13,"PL72","point",NA,5469.5,"PL72"
2021-02-22,"4 wk ahead inc case",2021-03-20,"PL72","point",NA,7131.75,"PL72"
2021-02-22,"1 wk ahead inc case",2021-02-27,"PL72","quantile",0.01,2026.1975,"PL72"
2021-02-22,"2 wk ahead inc case",2021-03-06,"PL72","quantile",0.01,2272.73,"PL72"
2021-02-22,"3 wk ahead inc case",2021-03-13,"PL72","quantile",0.01,2523.7125,"PL72"
2021-02-22,"4 wk ahead inc case",2021-03-20,"PL72","quantile",0.01,2880.8975,"PL72"
2021-02-22,"1 wk ahead inc case",2021-02-27,"PL72","quantile",0.025,2178.74375,"PL72"
2021-02-22,"2 wk ahead inc case",2021-03-06,"PL72","quantile",0.025,2457.9875,"PL72"
2021-02-22,"3 wk ahead inc case",2021-03-13,"PL72","quantile",0.025,2797.6625,"PL72"
2021-02-22,"4 wk ahead inc case",2021-03-20,"PL72","quantile",0.025,3147.8875,"PL72"
2021-02-22,"1 wk ahead inc case",2021-02-27,"PL72","quantile",0.05,2356.5625,"PL72"
2021-02-22,"2 wk ahead inc case",2021-03-06,"PL72","quantile",0.05,2666.8875,"PL72"
2021-02-22,"3 wk ahead inc case",2021-03-13,"PL72","quantile",0.05,3094.4375,"PL72"
2021-02-22,"4 wk ahead inc case",2021-03-20,"PL72","quantile",0.05,3412.6875,"PL72"
2021-02-22,"1 wk ahead inc case",2021-02-27,"PL72","quantile",0.1,2586.05,"PL72"
2021-02-22,"2 wk ahead inc case",2021-03-06,"PL72","quantile",0.1,2879.475,"PL72"
2021-02-22,"3 wk ahead inc case",2021-03-13,"PL72","quantile",0.1,3407.125,"PL72"
2021-02-22,"4 wk ahead inc case",2021-03-20,"PL72","quantile",0.1,3930.875,"PL72"
2021-02-22,"1 wk ahead inc case",2021-02-27,"PL72","quantile",0.15,2761.9625,"PL72"
2021-02-22,"2 wk ahead inc case",2021-03-06,"PL72","quantile",0.15,3081.025,"PL72"
2021-02-22,"3 wk ahead inc case",2021-03-13,"PL72","quantile",0.15,3709.175,"PL72"
2021-02-22,"4 wk ahead inc case",2021-03-20,"PL72","quantile",0.15,4456.5125,"PL72"
2021-02-22,"1 wk ahead inc case",2021-02-27,"PL72","quantile",0.2,2855.7,"PL72"
2021-02-22,"2 wk ahead inc case",2021-03-06,"PL72","quantile",0.2,3267.15,"PL72"
2021-02-22,"3 wk ahead inc case",2021-03-13,"PL72","quantile",0.2,3981.9,"PL72"
2021-02-22,"4 wk ahead inc case",2021-03-20,"PL72","quantile",0.2,4834.9,"PL72"
2021-02-22,"1 wk ahead inc case",2021-02-27,"PL72","quantile",0.25,2959,"PL72"
2021-02-22,"2 wk ahead inc case",2021-03-06,"PL72","quantile",0.25,3463.375,"PL72"
2021-02-22,"3 wk ahead inc case",2021-03-13,"PL72","quantile",0.25,4214.625,"PL72"
2021-02-22,"4 wk ahead inc case",2021-03-20,"PL72","quantile",0.25,5173.9375,"PL72"
2021-02-22,"1 wk ahead inc case",2021-02-27,"PL72","quantile",0.3,3038.5,"PL72"
2021-02-22,"2 wk ahead inc case",2021-03-06,"PL72","quantile",0.3,3664.425,"PL72"
2021-02-22,"3 wk ahead inc case",2021-03-13,"PL72","quantile",0.3,4448.85,"PL72"
2021-02-22,"4 wk ahead inc case",2021-03-20,"PL72","quantile",0.3,5547.375,"PL72"
2021-02-22,"1 wk ahead inc case",2021-02-27,"PL72","quantile",0.35,3109.575,"PL72"
2021-02-22,"2 wk ahead inc case",2021-03-06,"PL72","quantile",0.35,3799.325,"PL72"
2021-02-22,"3 wk ahead inc case",2021-03-13,"PL72","quantile",0.35,4683.9125,"PL72"
2021-02-22,"4 wk ahead inc case",2021-03-20,"PL72","quantile",0.35,5881,"PL72"
2021-02-22,"1 wk ahead inc case",2021-02-27,"PL72","quantile",0.4,3179.65,"PL72"
2021-02-22,"2 wk ahead inc case",2021-03-06,"PL72","quantile",0.4,3927.65,"PL72"
2021-02-22,"3 wk ahead inc case",2021-03-13,"PL72","quantile",0.4,4933.75,"PL72"
2021-02-22,"4 wk ahead inc case",2021-03-20,"PL72","quantile",0.4,6222.85,"PL72"
2021-02-22,"1 wk ahead inc case",2021-02-27,"PL72","quantile",0.45,3241.6375,"PL72"
2021-02-22,"2 wk ahead inc case",2021-03-06,"PL72","quantile",0.45,4066.9625,"PL72"
2021-02-22,"3 wk ahead inc case",2021-03-13,"PL72","quantile",0.45,5194.1625,"PL72"
2021-02-22,"4 wk ahead inc case",2021-03-20,"PL72","quantile",0.45,6686.3875,"PL72"
2021-02-22,"1 wk ahead inc case",2021-02-27,"PL72","quantile",0.5,3314.75,"PL72"
2021-02-22,"2 wk ahead inc case",2021-03-06,"PL72","quantile",0.5,4198.375,"PL72"
2021-02-22,"3 wk ahead inc case",2021-03-13,"PL72","quantile",0.5,5469.5,"PL72"
2021-02-22,"4 wk ahead inc case",2021-03-20,"PL72","quantile",0.5,7131.75,"PL72"
2021-02-22,"1 wk ahead inc case",2021-02-27,"PL72","quantile",0.55,3394.1125,"PL72"
2021-02-22,"2 wk ahead inc case",2021-03-06,"PL72","quantile",0.55,4324.8625,"PL72"
2021-02-22,"3 wk ahead inc case",2021-03-13,"PL72","quantile",0.55,5746.0875,"PL72"
2021-02-22,"4 wk ahead inc case",2021-03-20,"PL72","quantile",0.55,7704.375,"PL72"
2021-02-22,"1 wk ahead inc case",2021-02-27,"PL72","quantile",0.6,3469.9,"PL72"
2021-02-22,"2 wk ahead inc case",2021-03-06,"PL72","quantile",0.6,4475.5,"PL72"
2021-02-22,"3 wk ahead inc case",2021-03-13,"PL72","quantile",0.6,6016.2,"PL72"
2021-02-22,"4 wk ahead inc case",2021-03-20,"PL72","quantile",0.6,8185.1,"PL72"
2021-02-22,"1 wk ahead inc case",2021-02-27,"PL72","quantile",0.65,3549.425,"PL72"
2021-02-22,"2 wk ahead inc case",2021-03-06,"PL72","quantile",0.65,4630.0875,"PL72"
2021-02-22,"3 wk ahead inc case",2021-03-13,"PL72","quantile",0.65,6328.3375,"PL72"
2021-02-22,"4 wk ahead inc case",2021-03-20,"PL72","quantile",0.65,8729.9375,"PL72"
2021-02-22,"1 wk ahead inc case",2021-02-27,"PL72","quantile",0.7,3653.9,"PL72"
2021-02-22,"2 wk ahead inc case",2021-03-06,"PL72","quantile",0.7,4822.65,"PL72"
2021-02-22,"3 wk ahead inc case",2021-03-13,"PL72","quantile",0.7,6676.35,"PL72"
2021-02-22,"4 wk ahead inc case",2021-03-20,"PL72","quantile",0.7,9382.525,"PL72"
2021-02-22,"1 wk ahead inc case",2021-02-27,"PL72","quantile",0.75,3742.4375,"PL72"
2021-02-22,"2 wk ahead inc case",2021-03-06,"PL72","quantile",0.75,5012.875,"PL72"
2021-02-22,"3 wk ahead inc case",2021-03-13,"PL72","quantile",0.75,7066.8125,"PL72"
2021-02-22,"4 wk ahead inc case",2021-03-20,"PL72","quantile",0.75,10244.6875,"PL72"
2021-02-22,"1 wk ahead inc case",2021-02-27,"PL72","quantile",0.8,3853.05,"PL72"
2021-02-22,"2 wk ahead inc case",2021-03-06,"PL72","quantile",0.8,5215.95,"PL72"
2021-02-22,"3 wk ahead inc case",2021-03-13,"PL72","quantile",0.8,7678.75,"PL72"
2021-02-22,"4 wk ahead inc case",2021-03-20,"PL72","quantile",0.8,11384.5,"PL72"
2021-02-22,"1 wk ahead inc case",2021-02-27,"PL72","quantile",0.85,3967.075,"PL72"
2021-02-22,"2 wk ahead inc case",2021-03-06,"PL72","quantile",0.85,5480.6125,"PL72"
2021-02-22,"3 wk ahead inc case",2021-03-13,"PL72","quantile",0.85,8286.0375,"PL72"
2021-02-22,"4 wk ahead inc case",2021-03-20,"PL72","quantile",0.85,12558.3125,"PL72"
2021-02-22,"1 wk ahead inc case",2021-02-27,"PL72","quantile",0.9,4116.35,"PL72"
2021-02-22,"2 wk ahead inc case",2021-03-06,"PL72","quantile",0.9,5782.525,"PL72"
2021-02-22,"3 wk ahead inc case",2021-03-13,"PL72","quantile",0.9,9014.3,"PL72"
2021-02-22,"4 wk ahead inc case",2021-03-20,"PL72","quantile",0.9,14124.275,"PL72"
2021-02-22,"1 wk ahead inc case",2021-02-27,"PL72","quantile",0.95,4322.2625,"PL72"
2021-02-22,"2 wk ahead inc case",2021-03-06,"PL72","quantile",0.95,6321,"PL72"
2021-02-22,"3 wk ahead inc case",2021-03-13,"PL72","quantile",0.95,10230.9125,"PL72"
2021-02-22,"4 wk ahead inc case",2021-03-20,"PL72","quantile",0.95,16736.3125,"PL72"
2021-02-22,"1 wk ahead inc case",2021-02-27,"PL72","quantile",0.975,4532.28125,"PL72"
2021-02-22,"2 wk ahead inc case",2021-03-06,"PL72","quantile",0.975,6635.25,"PL72"
2021-02-22,"3 wk ahead inc case",2021-03-13,"PL72","quantile",0.975,11171.66875,"PL72"
2021-02-22,"4 wk ahead inc case",2021-03-20,"PL72","quantile",0.975,18905.9875,"PL72"
2021-02-22,"1 wk ahead inc case",2021-02-27,"PL72","quantile",0.99,4742.265,"PL72"
2021-02-22,"2 wk ahead inc case",2021-03-06,"PL72","quantile",0.99,6963.51,"PL72"
2021-02-22,"3 wk ahead inc case",2021-03-13,"PL72","quantile",0.99,11972.5375,"PL72"
2021-02-22,"4 wk ahead inc case",2021-03-20,"PL72","quantile",0.99,20416.195,"PL72"
2021-02-22,"1 wk ahead inc case",2021-02-27,"PL73","point",NA,3646.5,"PL73"
2021-02-22,"2 wk ahead inc case",2021-03-06,"PL73","point",NA,3906.25,"PL73"
2021-02-22,"3 wk ahead inc case",2021-03-13,"PL73","point",NA,4201.375,"PL73"
2021-02-22,"4 wk ahead inc case",2021-03-20,"PL73","point",NA,4520.75,"PL73"
2021-02-22,"1 wk ahead inc case",2021-02-27,"PL73","quantile",0.01,2453.965,"PL73"
2021-02-22,"2 wk ahead inc case",2021-03-06,"PL73","quantile",0.01,2224.235,"PL73"
2021-02-22,"3 wk ahead inc case",2021-03-13,"PL73","quantile",0.01,1973.21,"PL73"
2021-02-22,"4 wk ahead inc case",2021-03-20,"PL73","quantile",0.01,1845.7125,"PL73"
2021-02-22,"1 wk ahead inc case",2021-02-27,"PL73","quantile",0.025,2541.95625,"PL73"
2021-02-22,"2 wk ahead inc case",2021-03-06,"PL73","quantile",0.025,2410.68125,"PL73"
2021-02-22,"3 wk ahead inc case",2021-03-13,"PL73","quantile",0.025,2180.1875,"PL73"
2021-02-22,"4 wk ahead inc case",2021-03-20,"PL73","quantile",0.025,2037.85625,"PL73"
2021-02-22,"1 wk ahead inc case",2021-02-27,"PL73","quantile",0.05,2656.6125,"PL73"
2021-02-22,"2 wk ahead inc case",2021-03-06,"PL73","quantile",0.05,2587.125,"PL73"
2021-02-22,"3 wk ahead inc case",2021-03-13,"PL73","quantile",0.05,2441.625,"PL73"
2021-02-22,"4 wk ahead inc case",2021-03-20,"PL73","quantile",0.05,2361.9875,"PL73"
2021-02-22,"1 wk ahead inc case",2021-02-27,"PL73","quantile",0.1,2880.725,"PL73"
2021-02-22,"2 wk ahead inc case",2021-03-06,"PL73","quantile",0.1,2829.475,"PL73"
2021-02-22,"3 wk ahead inc case",2021-03-13,"PL73","quantile",0.1,2676.675,"PL73"
2021-02-22,"4 wk ahead inc case",2021-03-20,"PL73","quantile",0.1,2648.425,"PL73"
2021-02-22,"1 wk ahead inc case",2021-02-27,"PL73","quantile",0.15,3018.7125,"PL73"
2021-02-22,"2 wk ahead inc case",2021-03-06,"PL73","quantile",0.15,2961.25,"PL73"
2021-02-22,"3 wk ahead inc case",2021-03-13,"PL73","quantile",0.15,2934.925,"PL73"
2021-02-22,"4 wk ahead inc case",2021-03-20,"PL73","quantile",0.15,2915.6375,"PL73"
2021-02-22,"1 wk ahead inc case",2021-02-27,"PL73","quantile",0.2,3148.5,"PL73"
2021-02-22,"2 wk ahead inc case",2021-03-06,"PL73","quantile",0.2,3073.05,"PL73"
2021-02-22,"3 wk ahead inc case",2021-03-13,"PL73","quantile",0.2,3123.95,"PL73"
2021-02-22,"4 wk ahead inc case",2021-03-20,"PL73","quantile",0.2,3185.75,"PL73"
2021-02-22,"1 wk ahead inc case",2021-02-27,"PL73","quantile",0.25,3218,"PL73"
2021-02-22,"2 wk ahead inc case",2021-03-06,"PL73","quantile",0.25,3228.3125,"PL73"
2021-02-22,"3 wk ahead inc case",2021-03-13,"PL73","quantile",0.25,3297.6875,"PL73"
2021-02-22,"4 wk ahead inc case",2021-03-20,"PL73","quantile",0.25,3408,"PL73"
2021-02-22,"1 wk ahead inc case",2021-02-27,"PL73","quantile",0.3,3315.175,"PL73"
2021-02-22,"2 wk ahead inc case",2021-03-06,"PL73","quantile",0.3,3342.525,"PL73"
2021-02-22,"3 wk ahead inc case",2021-03-13,"PL73","quantile",0.3,3491.225,"PL73"
2021-02-22,"4 wk ahead inc case",2021-03-20,"PL73","quantile",0.3,3652.25,"PL73"
2021-02-22,"1 wk ahead inc case",2021-02-27,"PL73","quantile",0.35,3413.725,"PL73"
2021-02-22,"2 wk ahead inc case",2021-03-06,"PL73","quantile",0.35,3477.75,"PL73"
2021-02-22,"3 wk ahead inc case",2021-03-13,"PL73","quantile",0.35,3645.3125,"PL73"
2021-02-22,"4 wk ahead inc case",2021-03-20,"PL73","quantile",0.35,3859.8875,"PL73"
2021-02-22,"1 wk ahead inc case",2021-02-27,"PL73","quantile",0.4,3486.55,"PL73"
2021-02-22,"2 wk ahead inc case",2021-03-06,"PL73","quantile",0.4,3627.45,"PL73"
2021-02-22,"3 wk ahead inc case",2021-03-13,"PL73","quantile",0.4,3821.55,"PL73"
2021-02-22,"4 wk ahead inc case",2021-03-20,"PL73","quantile",0.4,4080.1,"PL73"
2021-02-22,"1 wk ahead inc case",2021-02-27,"PL73","quantile",0.45,3578.775,"PL73"
2021-02-22,"2 wk ahead inc case",2021-03-06,"PL73","quantile",0.45,3769.5,"PL73"
2021-02-22,"3 wk ahead inc case",2021-03-13,"PL73","quantile",0.45,4040.8875,"PL73"
2021-02-22,"4 wk ahead inc case",2021-03-20,"PL73","quantile",0.45,4310.275,"PL73"
2021-02-22,"1 wk ahead inc case",2021-02-27,"PL73","quantile",0.5,3646.5,"PL73"
2021-02-22,"2 wk ahead inc case",2021-03-06,"PL73","quantile",0.5,3906.25,"PL73"
2021-02-22,"3 wk ahead inc case",2021-03-13,"PL73","quantile",0.5,4201.375,"PL73"
2021-02-22,"4 wk ahead inc case",2021-03-20,"PL73","quantile",0.5,4520.75,"PL73"
2021-02-22,"1 wk ahead inc case",2021-02-27,"PL73","quantile",0.55,3707.3125,"PL73"
2021-02-22,"2 wk ahead inc case",2021-03-06,"PL73","quantile",0.55,4052.6125,"PL73"
2021-02-22,"3 wk ahead inc case",2021-03-13,"PL73","quantile",0.55,4369.75,"PL73"
2021-02-22,"4 wk ahead inc case",2021-03-20,"PL73","quantile",0.55,4733.9875,"PL73"
2021-02-22,"1 wk ahead inc case",2021-02-27,"PL73","quantile",0.6,3767.4,"PL73"
2021-02-22,"2 wk ahead inc case",2021-03-06,"PL73","quantile",0.6,4191.05,"PL73"
2021-02-22,"3 wk ahead inc case",2021-03-13,"PL73","quantile",0.6,4541.5,"PL73"
