"forecast_date","target","target_end_date","location","type","quantile","value","location_name"
2020-10-05,"1 wk ahead cum death",2020-10-10,"PL","quantile",0.01,2646,"Poland"
2020-10-05,"2 wk ahead cum death",2020-10-17,"PL","quantile",0.01,2752,"Poland"
2020-10-05,"3 wk ahead cum death",2020-10-24,"PL","quantile",0.01,2908,"Poland"
2020-10-05,"4 wk ahead cum death",2020-10-31,"PL","quantile",0.01,3054,"Poland"
2020-10-05,"1 wk ahead cum death",2020-10-10,"PL","quantile",0.025,2658,"Poland"
2020-10-05,"2 wk ahead cum death",2020-10-17,"PL","quantile",0.025,2768,"Poland"
2020-10-05,"3 wk ahead cum death",2020-10-24,"PL","quantile",0.025,2936,"Poland"
2020-10-05,"4 wk ahead cum death",2020-10-31,"PL","quantile",0.025,3086,"Poland"
2020-10-05,"1 wk ahead cum death",2020-10-10,"PL","quantile",0.05,2667,"Poland"
2020-10-05,"2 wk ahead cum death",2020-10-17,"PL","quantile",0.05,2789,"Poland"
2020-10-05,"3 wk ahead cum death",2020-10-24,"PL","quantile",0.05,2960,"Poland"
2020-10-05,"4 wk ahead cum death",2020-10-31,"PL","quantile",0.05,3114,"Poland"
2020-10-05,"1 wk ahead cum death",2020-10-10,"PL","quantile",0.1,2672,"Poland"
2020-10-05,"2 wk ahead cum death",2020-10-17,"PL","quantile",0.1,2817,"Poland"
2020-10-05,"3 wk ahead cum death",2020-10-24,"PL","quantile",0.1,2988,"Poland"
2020-10-05,"4 wk ahead cum death",2020-10-31,"PL","quantile",0.1,3148,"Poland"
2020-10-05,"1 wk ahead cum death",2020-10-10,"PL","quantile",0.15,2676,"Poland"
2020-10-05,"2 wk ahead cum death",2020-10-17,"PL","quantile",0.15,2832,"Poland"
2020-10-05,"3 wk ahead cum death",2020-10-24,"PL","quantile",0.15,3008,"Poland"
2020-10-05,"4 wk ahead cum death",2020-10-31,"PL","quantile",0.15,3171,"Poland"
2020-10-05,"1 wk ahead cum death",2020-10-10,"PL","quantile",0.2,2682,"Poland"
2020-10-05,"2 wk ahead cum death",2020-10-17,"PL","quantile",0.2,2849,"Poland"
2020-10-05,"3 wk ahead cum death",2020-10-24,"PL","quantile",0.2,3024,"Poland"
2020-10-05,"4 wk ahead cum death",2020-10-31,"PL","quantile",0.2,3190,"Poland"
2020-10-05,"1 wk ahead cum death",2020-10-10,"PL","quantile",0.25,2689,"Poland"
2020-10-05,"2 wk ahead cum death",2020-10-17,"PL","quantile",0.25,2863,"Poland"
2020-10-05,"3 wk ahead cum death",2020-10-24,"PL","quantile",0.25,3038,"Poland"
2020-10-05,"4 wk ahead cum death",2020-10-31,"PL","quantile",0.25,3207,"Poland"
2020-10-05,"1 wk ahead cum death",2020-10-10,"PL","quantile",0.3,2690,"Poland"
