"forecast_date","target","target_end_date","location","type","quantile","value","location_name"
2020-11-02,"1 wk ahead inc case",2020-11-07,"PL","point",NA,164867,"Poland"
2020-11-02,"2 wk ahead inc case",2020-11-14,"PL","point",NA,254144,"Poland"
2020-11-02,"3 wk ahead inc case",2020-11-21,"PL","point",NA,309433,"Poland"
2020-11-02,"4 wk ahead inc case",2020-11-28,"PL","point",NA,369522,"Poland"
2020-11-02,"1 wk ahead inc case",2020-11-07,"PL","quantile",0.01,133504,"Poland"
2020-11-02,"2 wk ahead inc case",2020-11-14,"PL","quantile",0.01,179580,"Poland"
2020-11-02,"3 wk ahead inc case",2020-11-21,"PL","quantile",0.01,239013,"Poland"
2020-11-02,"4 wk ahead inc case",2020-11-28,"PL","quantile",0.01,255017.2,"Poland"
2020-11-02,"1 wk ahead inc case",2020-11-07,"PL","quantile",0.025,135722,"Poland"
2020-11-02,"2 wk ahead inc case",2020-11-14,"PL","quantile",0.025,184082,"Poland"
2020-11-02,"3 wk ahead inc case",2020-11-21,"PL","quantile",0.025,247682,"Poland"
2020-11-02,"4 wk ahead inc case",2020-11-28,"PL","quantile",0.025,257572,"Poland"
2020-11-02,"1 wk ahead inc case",2020-11-07,"PL","quantile",0.05,138389,"Poland"
2020-11-02,"2 wk ahead inc case",2020-11-14,"PL","quantile",0.05,191025,"Poland"
2020-11-02,"3 wk ahead inc case",2020-11-21,"PL","quantile",0.05,259252,"Poland"
2020-11-02,"4 wk ahead inc case",2020-11-28,"PL","quantile",0.05,259976,"Poland"
2020-11-02,"1 wk ahead inc case",2020-11-07,"PL","quantile",0.1,143218,"Poland"
2020-11-02,"2 wk ahead inc case",2020-11-14,"PL","quantile",0.1,201286,"Poland"
2020-11-02,"3 wk ahead inc case",2020-11-21,"PL","quantile",0.1,275831,"Poland"
2020-11-02,"4 wk ahead inc case",2020-11-28,"PL","quantile",0.1,299558,"Poland"
2020-11-02,"1 wk ahead inc case",2020-11-07,"PL","quantile",0.15,147132,"Poland"
2020-11-02,"2 wk ahead inc case",2020-11-14,"PL","quantile",0.15,207304.8,"Poland"
2020-11-02,"3 wk ahead inc case",2020-11-21,"PL","quantile",0.15,276788.6,"Poland"
2020-11-02,"4 wk ahead inc case",2020-11-28,"PL","quantile",0.15,304630,"Poland"
2020-11-02,"1 wk ahead inc case",2020-11-07,"PL","quantile",0.2,151627.628466606,"Poland"
2020-11-02,"2 wk ahead inc case",2020-11-14,"PL","quantile",0.2,207831.4,"Poland"
2020-11-02,"3 wk ahead inc case",2020-11-21,"PL","quantile",0.2,277806.4,"Poland"
2020-11-02,"4 wk ahead inc case",2020-11-28,"PL","quantile",0.2,307732,"Poland"
2020-11-02,"1 wk ahead inc case",2020-11-07,"PL","quantile",0.25,158353.30380384,"Poland"
2020-11-02,"2 wk ahead inc case",2020-11-14,"PL","quantile",0.25,216338.430920018,"Poland"
2020-11-02,"3 wk ahead inc case",2020-11-21,"PL","quantile",0.25,278869.75,"Poland"
2020-11-02,"4 wk ahead inc case",2020-11-28,"PL","quantile",0.25,321402,"Poland"
2020-11-02,"1 wk ahead inc case",2020-11-07,"PL","quantile",0.3,161733.2,"Poland"
2020-11-02,"2 wk ahead inc case",2020-11-14,"PL","quantile",0.3,224880.088954234,"Poland"
2020-11-02,"3 wk ahead inc case",2020-11-21,"PL","quantile",0.3,279711.2,"Poland"
2020-11-02,"4 wk ahead inc case",2020-11-28,"PL","quantile",0.3,329239,"Poland"
2020-11-02,"1 wk ahead inc case",2020-11-07,"PL","quantile",0.35,161995,"Poland"
2020-11-02,"2 wk ahead inc case",2020-11-14,"PL","quantile",0.35,232795.208084454,"Poland"
2020-11-02,"3 wk ahead inc case",2020-11-21,"PL","quantile",0.35,282575.824565621,"Poland"
2020-11-02,"4 wk ahead inc case",2020-11-28,"PL","quantile",0.35,337139,"Poland"
2020-11-02,"1 wk ahead inc case",2020-11-07,"PL","quantile",0.4,162765,"Poland"
2020-11-02,"2 wk ahead inc case",2020-11-14,"PL","quantile",0.4,240305.882117845,"Poland"
2020-11-02,"3 wk ahead inc case",2020-11-21,"PL","quantile",0.4,291774.484068711,"Poland"
2020-11-02,"4 wk ahead inc case",2020-11-28,"PL","quantile",0.4,360261,"Poland"
2020-11-02,"1 wk ahead inc case",2020-11-07,"PL","quantile",0.45,164355,"Poland"
2020-11-02,"2 wk ahead inc case",2020-11-14,"PL","quantile",0.45,247572.546165473,"Poland"
2020-11-02,"3 wk ahead inc case",2020-11-21,"PL","quantile",0.45,300674.293593169,"Poland"
2020-11-02,"4 wk ahead inc case",2020-11-28,"PL","quantile",0.45,365997,"Poland"
2020-11-02,"1 wk ahead inc case",2020-11-07,"PL","quantile",0.5,164867,"Poland"
2020-11-02,"2 wk ahead inc case",2020-11-14,"PL","quantile",0.5,254144,"Poland"
2020-11-02,"3 wk ahead inc case",2020-11-21,"PL","quantile",0.5,309433,"Poland"
2020-11-02,"4 wk ahead inc case",2020-11-28,"PL","quantile",0.5,369522,"Poland"
2020-11-02,"1 wk ahead inc case",2020-11-07,"PL","quantile",0.55,165652.193347916,"Poland"
2020-11-02,"2 wk ahead inc case",2020-11-14,"PL","quantile",0.55,255335,"Poland"
2020-11-02,"3 wk ahead inc case",2020-11-21,"PL","quantile",0.55,318191.706406831,"Poland"
2020-11-02,"4 wk ahead inc case",2020-11-28,"PL","quantile",0.55,381297.691739376,"Poland"
2020-11-02,"1 wk ahead inc case",2020-11-07,"PL","quantile",0.6,168551.719253476,"Poland"
2020-11-02,"2 wk ahead inc case",2020-11-14,"PL","quantile",0.6,256143,"Poland"
2020-11-02,"3 wk ahead inc case",2020-11-21,"PL","quantile",0.6,323379,"Poland"
2020-11-02,"4 wk ahead inc case",2020-11-28,"PL","quantile",0.6,388825.4,"Poland"
2020-11-02,"1 wk ahead inc case",2020-11-07,"PL","quantile",0.65,171610.642649349,"Poland"
2020-11-02,"2 wk ahead inc case",2020-11-14,"PL","quantile",0.65,257309,"Poland"
2020-11-02,"3 wk ahead inc case",2020-11-21,"PL","quantile",0.65,325830,"Poland"
2020-11-02,"4 wk ahead inc case",2020-11-28,"PL","quantile",0.65,389977.05,"Poland"
2020-11-02,"1 wk ahead inc case",2020-11-07,"PL","quantile",0.7,174904.122034897,"Poland"
