"forecast_date","target","target_end_date","location","type","quantile","value","location_name"
2021-01-18,"1 wk ahead inc case",2021-01-23,"GM","point",NA,109780.278141963,"Germany"
2021-01-18,"2 wk ahead inc case",2021-01-30,"GM","point",NA,95739.1179783632,"Germany"
2021-01-18,"3 wk ahead inc case",2021-02-06,"GM","point",NA,90299.6059591587,"Germany"
2021-01-18,"4 wk ahead inc case",2021-02-13,"GM","point",NA,92735.5318531447,"Germany"
2021-01-18,"1 wk ahead inc case",2021-01-23,"GM","quantile",0.01,90075.7389195,"Germany"
2021-01-18,"2 wk ahead inc case",2021-01-30,"GM","quantile",0.01,65395.224281,"Germany"
2021-01-18,"3 wk ahead inc case",2021-02-06,"GM","quantile",0.01,46808.553493,"Germany"
2021-01-18,"4 wk ahead inc case",2021-02-13,"GM","quantile",0.01,31273.3506925613,"Germany"
2021-01-18,"1 wk ahead inc case",2021-01-23,"GM","quantile",0.025,91272.3944985,"Germany"
2021-01-18,"2 wk ahead inc case",2021-01-30,"GM","quantile",0.025,70536.7380685,"Germany"
2021-01-18,"3 wk ahead inc case",2021-02-06,"GM","quantile",0.025,52672.4261025,"Germany"
2021-01-18,"4 wk ahead inc case",2021-02-13,"GM","quantile",0.025,36550.235736,"Germany"
2021-01-18,"1 wk ahead inc case",2021-01-23,"GM","quantile",0.05,92656.279309,"Germany"
2021-01-18,"2 wk ahead inc case",2021-01-30,"GM","quantile",0.05,74395.4210395,"Germany"
2021-01-18,"3 wk ahead inc case",2021-02-06,"GM","quantile",0.05,57663.7921845,"Germany"
2021-01-18,"4 wk ahead inc case",2021-02-13,"GM","quantile",0.05,42775.0470165,"Germany"
2021-01-18,"1 wk ahead inc case",2021-01-23,"GM","quantile",0.1,97069.706332,"Germany"
2021-01-18,"2 wk ahead inc case",2021-01-30,"GM","quantile",0.1,80227.3494069873,"Germany"
2021-01-18,"3 wk ahead inc case",2021-02-06,"GM","quantile",0.1,64282.408736,"Germany"
2021-01-18,"4 wk ahead inc case",2021-02-13,"GM","quantile",0.1,50282.5050219315,"Germany"
2021-01-18,"1 wk ahead inc case",2021-01-23,"GM","quantile",0.15,99886.3127973061,"Germany"
