"forecast_date","target","target_end_date","location","type","quantile","value","location_name"
2021-01-25,"1 wk ahead inc death",2021-01-30,"GM","point",NA,5192.24696596306,"Germany"
2021-01-25,"2 wk ahead inc death",2021-02-06,"GM","point",NA,4598,"Germany"
2021-01-25,"3 wk ahead inc death",2021-02-13,"GM","point",NA,4013.7175,"Germany"
2021-01-25,"4 wk ahead inc death",2021-02-20,"GM","point",NA,3783,"Germany"
2021-01-25,"1 wk ahead inc death",2021-01-30,"GM","quantile",0.01,4091.23322934243,"Germany"
2021-01-25,"2 wk ahead inc death",2021-02-06,"GM","quantile",0.01,3127,"Germany"
2021-01-25,"3 wk ahead inc death",2021-02-13,"GM","quantile",0.01,2285,"Germany"
2021-01-25,"4 wk ahead inc death",2021-02-20,"GM","quantile",0.01,1701,"Germany"
2021-01-25,"1 wk ahead inc death",2021-01-30,"GM","quantile",0.025,4353.7,"Germany"
2021-01-25,"2 wk ahead inc death",2021-02-06,"GM","quantile",0.025,3236,"Germany"
2021-01-25,"3 wk ahead inc death",2021-02-13,"GM","quantile",0.025,2320,"Germany"
2021-01-25,"4 wk ahead inc death",2021-02-20,"GM","quantile",0.025,1811,"Germany"
2021-01-25,"1 wk ahead inc death",2021-01-30,"GM","quantile",0.05,4530.7,"Germany"
2021-01-25,"2 wk ahead inc death",2021-02-06,"GM","quantile",0.05,3315,"Germany"
2021-01-25,"3 wk ahead inc death",2021-02-13,"GM","quantile",0.05,2416,"Germany"
2021-01-25,"4 wk ahead inc death",2021-02-20,"GM","quantile",0.05,2034,"Germany"
2021-01-25,"1 wk ahead inc death",2021-01-30,"GM","quantile",0.1,4720,"Germany"
2021-01-25,"2 wk ahead inc death",2021-02-06,"GM","quantile",0.1,3388,"Germany"
2021-01-25,"3 wk ahead inc death",2021-02-13,"GM","quantile",0.1,2591,"Germany"
2021-01-25,"4 wk ahead inc death",2021-02-20,"GM","quantile",0.1,2444,"Germany"
2021-01-25,"1 wk ahead inc death",2021-01-30,"GM","quantile",0.15,4785,"Germany"
2021-01-25,"2 wk ahead inc death",2021-02-06,"GM","quantile",0.15,3489,"Germany"
2021-01-25,"3 wk ahead inc death",2021-02-13,"GM","quantile",0.15,3271.43635778086,"Germany"
2021-01-25,"4 wk ahead inc death",2021-02-20,"GM","quantile",0.15,2520,"Germany"
2021-01-25,"1 wk ahead inc death",2021-01-30,"GM","quantile",0.2,4860,"Germany"
2021-01-25,"2 wk ahead inc death",2021-02-06,"GM","quantile",0.2,3531,"Germany"
2021-01-25,"3 wk ahead inc death",2021-02-13,"GM","quantile",0.2,3401.16947247562,"Germany"
2021-01-25,"4 wk ahead inc death",2021-02-20,"GM","quantile",0.2,2820,"Germany"
2021-01-25,"1 wk ahead inc death",2021-01-30,"GM","quantile",0.25,4931,"Germany"
2021-01-25,"2 wk ahead inc death",2021-02-06,"GM","quantile",0.25,3582,"Germany"
2021-01-25,"3 wk ahead inc death",2021-02-13,"GM","quantile",0.25,3515.91546980038,"Germany"
2021-01-25,"4 wk ahead inc death",2021-02-20,"GM","quantile",0.25,3169.00700414898,"Germany"
2021-01-25,"1 wk ahead inc death",2021-01-30,"GM","quantile",0.3,4933,"Germany"
2021-01-25,"2 wk ahead inc death",2021-02-06,"GM","quantile",0.3,3664,"Germany"
2021-01-25,"3 wk ahead inc death",2021-02-13,"GM","quantile",0.3,3621.76948809,"Germany"
2021-01-25,"4 wk ahead inc death",2021-02-20,"GM","quantile",0.3,3288.2283519511,"Germany"
2021-01-25,"1 wk ahead inc death",2021-01-30,"GM","quantile",0.35,4936,"Germany"
2021-01-25,"2 wk ahead inc death",2021-02-06,"GM","quantile",0.35,3952,"Germany"
2021-01-25,"3 wk ahead inc death",2021-02-13,"GM","quantile",0.35,3722.30614424514,"Germany"
2021-01-25,"4 wk ahead inc death",2021-02-20,"GM","quantile",0.35,3401.94419512959,"Germany"
2021-01-25,"1 wk ahead inc death",2021-01-30,"GM","quantile",0.4,5026,"Germany"
2021-01-25,"2 wk ahead inc death",2021-02-06,"GM","quantile",0.4,4272.01479594187,"Germany"
2021-01-25,"3 wk ahead inc death",2021-02-13,"GM","quantile",0.4,3819.94548634709,"Germany"
2021-01-25,"4 wk ahead inc death",2021-02-20,"GM","quantile",0.4,3512.83134060854,"Germany"
2021-01-25,"1 wk ahead inc death",2021-01-30,"GM","quantile",0.45,5153.74450611174,"Germany"
2021-01-25,"2 wk ahead inc death",2021-02-06,"GM","quantile",0.45,4353.4386665812,"Germany"
2021-01-25,"3 wk ahead inc death",2021-02-13,"GM","quantile",0.45,3916.54585240287,"Germany"
2021-01-25,"4 wk ahead inc death",2021-02-20,"GM","quantile",0.45,3622.97106303226,"Germany"
2021-01-25,"1 wk ahead inc death",2021-01-30,"GM","quantile",0.5,5192.24696596306,"Germany"
2021-01-25,"2 wk ahead inc death",2021-02-06,"GM","quantile",0.5,4598,"Germany"
2021-01-25,"3 wk ahead inc death",2021-02-13,"GM","quantile",0.5,4013.7175,"Germany"
2021-01-25,"4 wk ahead inc death",2021-02-20,"GM","quantile",0.5,3783,"Germany"
2021-01-25,"1 wk ahead inc death",2021-01-30,"GM","quantile",0.55,5345,"Germany"
2021-01-25,"2 wk ahead inc death",2021-02-06,"GM","quantile",0.55,4960,"Germany"
2021-01-25,"3 wk ahead inc death",2021-02-13,"GM","quantile",0.55,4467,"Germany"
2021-01-25,"4 wk ahead inc death",2021-02-20,"GM","quantile",0.55,4075.05618551299,"Germany"
2021-01-25,"1 wk ahead inc death",2021-01-30,"GM","quantile",0.6,5529,"Germany"
2021-01-25,"2 wk ahead inc death",2021-02-06,"GM","quantile",0.6,5315,"Germany"
2021-01-25,"3 wk ahead inc death",2021-02-13,"GM","quantile",0.6,4509.93083359856,"Germany"
2021-01-25,"4 wk ahead inc death",2021-02-20,"GM","quantile",0.6,4451,"Germany"
2021-01-25,"1 wk ahead inc death",2021-01-30,"GM","quantile",0.65,5710,"Germany"
2021-01-25,"2 wk ahead inc death",2021-02-06,"GM","quantile",0.65,5403,"Germany"
2021-01-25,"3 wk ahead inc death",2021-02-13,"GM","quantile",0.65,4775.56358137031,"Germany"
2021-01-25,"4 wk ahead inc death",2021-02-20,"GM","quantile",0.65,4678.54368495563,"Germany"
2021-01-25,"1 wk ahead inc death",2021-01-30,"GM","quantile",0.7,5825.2,"Germany"
2021-01-25,"2 wk ahead inc death",2021-02-06,"GM","quantile",0.7,5451,"Germany"
2021-01-25,"3 wk ahead inc death",2021-02-13,"GM","quantile",0.7,5055.50048638757,"Germany"
2021-01-25,"4 wk ahead inc death",2021-02-20,"GM","quantile",0.7,5001.7869798913,"Germany"
2021-01-25,"1 wk ahead inc death",2021-01-30,"GM","quantile",0.75,5937,"Germany"
2021-01-25,"2 wk ahead inc death",2021-02-06,"GM","quantile",0.75,5476,"Germany"
2021-01-25,"3 wk ahead inc death",2021-02-13,"GM","quantile",0.75,5357.59642132875,"Germany"
2021-01-25,"4 wk ahead inc death",2021-02-20,"GM","quantile",0.75,5199.4,"Germany"
2021-01-25,"1 wk ahead inc death",2021-01-30,"GM","quantile",0.8,6058,"Germany"
2021-01-25,"2 wk ahead inc death",2021-02-06,"GM","quantile",0.8,5568,"Germany"
2021-01-25,"3 wk ahead inc death",2021-02-13,"GM","quantile",0.8,5626.5,"Germany"
2021-01-25,"4 wk ahead inc death",2021-02-20,"GM","quantile",0.8,5397,"Germany"
2021-01-25,"1 wk ahead inc death",2021-01-30,"GM","quantile",0.85,6182.2,"Germany"
2021-01-25,"2 wk ahead inc death",2021-02-06,"GM","quantile",0.85,5868.2998033679,"Germany"
2021-01-25,"3 wk ahead inc death",2021-02-13,"GM","quantile",0.85,5825.8,"Germany"
2021-01-25,"4 wk ahead inc death",2021-02-20,"GM","quantile",0.85,5601.9,"Germany"
2021-01-25,"1 wk ahead inc death",2021-01-30,"GM","quantile",0.9,6358.1,"Germany"
