"forecast_date","target","target_end_date","location","type","quantile","value","location_name"
2021-02-01,"1 wk ahead inc death",2021-02-06,"PL72","point",NA,89.5,"PL72"
2021-02-01,"2 wk ahead inc death",2021-02-13,"PL72","point",NA,85,"PL72"
2021-02-01,"3 wk ahead inc death",2021-02-20,"PL72","point",NA,82.5,"PL72"
2021-02-01,"4 wk ahead inc death",2021-02-27,"PL72","point",NA,78,"PL72"
2021-02-01,"1 wk ahead inc death",2021-02-06,"PL72","quantile",0.01,45.5,"PL72"
2021-02-01,"2 wk ahead inc death",2021-02-13,"PL72","quantile",0.01,38.5,"PL72"
2021-02-01,"3 wk ahead inc death",2021-02-20,"PL72","quantile",0.01,34,"PL72"
2021-02-01,"4 wk ahead inc death",2021-02-27,"PL72","quantile",0.01,27,"PL72"
2021-02-01,"1 wk ahead inc death",2021-02-06,"PL72","quantile",0.025,50.5,"PL72"
2021-02-01,"2 wk ahead inc death",2021-02-13,"PL72","quantile",0.025,42.5,"PL72"
2021-02-01,"3 wk ahead inc death",2021-02-20,"PL72","quantile",0.025,37.5,"PL72"
2021-02-01,"4 wk ahead inc death",2021-02-27,"PL72","quantile",0.025,32,"PL72"
2021-02-01,"1 wk ahead inc death",2021-02-06,"PL72","quantile",0.05,56,"PL72"
2021-02-01,"2 wk ahead inc death",2021-02-13,"PL72","quantile",0.05,47.5,"PL72"
2021-02-01,"3 wk ahead inc death",2021-02-20,"PL72","quantile",0.05,42,"PL72"
2021-02-01,"4 wk ahead inc death",2021-02-27,"PL72","quantile",0.05,37.975,"PL72"
2021-02-01,"1 wk ahead inc death",2021-02-06,"PL72","quantile",0.1,65,"PL72"
2021-02-01,"2 wk ahead inc death",2021-02-13,"PL72","quantile",0.1,53,"PL72"
2021-02-01,"3 wk ahead inc death",2021-02-20,"PL72","quantile",0.1,48,"PL72"
2021-02-01,"4 wk ahead inc death",2021-02-27,"PL72","quantile",0.1,44,"PL72"
2021-02-01,"1 wk ahead inc death",2021-02-06,"PL72","quantile",0.15,68.5,"PL72"
2021-02-01,"2 wk ahead inc death",2021-02-13,"PL72","quantile",0.15,59,"PL72"
2021-02-01,"3 wk ahead inc death",2021-02-20,"PL72","quantile",0.15,53,"PL72"
2021-02-01,"4 wk ahead inc death",2021-02-27,"PL72","quantile",0.15,49.5,"PL72"
