forecast_date,target,target_end_date,location,type,quantile,value
2020-12-27,1 wk ahead inc death,2021-01-02,GM01,point,NA,691.7
2020-12-27,1 wk ahead inc death,2021-01-02,GM01,quantile,0.010,454.0
2020-12-27,1 wk ahead inc death,2021-01-02,GM01,quantile,0.025,479.0
2020-12-27,1 wk ahead inc death,2021-01-02,GM01,quantile,0.050,518.0
2020-12-27,1 wk ahead inc death,2021-01-02,GM01,quantile,0.100,556.8
2020-12-27,1 wk ahead inc death,2021-01-02,GM01,quantile,0.150,574.9
2020-12-27,1 wk ahead inc death,2021-01-02,GM01,quantile,0.200,595.8
2020-12-27,1 wk ahead inc death,2021-01-02,GM01,quantile,0.250,616.0
2020-12-27,1 wk ahead inc death,2021-01-02,GM01,quantile,0.300,630.7
2020-12-27,1 wk ahead inc death,2021-01-02,GM01,quantile,0.350,645.0
2020-12-27,1 wk ahead inc death,2021-01-02,GM01,quantile,0.400,661.0
2020-12-27,1 wk ahead inc death,2021-01-02,GM01,quantile,0.450,674.5
2020-12-27,1 wk ahead inc death,2021-01-02,GM01,quantile,0.500,693.0
2020-12-27,1 wk ahead inc death,2021-01-02,GM01,quantile,0.550,704.0
2020-12-27,1 wk ahead inc death,2021-01-02,GM01,quantile,0.600,719.0
2020-12-27,1 wk ahead inc death,2021-01-02,GM01,quantile,0.650,736.0
2020-12-27,1 wk ahead inc death,2021-01-02,GM01,quantile,0.700,754.3
2020-12-27,1 wk ahead inc death,2021-01-02,GM01,quantile,0.750,771.0
2020-12-27,1 wk ahead inc death,2021-01-02,GM01,quantile,0.800,791.2
2020-12-27,1 wk ahead inc death,2021-01-02,GM01,quantile,0.850,821.0
2020-12-27,1 wk ahead inc death,2021-01-02,GM01,quantile,0.900,858.0
2020-12-27,1 wk ahead inc death,2021-01-02,GM01,quantile,0.950,896.0
2020-12-27,1 wk ahead inc death,2021-01-02,GM01,quantile,0.975,941.0
2020-12-27,1 wk ahead inc death,2021-01-02,GM01,quantile,0.990,1007.1
2020-12-27,2 wk ahead inc death,2021-01-09,GM01,point,NA,810.4
2020-12-27,2 wk ahead inc death,2021-01-09,GM01,quantile,0.010,523.0
2020-12-27,2 wk ahead inc death,2021-01-09,GM01,quantile,0.025,555.0
2020-12-27,2 wk ahead inc death,2021-01-09,GM01,quantile,0.050,590.0
2020-12-27,2 wk ahead inc death,2021-01-09,GM01,quantile,0.100,644.7
2020-12-27,2 wk ahead inc death,2021-01-09,GM01,quantile,0.150,673.0
2020-12-27,2 wk ahead inc death,2021-01-09,GM01,quantile,0.200,695.0
2020-12-27,2 wk ahead inc death,2021-01-09,GM01,quantile,0.250,715.8
2020-12-27,2 wk ahead inc death,2021-01-09,GM01,quantile,0.300,732.0
2020-12-27,2 wk ahead inc death,2021-01-09,GM01,quantile,0.350,750.6
2020-12-27,2 wk ahead inc death,2021-01-09,GM01,quantile,0.400,769.6
2020-12-27,2 wk ahead inc death,2021-01-09,GM01,quantile,0.450,788.0
2020-12-27,2 wk ahead inc death,2021-01-09,GM01,quantile,0.500,810.0
2020-12-27,2 wk ahead inc death,2021-01-09,GM01,quantile,0.550,827.0
2020-12-27,2 wk ahead inc death,2021-01-09,GM01,quantile,0.600,844.0
