forecast_date,target,target_end_date,location,type,quantile,value
2021-01-03,1 wk ahead inc death,2021-01-09,GM01,point,NA,810.4
2021-01-03,1 wk ahead inc death,2021-01-09,GM01,quantile,0.010,518.0
2021-01-03,1 wk ahead inc death,2021-01-09,GM01,quantile,0.025,561.0
2021-01-03,1 wk ahead inc death,2021-01-09,GM01,quantile,0.050,598.9
2021-01-03,1 wk ahead inc death,2021-01-09,GM01,quantile,0.100,633.8
2021-01-03,1 wk ahead inc death,2021-01-09,GM01,quantile,0.150,664.0
2021-01-03,1 wk ahead inc death,2021-01-09,GM01,quantile,0.200,687.0
2021-01-03,1 wk ahead inc death,2021-01-09,GM01,quantile,0.250,709.0
2021-01-03,1 wk ahead inc death,2021-01-09,GM01,quantile,0.300,729.0
2021-01-03,1 wk ahead inc death,2021-01-09,GM01,quantile,0.350,747.0
2021-01-03,1 wk ahead inc death,2021-01-09,GM01,quantile,0.400,766.0
2021-01-03,1 wk ahead inc death,2021-01-09,GM01,quantile,0.450,782.0
2021-01-03,1 wk ahead inc death,2021-01-09,GM01,quantile,0.500,801.5
2021-01-03,1 wk ahead inc death,2021-01-09,GM01,quantile,0.550,820.0
2021-01-03,1 wk ahead inc death,2021-01-09,GM01,quantile,0.600,838.0
2021-01-03,1 wk ahead inc death,2021-01-09,GM01,quantile,0.650,862.4
2021-01-03,1 wk ahead inc death,2021-01-09,GM01,quantile,0.700,882.0
2021-01-03,1 wk ahead inc death,2021-01-09,GM01,quantile,0.750,908.0
2021-01-03,1 wk ahead inc death,2021-01-09,GM01,quantile,0.800,937.2
2021-01-03,1 wk ahead inc death,2021-01-09,GM01,quantile,0.850,977.0
2021-01-03,1 wk ahead inc death,2021-01-09,GM01,quantile,0.900,1017.0
2021-01-03,1 wk ahead inc death,2021-01-09,GM01,quantile,0.950,1088.0
2021-01-03,1 wk ahead inc death,2021-01-09,GM01,quantile,0.975,1145.0
2021-01-03,1 wk ahead inc death,2021-01-09,GM01,quantile,0.990,1227.1
2021-01-03,2 wk ahead inc death,2021-01-16,GM01,point,NA,946.6
2021-01-03,2 wk ahead inc death,2021-01-16,GM01,quantile,0.010,580.9
2021-01-03,2 wk ahead inc death,2021-01-16,GM01,quantile,0.025,642.9
2021-01-03,2 wk ahead inc death,2021-01-16,GM01,quantile,0.050,684.0
2021-01-03,2 wk ahead inc death,2021-01-16,GM01,quantile,0.100,733.9
2021-01-03,2 wk ahead inc death,2021-01-16,GM01,quantile,0.150,763.9
2021-01-03,2 wk ahead inc death,2021-01-16,GM01,quantile,0.200,793.0
2021-01-03,2 wk ahead inc death,2021-01-16,GM01,quantile,0.250,821.0
2021-01-03,2 wk ahead inc death,2021-01-16,GM01,quantile,0.300,846.0
2021-01-03,2 wk ahead inc death,2021-01-16,GM01,quantile,0.350,869.0
2021-01-03,2 wk ahead inc death,2021-01-16,GM01,quantile,0.400,887.6
2021-01-03,2 wk ahead inc death,2021-01-16,GM01,quantile,0.450,914.0
2021-01-03,2 wk ahead inc death,2021-01-16,GM01,quantile,0.500,934.5
