forecast_date,target,target_end_date,location,type,quantile,value
2021-01-24,1 wk ahead inc case,2021-01-30,GM01,point,NA,12011.0
2021-01-24,1 wk ahead inc case,2021-01-30,GM01,quantile,0.010,3622.0
2021-01-24,1 wk ahead inc case,2021-01-30,GM01,quantile,0.025,4371.0
2021-01-24,1 wk ahead inc case,2021-01-30,GM01,quantile,0.050,5277.9
2021-01-24,1 wk ahead inc case,2021-01-30,GM01,quantile,0.100,6531.0
2021-01-24,1 wk ahead inc case,2021-01-30,GM01,quantile,0.150,7435.8
2021-01-24,1 wk ahead inc case,2021-01-30,GM01,quantile,0.200,8178.2
2021-01-24,1 wk ahead inc case,2021-01-30,GM01,quantile,0.250,8909.8
2021-01-24,1 wk ahead inc case,2021-01-30,GM01,quantile,0.300,9505.4
2021-01-24,1 wk ahead inc case,2021-01-30,GM01,quantile,0.350,10282.5
2021-01-24,1 wk ahead inc case,2021-01-30,GM01,quantile,0.400,10866.6
2021-01-24,1 wk ahead inc case,2021-01-30,GM01,quantile,0.450,11594.7
2021-01-24,1 wk ahead inc case,2021-01-30,GM01,quantile,0.500,12260.5
2021-01-24,1 wk ahead inc case,2021-01-30,GM01,quantile,0.550,12998.5
2021-01-24,1 wk ahead inc case,2021-01-30,GM01,quantile,0.600,13639.2
2021-01-24,1 wk ahead inc case,2021-01-30,GM01,quantile,0.650,14322.0
2021-01-24,1 wk ahead inc case,2021-01-30,GM01,quantile,0.700,15227.7
2021-01-24,1 wk ahead inc case,2021-01-30,GM01,quantile,0.750,16300.8
2021-01-24,1 wk ahead inc case,2021-01-30,GM01,quantile,0.800,17404.2
2021-01-24,1 wk ahead inc case,2021-01-30,GM01,quantile,0.850,18914.6
2021-01-24,1 wk ahead inc case,2021-01-30,GM01,quantile,0.900,21052.8
2021-01-24,1 wk ahead inc case,2021-01-30,GM01,quantile,0.950,24212.7
2021-01-24,1 wk ahead inc case,2021-01-30,GM01,quantile,0.975,27306.3
2021-01-24,1 wk ahead inc case,2021-01-30,GM01,quantile,0.990,30967.2
2021-01-24,2 wk ahead inc case,2021-02-06,GM01,point,NA,10776.1
2021-01-24,2 wk ahead inc case,2021-02-06,GM01,quantile,0.010,2627.8
2021-01-24,2 wk ahead inc case,2021-02-06,GM01,quantile,0.025,3316.4
2021-01-24,2 wk ahead inc case,2021-02-06,GM01,quantile,0.050,4191.1
2021-01-24,2 wk ahead inc case,2021-02-06,GM01,quantile,0.100,5163.9
2021-01-24,2 wk ahead inc case,2021-02-06,GM01,quantile,0.150,5989.2
2021-01-24,2 wk ahead inc case,2021-02-06,GM01,quantile,0.200,6828.2
2021-01-24,2 wk ahead inc case,2021-02-06,GM01,quantile,0.250,7606.0
2021-01-24,2 wk ahead inc case,2021-02-06,GM01,quantile,0.300,8262.4
2021-01-24,2 wk ahead inc case,2021-02-06,GM01,quantile,0.350,8757.9
2021-01-24,2 wk ahead inc case,2021-02-06,GM01,quantile,0.400,9533.0
2021-01-24,2 wk ahead inc case,2021-02-06,GM01,quantile,0.450,10170.8
2021-01-24,2 wk ahead inc case,2021-02-06,GM01,quantile,0.500,10903.0
2021-01-24,2 wk ahead inc case,2021-02-06,GM01,quantile,0.550,11650.5
2021-01-24,2 wk ahead inc case,2021-02-06,GM01,quantile,0.600,12683.2
2021-01-24,2 wk ahead inc case,2021-02-06,GM01,quantile,0.650,13575.4
2021-01-24,2 wk ahead inc case,2021-02-06,GM01,quantile,0.700,14470.0
2021-01-24,2 wk ahead inc case,2021-02-06,GM01,quantile,0.750,15272.0
2021-01-24,2 wk ahead inc case,2021-02-06,GM01,quantile,0.800,16608.8
2021-01-24,2 wk ahead inc case,2021-02-06,GM01,quantile,0.850,18164.8
2021-01-24,2 wk ahead inc case,2021-02-06,GM01,quantile,0.900,20210.2
2021-01-24,2 wk ahead inc case,2021-02-06,GM01,quantile,0.950,23445.1
2021-01-24,2 wk ahead inc case,2021-02-06,GM01,quantile,0.975,27758.3
2021-01-24,2 wk ahead inc case,2021-02-06,GM01,quantile,0.990,31900.6
2021-01-24,3 wk ahead inc case,2021-02-13,GM01,point,NA,9658.7
2021-01-24,3 wk ahead inc case,2021-02-13,GM01,quantile,0.010,1747.9
2021-01-24,3 wk ahead inc case,2021-02-13,GM01,quantile,0.025,2513.8
2021-01-24,3 wk ahead inc case,2021-02-13,GM01,quantile,0.050,3182.0
2021-01-24,3 wk ahead inc case,2021-02-13,GM01,quantile,0.100,4198.4
2021-01-24,3 wk ahead inc case,2021-02-13,GM01,quantile,0.150,4941.9
2021-01-24,3 wk ahead inc case,2021-02-13,GM01,quantile,0.200,5746.8
2021-01-24,3 wk ahead inc case,2021-02-13,GM01,quantile,0.250,6442.8
2021-01-24,3 wk ahead inc case,2021-02-13,GM01,quantile,0.300,7046.7
2021-01-24,3 wk ahead inc case,2021-02-13,GM01,quantile,0.350,7650.1
2021-01-24,3 wk ahead inc case,2021-02-13,GM01,quantile,0.400,8400.0
2021-01-24,3 wk ahead inc case,2021-02-13,GM01,quantile,0.450,9122.5
2021-01-24,3 wk ahead inc case,2021-02-13,GM01,quantile,0.500,9827.0
2021-01-24,3 wk ahead inc case,2021-02-13,GM01,quantile,0.550,10463.7
2021-01-24,3 wk ahead inc case,2021-02-13,GM01,quantile,0.600,11300.8
2021-01-24,3 wk ahead inc case,2021-02-13,GM01,quantile,0.650,12244.6
2021-01-24,3 wk ahead inc case,2021-02-13,GM01,quantile,0.700,13267.3
2021-01-24,3 wk ahead inc case,2021-02-13,GM01,quantile,0.750,14350.8
2021-01-24,3 wk ahead inc case,2021-02-13,GM01,quantile,0.800,15756.4
2021-01-24,3 wk ahead inc case,2021-02-13,GM01,quantile,0.850,17486.7
2021-01-24,3 wk ahead inc case,2021-02-13,GM01,quantile,0.900,19747.3
2021-01-24,3 wk ahead inc case,2021-02-13,GM01,quantile,0.950,24520.1
2021-01-24,3 wk ahead inc case,2021-02-13,GM01,quantile,0.975,28399.4
2021-01-24,3 wk ahead inc case,2021-02-13,GM01,quantile,0.990,32711.4
2021-01-24,4 wk ahead inc case,2021-02-20,GM01,point,NA,8649.5
2021-01-24,4 wk ahead inc case,2021-02-20,GM01,quantile,0.010,1301.5
2021-01-24,4 wk ahead inc case,2021-02-20,GM01,quantile,0.025,1989.3
2021-01-24,4 wk ahead inc case,2021-02-20,GM01,quantile,0.050,2504.0
