forecast_date,target,target_end_date,location_name,type,quantile,value,location
2020-05-03,1 day ahead cum death,2020-05-04,Germany,point,NA,6993.03656515966,GM
2020-05-03,1 wk ahead cum death,2020-05-09,Germany,point,NA,7606.88709060915,GM
2020-05-03,10 day ahead cum death,2020-05-13,Germany,point,NA,8005.21885857927,GM
2020-05-03,11 day ahead cum death,2020-05-14,Germany,point,NA,8098.70174010126,GM
2020-05-03,12 day ahead cum death,2020-05-15,Germany,point,NA,8185.79044804211,GM
2020-05-03,13 day ahead cum death,2020-05-16,Germany,point,NA,8265.23328522056,GM
2020-05-03,14 day ahead cum death,2020-05-17,Germany,point,NA,8338.79913104319,GM
2020-05-03,15 day ahead cum death,2020-05-18,Germany,point,NA,8411.83132596607,GM
2020-05-03,16 day ahead cum death,2020-05-19,Germany,point,NA,8482.22839093028,GM
2020-05-03,17 day ahead cum death,2020-05-20,Germany,point,NA,8550.63794591258,GM
2020-05-03,18 day ahead cum death,2020-05-21,Germany,point,NA,8605.04310000752,GM
2020-05-03,19 day ahead cum death,2020-05-22,Germany,point,NA,8655.19249490626,GM
2020-05-03,2 day ahead cum death,2020-05-05,Germany,point,NA,7124.31229743787,GM
2020-05-03,2 wk ahead cum death,2020-05-16,Germany,point,NA,8265.23328522056,GM
2020-05-03,20 day ahead cum death,2020-05-23,Germany,point,NA,8714.24601339686,GM
2020-05-03,21 day ahead cum death,2020-05-24,Germany,point,NA,8769.46324152194,GM
2020-05-03,22 day ahead cum death,2020-05-25,Germany,point,NA,8818.48008065443,GM
2020-05-03,23 day ahead cum death,2020-05-26,Germany,point,NA,8870.58957454095,GM
2020-05-03,24 day ahead cum death,2020-05-27,Germany,point,NA,8922.78460391245,GM
2020-05-03,25 day ahead cum death,2020-05-28,Germany,point,NA,8972.1328750932,GM
2020-05-03,26 day ahead cum death,2020-05-29,Germany,point,NA,9010.65163456456,GM
2020-05-03,27 day ahead cum death,2020-05-30,Germany,point,NA,9059.6898067118,GM
2020-05-03,28 day ahead cum death,2020-05-31,Germany,point,NA,9091.31469788391,GM
2020-05-03,29 day ahead cum death,2020-06-01,Germany,point,NA,9127.33115036911,GM
2020-05-03,3 day ahead cum death,2020-05-06,Germany,point,NA,7251.14213482266,GM
2020-05-03,3 wk ahead cum death,2020-05-23,Germany,point,NA,8714.24601339686,GM
