forecast_date,target,target_end_date,location,type,quantile,value,location_name
2020-08-26,-1 day ahead cum death,2020-08-25,PL,observed,NA,1977,Poland
2020-08-26,-1 wk ahead cum death,2020-08-22,PL,observed,NA,1951,Poland
2020-08-26,0 day ahead cum death,2020-08-26,PL,observed,NA,1994,Poland
2020-08-26,1 day ahead cum death,2020-08-27,PL,point,NA,2004.12143449828,Poland
2020-08-26,1 wk ahead cum death,2020-09-05,PL,point,NA,2089.53834158031,Poland
2020-08-26,10 day ahead cum death,2020-09-05,PL,point,NA,2089.53834158031,Poland
2020-08-26,11 day ahead cum death,2020-09-06,PL,point,NA,2097.39209985317,Poland
2020-08-26,12 day ahead cum death,2020-09-07,PL,point,NA,2105.82261206353,Poland
2020-08-26,13 day ahead cum death,2020-09-08,PL,point,NA,2114.03276158398,Poland
2020-08-26,14 day ahead cum death,2020-09-09,PL,point,NA,2121.48135186064,Poland
2020-08-26,15 day ahead cum death,2020-09-10,PL,point,NA,2129.79399380985,Poland
2020-08-26,16 day ahead cum death,2020-09-11,PL,point,NA,2137.29858387901,Poland
2020-08-26,17 day ahead cum death,2020-09-12,PL,point,NA,2144.84563599718,Poland
2020-08-26,18 day ahead cum death,2020-09-13,PL,point,NA,2151.83763293656,Poland
2020-08-26,19 day ahead cum death,2020-09-14,PL,point,NA,2158.44648458106,Poland
2020-08-26,2 day ahead cum death,2020-08-28,PL,point,NA,2014.56077283322,Poland
2020-08-26,2 wk ahead cum death,2020-09-12,PL,point,NA,2144.84563599718,Poland
2020-08-26,20 day ahead cum death,2020-09-15,PL,point,NA,2164.64201224194,Poland
2020-08-26,21 day ahead cum death,2020-09-16,PL,point,NA,2172.15598295822,Poland
2020-08-26,22 day ahead cum death,2020-09-17,PL,point,NA,2178.34773695697,Poland
2020-08-26,23 day ahead cum death,2020-09-18,PL,point,NA,2184.8157724039,Poland
2020-08-26,24 day ahead cum death,2020-09-19,PL,point,NA,2191.25010236,Poland
2020-08-26,25 day ahead cum death,2020-09-20,PL,point,NA,2196.71345284419,Poland
2020-08-26,26 day ahead cum death,2020-09-21,PL,point,NA,2202.1761177478,Poland
2020-08-26,27 day ahead cum death,2020-09-22,PL,point,NA,2208.11638310085,Poland
