forecast_date,target,target_end_date,location,type,quantile,value,location_name
2020-09-09,-1 day ahead cum case,2020-09-08,GM,observed,NA,254957,Germany
2020-09-09,-1 wk ahead cum case,2020-09-05,GM,observed,NA,251058,Germany
2020-09-09,0 day ahead cum case,2020-09-09,GM,observed,NA,256433,Germany
2020-09-09,1 day ahead cum case,2020-09-10,GM,point,NA,257694.152841556,Germany
2020-09-09,1 wk ahead cum case,2020-09-19,GM,point,NA,267549.664551117,Germany
2020-09-09,10 day ahead cum case,2020-09-19,GM,point,NA,267549.664551117,Germany
2020-09-09,11 day ahead cum case,2020-09-20,GM,point,NA,268467.06125908,Germany
2020-09-09,12 day ahead cum case,2020-09-21,GM,point,NA,269411.596965753,Germany
2020-09-09,13 day ahead cum case,2020-09-22,GM,point,NA,270294.35828499,Germany
2020-09-09,14 day ahead cum case,2020-09-23,GM,point,NA,271222.864186294,Germany
2020-09-09,15 day ahead cum case,2020-09-24,GM,point,NA,272120.601851487,Germany
2020-09-09,16 day ahead cum case,2020-09-25,GM,point,NA,272925.217423824,Germany
2020-09-09,17 day ahead cum case,2020-09-26,GM,point,NA,273730.905459427,Germany
2020-09-09,18 day ahead cum case,2020-09-27,GM,point,NA,274479.355816607,Germany
2020-09-09,19 day ahead cum case,2020-09-28,GM,point,NA,275275.482042706,Germany
2020-09-09,2 day ahead cum case,2020-09-11,GM,point,NA,258915.696624015,Germany
2020-09-09,2 wk ahead cum case,2020-09-26,GM,point,NA,273730.905459427,Germany
2020-09-09,20 day ahead cum case,2020-09-29,GM,point,NA,275990.294425538,Germany
2020-09-09,21 day ahead cum case,2020-09-30,GM,point,NA,276743.131182393,Germany
2020-09-09,22 day ahead cum case,2020-10-01,GM,point,NA,277391.822976214,Germany
2020-09-09,23 day ahead cum case,2020-10-02,GM,point,NA,278071.563251485,Germany
2020-09-09,24 day ahead cum case,2020-10-03,GM,point,NA,278727.672349379,Germany
2020-09-09,25 day ahead cum case,2020-10-04,GM,point,NA,279419.406506854,Germany
2020-09-09,26 day ahead cum case,2020-10-05,GM,point,NA,280109.895521332,Germany
2020-09-09,27 day ahead cum case,2020-10-06,GM,point,NA,280685.673391514,Germany
2020-09-09,28 day ahead cum case,2020-10-07,GM,point,NA,281306.191259057,Germany
2020-09-09,29 day ahead cum case,2020-10-08,GM,point,NA,281902.936945701,Germany
2020-09-09,3 day ahead cum case,2020-09-12,GM,point,NA,260104.652035445,Germany
2020-09-09,3 wk ahead cum case,2020-10-03,GM,point,NA,278727.672349379,Germany
2020-09-09,30 day ahead cum case,2020-10-09,GM,point,NA,282455.260015053,Germany
2020-09-09,31 day ahead cum case,2020-10-10,GM,point,NA,283029.075129366,Germany
2020-09-09,32 day ahead cum case,2020-10-11,GM,point,NA,283582.573117565,Germany
2020-09-09,33 day ahead cum case,2020-10-12,GM,point,NA,284084.038590026,Germany
2020-09-09,34 day ahead cum case,2020-10-13,GM,point,NA,284561.539434025,Germany
2020-09-09,35 day ahead cum case,2020-10-14,GM,point,NA,285074.152393629,Germany
2020-09-09,36 day ahead cum case,2020-10-15,GM,point,NA,285529.793766487,Germany
2020-09-09,37 day ahead cum case,2020-10-16,GM,point,NA,286083.770596705,Germany
2020-09-09,38 day ahead cum case,2020-10-17,GM,point,NA,286525.687052099,Germany
2020-09-09,39 day ahead cum case,2020-10-18,GM,point,NA,286979.622041755,Germany
2020-09-09,4 day ahead cum case,2020-09-13,GM,point,NA,261254.396343811,Germany
2020-09-09,4 wk ahead cum case,2020-10-10,GM,point,NA,283029.075129366,Germany
2020-09-09,40 day ahead cum case,2020-10-19,GM,point,NA,287405.291153132,Germany
2020-09-09,41 day ahead cum case,2020-10-20,GM,point,NA,287825.602172672,Germany
2020-09-09,42 day ahead cum case,2020-10-21,GM,point,NA,288233.152264827,Germany
2020-09-09,43 day ahead cum case,2020-10-22,GM,point,NA,288607.145485845,Germany
2020-09-09,44 day ahead cum case,2020-10-23,GM,point,NA,289011.699123672,Germany
2020-09-09,45 day ahead cum case,2020-10-24,GM,point,NA,289388.675597112,Germany
2020-09-09,46 day ahead cum case,2020-10-25,GM,point,NA,289716.489305665,Germany
2020-09-09,47 day ahead cum case,2020-10-26,GM,point,NA,290065.263070751,Germany
2020-09-09,48 day ahead cum case,2020-10-27,GM,point,NA,290379.139617047,Germany
2020-09-09,5 day ahead cum case,2020-09-14,GM,point,NA,262383.959291648,Germany
2020-09-09,5 wk ahead cum case,2020-10-17,GM,point,NA,286525.687052099,Germany
2020-09-09,6 day ahead cum case,2020-09-15,GM,point,NA,263451.892145228,Germany
2020-09-09,6 wk ahead cum case,2020-10-24,GM,point,NA,289388.675597112,Germany
2020-09-09,7 day ahead cum case,2020-09-16,GM,point,NA,264529.231546521,Germany
2020-09-09,8 day ahead cum case,2020-09-17,GM,point,NA,265581.369221754,Germany
2020-09-09,9 day ahead cum case,2020-09-18,GM,point,NA,266569.339693586,Germany
2020-09-09,1 day ahead cum case,2020-09-10,GM,quantile,0.01,256976.079636158,Germany
2020-09-09,1 day ahead cum case,2020-09-10,GM,quantile,0.025,257075.89115367,Germany
2020-09-09,1 day ahead cum case,2020-09-10,GM,quantile,0.05,257164.055252872,Germany
2020-09-09,1 day ahead cum case,2020-09-10,GM,quantile,0.1,257254.856763526,Germany
2020-09-09,1 day ahead cum case,2020-09-10,GM,quantile,0.15,257319.929861964,Germany
2020-09-09,1 day ahead cum case,2020-09-10,GM,quantile,0.2,257387.71250979,Germany
2020-09-09,1 day ahead cum case,2020-09-10,GM,quantile,0.25,257442.950325956,Germany
2020-09-09,1 day ahead cum case,2020-09-10,GM,quantile,0.3,257492.630421738,Germany
2020-09-09,1 day ahead cum case,2020-09-10,GM,quantile,0.35,257545.282655938,Germany
2020-09-09,1 day ahead cum case,2020-09-10,GM,quantile,0.4,257593.767970357,Germany
2020-09-09,1 day ahead cum case,2020-09-10,GM,quantile,0.45,257642.107235312,Germany
2020-09-09,1 day ahead cum case,2020-09-10,GM,quantile,0.5,257694.152841556,Germany
2020-09-09,1 day ahead cum case,2020-09-10,GM,quantile,0.55,257737.212859522,Germany
2020-09-09,1 day ahead cum case,2020-09-10,GM,quantile,0.6,257790.331871168,Germany
2020-09-09,1 day ahead cum case,2020-09-10,GM,quantile,0.65,257845.693963073,Germany
2020-09-09,1 day ahead cum case,2020-09-10,GM,quantile,0.7,257891.625324903,Germany
2020-09-09,1 day ahead cum case,2020-09-10,GM,quantile,0.75,257958.821351623,Germany
2020-09-09,1 day ahead cum case,2020-09-10,GM,quantile,0.8,258023.498898854,Germany
2020-09-09,1 day ahead cum case,2020-09-10,GM,quantile,0.85,258116.231583708,Germany
2020-09-09,1 day ahead cum case,2020-09-10,GM,quantile,0.9,258201.223274233,Germany
2020-09-09,1 day ahead cum case,2020-09-10,GM,quantile,0.95,258348.825709633,Germany
2020-09-09,1 day ahead cum case,2020-09-10,GM,quantile,0.975,258509.575414953,Germany
2020-09-09,1 day ahead cum case,2020-09-10,GM,quantile,0.99,258729.66530071,Germany
2020-09-09,1 wk ahead cum case,2020-09-19,GM,quantile,0.01,260845.07173156,Germany
2020-09-09,1 wk ahead cum case,2020-09-19,GM,quantile,0.025,261545.14968037,Germany
2020-09-09,1 wk ahead cum case,2020-09-19,GM,quantile,0.05,262207.792424173,Germany
2020-09-09,1 wk ahead cum case,2020-09-19,GM,quantile,0.1,263215.029077967,Germany
2020-09-09,1 wk ahead cum case,2020-09-19,GM,quantile,0.15,263905.981742986,Germany
2020-09-09,1 wk ahead cum case,2020-09-19,GM,quantile,0.2,264521.030355442,Germany
2020-09-09,1 wk ahead cum case,2020-09-19,GM,quantile,0.25,265056.643241175,Germany
2020-09-09,1 wk ahead cum case,2020-09-19,GM,quantile,0.3,265654.080842305,Germany
2020-09-09,1 wk ahead cum case,2020-09-19,GM,quantile,0.35,266146.768967292,Germany
2020-09-09,1 wk ahead cum case,2020-09-19,GM,quantile,0.4,266625.351314519,Germany
2020-09-09,1 wk ahead cum case,2020-09-19,GM,quantile,0.45,267078.382974941,Germany
2020-09-09,1 wk ahead cum case,2020-09-19,GM,quantile,0.5,267549.664551117,Germany
2020-09-09,1 wk ahead cum case,2020-09-19,GM,quantile,0.55,268051.117383117,Germany
2020-09-09,1 wk ahead cum case,2020-09-19,GM,quantile,0.6,268596.633787214,Germany
2020-09-09,1 wk ahead cum case,2020-09-19,GM,quantile,0.65,269225.281554223,Germany
2020-09-09,1 wk ahead cum case,2020-09-19,GM,quantile,0.7,269839.881889804,Germany
2020-09-09,1 wk ahead cum case,2020-09-19,GM,quantile,0.75,270573.836269433,Germany
2020-09-09,1 wk ahead cum case,2020-09-19,GM,quantile,0.8,271414.020423679,Germany
2020-09-09,1 wk ahead cum case,2020-09-19,GM,quantile,0.85,272308.440407523,Germany
2020-09-09,1 wk ahead cum case,2020-09-19,GM,quantile,0.9,273506.033944803,Germany
2020-09-09,1 wk ahead cum case,2020-09-19,GM,quantile,0.95,275354.132479117,Germany
2020-09-09,1 wk ahead cum case,2020-09-19,GM,quantile,0.975,277482.416830257,Germany
2020-09-09,1 wk ahead cum case,2020-09-19,GM,quantile,0.99,279527.444018195,Germany
2020-09-09,10 day ahead cum case,2020-09-19,GM,quantile,0.01,260845.07173156,Germany
