forecast_date,target,target_end_date,location,type,quantile,value,location_name
2020-12-16,1 day ahead cum death,2020-12-17,GM,quantile,0.01,24820.76,Germany
2020-12-16,2 day ahead cum death,2020-12-18,GM,quantile,0.01,25383.99,Germany
2020-12-16,3 day ahead cum death,2020-12-19,GM,quantile,0.01,25789.93,Germany
2020-12-16,4 day ahead cum death,2020-12-20,GM,quantile,0.01,26048.95,Germany
2020-12-16,5 day ahead cum death,2020-12-21,GM,quantile,0.01,26618.91,Germany
2020-12-16,6 day ahead cum death,2020-12-22,GM,quantile,0.01,27197.93,Germany
2020-12-16,7 day ahead cum death,2020-12-23,GM,quantile,0.01,27765.98,Germany
2020-12-16,8 day ahead cum death,2020-12-24,GM,quantile,0.01,28342.86,Germany
2020-12-16,9 day ahead cum death,2020-12-25,GM,quantile,0.01,28921.92,Germany
2020-12-16,10 day ahead cum death,2020-12-26,GM,quantile,0.01,29476.98,Germany
2020-12-16,11 day ahead cum death,2020-12-27,GM,quantile,0.01,29847.95,Germany
2020-12-16,12 day ahead cum death,2020-12-28,GM,quantile,0.01,30431.99,Germany
2020-12-16,13 day ahead cum death,2020-12-29,GM,quantile,0.01,31073.65,Germany
2020-12-16,14 day ahead cum death,2020-12-30,GM,quantile,0.01,31721.62,Germany
2020-12-16,15 day ahead cum death,2020-12-31,GM,quantile,0.01,32342.72,Germany
2020-12-16,16 day ahead cum death,2021-01-01,GM,quantile,0.01,32963.63,Germany
2020-12-16,17 day ahead cum death,2021-01-02,GM,quantile,0.01,33429.86,Germany
2020-12-16,18 day ahead cum death,2021-01-03,GM,quantile,0.01,33826.75,Germany
2020-12-16,19 day ahead cum death,2021-01-04,GM,quantile,0.01,34418.99,Germany
2020-12-16,20 day ahead cum death,2021-01-05,GM,quantile,0.01,35003.14,Germany
2020-12-16,21 day ahead cum death,2021-01-06,GM,quantile,0.01,35525.92,Germany
2020-12-16,22 day ahead cum death,2021-01-07,GM,quantile,0.01,36143.56,Germany
2020-12-16,23 day ahead cum death,2021-01-08,GM,quantile,0.01,36700.76,Germany
2020-12-16,24 day ahead cum death,2021-01-09,GM,quantile,0.01,37249.68,Germany
2020-12-16,25 day ahead cum death,2021-01-10,GM,quantile,0.01,37745,Germany
2020-12-16,26 day ahead cum death,2021-01-11,GM,quantile,0.01,38295.79,Germany
2020-12-16,27 day ahead cum death,2021-01-12,GM,quantile,0.01,38913.21,Germany
2020-12-16,28 day ahead cum death,2021-01-13,GM,quantile,0.01,39496.74,Germany
2020-12-16,29 day ahead cum death,2021-01-14,GM,quantile,0.01,39988.42,Germany
2020-12-16,30 day ahead cum death,2021-01-15,GM,quantile,0.01,40537.7,Germany
2020-12-16,31 day ahead cum death,2021-01-16,GM,quantile,0.01,41107.04,Germany
2020-12-16,32 day ahead cum death,2021-01-17,GM,quantile,0.01,41485.89,Germany
2020-12-16,33 day ahead cum death,2021-01-18,GM,quantile,0.01,41984.7,Germany
2020-12-16,34 day ahead cum death,2021-01-19,GM,quantile,0.01,42522.23,Germany
2020-12-16,35 day ahead cum death,2021-01-20,GM,quantile,0.01,43053.96,Germany
2020-12-16,36 day ahead cum death,2021-01-21,GM,quantile,0.01,43610.79,Germany
2020-12-16,37 day ahead cum death,2021-01-22,GM,quantile,0.01,44109.15,Germany
2020-12-16,38 day ahead cum death,2021-01-23,GM,quantile,0.01,44615.25,Germany
2020-12-16,39 day ahead cum death,2021-01-24,GM,quantile,0.01,45139.49,Germany
2020-12-16,40 day ahead cum death,2021-01-25,GM,quantile,0.01,45615.74,Germany
2020-12-16,41 day ahead cum death,2021-01-26,GM,quantile,0.01,46029.8,Germany
2020-12-16,42 day ahead cum death,2021-01-27,GM,quantile,0.01,46530.96,Germany
2020-12-16,43 day ahead cum death,2021-01-28,GM,quantile,0.01,47048.85,Germany
2020-12-16,44 day ahead cum death,2021-01-29,GM,quantile,0.01,47500.19,Germany
2020-12-16,45 day ahead cum death,2021-01-30,GM,quantile,0.01,47902.36,Germany
2020-12-16,46 day ahead cum death,2021-01-31,GM,quantile,0.01,48258.82,Germany
2020-12-16,47 day ahead cum death,2021-02-01,GM,quantile,0.01,48561.42,Germany
2020-12-16,48 day ahead cum death,2021-02-02,GM,quantile,0.01,49019.56,Germany
2020-12-16,1 day ahead cum death,2020-12-17,GM,quantile,0.025,24921,Germany
2020-12-16,2 day ahead cum death,2020-12-18,GM,quantile,0.025,25553,Germany
2020-12-16,3 day ahead cum death,2020-12-19,GM,quantile,0.025,25936,Germany
2020-12-16,4 day ahead cum death,2020-12-20,GM,quantile,0.025,26185.975,Germany
2020-12-16,5 day ahead cum death,2020-12-21,GM,quantile,0.025,26866.95,Germany
2020-12-16,6 day ahead cum death,2020-12-22,GM,quantile,0.025,27592.925,Germany
2020-12-16,7 day ahead cum death,2020-12-23,GM,quantile,0.025,28289.925,Germany
2020-12-16,8 day ahead cum death,2020-12-24,GM,quantile,0.025,28987.7,Germany
2020-12-16,9 day ahead cum death,2020-12-25,GM,quantile,0.025,29695.925,Germany
2020-12-16,10 day ahead cum death,2020-12-26,GM,quantile,0.025,30190.85,Germany
2020-12-16,11 day ahead cum death,2020-12-27,GM,quantile,0.025,30547,Germany
2020-12-16,12 day ahead cum death,2020-12-28,GM,quantile,0.025,31272.6,Germany
2020-12-16,13 day ahead cum death,2020-12-29,GM,quantile,0.025,32001.95,Germany
2020-12-16,14 day ahead cum death,2020-12-30,GM,quantile,0.025,32731.65,Germany
2020-12-16,15 day ahead cum death,2020-12-31,GM,quantile,0.025,33448.925,Germany
2020-12-16,16 day ahead cum death,2021-01-01,GM,quantile,0.025,34175.975,Germany
2020-12-16,17 day ahead cum death,2021-01-02,GM,quantile,0.025,34814.45,Germany
2020-12-16,18 day ahead cum death,2021-01-03,GM,quantile,0.025,35212.425,Germany
2020-12-16,19 day ahead cum death,2021-01-04,GM,quantile,0.025,35925.75,Germany
2020-12-16,20 day ahead cum death,2021-01-05,GM,quantile,0.025,36663.675,Germany
2020-12-16,21 day ahead cum death,2021-01-06,GM,quantile,0.025,37395.4,Germany
2020-12-16,22 day ahead cum death,2021-01-07,GM,quantile,0.025,38133.375,Germany
2020-12-16,23 day ahead cum death,2021-01-08,GM,quantile,0.025,38873.3,Germany
2020-12-16,24 day ahead cum death,2021-01-09,GM,quantile,0.025,39545.6,Germany
2020-12-16,25 day ahead cum death,2021-01-10,GM,quantile,0.025,40020.1,Germany
2020-12-16,26 day ahead cum death,2021-01-11,GM,quantile,0.025,40697.325,Germany
2020-12-16,27 day ahead cum death,2021-01-12,GM,quantile,0.025,41465.35,Germany
2020-12-16,28 day ahead cum death,2021-01-13,GM,quantile,0.025,42173.975,Germany
2020-12-16,29 day ahead cum death,2021-01-14,GM,quantile,0.025,42928.975,Germany
2020-12-16,30 day ahead cum death,2021-01-15,GM,quantile,0.025,43640.675,Germany
2020-12-16,31 day ahead cum death,2021-01-16,GM,quantile,0.025,44319.7,Germany
2020-12-16,32 day ahead cum death,2021-01-17,GM,quantile,0.025,44816.475,Germany
2020-12-16,33 day ahead cum death,2021-01-18,GM,quantile,0.025,45492,Germany
2020-12-16,34 day ahead cum death,2021-01-19,GM,quantile,0.025,46207.85,Germany
2020-12-16,35 day ahead cum death,2021-01-20,GM,quantile,0.025,46947.6,Germany
2020-12-16,36 day ahead cum death,2021-01-21,GM,quantile,0.025,47589.6,Germany
2020-12-16,37 day ahead cum death,2021-01-22,GM,quantile,0.025,48310.95,Germany
2020-12-16,38 day ahead cum death,2021-01-23,GM,quantile,0.025,49030,Germany
2020-12-16,39 day ahead cum death,2021-01-24,GM,quantile,0.025,49541.425,Germany
2020-12-16,40 day ahead cum death,2021-01-25,GM,quantile,0.025,50029.175,Germany
2020-12-16,41 day ahead cum death,2021-01-26,GM,quantile,0.025,50678.75,Germany
2020-12-16,42 day ahead cum death,2021-01-27,GM,quantile,0.025,51277.875,Germany
2020-12-16,43 day ahead cum death,2021-01-28,GM,quantile,0.025,51834.25,Germany
2020-12-16,44 day ahead cum death,2021-01-29,GM,quantile,0.025,52381,Germany
2020-12-16,45 day ahead cum death,2021-01-30,GM,quantile,0.025,53079.3,Germany
2020-12-16,46 day ahead cum death,2021-01-31,GM,quantile,0.025,53752.6,Germany
2020-12-16,47 day ahead cum death,2021-02-01,GM,quantile,0.025,54456.35,Germany
2020-12-16,48 day ahead cum death,2021-02-02,GM,quantile,0.025,54995.075,Germany
2020-12-16,1 day ahead cum death,2020-12-17,GM,quantile,0.05,24950,Germany
2020-12-16,2 day ahead cum death,2020-12-18,GM,quantile,0.05,25615,Germany
2020-12-16,3 day ahead cum death,2020-12-19,GM,quantile,0.05,25998.95,Germany
2020-12-16,4 day ahead cum death,2020-12-20,GM,quantile,0.05,26254,Germany
2020-12-16,5 day ahead cum death,2020-12-21,GM,quantile,0.05,26951,Germany
2020-12-16,6 day ahead cum death,2020-12-22,GM,quantile,0.05,27795,Germany
2020-12-16,7 day ahead cum death,2020-12-23,GM,quantile,0.05,28602.9,Germany
2020-12-16,8 day ahead cum death,2020-12-24,GM,quantile,0.05,29398.95,Germany
2020-12-16,9 day ahead cum death,2020-12-25,GM,quantile,0.05,30164.85,Germany
2020-12-16,10 day ahead cum death,2020-12-26,GM,quantile,0.05,30669.85,Germany
2020-12-16,11 day ahead cum death,2020-12-27,GM,quantile,0.05,30998.9,Germany
2020-12-16,12 day ahead cum death,2020-12-28,GM,quantile,0.05,31799.9,Germany
2020-12-16,13 day ahead cum death,2020-12-29,GM,quantile,0.05,32655.95,Germany
2020-12-16,14 day ahead cum death,2020-12-30,GM,quantile,0.05,33490.95,Germany
2020-12-16,15 day ahead cum death,2020-12-31,GM,quantile,0.05,34334.9,Germany
2020-12-16,16 day ahead cum death,2021-01-01,GM,quantile,0.05,35176.75,Germany
2020-12-16,17 day ahead cum death,2021-01-02,GM,quantile,0.05,35829.2,Germany
2020-12-16,18 day ahead cum death,2021-01-03,GM,quantile,0.05,36269.1,Germany
2020-12-16,19 day ahead cum death,2021-01-04,GM,quantile,0.05,37119.1,Germany
2020-12-16,20 day ahead cum death,2021-01-05,GM,quantile,0.05,38000.8,Germany
2020-12-16,21 day ahead cum death,2021-01-06,GM,quantile,0.05,38873.9,Germany
2020-12-16,22 day ahead cum death,2021-01-07,GM,quantile,0.05,39751.9,Germany
2020-12-16,23 day ahead cum death,2021-01-08,GM,quantile,0.05,40607.55,Germany
2020-12-16,24 day ahead cum death,2021-01-09,GM,quantile,0.05,41303.4,Germany
2020-12-16,25 day ahead cum death,2021-01-10,GM,quantile,0.05,41780.8,Germany
2020-12-16,26 day ahead cum death,2021-01-11,GM,quantile,0.05,42713.95,Germany
2020-12-16,27 day ahead cum death,2021-01-12,GM,quantile,0.05,43547.85,Germany
2020-12-16,28 day ahead cum death,2021-01-13,GM,quantile,0.05,44415.35,Germany
2020-12-16,29 day ahead cum death,2021-01-14,GM,quantile,0.05,45278.95,Germany
2020-12-16,30 day ahead cum death,2021-01-15,GM,quantile,0.05,46119.25,Germany
2020-12-16,31 day ahead cum death,2021-01-16,GM,quantile,0.05,46922.9,Germany
2020-12-16,32 day ahead cum death,2021-01-17,GM,quantile,0.05,47513.35,Germany
2020-12-16,33 day ahead cum death,2021-01-18,GM,quantile,0.05,48427.3,Germany
2020-12-16,34 day ahead cum death,2021-01-19,GM,quantile,0.05,49241.65,Germany
2020-12-16,35 day ahead cum death,2021-01-20,GM,quantile,0.05,50114.95,Germany
2020-12-16,36 day ahead cum death,2021-01-21,GM,quantile,0.05,50991.5,Germany
2020-12-16,37 day ahead cum death,2021-01-22,GM,quantile,0.05,51845.8,Germany
2020-12-16,38 day ahead cum death,2021-01-23,GM,quantile,0.05,52720.9,Germany
2020-12-16,39 day ahead cum death,2021-01-24,GM,quantile,0.05,53327.8,Germany
2020-12-16,40 day ahead cum death,2021-01-25,GM,quantile,0.05,54134.3,Germany
2020-12-16,41 day ahead cum death,2021-01-26,GM,quantile,0.05,54970.2,Germany
2020-12-16,42 day ahead cum death,2021-01-27,GM,quantile,0.05,55829.5,Germany
2020-12-16,43 day ahead cum death,2021-01-28,GM,quantile,0.05,56598.8,Germany
2020-12-16,44 day ahead cum death,2021-01-29,GM,quantile,0.05,57437.15,Germany
2020-12-16,45 day ahead cum death,2021-01-30,GM,quantile,0.05,58180.9,Germany
2020-12-16,46 day ahead cum death,2021-01-31,GM,quantile,0.05,58783.65,Germany
2020-12-16,47 day ahead cum death,2021-02-01,GM,quantile,0.05,59419.3,Germany
2020-12-16,48 day ahead cum death,2021-02-02,GM,quantile,0.05,60112.6,Germany
2020-12-16,1 day ahead cum death,2020-12-17,GM,quantile,0.1,24980,Germany
2020-12-16,2 day ahead cum death,2020-12-18,GM,quantile,0.1,25666,Germany
2020-12-16,3 day ahead cum death,2020-12-19,GM,quantile,0.1,26061,Germany
2020-12-16,4 day ahead cum death,2020-12-20,GM,quantile,0.1,26315,Germany
2020-12-16,5 day ahead cum death,2020-12-21,GM,quantile,0.1,27035,Germany
2020-12-16,6 day ahead cum death,2020-12-22,GM,quantile,0.1,27934.9,Germany
2020-12-16,7 day ahead cum death,2020-12-23,GM,quantile,0.1,28808,Germany
2020-12-16,8 day ahead cum death,2020-12-24,GM,quantile,0.1,29682.8,Germany
2020-12-16,9 day ahead cum death,2020-12-25,GM,quantile,0.1,30521.9,Germany
2020-12-16,10 day ahead cum death,2020-12-26,GM,quantile,0.1,31009,Germany
2020-12-16,11 day ahead cum death,2020-12-27,GM,quantile,0.1,31330.9,Germany
2020-12-16,12 day ahead cum death,2020-12-28,GM,quantile,0.1,32202.8,Germany
2020-12-16,13 day ahead cum death,2020-12-29,GM,quantile,0.1,33249.9,Germany
2020-12-16,14 day ahead cum death,2020-12-30,GM,quantile,0.1,34268.6,Germany
2020-12-16,15 day ahead cum death,2020-12-31,GM,quantile,0.1,35273,Germany
2020-12-16,16 day ahead cum death,2021-01-01,GM,quantile,0.1,36248.8,Germany
2020-12-16,17 day ahead cum death,2021-01-02,GM,quantile,0.1,36868,Germany
2020-12-16,18 day ahead cum death,2021-01-03,GM,quantile,0.1,37293.4,Germany
2020-12-16,19 day ahead cum death,2021-01-04,GM,quantile,0.1,38262.9,Germany
2020-12-16,20 day ahead cum death,2021-01-05,GM,quantile,0.1,39362.6,Germany
2020-12-16,21 day ahead cum death,2021-01-06,GM,quantile,0.1,40415.9,Germany
2020-12-16,22 day ahead cum death,2021-01-07,GM,quantile,0.1,41479.5,Germany
2020-12-16,23 day ahead cum death,2021-01-08,GM,quantile,0.1,42533.3,Germany
2020-12-16,24 day ahead cum death,2021-01-09,GM,quantile,0.1,43272.7,Germany
2020-12-16,25 day ahead cum death,2021-01-10,GM,quantile,0.1,43771.8,Germany
2020-12-16,26 day ahead cum death,2021-01-11,GM,quantile,0.1,44829.7,Germany
2020-12-16,27 day ahead cum death,2021-01-12,GM,quantile,0.1,45920.9,Germany
2020-12-16,28 day ahead cum death,2021-01-13,GM,quantile,0.1,46994.6,Germany
2020-12-16,29 day ahead cum death,2021-01-14,GM,quantile,0.1,48077.2,Germany
2020-12-16,30 day ahead cum death,2021-01-15,GM,quantile,0.1,49094.2,Germany
2020-12-16,31 day ahead cum death,2021-01-16,GM,quantile,0.1,49967,Germany
2020-12-16,32 day ahead cum death,2021-01-17,GM,quantile,0.1,50545.4,Germany
2020-12-16,33 day ahead cum death,2021-01-18,GM,quantile,0.1,51561,Germany
2020-12-16,34 day ahead cum death,2021-01-19,GM,quantile,0.1,52592.2,Germany
2020-12-16,35 day ahead cum death,2021-01-20,GM,quantile,0.1,53588,Germany
2020-12-16,36 day ahead cum death,2021-01-21,GM,quantile,0.1,54597.8,Germany
2020-12-16,37 day ahead cum death,2021-01-22,GM,quantile,0.1,55556,Germany
2020-12-16,38 day ahead cum death,2021-01-23,GM,quantile,0.1,56432.8,Germany
2020-12-16,39 day ahead cum death,2021-01-24,GM,quantile,0.1,57118.7,Germany
2020-12-16,40 day ahead cum death,2021-01-25,GM,quantile,0.1,58104.8,Germany
2020-12-16,41 day ahead cum death,2021-01-26,GM,quantile,0.1,59096.5,Germany
2020-12-16,42 day ahead cum death,2021-01-27,GM,quantile,0.1,60071.9,Germany
2020-12-16,43 day ahead cum death,2021-01-28,GM,quantile,0.1,61081.8,Germany
2020-12-16,44 day ahead cum death,2021-01-29,GM,quantile,0.1,62056.2,Germany
2020-12-16,45 day ahead cum death,2021-01-30,GM,quantile,0.1,62881.5,Germany
2020-12-16,46 day ahead cum death,2021-01-31,GM,quantile,0.1,63586.9,Germany
2020-12-16,47 day ahead cum death,2021-02-01,GM,quantile,0.1,64483.3,Germany
2020-12-16,48 day ahead cum death,2021-02-02,GM,quantile,0.1,65415.6,Germany
2020-12-16,1 day ahead cum death,2020-12-17,GM,quantile,0.15,24997,Germany
2020-12-16,2 day ahead cum death,2020-12-18,GM,quantile,0.15,25699,Germany
2020-12-16,3 day ahead cum death,2020-12-19,GM,quantile,0.15,26095,Germany
2020-12-16,4 day ahead cum death,2020-12-20,GM,quantile,0.15,26358,Germany
2020-12-16,5 day ahead cum death,2020-12-21,GM,quantile,0.15,27094,Germany
2020-12-16,6 day ahead cum death,2020-12-22,GM,quantile,0.15,28020,Germany
2020-12-16,7 day ahead cum death,2020-12-23,GM,quantile,0.15,28923,Germany
2020-12-16,8 day ahead cum death,2020-12-24,GM,quantile,0.15,29827.85,Germany
2020-12-16,9 day ahead cum death,2020-12-25,GM,quantile,0.15,30699,Germany
2020-12-16,10 day ahead cum death,2020-12-26,GM,quantile,0.15,31198.85,Germany
2020-12-16,11 day ahead cum death,2020-12-27,GM,quantile,0.15,31523,Germany
2020-12-16,12 day ahead cum death,2020-12-28,GM,quantile,0.15,32423.85,Germany
2020-12-16,13 day ahead cum death,2020-12-29,GM,quantile,0.15,33517,Germany
2020-12-16,14 day ahead cum death,2020-12-30,GM,quantile,0.15,34588.7,Germany
2020-12-16,15 day ahead cum death,2020-12-31,GM,quantile,0.15,35657.85,Germany
2020-12-16,16 day ahead cum death,2021-01-01,GM,quantile,0.15,36702.7,Germany
2020-12-16,17 day ahead cum death,2021-01-02,GM,quantile,0.15,37329.1,Germany
2020-12-16,18 day ahead cum death,2021-01-03,GM,quantile,0.15,37731,Germany
2020-12-16,19 day ahead cum death,2021-01-04,GM,quantile,0.15,38807.85,Germany
2020-12-16,20 day ahead cum death,2021-01-05,GM,quantile,0.15,40033.85,Germany
2020-12-16,21 day ahead cum death,2021-01-06,GM,quantile,0.15,41242.7,Germany
2020-12-16,22 day ahead cum death,2021-01-07,GM,quantile,0.15,42444.7,Germany
2020-12-16,23 day ahead cum death,2021-01-08,GM,quantile,0.15,43565.85,Germany
2020-12-16,24 day ahead cum death,2021-01-09,GM,quantile,0.15,44346.1,Germany
2020-12-16,25 day ahead cum death,2021-01-10,GM,quantile,0.15,44824.7,Germany
2020-12-16,26 day ahead cum death,2021-01-11,GM,quantile,0.15,45955.85,Germany
2020-12-16,27 day ahead cum death,2021-01-12,GM,quantile,0.15,47300.25,Germany
2020-12-16,28 day ahead cum death,2021-01-13,GM,quantile,0.15,48541.4,Germany
2020-12-16,29 day ahead cum death,2021-01-14,GM,quantile,0.15,49734.8,Germany
2020-12-16,30 day ahead cum death,2021-01-15,GM,quantile,0.15,50898.4,Germany
2020-12-16,31 day ahead cum death,2021-01-16,GM,quantile,0.15,51764.7,Germany
2020-12-16,32 day ahead cum death,2021-01-17,GM,quantile,0.15,52349.95,Germany
2020-12-16,33 day ahead cum death,2021-01-18,GM,quantile,0.15,53506.35,Germany
2020-12-16,34 day ahead cum death,2021-01-19,GM,quantile,0.15,54753.55,Germany
2020-12-16,35 day ahead cum death,2021-01-20,GM,quantile,0.15,55914.65,Germany
2020-12-16,36 day ahead cum death,2021-01-21,GM,quantile,0.15,57079.5,Germany
2020-12-16,37 day ahead cum death,2021-01-22,GM,quantile,0.15,58224.8,Germany
2020-12-16,38 day ahead cum death,2021-01-23,GM,quantile,0.15,59206.85,Germany
2020-12-16,39 day ahead cum death,2021-01-24,GM,quantile,0.15,59893.95,Germany
2020-12-16,40 day ahead cum death,2021-01-25,GM,quantile,0.15,61105.4,Germany
2020-12-16,41 day ahead cum death,2021-01-26,GM,quantile,0.15,62295.4,Germany
2020-12-16,42 day ahead cum death,2021-01-27,GM,quantile,0.15,63485.4,Germany
2020-12-16,43 day ahead cum death,2021-01-28,GM,quantile,0.15,64701.2,Germany
2020-12-16,44 day ahead cum death,2021-01-29,GM,quantile,0.15,65741.85,Germany
2020-12-16,45 day ahead cum death,2021-01-30,GM,quantile,0.15,66727.55,Germany
2020-12-16,46 day ahead cum death,2021-01-31,GM,quantile,0.15,67513,Germany
2020-12-16,47 day ahead cum death,2021-02-01,GM,quantile,0.15,68596.2,Germany
2020-12-16,48 day ahead cum death,2021-02-02,GM,quantile,0.15,69730.45,Germany
2020-12-16,1 day ahead cum death,2020-12-17,GM,quantile,0.2,25010,Germany
2020-12-16,2 day ahead cum death,2020-12-18,GM,quantile,0.2,25721,Germany
2020-12-16,3 day ahead cum death,2020-12-19,GM,quantile,0.2,26124,Germany
2020-12-16,4 day ahead cum death,2020-12-20,GM,quantile,0.2,26389,Germany
2020-12-16,5 day ahead cum death,2020-12-21,GM,quantile,0.2,27145,Germany
2020-12-16,6 day ahead cum death,2020-12-22,GM,quantile,0.2,28089,Germany
