forecast_date,target,target_end_date,location,type,quantile,value,location_name
2020-12-16,1 day ahead cum case,2020-12-17,PL,quantile,0.01,1165388.76,Poland
2020-12-16,2 day ahead cum case,2020-12-18,PL,quantile,0.01,1170209.63,Poland
2020-12-16,3 day ahead cum case,2020-12-19,PL,quantile,0.01,1174395.88,Poland
2020-12-16,4 day ahead cum case,2020-12-20,PL,quantile,0.01,1177049.3,Poland
2020-12-16,5 day ahead cum case,2020-12-21,PL,quantile,0.01,1177769.48,Poland
2020-12-16,6 day ahead cum case,2020-12-22,PL,quantile,0.01,1179658.22,Poland
2020-12-16,7 day ahead cum case,2020-12-23,PL,quantile,0.01,1184113.86,Poland
2020-12-16,8 day ahead cum case,2020-12-24,PL,quantile,0.01,1189423.67,Poland
2020-12-16,9 day ahead cum case,2020-12-25,PL,quantile,0.01,1193739.36,Poland
2020-12-16,10 day ahead cum case,2020-12-26,PL,quantile,0.01,1197383.93,Poland
2020-12-16,11 day ahead cum case,2020-12-27,PL,quantile,0.01,1199900.28,Poland
2020-12-16,12 day ahead cum case,2020-12-28,PL,quantile,0.01,1200593.57,Poland
2020-12-16,13 day ahead cum case,2020-12-29,PL,quantile,0.01,1202330.83,Poland
2020-12-16,14 day ahead cum case,2020-12-30,PL,quantile,0.01,1206368.87,Poland
2020-12-16,15 day ahead cum case,2020-12-31,PL,quantile,0.01,1211076.41,Poland
2020-12-16,16 day ahead cum case,2021-01-01,PL,quantile,0.01,1215185.52,Poland
2020-12-16,17 day ahead cum case,2021-01-02,PL,quantile,0.01,1218639.48,Poland
2020-12-16,18 day ahead cum case,2021-01-03,PL,quantile,0.01,1220793.9,Poland
2020-12-16,19 day ahead cum case,2021-01-04,PL,quantile,0.01,1221266.33,Poland
2020-12-16,20 day ahead cum case,2021-01-05,PL,quantile,0.01,1222764.18,Poland
2020-12-16,21 day ahead cum case,2021-01-06,PL,quantile,0.01,1226001.38,Poland
2020-12-16,22 day ahead cum case,2021-01-07,PL,quantile,0.01,1229851.01,Poland
2020-12-16,23 day ahead cum case,2021-01-08,PL,quantile,0.01,1233313.71,Poland
2020-12-16,24 day ahead cum case,2021-01-09,PL,quantile,0.01,1236226.75,Poland
2020-12-16,25 day ahead cum case,2021-01-10,PL,quantile,0.01,1237996.49,Poland
2020-12-16,26 day ahead cum case,2021-01-11,PL,quantile,0.01,1238414.21,Poland
2020-12-16,27 day ahead cum case,2021-01-12,PL,quantile,0.01,1239686.82,Poland
2020-12-16,28 day ahead cum case,2021-01-13,PL,quantile,0.01,1242801.6,Poland
2020-12-16,29 day ahead cum case,2021-01-14,PL,quantile,0.01,1246553.73,Poland
2020-12-16,30 day ahead cum case,2021-01-15,PL,quantile,0.01,1249821.52,Poland
2020-12-16,31 day ahead cum case,2021-01-16,PL,quantile,0.01,1252542.14,Poland
2020-12-16,32 day ahead cum case,2021-01-17,PL,quantile,0.01,1254195.53,Poland
2020-12-16,33 day ahead cum case,2021-01-18,PL,quantile,0.01,1254551.69,Poland
2020-12-16,34 day ahead cum case,2021-01-19,PL,quantile,0.01,1255677.5,Poland
2020-12-16,35 day ahead cum case,2021-01-20,PL,quantile,0.01,1258555.77,Poland
2020-12-16,36 day ahead cum case,2021-01-21,PL,quantile,0.01,1262053.82,Poland
2020-12-16,37 day ahead cum case,2021-01-22,PL,quantile,0.01,1265052.06,Poland
2020-12-16,38 day ahead cum case,2021-01-23,PL,quantile,0.01,1267552.72,Poland
2020-12-16,39 day ahead cum case,2021-01-24,PL,quantile,0.01,1269119.87,Poland
2020-12-16,40 day ahead cum case,2021-01-25,PL,quantile,0.01,1269519.78,Poland
2020-12-16,41 day ahead cum case,2021-01-26,PL,quantile,0.01,1270618.56,Poland
2020-12-16,42 day ahead cum case,2021-01-27,PL,quantile,0.01,1273142.12,Poland
2020-12-16,43 day ahead cum case,2021-01-28,PL,quantile,0.01,1276209,Poland
2020-12-16,44 day ahead cum case,2021-01-29,PL,quantile,0.01,1278817.83,Poland
2020-12-16,45 day ahead cum case,2021-01-30,PL,quantile,0.01,1280926.83,Poland
2020-12-16,46 day ahead cum case,2021-01-31,PL,quantile,0.01,1282196.01,Poland
2020-12-16,47 day ahead cum case,2021-02-01,PL,quantile,0.01,1282426.31,Poland
2020-12-16,48 day ahead cum case,2021-02-02,PL,quantile,0.01,1283118.63,Poland
2020-12-16,1 day ahead cum case,2020-12-17,PL,quantile,0.025,1166206.6,Poland
2020-12-16,2 day ahead cum case,2020-12-18,PL,quantile,0.025,1171780.15,Poland
2020-12-16,3 day ahead cum case,2020-12-19,PL,quantile,0.025,1176532.875,Poland
2020-12-16,4 day ahead cum case,2020-12-20,PL,quantile,0.025,1179686.75,Poland
2020-12-16,5 day ahead cum case,2020-12-21,PL,quantile,0.025,1180609.45,Poland
2020-12-16,6 day ahead cum case,2020-12-22,PL,quantile,0.025,1182876.275,Poland
2020-12-16,7 day ahead cum case,2020-12-23,PL,quantile,0.025,1187808.85,Poland
2020-12-16,8 day ahead cum case,2020-12-24,PL,quantile,0.025,1193971.05,Poland
2020-12-16,9 day ahead cum case,2020-12-25,PL,quantile,0.025,1199042.65,Poland
2020-12-16,10 day ahead cum case,2020-12-26,PL,quantile,0.025,1203437.6,Poland
2020-12-16,11 day ahead cum case,2020-12-27,PL,quantile,0.025,1206315.525,Poland
2020-12-16,12 day ahead cum case,2020-12-28,PL,quantile,0.025,1207261.45,Poland
2020-12-16,13 day ahead cum case,2020-12-29,PL,quantile,0.025,1209485.5,Poland
2020-12-16,14 day ahead cum case,2020-12-30,PL,quantile,0.025,1214363.35,Poland
2020-12-16,15 day ahead cum case,2020-12-31,PL,quantile,0.025,1219986.675,Poland
2020-12-16,16 day ahead cum case,2021-01-01,PL,quantile,0.025,1224705.45,Poland
2020-12-16,17 day ahead cum case,2021-01-02,PL,quantile,0.025,1228799.85,Poland
2020-12-16,18 day ahead cum case,2021-01-03,PL,quantile,0.025,1231627.2,Poland
2020-12-16,19 day ahead cum case,2021-01-04,PL,quantile,0.025,1232381.575,Poland
2020-12-16,20 day ahead cum case,2021-01-05,PL,quantile,0.025,1234559.375,Poland
2020-12-16,21 day ahead cum case,2021-01-06,PL,quantile,0.025,1238747.225,Poland
2020-12-16,22 day ahead cum case,2021-01-07,PL,quantile,0.025,1244081.8,Poland
2020-12-16,23 day ahead cum case,2021-01-08,PL,quantile,0.025,1248817.275,Poland
2020-12-16,24 day ahead cum case,2021-01-09,PL,quantile,0.025,1252879.35,Poland
2020-12-16,25 day ahead cum case,2021-01-10,PL,quantile,0.025,1255453.25,Poland
