"forecast_date","target","target_end_date","location","location_name","type","quantile","value"
2020-12-28,"-1 day ahead inc death",2020-12-27,"GM","Germany","observed",NA,356
2020-12-28,"0 day ahead inc death",2020-12-28,"GM","Germany","observed",NA,348
2020-12-28,"-1 day ahead cum death",2020-12-27,"GM","Germany","observed",NA,29787
2020-12-28,"0 day ahead cum death",2020-12-28,"GM","Germany","observed",NA,30135
2020-12-28,"1 day ahead inc death",2020-12-29,"GM","Germany","point",NA,352.150790812894
2020-12-28,"2 day ahead inc death",2020-12-30,"GM","Germany","point",NA,354.93742517181
2020-12-28,"3 day ahead inc death",2020-12-31,"GM","Germany","point",NA,356.153222734642
2020-12-28,"4 day ahead inc death",2021-01-01,"GM","Germany","point",NA,355.365274030665
2020-12-28,"5 day ahead inc death",2021-01-02,"GM","Germany","point",NA,352.75915676401
2020-12-28,"6 day ahead inc death",2021-01-03,"GM","Germany","point",NA,347.885317228567
2020-12-28,"7 day ahead inc death",2021-01-04,"GM","Germany","point",NA,340.642588172997
2020-12-28,"8 day ahead inc death",2021-01-05,"GM","Germany","point",NA,331.469983065123
2020-12-28,"9 day ahead inc death",2021-01-06,"GM","Germany","point",NA,320.622550373634
2020-12-28,"10 day ahead inc death",2021-01-07,"GM","Germany","point",NA,308.331868544253
2020-12-28,"11 day ahead inc death",2021-01-08,"GM","Germany","point",NA,294.850398331451
2020-12-28,"12 day ahead inc death",2021-01-09,"GM","Germany","point",NA,281.280089263165
2020-12-28,"13 day ahead inc death",2021-01-10,"GM","Germany","point",NA,267.395150789883
2020-12-28,"14 day ahead inc death",2021-01-11,"GM","Germany","point",NA,253.173887473394
2020-12-28,"15 day ahead inc death",2021-01-12,"GM","Germany","point",NA,239.687373199262
2020-12-28,"16 day ahead inc death",2021-01-13,"GM","Germany","point",NA,226.815664550065
2020-12-28,"17 day ahead inc death",2021-01-14,"GM","Germany","point",NA,214.574233275529
2020-12-28,"18 day ahead inc death",2021-01-15,"GM","Germany","point",NA,202.435113639559
2020-12-28,"19 day ahead inc death",2021-01-16,"GM","Germany","point",NA,191.577924854473
2020-12-28,"20 day ahead inc death",2021-01-17,"GM","Germany","point",NA,180.490675544435
2020-12-28,"21 day ahead inc death",2021-01-18,"GM","Germany","point",NA,170.004500779775
2020-12-28,"22 day ahead inc death",2021-01-19,"GM","Germany","point",NA,160.325599378014
2020-12-28,"23 day ahead inc death",2021-01-20,"GM","Germany","point",NA,150.660268506749
2020-12-28,"24 day ahead inc death",2021-01-21,"GM","Germany","point",NA,141.917045044535
2020-12-28,"25 day ahead inc death",2021-01-22,"GM","Germany","point",NA,133.42919080004
2020-12-28,"26 day ahead inc death",2021-01-23,"GM","Germany","point",NA,125.592968033477
2020-12-28,"27 day ahead inc death",2021-01-24,"GM","Germany","point",NA,117.914062694479
2020-12-28,"28 day ahead inc death",2021-01-25,"GM","Germany","point",NA,111.41725825947
2020-12-28,"29 day ahead inc death",2021-01-26,"GM","Germany","point",NA,104.624768219503
2020-12-28,"30 day ahead inc death",2021-01-27,"GM","Germany","point",NA,97.9908313694278
2020-12-28,"1 day ahead inc death",2020-12-29,"GM","Germany","quantile","0.01",292.646175666297
2020-12-28,"2 day ahead inc death",2020-12-30,"GM","Germany","quantile","0.01",293.164004593777
2020-12-28,"3 day ahead inc death",2020-12-31,"GM","Germany","quantile","0.01",291.727882483663
2020-12-28,"4 day ahead inc death",2021-01-01,"GM","Germany","quantile","0.01",288.53562132607
2020-12-28,"5 day ahead inc death",2021-01-02,"GM","Germany","quantile","0.01",283.860828059185
2020-12-28,"6 day ahead inc death",2021-01-03,"GM","Germany","quantile","0.01",278.34051824238
2020-12-28,"7 day ahead inc death",2021-01-04,"GM","Germany","quantile","0.01",269.26899806546
2020-12-28,"8 day ahead inc death",2021-01-05,"GM","Germany","quantile","0.01",259.76768467114
2020-12-28,"9 day ahead inc death",2021-01-06,"GM","Germany","quantile","0.01",247.647846223513
2020-12-28,"10 day ahead inc death",2021-01-07,"GM","Germany","quantile","0.01",232.963077379712
2020-12-28,"11 day ahead inc death",2021-01-08,"GM","Germany","quantile","0.01",217.617753379961
2020-12-28,"12 day ahead inc death",2021-01-09,"GM","Germany","quantile","0.01",202.263457953269
2020-12-28,"13 day ahead inc death",2021-01-10,"GM","Germany","quantile","0.01",186.390837725817
2020-12-28,"14 day ahead inc death",2021-01-11,"GM","Germany","quantile","0.01",169.973743663473
2020-12-28,"15 day ahead inc death",2021-01-12,"GM","Germany","quantile","0.01",154.882070211644
2020-12-28,"16 day ahead inc death",2021-01-13,"GM","Germany","quantile","0.01",141.282579890178
2020-12-28,"17 day ahead inc death",2021-01-14,"GM","Germany","quantile","0.01",128.217188182571
2020-12-28,"18 day ahead inc death",2021-01-15,"GM","Germany","quantile","0.01",116.347779044586
2020-12-28,"19 day ahead inc death",2021-01-16,"GM","Germany","quantile","0.01",104.452875743735
2020-12-28,"20 day ahead inc death",2021-01-17,"GM","Germany","quantile","0.01",94.2679733451024
2020-12-28,"21 day ahead inc death",2021-01-18,"GM","Germany","quantile","0.01",85.3133743397096
