"forecast_date","target","target_end_date","location","location_name","type","quantile","value"
2021-01-18,"-1 day ahead inc case",2021-01-17,"GM","Germany","observed",NA,13882
2021-01-18,"0 day ahead inc case",2021-01-18,"GM","Germany","observed",NA,7141
2021-01-18,"-1 day ahead cum case",2021-01-17,"GM","Germany","observed",NA,2033518
2021-01-18,"0 day ahead cum case",2021-01-18,"GM","Germany","observed",NA,2040659
2021-01-18,"1 day ahead inc case",2021-01-19,"GM","Germany","point",NA,6958.5611452727
2021-01-18,"2 day ahead inc case",2021-01-20,"GM","Germany","point",NA,6848.45201903536
2021-01-18,"3 day ahead inc case",2021-01-21,"GM","Germany","point",NA,6653.89774408699
2021-01-18,"4 day ahead inc case",2021-01-22,"GM","Germany","point",NA,6490.09993833634
2021-01-18,"5 day ahead inc case",2021-01-23,"GM","Germany","point",NA,6357.31792189063
2021-01-18,"6 day ahead inc case",2021-01-24,"GM","Germany","point",NA,6207.68970743338
2021-01-18,"7 day ahead inc case",2021-01-25,"GM","Germany","point",NA,6050.83425651276
2021-01-18,"8 day ahead inc case",2021-01-26,"GM","Germany","point",NA,5887.68658853615
2021-01-18,"9 day ahead inc case",2021-01-27,"GM","Germany","point",NA,5734.97176970552
2021-01-18,"10 day ahead inc case",2021-01-28,"GM","Germany","point",NA,5600.61319032342
2021-01-18,"11 day ahead inc case",2021-01-29,"GM","Germany","point",NA,5470.24908054071
2021-01-18,"12 day ahead inc case",2021-01-30,"GM","Germany","point",NA,5365.33919052742
2021-01-18,"13 day ahead inc case",2021-01-31,"GM","Germany","point",NA,5218.43619587586
2021-01-18,"14 day ahead inc case",2021-02-01,"GM","Germany","point",NA,5056.29872285191
2021-01-18,"15 day ahead inc case",2021-02-02,"GM","Germany","point",NA,4933.73173280106
2021-01-18,"16 day ahead inc case",2021-02-03,"GM","Germany","point",NA,4870.59188242041
2021-01-18,"17 day ahead inc case",2021-02-04,"GM","Germany","point",NA,4702.58205550575
2021-01-18,"18 day ahead inc case",2021-02-05,"GM","Germany","point",NA,4579.71649089412
2021-01-18,"19 day ahead inc case",2021-02-06,"GM","Germany","point",NA,4498.97728521157
2021-01-18,"20 day ahead inc case",2021-02-07,"GM","Germany","point",NA,4363.88035565376
2021-01-18,"21 day ahead inc case",2021-02-08,"GM","Germany","point",NA,4233.66076899925
2021-01-18,"22 day ahead inc case",2021-02-09,"GM","Germany","point",NA,4156.1717787659
2021-01-18,"23 day ahead inc case",2021-02-10,"GM","Germany","point",NA,4067.20554835608
2021-01-18,"24 day ahead inc case",2021-02-11,"GM","Germany","point",NA,3938.08940407753
2021-01-18,"25 day ahead inc case",2021-02-12,"GM","Germany","point",NA,3838.14586671513
2021-01-18,"26 day ahead inc case",2021-02-13,"GM","Germany","point",NA,3785.88994446332
2021-01-18,"27 day ahead inc case",2021-02-14,"GM","Germany","point",NA,3673.54304334686
2021-01-18,"28 day ahead inc case",2021-02-15,"GM","Germany","point",NA,3587.78635254441
2021-01-18,"29 day ahead inc case",2021-02-16,"GM","Germany","point",NA,3461.83737695087
2021-01-18,"30 day ahead inc case",2021-02-17,"GM","Germany","point",NA,3380.76404557093
2021-01-18,"1 day ahead inc case",2021-01-19,"GM","Germany","quantile","0.01",1557.33605689285
2021-01-18,"2 day ahead inc case",2021-01-20,"GM","Germany","quantile","0.01",1454.52838069689
2021-01-18,"3 day ahead inc case",2021-01-21,"GM","Germany","quantile","0.01",1333.58861498011
2021-01-18,"4 day ahead inc case",2021-01-22,"GM","Germany","quantile","0.01",1220.95720139937
2021-01-18,"5 day ahead inc case",2021-01-23,"GM","Germany","quantile","0.01",1121.39580764972
2021-01-18,"6 day ahead inc case",2021-01-24,"GM","Germany","quantile","0.01",1011.08976394175
2021-01-18,"7 day ahead inc case",2021-01-25,"GM","Germany","quantile","0.01",959.198321009058
2021-01-18,"8 day ahead inc case",2021-01-26,"GM","Germany","quantile","0.01",870.077592321792
2021-01-18,"9 day ahead inc case",2021-01-27,"GM","Germany","quantile","0.01",794.437604765931
2021-01-18,"10 day ahead inc case",2021-01-28,"GM","Germany","quantile","0.01",734.010970941292
2021-01-18,"11 day ahead inc case",2021-01-29,"GM","Germany","quantile","0.01",685.956992700412
2021-01-18,"12 day ahead inc case",2021-01-30,"GM","Germany","quantile","0.01",626.807679349883
2021-01-18,"13 day ahead inc case",2021-01-31,"GM","Germany","quantile","0.01",562.01934454649
2021-01-18,"14 day ahead inc case",2021-02-01,"GM","Germany","quantile","0.01",525.553785576112
2021-01-18,"15 day ahead inc case",2021-02-02,"GM","Germany","quantile","0.01",484.971724918831
2021-01-18,"16 day ahead inc case",2021-02-03,"GM","Germany","quantile","0.01",449.933205331834
2021-01-18,"17 day ahead inc case",2021-02-04,"GM","Germany","quantile","0.01",411.735909097173
2021-01-18,"18 day ahead inc case",2021-02-05,"GM","Germany","quantile","0.01",388.656598168172
2021-01-18,"19 day ahead inc case",2021-02-06,"GM","Germany","quantile","0.01",340.95719641251
2021-01-18,"20 day ahead inc case",2021-02-07,"GM","Germany","quantile","0.01",319.168112568647
2021-01-18,"21 day ahead inc case",2021-02-08,"GM","Germany","quantile","0.01",299.339269590512
2021-01-18,"22 day ahead inc case",2021-02-09,"GM","Germany","quantile","0.01",260.309176104039
2021-01-18,"23 day ahead inc case",2021-02-10,"GM","Germany","quantile","0.01",242.619314018734
2021-01-18,"24 day ahead inc case",2021-02-11,"GM","Germany","quantile","0.01",232.868511553857
2021-01-18,"25 day ahead inc case",2021-02-12,"GM","Germany","quantile","0.01",208.157043753233
