"forecast_date","target","target_end_date","location","location_name","type","quantile","value"
2021-02-22,"-1 day ahead curr ICU",2021-02-21,"GM","Germany","observed",NA,3057
2021-02-22,"0 day ahead curr ICU",2021-02-22,"GM","Germany","observed",NA,3060
2021-02-22,"1 day ahead curr ICU",2021-02-23,"GM","Germany","point",NA,3081.08674954841
2021-02-22,"2 day ahead curr ICU",2021-02-24,"GM","Germany","point",NA,3106.62627547785
2021-02-22,"3 day ahead curr ICU",2021-02-25,"GM","Germany","point",NA,3138.74533894266
2021-02-22,"4 day ahead curr ICU",2021-02-26,"GM","Germany","point",NA,3177.3199293671
2021-02-22,"5 day ahead curr ICU",2021-02-27,"GM","Germany","point",NA,3214.44104622601
2021-02-22,"6 day ahead curr ICU",2021-02-28,"GM","Germany","point",NA,3252.19174859542
2021-02-22,"7 day ahead curr ICU",2021-03-01,"GM","Germany","point",NA,3291.8038630471
2021-02-22,"8 day ahead curr ICU",2021-03-02,"GM","Germany","point",NA,3339.68404582094
2021-02-22,"9 day ahead curr ICU",2021-03-03,"GM","Germany","point",NA,3394.59554128917
2021-02-22,"10 day ahead curr ICU",2021-03-04,"GM","Germany","point",NA,3442.64287886012
2021-02-22,"11 day ahead curr ICU",2021-03-05,"GM","Germany","point",NA,3494.87275531739
2021-02-22,"12 day ahead curr ICU",2021-03-06,"GM","Germany","point",NA,3547.77251726423
2021-02-22,"13 day ahead curr ICU",2021-03-07,"GM","Germany","point",NA,3625.74383219878
2021-02-22,"14 day ahead curr ICU",2021-03-08,"GM","Germany","point",NA,3692.67979366588
2021-02-22,"15 day ahead curr ICU",2021-03-09,"GM","Germany","point",NA,3760.18633770104
2021-02-22,"16 day ahead curr ICU",2021-03-10,"GM","Germany","point",NA,3821.31902554047
2021-02-22,"17 day ahead curr ICU",2021-03-11,"GM","Germany","point",NA,3911.12481502428
2021-02-22,"18 day ahead curr ICU",2021-03-12,"GM","Germany","point",NA,3980.12493310253
2021-02-22,"19 day ahead curr ICU",2021-03-13,"GM","Germany","point",NA,4089.66728951815
2021-02-22,"20 day ahead curr ICU",2021-03-14,"GM","Germany","point",NA,4195.51975518391
2021-02-22,"21 day ahead curr ICU",2021-03-15,"GM","Germany","point",NA,4276.32999469349
2021-02-22,"22 day ahead curr ICU",2021-03-16,"GM","Germany","point",NA,4346.40743864203
2021-02-22,"23 day ahead curr ICU",2021-03-17,"GM","Germany","point",NA,4465.13513099519
2021-02-22,"24 day ahead curr ICU",2021-03-18,"GM","Germany","point",NA,4561.37230673862
2021-02-22,"25 day ahead curr ICU",2021-03-19,"GM","Germany","point",NA,4692.04519303399
2021-02-22,"26 day ahead curr ICU",2021-03-20,"GM","Germany","point",NA,4779.09659717597
2021-02-22,"27 day ahead curr ICU",2021-03-21,"GM","Germany","point",NA,4898.89567800774
2021-02-22,"28 day ahead curr ICU",2021-03-22,"GM","Germany","point",NA,5006.9289787283
2021-02-22,"29 day ahead curr ICU",2021-03-23,"GM","Germany","point",NA,5120.63240483756
2021-02-22,"30 day ahead curr ICU",2021-03-24,"GM","Germany","point",NA,5216.8793672183
2021-02-22,"1 day ahead curr ICU",2021-02-23,"GM","Germany","quantile","0.01",2520.52380420241
2021-02-22,"2 day ahead curr ICU",2021-02-24,"GM","Germany","quantile","0.01",2460.21694842736
2021-02-22,"3 day ahead curr ICU",2021-02-25,"GM","Germany","quantile","0.01",2408.59002487086
2021-02-22,"4 day ahead curr ICU",2021-02-26,"GM","Germany","quantile","0.01",2347.6882857046
2021-02-22,"5 day ahead curr ICU",2021-02-27,"GM","Germany","quantile","0.01",2292.86144959882
2021-02-22,"6 day ahead curr ICU",2021-02-28,"GM","Germany","quantile","0.01",2224.76797829329
2021-02-22,"7 day ahead curr ICU",2021-03-01,"GM","Germany","quantile","0.01",2166.40070051241
2021-02-22,"8 day ahead curr ICU",2021-03-02,"GM","Germany","quantile","0.01",2108.03935888107
2021-02-22,"9 day ahead curr ICU",2021-03-03,"GM","Germany","quantile","0.01",2053.31372894784
2021-02-22,"10 day ahead curr ICU",2021-03-04,"GM","Germany","quantile","0.01",1984.12776898856
2021-02-22,"11 day ahead curr ICU",2021-03-05,"GM","Germany","quantile","0.01",1943.72842818998
2021-02-22,"12 day ahead curr ICU",2021-03-06,"GM","Germany","quantile","0.01",1875.63819742708
2021-02-22,"13 day ahead curr ICU",2021-03-07,"GM","Germany","quantile","0.01",1808.76244156408
2021-02-22,"14 day ahead curr ICU",2021-03-08,"GM","Germany","quantile","0.01",1757.99237181329
2021-02-22,"15 day ahead curr ICU",2021-03-09,"GM","Germany","quantile","0.01",1687.88838394788
2021-02-22,"16 day ahead curr ICU",2021-03-10,"GM","Germany","quantile","0.01",1632.36858817728
2021-02-22,"17 day ahead curr ICU",2021-03-11,"GM","Germany","quantile","0.01",1565.55166785859
2021-02-22,"18 day ahead curr ICU",2021-03-12,"GM","Germany","quantile","0.01",1505.74650417347
2021-02-22,"19 day ahead curr ICU",2021-03-13,"GM","Germany","quantile","0.01",1453.10594794234
2021-02-22,"20 day ahead curr ICU",2021-03-14,"GM","Germany","quantile","0.01",1390.81070017907
2021-02-22,"21 day ahead curr ICU",2021-03-15,"GM","Germany","quantile","0.01",1324.31353996286
2021-02-22,"22 day ahead curr ICU",2021-03-16,"GM","Germany","quantile","0.01",1277.97198618602
2021-02-22,"23 day ahead curr ICU",2021-03-17,"GM","Germany","quantile","0.01",1218.57014204645
2021-02-22,"24 day ahead curr ICU",2021-03-18,"GM","Germany","quantile","0.01",1160.68886325654
2021-02-22,"25 day ahead curr ICU",2021-03-19,"GM","Germany","quantile","0.01",1100.27645291685
2021-02-22,"26 day ahead curr ICU",2021-03-20,"GM","Germany","quantile","0.01",1049.26358949407
2021-02-22,"27 day ahead curr ICU",2021-03-21,"GM","Germany","quantile","0.01",1001.20774811392
2021-02-22,"28 day ahead curr ICU",2021-03-22,"GM","Germany","quantile","0.01",934.113161726851
2021-02-22,"29 day ahead curr ICU",2021-03-23,"GM","Germany","quantile","0.01",899.679412139329
2021-02-22,"30 day ahead curr ICU",2021-03-24,"GM","Germany","quantile","0.01",846.532188870567
2021-02-22,"1 day ahead curr ICU",2021-02-23,"GM","Germany","quantile","0.025",2586.7466630707
2021-02-22,"2 day ahead curr ICU",2021-02-24,"GM","Germany","quantile","0.025",2536.64519938995
2021-02-22,"3 day ahead curr ICU",2021-02-25,"GM","Germany","quantile","0.025",2496.30960376391
2021-02-22,"4 day ahead curr ICU",2021-02-26,"GM","Germany","quantile","0.025",2445.71252857667
2021-02-22,"5 day ahead curr ICU",2021-02-27,"GM","Germany","quantile","0.025",2405.48063641723
