"","forecast_date","target","target_end_date","location","location_name","type","quantile","value"
"1",2020-06-15,"1 day ahead inc death",2020-06-16,"GM","Germany","quantile",0.025,14.0292348246348
"2",2020-06-15,"2 day ahead inc death",2020-06-17,"GM","Germany","quantile",0.025,13.4529127600053
"3",2020-06-15,"3 day ahead inc death",2020-06-18,"GM","Germany","quantile",0.025,12.8973047383824
"4",2020-06-15,"4 day ahead inc death",2020-06-19,"GM","Germany","quantile",0.025,12.3857411757544
"5",2020-06-15,"5 day ahead inc death",2020-06-20,"GM","Germany","quantile",0.025,11.8726418522256
"6",2020-06-15,"6 day ahead inc death",2020-06-21,"GM","Germany","quantile",0.025,11.3713259857959
"7",2020-06-15,"7 day ahead inc death",2020-06-22,"GM","Germany","quantile",0.025,10.8969379465598
"8",2020-06-15,"8 day ahead inc death",2020-06-23,"GM","Germany","quantile",0.025,10.4459954212271
"9",2020-06-15,"9 day ahead inc death",2020-06-24,"GM","Germany","quantile",0.025,10.0052894203727
"10",2020-06-15,"10 day ahead inc death",2020-06-25,"GM","Germany","quantile",0.025,9.58361219831022
"11",2020-06-15,"11 day ahead inc death",2020-06-26,"GM","Germany","quantile",0.025,9.17802208493777
"12",2020-06-15,"12 day ahead inc death",2020-06-27,"GM","Germany","quantile",0.025,8.79001449546195
"13",2020-06-15,"13 day ahead inc death",2020-06-28,"GM","Germany","quantile",0.025,8.41817273089146
"14",2020-06-15,"14 day ahead inc death",2020-06-29,"GM","Germany","quantile",0.025,8.06184114129974
"15",2020-06-15,"15 day ahead inc death",2020-06-30,"GM","Germany","quantile",0.025,7.72038938412516
"16",2020-06-15,"16 day ahead inc death",2020-07-01,"GM","Germany","quantile",0.025,7.3932115322732
"17",2020-06-15,"17 day ahead inc death",2020-07-02,"GM","Germany","quantile",0.025,7.08257214740479
"18",2020-06-15,"18 day ahead inc death",2020-07-03,"GM","Germany","quantile",0.025,6.78456307753549
"19",2020-06-15,"19 day ahead inc death",2020-07-04,"GM","Germany","quantile",0.025,6.49668791404656
"20",2020-06-15,"20 day ahead inc death",2020-07-05,"GM","Germany","quantile",0.025,6.22089618935934
"21",2020-06-15,"21 day ahead inc death",2020-07-06,"GM","Germany","quantile",0.025,5.95997940920824
"22",2020-06-15,"22 day ahead inc death",2020-07-07,"GM","Germany","quantile",0.025,5.71020002133264
"23",2020-06-15,"23 day ahead inc death",2020-07-08,"GM","Germany","quantile",0.025,5.4644929975475
"24",2020-06-15,"24 day ahead inc death",2020-07-09,"GM","Germany","quantile",0.025,5.234208432792
"25",2020-06-15,"25 day ahead inc death",2020-07-10,"GM","Germany","quantile",0.025,5.01431475224308
"26",2020-06-15,"26 day ahead inc death",2020-07-11,"GM","Germany","quantile",0.025,4.80195319199447
"27",2020-06-15,"27 day ahead inc death",2020-07-12,"GM","Germany","quantile",0.025,4.59795402599229
"28",2020-06-15,"28 day ahead inc death",2020-07-13,"GM","Germany","quantile",0.025,4.40512196256532
"29",2020-06-15,"1 day ahead inc death",2020-06-16,"GM","Germany","quantile",0.975,18.6247801960635
"30",2020-06-15,"2 day ahead inc death",2020-06-17,"GM","Germany","quantile",0.975,17.9362089233655
"31",2020-06-15,"3 day ahead inc death",2020-06-18,"GM","Germany","quantile",0.975,17.2722362612476
"32",2020-06-15,"4 day ahead inc death",2020-06-19,"GM","Germany","quantile",0.975,16.6320397899599
"33",2020-06-15,"5 day ahead inc death",2020-06-20,"GM","Germany","quantile",0.975,16.0148213940374
"34",2020-06-15,"6 day ahead inc death",2020-06-21,"GM","Germany","quantile",0.975,15.4198066404224
"35",2020-06-15,"7 day ahead inc death",2020-06-22,"GM","Germany","quantile",0.975,14.8462441870524
"36",2020-06-15,"8 day ahead inc death",2020-06-23,"GM","Germany","quantile",0.975,14.2934052163691
"37",2020-06-15,"9 day ahead inc death",2020-06-24,"GM","Germany","quantile",0.975,13.760582889201
"38",2020-06-15,"10 day ahead inc death",2020-06-25,"GM","Germany","quantile",0.975,13.2470918154559
