"forecast_date","target","target_end_date","location","type","quantile","value"
2021-01-11,"1 wk ahead cum death",2021-01-16,"PL","point",NA,32510
2021-01-11,"1 wk ahead inc death",2021-01-16,"PL","point",NA,1503
2021-01-11,"1 wk ahead cum death",2021-01-16,"PL","quantile",0.01,32410
2021-01-11,"1 wk ahead cum death",2021-01-16,"PL","quantile",0.025,32421
2021-01-11,"1 wk ahead cum death",2021-01-16,"PL","quantile",0.05,32436
2021-01-11,"1 wk ahead cum death",2021-01-16,"PL","quantile",0.1,32452
2021-01-11,"1 wk ahead cum death",2021-01-16,"PL","quantile",0.15,32463
2021-01-11,"1 wk ahead cum death",2021-01-16,"PL","quantile",0.2,32474
2021-01-11,"1 wk ahead cum death",2021-01-16,"PL","quantile",0.25,32480
2021-01-11,"1 wk ahead cum death",2021-01-16,"PL","quantile",0.3,32487
2021-01-11,"1 wk ahead cum death",2021-01-16,"PL","quantile",0.35,32493
2021-01-11,"1 wk ahead cum death",2021-01-16,"PL","quantile",0.4,32498
2021-01-11,"1 wk ahead cum death",2021-01-16,"PL","quantile",0.45,32504
2021-01-11,"1 wk ahead cum death",2021-01-16,"PL","quantile",0.5,32510
2021-01-11,"1 wk ahead cum death",2021-01-16,"PL","quantile",0.55,32516
2021-01-11,"1 wk ahead cum death",2021-01-16,"PL","quantile",0.6,32523
2021-01-11,"1 wk ahead cum death",2021-01-16,"PL","quantile",0.65,32529
2021-01-11,"1 wk ahead cum death",2021-01-16,"PL","quantile",0.7,32534
2021-01-11,"1 wk ahead cum death",2021-01-16,"PL","quantile",0.75,32541
2021-01-11,"1 wk ahead cum death",2021-01-16,"PL","quantile",0.8,32546
2021-01-11,"1 wk ahead cum death",2021-01-16,"PL","quantile",0.85,32557
2021-01-11,"1 wk ahead cum death",2021-01-16,"PL","quantile",0.9,32567
2021-01-11,"1 wk ahead cum death",2021-01-16,"PL","quantile",0.95,32587
2021-01-11,"1 wk ahead cum death",2021-01-16,"PL","quantile",0.975,32602
2021-01-11,"1 wk ahead cum death",2021-01-16,"PL","quantile",0.99,32618
2021-01-11,"1 wk ahead inc death",2021-01-16,"PL","quantile",0.01,1403
2021-01-11,"1 wk ahead inc death",2021-01-16,"PL","quantile",0.025,1414
2021-01-11,"1 wk ahead inc death",2021-01-16,"PL","quantile",0.05,1429
2021-01-11,"1 wk ahead inc death",2021-01-16,"PL","quantile",0.1,1445
2021-01-11,"1 wk ahead inc death",2021-01-16,"PL","quantile",0.15,1456
2021-01-11,"1 wk ahead inc death",2021-01-16,"PL","quantile",0.2,1467
2021-01-11,"1 wk ahead inc death",2021-01-16,"PL","quantile",0.25,1473
2021-01-11,"1 wk ahead inc death",2021-01-16,"PL","quantile",0.3,1480
2021-01-11,"1 wk ahead inc death",2021-01-16,"PL","quantile",0.35,1486
2021-01-11,"1 wk ahead inc death",2021-01-16,"PL","quantile",0.4,1491
2021-01-11,"1 wk ahead inc death",2021-01-16,"PL","quantile",0.45,1497
2021-01-11,"1 wk ahead inc death",2021-01-16,"PL","quantile",0.5,1503
2021-01-11,"1 wk ahead inc death",2021-01-16,"PL","quantile",0.55,1509
2021-01-11,"1 wk ahead inc death",2021-01-16,"PL","quantile",0.6,1516
2021-01-11,"1 wk ahead inc death",2021-01-16,"PL","quantile",0.65,1522
2021-01-11,"1 wk ahead inc death",2021-01-16,"PL","quantile",0.7,1527
2021-01-11,"1 wk ahead inc death",2021-01-16,"PL","quantile",0.75,1534
2021-01-11,"1 wk ahead inc death",2021-01-16,"PL","quantile",0.8,1539
2021-01-11,"1 wk ahead inc death",2021-01-16,"PL","quantile",0.85,1550
2021-01-11,"1 wk ahead inc death",2021-01-16,"PL","quantile",0.9,1560
2021-01-11,"1 wk ahead inc death",2021-01-16,"PL","quantile",0.95,1580
2021-01-11,"1 wk ahead inc death",2021-01-16,"PL","quantile",0.975,1595
2021-01-11,"1 wk ahead inc death",2021-01-16,"PL","quantile",0.99,1611
2021-01-11,"2 wk ahead cum death",2021-01-23,"PL","point",NA,33854
2021-01-11,"2 wk ahead inc death",2021-01-23,"PL","point",NA,1344
2021-01-11,"2 wk ahead cum death",2021-01-23,"PL","quantile",0.01,33665
2021-01-11,"2 wk ahead cum death",2021-01-23,"PL","quantile",0.025,33690
2021-01-11,"2 wk ahead cum death",2021-01-23,"PL","quantile",0.05,33716
2021-01-11,"2 wk ahead cum death",2021-01-23,"PL","quantile",0.1,33751
2021-01-11,"2 wk ahead cum death",2021-01-23,"PL","quantile",0.15,33774
2021-01-11,"2 wk ahead cum death",2021-01-23,"PL","quantile",0.2,33790
2021-01-11,"2 wk ahead cum death",2021-01-23,"PL","quantile",0.25,33801
2021-01-11,"2 wk ahead cum death",2021-01-23,"PL","quantile",0.3,33814
2021-01-11,"2 wk ahead cum death",2021-01-23,"PL","quantile",0.35,33824
2021-01-11,"2 wk ahead cum death",2021-01-23,"PL","quantile",0.4,33837
2021-01-11,"2 wk ahead cum death",2021-01-23,"PL","quantile",0.45,33847
2021-01-11,"2 wk ahead cum death",2021-01-23,"PL","quantile",0.5,33854
2021-01-11,"2 wk ahead cum death",2021-01-23,"PL","quantile",0.55,33862
2021-01-11,"2 wk ahead cum death",2021-01-23,"PL","quantile",0.6,33872
2021-01-11,"2 wk ahead cum death",2021-01-23,"PL","quantile",0.65,33882
2021-01-11,"2 wk ahead cum death",2021-01-23,"PL","quantile",0.7,33895
2021-01-11,"2 wk ahead cum death",2021-01-23,"PL","quantile",0.75,33909
2021-01-11,"2 wk ahead cum death",2021-01-23,"PL","quantile",0.8,33923
2021-01-11,"2 wk ahead cum death",2021-01-23,"PL","quantile",0.85,33940
2021-01-11,"2 wk ahead cum death",2021-01-23,"PL","quantile",0.9,33960
2021-01-11,"2 wk ahead cum death",2021-01-23,"PL","quantile",0.95,33984
2021-01-11,"2 wk ahead cum death",2021-01-23,"PL","quantile",0.975,34007
2021-01-11,"2 wk ahead cum death",2021-01-23,"PL","quantile",0.99,34027
2021-01-11,"2 wk ahead inc death",2021-01-23,"PL","quantile",0.01,1193
