"forecast_date","target","target_end_date","location","type","quantile","value"
2021-02-08,"1 wk ahead cum case",2021-02-13,"PL","point",NA,1582794
2021-02-08,"1 wk ahead inc case",2021-02-13,"PL","point",NA,37389
2021-02-08,"1 wk ahead cum case",2021-02-13,"PL","quantile",0.01,1578313
2021-02-08,"1 wk ahead cum case",2021-02-13,"PL","quantile",0.025,1579231
2021-02-08,"1 wk ahead cum case",2021-02-13,"PL","quantile",0.05,1579646
2021-02-08,"1 wk ahead cum case",2021-02-13,"PL","quantile",0.1,1580320
2021-02-08,"1 wk ahead cum case",2021-02-13,"PL","quantile",0.15,1580788
2021-02-08,"1 wk ahead cum case",2021-02-13,"PL","quantile",0.2,1581162
2021-02-08,"1 wk ahead cum case",2021-02-13,"PL","quantile",0.25,1581508
2021-02-08,"1 wk ahead cum case",2021-02-13,"PL","quantile",0.3,1581858
2021-02-08,"1 wk ahead cum case",2021-02-13,"PL","quantile",0.35,1582115
2021-02-08,"1 wk ahead cum case",2021-02-13,"PL","quantile",0.4,1582321
2021-02-08,"1 wk ahead cum case",2021-02-13,"PL","quantile",0.45,1582534
2021-02-08,"1 wk ahead cum case",2021-02-13,"PL","quantile",0.5,1582794
2021-02-08,"1 wk ahead cum case",2021-02-13,"PL","quantile",0.55,1583092
2021-02-08,"1 wk ahead cum case",2021-02-13,"PL","quantile",0.6,1583403
2021-02-08,"1 wk ahead cum case",2021-02-13,"PL","quantile",0.65,1583704
2021-02-08,"1 wk ahead cum case",2021-02-13,"PL","quantile",0.7,1584005
2021-02-08,"1 wk ahead cum case",2021-02-13,"PL","quantile",0.75,1584319
2021-02-08,"1 wk ahead cum case",2021-02-13,"PL","quantile",0.8,1584603
2021-02-08,"1 wk ahead cum case",2021-02-13,"PL","quantile",0.85,1584986
2021-02-08,"1 wk ahead cum case",2021-02-13,"PL","quantile",0.9,1585524
2021-02-08,"1 wk ahead cum case",2021-02-13,"PL","quantile",0.95,1586307
2021-02-08,"1 wk ahead cum case",2021-02-13,"PL","quantile",0.975,1586866
2021-02-08,"1 wk ahead cum case",2021-02-13,"PL","quantile",0.99,1587498
2021-02-08,"1 wk ahead inc case",2021-02-13,"PL","quantile",0.01,32908
2021-02-08,"1 wk ahead inc case",2021-02-13,"PL","quantile",0.025,33826
2021-02-08,"1 wk ahead inc case",2021-02-13,"PL","quantile",0.05,34241
2021-02-08,"1 wk ahead inc case",2021-02-13,"PL","quantile",0.1,34915
