"forecast_date","target","target_end_date","location","location_name","type","quantile","value"
2020-05-19,"1 day ahead cum death",2020-05-20,"GM","Germany","point",NA,8447
2020-05-19,"2 day ahead cum death",2020-05-21,"GM","Germany","point",NA,8514
2020-05-19,"3 day ahead cum death",2020-05-22,"GM","Germany","point",NA,8579
2020-05-19,"4 day ahead cum death",2020-05-23,"GM","Germany","point",NA,8640
2020-05-19,"5 day ahead cum death",2020-05-24,"GM","Germany","point",NA,8700
2020-05-19,"6 day ahead cum death",2020-05-25,"GM","Germany","point",NA,8757
2020-05-19,"7 day ahead cum death",2020-05-26,"GM","Germany","point",NA,8811
2020-05-19,"8 day ahead cum death",2020-05-27,"GM","Germany","point",NA,8863
2020-05-19,"9 day ahead cum death",2020-05-28,"GM","Germany","point",NA,8913
2020-05-19,"10 day ahead cum death",2020-05-29,"GM","Germany","point",NA,8960
2020-05-19,"11 day ahead cum death",2020-05-30,"GM","Germany","point",NA,9006
2020-05-19,"12 day ahead cum death",2020-05-31,"GM","Germany","point",NA,9049
2020-05-19,"13 day ahead cum death",2020-06-01,"GM","Germany","point",NA,9091
2020-05-19,"14 day ahead cum death",2020-06-02,"GM","Germany","point",NA,9131
2020-05-19,"15 day ahead cum death",2020-06-03,"GM","Germany","point",NA,9169
2020-05-19,"16 day ahead cum death",2020-06-04,"GM","Germany","point",NA,9205
2020-05-19,"17 day ahead cum death",2020-06-05,"GM","Germany","point",NA,9240
2020-05-19,"18 day ahead cum death",2020-06-06,"GM","Germany","point",NA,9273
2020-05-19,"19 day ahead cum death",2020-06-07,"GM","Germany","point",NA,9305
2020-05-19,"20 day ahead cum death",2020-06-08,"GM","Germany","point",NA,9335
2020-05-19,"21 day ahead cum death",2020-06-09,"GM","Germany","point",NA,9364
2020-05-19,"22 day ahead cum death",2020-06-10,"GM","Germany","point",NA,9391
2020-05-19,"23 day ahead cum death",2020-06-11,"GM","Germany","point",NA,9418
2020-05-19,"24 day ahead cum death",2020-06-12,"GM","Germany","point",NA,9443
2020-05-19,"25 day ahead cum death",2020-06-13,"GM","Germany","point",NA,9467
2020-05-19,"26 day ahead cum death",2020-06-14,"GM","Germany","point",NA,9490
2020-05-19,"27 day ahead cum death",2020-06-15,"GM","Germany","point",NA,9512
2020-05-19,"1 wk ahead cum death",2020-05-30,"GM","Germany","point",NA,9006
2020-05-19,"2 wk ahead cum death",2020-06-06,"GM","Germany","point",NA,9273
2020-05-19,"3 wk ahead cum death",2020-06-13,"GM","Germany","point",NA,9467
