forecast_date,target,target_end_date,location,location_name,type,quantile,value
2020-11-02,1 wk ahead inc case,2020-11-07,GM,None,point,NA,143509.0
2020-11-02,1 wk ahead inc case,2020-11-07,GM,None,quantile,0.01,89618.33792243942
2020-11-02,1 wk ahead inc case,2020-11-07,GM,None,quantile,0.025,98105.74885529053
2020-11-02,1 wk ahead inc case,2020-11-07,GM,None,quantile,0.05,105405.39048990505
2020-11-02,1 wk ahead inc case,2020-11-07,GM,None,quantile,0.1,113821.40979717708
2020-11-02,1 wk ahead inc case,2020-11-07,GM,None,quantile,0.15,119499.6580686522
2020-11-02,1 wk ahead inc case,2020-11-07,GM,None,quantile,0.2,124012.54979068734
2020-11-02,1 wk ahead inc case,2020-11-07,GM,None,quantile,0.25,127884.2090526951
2020-11-02,1 wk ahead inc case,2020-11-07,GM,None,quantile,0.3,131361.07872863798
2020-11-02,1 wk ahead inc case,2020-11-07,GM,None,quantile,0.35,134582.9166405627
2020-11-02,1 wk ahead inc case,2020-11-07,GM,None,quantile,0.4,137640.12575476294
2020-11-02,1 wk ahead inc case,2020-11-07,GM,None,quantile,0.45,140598.0109535445
2020-11-02,1 wk ahead inc case,2020-11-07,GM,None,quantile,0.5,143509.0
2020-11-02,1 wk ahead inc case,2020-11-07,GM,None,quantile,0.55,146419.9890464555
2020-11-02,1 wk ahead inc case,2020-11-07,GM,None,quantile,0.6,149377.87424523706
2020-11-02,1 wk ahead inc case,2020-11-07,GM,None,quantile,0.65,152435.0833594373
2020-11-02,1 wk ahead inc case,2020-11-07,GM,None,quantile,0.7,155656.92127136202
2020-11-02,1 wk ahead inc case,2020-11-07,GM,None,quantile,0.75,159133.7909473049
2020-11-02,1 wk ahead inc case,2020-11-07,GM,None,quantile,0.8,163005.45020931266
2020-11-02,1 wk ahead inc case,2020-11-07,GM,None,quantile,0.85,167518.3419313478
2020-11-02,1 wk ahead inc case,2020-11-07,GM,None,quantile,0.9,173196.59020282293
2020-11-02,1 wk ahead inc case,2020-11-07,GM,None,quantile,0.95,181612.60951009492
2020-11-02,1 wk ahead inc case,2020-11-07,GM,None,quantile,0.975,188912.25114470947
2020-11-02,1 wk ahead inc case,2020-11-07,GM,None,quantile,0.99,197399.66207756058
2020-11-02,2 wk ahead inc case,2020-11-14,GM,None,point,NA,218362.0
2020-11-02,2 wk ahead inc case,2020-11-14,GM,None,quantile,0.01,142149.09480464837
2020-11-02,2 wk ahead inc case,2020-11-14,GM,None,quantile,0.025,154152.1064553201
2020-11-02,2 wk ahead inc case,2020-11-14,GM,None,quantile,0.05,164475.3586554553
2020-11-02,2 wk ahead inc case,2020-11-14,GM,None,quantile,0.1,176377.40730099322
2020-11-02,2 wk ahead inc case,2020-11-14,GM,None,quantile,0.15,184407.6630170349
2020-11-02,2 wk ahead inc case,2020-11-14,GM,None,quantile,0.2,190789.85569585828
2020-11-02,2 wk ahead inc case,2020-11-14,GM,None,quantile,0.25,196265.20873307707
2020-11-02,2 wk ahead inc case,2020-11-14,GM,None,quantile,0.3,201182.24498339923
2020-11-02,2 wk ahead inc case,2020-11-14,GM,None,quantile,0.35,205738.611854211
2020-11-02,2 wk ahead inc case,2020-11-14,GM,None,quantile,0.4,210062.1584465236
2020-11-02,2 wk ahead inc case,2020-11-14,GM,None,quantile,0.45,214245.23981058312
2020-11-02,2 wk ahead inc case,2020-11-14,GM,None,quantile,0.5,218362.0
2020-11-02,2 wk ahead inc case,2020-11-14,GM,None,quantile,0.55,222478.7601894169
2020-11-02,2 wk ahead inc case,2020-11-14,GM,None,quantile,0.6,226661.8415534764
2020-11-02,2 wk ahead inc case,2020-11-14,GM,None,quantile,0.65,230985.388145789
2020-11-02,2 wk ahead inc case,2020-11-14,GM,None,quantile,0.7,235541.75501660077
2020-11-02,2 wk ahead inc case,2020-11-14,GM,None,quantile,0.75,240458.79126692293
2020-11-02,2 wk ahead inc case,2020-11-14,GM,None,quantile,0.8,245934.14430414172
2020-11-02,2 wk ahead inc case,2020-11-14,GM,None,quantile,0.85,252316.3369829651
2020-11-02,2 wk ahead inc case,2020-11-14,GM,None,quantile,0.9,260346.59269900678
2020-11-02,2 wk ahead inc case,2020-11-14,GM,None,quantile,0.95,272248.6413445447
2020-11-02,2 wk ahead inc case,2020-11-14,GM,None,quantile,0.975,282571.89354467986
2020-11-02,2 wk ahead inc case,2020-11-14,GM,None,quantile,0.99,294574.90519535163
2020-11-02,3 wk ahead inc case,2020-11-21,GM,None,point,NA,330864.0
2020-11-02,3 wk ahead inc case,2020-11-21,GM,None,quantile,0.01,237522.6352281397
2020-11-02,3 wk ahead inc case,2020-11-21,GM,None,quantile,0.025,252223.2621885534
2020-11-02,3 wk ahead inc case,2020-11-21,GM,None,quantile,0.05,264866.6123767509
2020-11-02,3 wk ahead inc case,2020-11-21,GM,None,quantile,0.1,279443.5854144267
2020-11-02,3 wk ahead inc case,2020-11-21,GM,None,quantile,0.15,289278.59991861176
2020-11-02,3 wk ahead inc case,2020-11-21,GM,None,quantile,0.2,297095.15767023363
2020-11-02,3 wk ahead inc case,2020-11-21,GM,None,quantile,0.25,303801.0682216257
2020-11-02,3 wk ahead inc case,2020-11-21,GM,None,quantile,0.3,309823.18315165426
2020-11-02,3 wk ahead inc case,2020-11-21,GM,None,quantile,0.35,315403.5701088595
2020-11-02,3 wk ahead inc case,2020-11-21,GM,None,quantile,0.4,320698.81162401696
2020-11-02,3 wk ahead inc case,2020-11-21,GM,None,quantile,0.45,325822.0190712626
2020-11-02,3 wk ahead inc case,2020-11-21,GM,None,quantile,0.5,330864.0
2020-11-02,3 wk ahead inc case,2020-11-21,GM,None,quantile,0.55,335905.98092873744
2020-11-02,3 wk ahead inc case,2020-11-21,GM,None,quantile,0.6,341029.18837598304
2020-11-02,3 wk ahead inc case,2020-11-21,GM,None,quantile,0.65,346324.4298911405
2020-11-02,3 wk ahead inc case,2020-11-21,GM,None,quantile,0.7,351904.81684834574
2020-11-02,3 wk ahead inc case,2020-11-21,GM,None,quantile,0.75,357926.9317783743
2020-11-02,3 wk ahead inc case,2020-11-21,GM,None,quantile,0.8,364632.84232976637
2020-11-02,3 wk ahead inc case,2020-11-21,GM,None,quantile,0.85,372449.40008138824
2020-11-02,3 wk ahead inc case,2020-11-21,GM,None,quantile,0.9,382284.4145855733
2020-11-02,3 wk ahead inc case,2020-11-21,GM,None,quantile,0.95,396861.3876232491
2020-11-02,3 wk ahead inc case,2020-11-21,GM,None,quantile,0.975,409504.7378114466
2020-11-02,3 wk ahead inc case,2020-11-21,GM,None,quantile,0.99,424205.3647718603
2020-11-02,4 wk ahead inc case,2020-11-28,GM,None,point,NA,492917.0
2020-11-02,4 wk ahead inc case,2020-11-28,GM,None,quantile,0.01,385135.67584487883
2020-11-02,4 wk ahead inc case,2020-11-28,GM,None,quantile,0.025,402110.49771058105
2020-11-02,4 wk ahead inc case,2020-11-28,GM,None,quantile,0.05,416709.7809798101
2020-11-02,4 wk ahead inc case,2020-11-28,GM,None,quantile,0.1,433541.81959435414
2020-11-02,4 wk ahead inc case,2020-11-28,GM,None,quantile,0.15,444898.3161373044
2020-11-02,4 wk ahead inc case,2020-11-28,GM,None,quantile,0.2,453924.09958137467
2020-11-02,4 wk ahead inc case,2020-11-28,GM,None,quantile,0.25,461667.4181053902
2020-11-02,4 wk ahead inc case,2020-11-28,GM,None,quantile,0.3,468621.15745727596
2020-11-02,4 wk ahead inc case,2020-11-28,GM,None,quantile,0.35,475064.8332811254
2020-11-02,4 wk ahead inc case,2020-11-28,GM,None,quantile,0.4,481179.2515095259
2020-11-02,4 wk ahead inc case,2020-11-28,GM,None,quantile,0.45,487095.021907089
2020-11-02,4 wk ahead inc case,2020-11-28,GM,None,quantile,0.5,492917.0
2020-11-02,4 wk ahead inc case,2020-11-28,GM,None,quantile,0.55,498738.978092911
2020-11-02,4 wk ahead inc case,2020-11-28,GM,None,quantile,0.6,504654.7484904741
2020-11-02,4 wk ahead inc case,2020-11-28,GM,None,quantile,0.65,510769.1667188746
2020-11-02,4 wk ahead inc case,2020-11-28,GM,None,quantile,0.7,517212.84254272404
2020-11-02,4 wk ahead inc case,2020-11-28,GM,None,quantile,0.75,524166.5818946098
2020-11-02,4 wk ahead inc case,2020-11-28,GM,None,quantile,0.8,531909.9004186253
2020-11-02,4 wk ahead inc case,2020-11-28,GM,None,quantile,0.85,540935.6838626956
2020-11-02,4 wk ahead inc case,2020-11-28,GM,None,quantile,0.9,552292.1804056459
2020-11-02,4 wk ahead inc case,2020-11-28,GM,None,quantile,0.95,569124.2190201898
2020-11-02,4 wk ahead inc case,2020-11-28,GM,None,quantile,0.975,583723.502289419
2020-11-02,4 wk ahead inc case,2020-11-28,GM,None,quantile,0.99,600698.3241551212
