forecast_date,target,target_end_date,location,type,quantile,value
2020-12-20,1 wk ahead cum death,2020-12-26,GM,point,NA,28906.0
2020-12-20,1 wk ahead cum death,2020-12-26,GM,quantile,0.01,26351.448020389613
2020-12-20,1 wk ahead cum death,2020-12-26,GM,quantile,0.025,26753.772496735386
2020-12-20,1 wk ahead cum death,2020-12-26,GM,quantile,0.05,27099.793741776197
2020-12-20,1 wk ahead cum death,2020-12-26,GM,quantile,0.1,27498.73407676204
2020-12-20,1 wk ahead cum death,2020-12-26,GM,quantile,0.15,27767.8972268035
2020-12-20,1 wk ahead cum death,2020-12-26,GM,quantile,0.2,27981.819565810954
2020-12-20,1 wk ahead cum death,2020-12-26,GM,quantile,0.25,28165.34588467311
2020-12-20,1 wk ahead cum death,2020-12-26,GM,quantile,0.3,28330.158191130657
2020-12-20,1 wk ahead cum death,2020-12-26,GM,quantile,0.35,28482.88135500728
2020-12-20,1 wk ahead cum death,2020-12-26,GM,quantile,0.4,28627.800702695444
2020-12-20,1 wk ahead cum death,2020-12-26,GM,quantile,0.45,28768.011848721682
2020-12-20,1 wk ahead cum death,2020-12-26,GM,quantile,0.5,28906.0
2020-12-20,1 wk ahead cum death,2020-12-26,GM,quantile,0.55,29043.988151278318
2020-12-20,1 wk ahead cum death,2020-12-26,GM,quantile,0.6,29184.199297304556
2020-12-20,1 wk ahead cum death,2020-12-26,GM,quantile,0.65,29329.11864499272
2020-12-20,1 wk ahead cum death,2020-12-26,GM,quantile,0.7,29481.841808869343
2020-12-20,1 wk ahead cum death,2020-12-26,GM,quantile,0.75,29646.65411532689
2020-12-20,1 wk ahead cum death,2020-12-26,GM,quantile,0.8,29830.180434189046
2020-12-20,1 wk ahead cum death,2020-12-26,GM,quantile,0.85,30044.1027731965
2020-12-20,1 wk ahead cum death,2020-12-26,GM,quantile,0.9,30313.26592323796
2020-12-20,1 wk ahead cum death,2020-12-26,GM,quantile,0.95,30712.206258223803
2020-12-20,1 wk ahead cum death,2020-12-26,GM,quantile,0.975,31058.22750326461
2020-12-20,1 wk ahead cum death,2020-12-26,GM,quantile,0.99,31460.551979610387
2020-12-20,2 wk ahead cum death,2021-01-02,GM,point,NA,31694.0
2020-12-20,2 wk ahead cum death,2021-01-02,GM,quantile,0.01,28081.317944647955
2020-12-20,2 wk ahead cum death,2021-01-02,GM,quantile,0.025,28650.290675570803
2020-12-20,2 wk ahead cum death,2021-01-02,GM,quantile,0.05,29139.638613176736
2020-12-20,2 wk ahead cum death,2021-01-02,GM,quantile,0.1,29703.825445491384
2020-12-20,2 wk ahead cum death,2021-01-02,GM,quantile,0.15,30084.47962277108
2020-12-20,2 wk ahead cum death,2021-01-02,GM,quantile,0.2,30387.011495889998
2020-12-20,2 wk ahead cum death,2021-01-02,GM,quantile,0.25,30646.55690507726
2020-12-20,2 wk ahead cum death,2021-01-02,GM,quantile,0.3,30879.63670411552
2020-12-20,2 wk ahead cum death,2021-01-02,GM,quantile,0.35,31095.619873758373
2020-12-20,2 wk ahead cum death,2021-01-02,GM,quantile,0.4,31300.56678070923
2020-12-20,2 wk ahead cum death,2021-01-02,GM,quantile,0.45,31498.855285015416
2020-12-20,2 wk ahead cum death,2021-01-02,GM,quantile,0.5,31694.0
2020-12-20,2 wk ahead cum death,2021-01-02,GM,quantile,0.55,31889.144714984584
2020-12-20,2 wk ahead cum death,2021-01-02,GM,quantile,0.6,32087.43321929077
2020-12-20,2 wk ahead cum death,2021-01-02,GM,quantile,0.65,32292.380126241627
2020-12-20,2 wk ahead cum death,2021-01-02,GM,quantile,0.7,32508.36329588448
2020-12-20,2 wk ahead cum death,2021-01-02,GM,quantile,0.75,32741.44309492274
2020-12-20,2 wk ahead cum death,2021-01-02,GM,quantile,0.8,33000.988504110006
2020-12-20,2 wk ahead cum death,2021-01-02,GM,quantile,0.85,33303.520377228924
2020-12-20,2 wk ahead cum death,2021-01-02,GM,quantile,0.9,33684.174554508616
2020-12-20,2 wk ahead cum death,2021-01-02,GM,quantile,0.95,34248.361386823264
2020-12-20,2 wk ahead cum death,2021-01-02,GM,quantile,0.975,34737.7093244292
2020-12-20,2 wk ahead cum death,2021-01-02,GM,quantile,0.99,35306.682055352045
2020-12-20,3 wk ahead cum death,2021-01-09,GM,point,NA,34470.0
2020-12-20,3 wk ahead cum death,2021-01-09,GM,quantile,0.01,30045.38618073916
2020-12-20,3 wk ahead cum death,2021-01-09,GM,quantile,0.025,30742.23261489858
2020-12-20,3 wk ahead cum death,2021-01-09,GM,quantile,0.05,31341.5589918075
2020-12-20,3 wk ahead cum death,2021-01-09,GM,quantile,0.1,32032.54392119153
2020-12-20,3 wk ahead cum death,2021-01-09,GM,quantile,0.15,32498.748172588625
2020-12-20,3 wk ahead cum death,2021-01-09,GM,quantile,0.2,32869.27253262351
2020-12-20,3 wk ahead cum death,2021-01-09,GM,quantile,0.25,33187.14944141885
2020-12-20,3 wk ahead cum death,2021-01-09,GM,quantile,0.3,33472.61272991593
2020-12-20,3 wk ahead cum death,2021-01-09,GM,quantile,0.35,33737.13700924291
2020-12-20,3 wk ahead cum death,2021-01-09,GM,quantile,0.4,33988.14468243855
2020-12-20,3 wk ahead cum death,2021-01-09,GM,quantile,0.45,34230.99751114346
2020-12-20,3 wk ahead cum death,2021-01-09,GM,quantile,0.5,34470.0
2020-12-20,3 wk ahead cum death,2021-01-09,GM,quantile,0.55,34709.002488856546
2020-12-20,3 wk ahead cum death,2021-01-09,GM,quantile,0.6,34951.85531756145
2020-12-20,3 wk ahead cum death,2021-01-09,GM,quantile,0.65,35202.86299075709
2020-12-20,3 wk ahead cum death,2021-01-09,GM,quantile,0.7,35467.387270084066
2020-12-20,3 wk ahead cum death,2021-01-09,GM,quantile,0.75,35752.85055858116
2020-12-20,3 wk ahead cum death,2021-01-09,GM,quantile,0.8,36070.72746737649
2020-12-20,3 wk ahead cum death,2021-01-09,GM,quantile,0.85,36441.251827411375
2020-12-20,3 wk ahead cum death,2021-01-09,GM,quantile,0.9,36907.45607880847
2020-12-20,3 wk ahead cum death,2021-01-09,GM,quantile,0.95,37598.4410081925
2020-12-20,3 wk ahead cum death,2021-01-09,GM,quantile,0.975,38197.76738510142
2020-12-20,3 wk ahead cum death,2021-01-09,GM,quantile,0.99,38894.61381926084
2020-12-20,4 wk ahead cum death,2021-01-16,,point,NA,
2020-12-20,4 wk ahead cum death,2021-01-16,,quantile,0.01,
2020-12-20,4 wk ahead cum death,2021-01-16,,quantile,0.025,
2020-12-20,4 wk ahead cum death,2021-01-16,,quantile,0.05,
2020-12-20,4 wk ahead cum death,2021-01-16,,quantile,0.1,
2020-12-20,4 wk ahead cum death,2021-01-16,,quantile,0.15,
2020-12-20,4 wk ahead cum death,2021-01-16,,quantile,0.2,
2020-12-20,4 wk ahead cum death,2021-01-16,,quantile,0.25,
2020-12-20,4 wk ahead cum death,2021-01-16,,quantile,0.3,
2020-12-20,4 wk ahead cum death,2021-01-16,,quantile,0.35,
2020-12-20,4 wk ahead cum death,2021-01-16,,quantile,0.4,
2020-12-20,4 wk ahead cum death,2021-01-16,,quantile,0.45,
2020-12-20,4 wk ahead cum death,2021-01-16,,quantile,0.5,
2020-12-20,4 wk ahead cum death,2021-01-16,,quantile,0.55,
2020-12-20,4 wk ahead cum death,2021-01-16,,quantile,0.6,
2020-12-20,4 wk ahead cum death,2021-01-16,,quantile,0.65,
2020-12-20,4 wk ahead cum death,2021-01-16,,quantile,0.7,
2020-12-20,4 wk ahead cum death,2021-01-16,,quantile,0.75,
2020-12-20,4 wk ahead cum death,2021-01-16,,quantile,0.8,
2020-12-20,4 wk ahead cum death,2021-01-16,,quantile,0.85,
2020-12-20,4 wk ahead cum death,2021-01-16,,quantile,0.9,
2020-12-20,4 wk ahead cum death,2021-01-16,,quantile,0.95,
2020-12-20,4 wk ahead cum death,2021-01-16,,quantile,0.975,
2020-12-20,4 wk ahead cum death,2021-01-16,,quantile,0.99,
2020-12-20,1 wk ahead inc death,2020-12-26,GM,point,NA,2735.0
2020-12-20,1 wk ahead inc death,2020-12-26,GM,quantile,0.01,180.4480203896128
2020-12-20,1 wk ahead inc death,2020-12-26,GM,quantile,0.025,582.7724967353861
2020-12-20,1 wk ahead inc death,2020-12-26,GM,quantile,0.05,928.7937417761968
2020-12-20,1 wk ahead inc death,2020-12-26,GM,quantile,0.1,1327.7340767620408
2020-12-20,1 wk ahead inc death,2020-12-26,GM,quantile,0.15,1596.8972268034995
2020-12-20,1 wk ahead inc death,2020-12-26,GM,quantile,0.2,1810.8195658109544
2020-12-20,1 wk ahead inc death,2020-12-26,GM,quantile,0.25,1994.3458846731082
2020-12-20,1 wk ahead inc death,2020-12-26,GM,quantile,0.3,2159.1581911306566
2020-12-20,1 wk ahead inc death,2020-12-26,GM,quantile,0.35,2311.881355007281
2020-12-20,1 wk ahead inc death,2020-12-26,GM,quantile,0.4,2456.8007026954438
2020-12-20,1 wk ahead inc death,2020-12-26,GM,quantile,0.45,2597.0118487216823
2020-12-20,1 wk ahead inc death,2020-12-26,GM,quantile,0.5,2735.0
2020-12-20,1 wk ahead inc death,2020-12-26,GM,quantile,0.55,2872.9881512783177
2020-12-20,1 wk ahead inc death,2020-12-26,GM,quantile,0.6,3013.1992973045562
2020-12-20,1 wk ahead inc death,2020-12-26,GM,quantile,0.65,3158.118644992719
