forecast_date,target,target_end_date,location,location_name,type,quantile,value
2020-12-20,1 wk ahead inc case,2020-12-26,PL,None,point,NA,54788.0
2020-12-20,1 wk ahead inc case,2020-12-26,PL,None,quantile,0.01,10312.12335778754
2020-12-20,1 wk ahead inc case,2020-12-26,PL,None,quantile,0.025,17316.7699349249
2020-12-20,1 wk ahead inc case,2020-12-26,PL,None,quantile,0.05,23341.152422677966
2020-12-20,1 wk ahead inc case,2020-12-26,PL,None,quantile,0.1,30286.879606173956
2020-12-20,1 wk ahead inc case,2020-12-26,PL,None,quantile,0.15,34973.12876196491
2020-12-20,1 wk ahead inc case,2020-12-26,PL,None,quantile,0.2,38697.61103386618
2020-12-20,1 wk ahead inc case,2020-12-26,PL,None,quantile,0.25,41892.885188967666
2020-12-20,1 wk ahead inc case,2020-12-26,PL,None,quantile,0.3,44762.34013434814
2020-12-20,1 wk ahead inc case,2020-12-26,PL,None,quantile,0.35,47421.31777551602
2020-12-20,1 wk ahead inc case,2020-12-26,PL,None,quantile,0.4,49944.4275349939
2020-12-20,1 wk ahead inc case,2020-12-26,PL,None,quantile,0.45,52385.565427000096
2020-12-20,1 wk ahead inc case,2020-12-26,PL,None,quantile,0.5,54788.0
2020-12-20,1 wk ahead inc case,2020-12-26,PL,None,quantile,0.55,57190.43457299991
2020-12-20,1 wk ahead inc case,2020-12-26,PL,None,quantile,0.6,59631.5724650061
2020-12-20,1 wk ahead inc case,2020-12-26,PL,None,quantile,0.65,62154.68222448398
2020-12-20,1 wk ahead inc case,2020-12-26,PL,None,quantile,0.7,64813.65986565186
2020-12-20,1 wk ahead inc case,2020-12-26,PL,None,quantile,0.75,67683.11481103234
2020-12-20,1 wk ahead inc case,2020-12-26,PL,None,quantile,0.8,70878.38896613382
2020-12-20,1 wk ahead inc case,2020-12-26,PL,None,quantile,0.85,74602.87123803509
2020-12-20,1 wk ahead inc case,2020-12-26,PL,None,quantile,0.9,79289.12039382604
2020-12-20,1 wk ahead inc case,2020-12-26,PL,None,quantile,0.95,86234.84757732201
2020-12-20,1 wk ahead inc case,2020-12-26,PL,None,quantile,0.975,92259.23006507508
2020-12-20,1 wk ahead inc case,2020-12-26,PL,None,quantile,0.99,99263.87664221246
2020-12-20,2 wk ahead inc case,2021-01-02,PL,None,point,NA,36724.0
2020-12-20,2 wk ahead inc case,2021-01-02,PL,None,quantile,0.01,0.0
2020-12-20,2 wk ahead inc case,2021-01-02,PL,None,quantile,0.025,0.0
2020-12-20,2 wk ahead inc case,2021-01-02,PL,None,quantile,0.05,0.0
2020-12-20,2 wk ahead inc case,2021-01-02,PL,None,quantile,0.1,2074.183245715183
2020-12-20,2 wk ahead inc case,2021-01-02,PL,None,quantile,0.15,8701.540358494214
2020-12-20,2 wk ahead inc case,2021-01-02,PL,None,quantile,0.2,13968.75370023515
2020-12-20,2 wk ahead inc case,2021-01-02,PL,None,quantile,0.25,18487.5537458799
2020-12-20,2 wk ahead inc case,2021-01-02,PL,None,quantile,0.3,22545.57584625551
2020-12-20,2 wk ahead inc case,2021-01-02,PL,None,quantile,0.35,26305.93808844196
2020-12-20,2 wk ahead inc case,2021-01-02,PL,None,quantile,0.4,29874.154129651484
2020-12-20,2 wk ahead inc case,2021-01-02,PL,None,quantile,0.45,33326.44444414952
2020-12-20,2 wk ahead inc case,2021-01-02,PL,None,quantile,0.5,36724.0
2020-12-20,2 wk ahead inc case,2021-01-02,PL,None,quantile,0.55,40121.555555850486
2020-12-20,2 wk ahead inc case,2021-01-02,PL,None,quantile,0.6,43573.845870348516
2020-12-20,2 wk ahead inc case,2021-01-02,PL,None,quantile,0.65,47142.06191155804
2020-12-20,2 wk ahead inc case,2021-01-02,PL,None,quantile,0.7,50902.42415374448
2020-12-20,2 wk ahead inc case,2021-01-02,PL,None,quantile,0.75,54960.4462541201
2020-12-20,2 wk ahead inc case,2021-01-02,PL,None,quantile,0.8,59479.246299764854
2020-12-20,2 wk ahead inc case,2021-01-02,PL,None,quantile,0.85,64746.45964150579
2020-12-20,2 wk ahead inc case,2021-01-02,PL,None,quantile,0.9,71373.81675428481
2020-12-20,2 wk ahead inc case,2021-01-02,PL,None,quantile,0.95,81196.5583377283
2020-12-20,2 wk ahead inc case,2021-01-02,PL,None,quantile,0.975,89716.32175683166
2020-12-20,2 wk ahead inc case,2021-01-02,PL,None,quantile,0.99,99622.38794584962
2020-12-20,3 wk ahead inc case,2021-01-09,PL,None,point,NA,23209.0
2020-12-20,3 wk ahead inc case,2021-01-09,PL,None,quantile,0.01,0.0
2020-12-20,3 wk ahead inc case,2021-01-09,PL,None,quantile,0.025,0.0
2020-12-20,3 wk ahead inc case,2021-01-09,PL,None,quantile,0.05,0.0
2020-12-20,3 wk ahead inc case,2021-01-09,PL,None,quantile,0.1,0.0
2020-12-20,3 wk ahead inc case,2021-01-09,PL,None,quantile,0.15,0.0
2020-12-20,3 wk ahead inc case,2021-01-09,PL,None,quantile,0.2,0.0
2020-12-20,3 wk ahead inc case,2021-01-09,PL,None,quantile,0.25,874.0059778580544
2020-12-20,3 wk ahead inc case,2021-01-09,PL,None,quantile,0.3,5844.047733286807
2020-12-20,3 wk ahead inc case,2021-01-09,PL,None,quantile,0.35,10449.532103979232
2020-12-20,3 wk ahead inc case,2021-01-09,PL,None,quantile,0.4,14819.6864004678
2020-12-20,3 wk ahead inc case,2021-01-09,PL,None,quantile,0.45,19047.861257704124
2020-12-20,3 wk ahead inc case,2021-01-09,PL,None,quantile,0.5,23209.0
2020-12-20,3 wk ahead inc case,2021-01-09,PL,None,quantile,0.55,27370.13874229588
2020-12-20,3 wk ahead inc case,2021-01-09,PL,None,quantile,0.6,31598.3135995322
2020-12-20,3 wk ahead inc case,2021-01-09,PL,None,quantile,0.65,35968.46789602077
2020-12-20,3 wk ahead inc case,2021-01-09,PL,None,quantile,0.7,40573.95226671318
2020-12-20,3 wk ahead inc case,2021-01-09,PL,None,quantile,0.75,45543.994022141946
2020-12-20,3 wk ahead inc case,2021-01-09,PL,None,quantile,0.8,51078.37120288944
2020-12-20,3 wk ahead inc case,2021-01-09,PL,None,quantile,0.85,57529.363729712
2020-12-20,3 wk ahead inc case,2021-01-09,PL,None,quantile,0.9,65646.18536446869
2020-12-20,3 wk ahead inc case,2021-01-09,PL,None,quantile,0.95,77676.537741796
2020-12-20,3 wk ahead inc case,2021-01-09,PL,None,quantile,0.975,88111.0742948125
2020-12-20,3 wk ahead inc case,2021-01-09,PL,None,quantile,0.99,100243.47805547786
2020-12-20,4 wk ahead inc case,2021-01-16,PL,None,point,NA,13907.0
2020-12-20,4 wk ahead inc case,2021-01-16,PL,None,quantile,0.01,0.0
2020-12-20,4 wk ahead inc case,2021-01-16,PL,None,quantile,0.025,0.0
2020-12-20,4 wk ahead inc case,2021-01-16,PL,None,quantile,0.05,0.0
2020-12-20,4 wk ahead inc case,2021-01-16,PL,None,quantile,0.1,0.0
2020-12-20,4 wk ahead inc case,2021-01-16,PL,None,quantile,0.15,0.0
2020-12-20,4 wk ahead inc case,2021-01-16,PL,None,quantile,0.2,0.0
2020-12-20,4 wk ahead inc case,2021-01-16,PL,None,quantile,0.25,0.0
2020-12-20,4 wk ahead inc case,2021-01-16,PL,None,quantile,0.3,0.0
2020-12-20,4 wk ahead inc case,2021-01-16,PL,None,quantile,0.35,0.0
2020-12-20,4 wk ahead inc case,2021-01-16,PL,None,quantile,0.4,4219.855069987791
2020-12-20,4 wk ahead inc case,2021-01-16,PL,None,quantile,0.45,9102.130854000188
2020-12-20,4 wk ahead inc case,2021-01-16,PL,None,quantile,0.5,13907.0
2020-12-20,4 wk ahead inc case,2021-01-16,PL,None,quantile,0.55,18711.869145999815
2020-12-20,4 wk ahead inc case,2021-01-16,PL,None,quantile,0.6,23594.14493001221
2020-12-20,4 wk ahead inc case,2021-01-16,PL,None,quantile,0.65,28640.364448967957
2020-12-20,4 wk ahead inc case,2021-01-16,PL,None,quantile,0.7,33958.31973130372
2020-12-20,4 wk ahead inc case,2021-01-16,PL,None,quantile,0.75,39697.22962206467
2020-12-20,4 wk ahead inc case,2021-01-16,PL,None,quantile,0.8,46087.77793226765
2020-12-20,4 wk ahead inc case,2021-01-16,PL,None,quantile,0.85,53536.74247607018
2020-12-20,4 wk ahead inc case,2021-01-16,PL,None,quantile,0.9,62909.24078765209
2020-12-20,4 wk ahead inc case,2021-01-16,PL,None,quantile,0.95,76800.69515464404
2020-12-20,4 wk ahead inc case,2021-01-16,PL,None,quantile,0.975,88849.46013015017
2020-12-20,4 wk ahead inc case,2021-01-16,PL,None,quantile,0.99,102858.75328442492
