forecast_date,target,target_end_date,location,type,quantile,value
2021-02-22,1 wk ahead cum death,2021-02-27,PL,point,NA,43245
2021-02-22,1 wk ahead cum death,2021-02-27,PL,quantile,0.01,42370.55381
2021-02-22,1 wk ahead cum death,2021-02-27,PL,quantile,0.025,42508.27311
2021-02-22,1 wk ahead cum death,2021-02-27,PL,quantile,0.05,42626.7193
2021-02-22,1 wk ahead cum death,2021-02-27,PL,quantile,0.1,42763.28018
2021-02-22,1 wk ahead cum death,2021-02-27,PL,quantile,0.15,42855.41715
2021-02-22,1 wk ahead cum death,2021-02-27,PL,quantile,0.2,42928.6447
2021-02-22,1 wk ahead cum death,2021-02-27,PL,quantile,0.25,42991.46741
2021-02-22,1 wk ahead cum death,2021-02-27,PL,quantile,0.3,43047.88415
2021-02-22,1 wk ahead cum death,2021-02-27,PL,quantile,0.35,43100.16267
2021-02-22,1 wk ahead cum death,2021-02-27,PL,quantile,0.4,43149.76987
2021-02-22,1 wk ahead cum death,2021-02-27,PL,quantile,0.45,43197.76541
2021-02-22,1 wk ahead cum death,2021-02-27,PL,quantile,0.5,43245
2021-02-22,1 wk ahead cum death,2021-02-27,PL,quantile,0.55,43292.23459
2021-02-22,1 wk ahead cum death,2021-02-27,PL,quantile,0.6,43340.23013
2021-02-22,1 wk ahead cum death,2021-02-27,PL,quantile,0.65,43389.83733
2021-02-22,1 wk ahead cum death,2021-02-27,PL,quantile,0.7,43442.11585
2021-02-22,1 wk ahead cum death,2021-02-27,PL,quantile,0.75,43498.53259
2021-02-22,1 wk ahead cum death,2021-02-27,PL,quantile,0.8,43561.3553
2021-02-22,1 wk ahead cum death,2021-02-27,PL,quantile,0.85,43634.58285
2021-02-22,1 wk ahead cum death,2021-02-27,PL,quantile,0.9,43726.71982
2021-02-22,1 wk ahead cum death,2021-02-27,PL,quantile,0.95,43863.2807
2021-02-22,1 wk ahead cum death,2021-02-27,PL,quantile,0.975,43981.72689
2021-02-22,1 wk ahead cum death,2021-02-27,PL,quantile,0.99,44119.44619
2021-02-22,2 wk ahead cum death,2021-03-06,PL,point,NA,44215
2021-02-22,2 wk ahead cum death,2021-03-06,PL,quantile,0.01,42978.34634
2021-02-22,2 wk ahead cum death,2021-03-06,PL,quantile,0.025,43173.11084
2021-02-22,2 wk ahead cum death,2021-03-06,PL,quantile,0.05,43340.61905
2021-02-22,2 wk ahead cum death,2021-03-06,PL,quantile,0.1,43533.74529
2021-02-22,2 wk ahead cum death,2021-03-06,PL,quantile,0.15,43664.04665
2021-02-22,2 wk ahead cum death,2021-03-06,PL,quantile,0.2,43767.60604
2021-02-22,2 wk ahead cum death,2021-03-06,PL,quantile,0.25,43856.45078
2021-02-22,2 wk ahead cum death,2021-03-06,PL,quantile,0.3,43936.2361
2021-02-22,2 wk ahead cum death,2021-03-06,PL,quantile,0.35,44010.16908
2021-02-22,2 wk ahead cum death,2021-03-06,PL,quantile,0.4,44080.32426
2021-02-22,2 wk ahead cum death,2021-03-06,PL,quantile,0.45,44148.2002
2021-02-22,2 wk ahead cum death,2021-03-06,PL,quantile,0.5,44215
2021-02-22,2 wk ahead cum death,2021-03-06,PL,quantile,0.55,44281.7998
2021-02-22,2 wk ahead cum death,2021-03-06,PL,quantile,0.6,44349.67574
2021-02-22,2 wk ahead cum death,2021-03-06,PL,quantile,0.65,44419.83092
2021-02-22,2 wk ahead cum death,2021-03-06,PL,quantile,0.7,44493.7639
2021-02-22,2 wk ahead cum death,2021-03-06,PL,quantile,0.75,44573.54922
2021-02-22,2 wk ahead cum death,2021-03-06,PL,quantile,0.8,44662.39396
2021-02-22,2 wk ahead cum death,2021-03-06,PL,quantile,0.85,44765.95335
2021-02-22,2 wk ahead cum death,2021-03-06,PL,quantile,0.9,44896.25471
2021-02-22,2 wk ahead cum death,2021-03-06,PL,quantile,0.95,45089.38095
2021-02-22,2 wk ahead cum death,2021-03-06,PL,quantile,0.975,45256.88916
2021-02-22,2 wk ahead cum death,2021-03-06,PL,quantile,0.99,45451.65366
2021-02-22,3 wk ahead cum death,2021-03-13,PL,point,NA,45079
2021-02-22,3 wk ahead cum death,2021-03-13,PL,quantile,0.01,43564.41477
2021-02-22,3 wk ahead cum death,2021-03-13,PL,quantile,0.025,43802.95159
2021-02-22,3 wk ahead cum death,2021-03-13,PL,quantile,0.05,44008.10642
2021-02-22,3 wk ahead cum death,2021-03-13,PL,quantile,0.1,44244.63679
2021-02-22,3 wk ahead cum death,2021-03-13,PL,quantile,0.15,44404.22271
2021-02-22,3 wk ahead cum death,2021-03-13,PL,quantile,0.2,44531.05655
2021-02-22,3 wk ahead cum death,2021-03-13,PL,quantile,0.25,44639.86868
2021-02-22,3 wk ahead cum death,2021-03-13,PL,quantile,0.3,44737.58534
2021-02-22,3 wk ahead cum death,2021-03-13,PL,quantile,0.35,44828.13439
2021-02-22,3 wk ahead cum death,2021-03-13,PL,quantile,0.4,44914.05658
2021-02-22,3 wk ahead cum death,2021-03-13,PL,quantile,0.45,44997.18729
2021-02-22,3 wk ahead cum death,2021-03-13,PL,quantile,0.5,45079
2021-02-22,3 wk ahead cum death,2021-03-13,PL,quantile,0.55,45160.81271
2021-02-22,3 wk ahead cum death,2021-03-13,PL,quantile,0.6,45243.94342
2021-02-22,3 wk ahead cum death,2021-03-13,PL,quantile,0.65,45329.86561
2021-02-22,3 wk ahead cum death,2021-03-13,PL,quantile,0.7,45420.41466
2021-02-22,3 wk ahead cum death,2021-03-13,PL,quantile,0.75,45518.13132
2021-02-22,3 wk ahead cum death,2021-03-13,PL,quantile,0.8,45626.94345
2021-02-22,3 wk ahead cum death,2021-03-13,PL,quantile,0.85,45753.77729
2021-02-22,3 wk ahead cum death,2021-03-13,PL,quantile,0.9,45913.36321
2021-02-22,3 wk ahead cum death,2021-03-13,PL,quantile,0.95,46149.89358
2021-02-22,3 wk ahead cum death,2021-03-13,PL,quantile,0.975,46355.04841
2021-02-22,3 wk ahead cum death,2021-03-13,PL,quantile,0.99,46593.58523
2021-02-22,4 wk ahead cum death,2021-03-20,PL,point,NA,45847
2021-02-22,4 wk ahead cum death,2021-03-20,PL,quantile,0.01,44098.10762
2021-02-22,4 wk ahead cum death,2021-03-20,PL,quantile,0.025,44373.54622
2021-02-22,4 wk ahead cum death,2021-03-20,PL,quantile,0.05,44610.4386
2021-02-22,4 wk ahead cum death,2021-03-20,PL,quantile,0.1,44883.56036
2021-02-22,4 wk ahead cum death,2021-03-20,PL,quantile,0.15,45067.83431
2021-02-22,4 wk ahead cum death,2021-03-20,PL,quantile,0.2,45214.2894
2021-02-22,4 wk ahead cum death,2021-03-20,PL,quantile,0.25,45339.93483
2021-02-22,4 wk ahead cum death,2021-03-20,PL,quantile,0.3,45452.76831
2021-02-22,4 wk ahead cum death,2021-03-20,PL,quantile,0.35,45557.32534
2021-02-22,4 wk ahead cum death,2021-03-20,PL,quantile,0.4,45656.53974
2021-02-22,4 wk ahead cum death,2021-03-20,PL,quantile,0.45,45752.53082
2021-02-22,4 wk ahead cum death,2021-03-20,PL,quantile,0.5,45847
2021-02-22,4 wk ahead cum death,2021-03-20,PL,quantile,0.55,45941.46918
